camera	amazon	model
1767	1767	1767	1752
0000	1	Canon PowerShot SD1300 IS 12.1 MP Digital Camera with 4x Wide Angle Optical Image Stabilized Zoom and 2.7-Inch LCD (Silver)
0001	1	Canon PowerShot S95 10 MP Digital Camera with 3.8x Wide Angle Optical Image Stabilized Zoom and 3.0-Inch inch LCD
0002	1	Fujifilm FinePix S1800 12.2 MP Digital Camera with 18x Wide Angle Optical Dual Image Stabilized Zoom and 3-Inch LCD
0003	1	Canon PowerShot SD1300IS 12.1 MP Digital Camera with 4x Wide Angle Optical Image Stabilized Zoom and 2.7-Inch LCD (Blue)
0004	1	Canon PowerShot SX130IS 12.1 MP Digital Camera with 12x Wide Angle Optical Image Stabilized Zoom with 3.0-Inch LCD
0005	1	Canon PowerShot SD1400IS 14.1 MP Digital Camera with 4x Wide Angle Optical Image Stabilized Zoom and 2.7-Inch LCD (Black)
0006	1	Canon SX30IS 14.1MP Digital Camera with 35x Wide Angle Optical Image Stabilized Zoom and 2.7 Inch Wide LCD
0007	1	Canon PowerShot SD1300IS 12 MP Digital Camera with 4x Wide Angle Optical Image Stabilized Zoom and 2.7-Inch LCD (Pink)
0008	1	Panasonic Lumix DMC-FH20 14.1 MP Digital Camera with 8x Optical Image Stabilized Zoom and 2.7-Inch LCD (Black)
0009	1	Nikon Coolpix S1000pj 12.1MP Digital Camera with Built-in Projector and 5x Wide-Angle Optical Vibration Reduction (VR) Zoom
0010	1	Canon PowerShot SD1400IS 14.1 MP Digital Camera with 4x Wide Angle Optical Image Stabilized Zoom and 2.7-Inch LCD (Silver)
0011	1	Panasonic DMC-F2K Lumix 10.1MP Digital Camera with 4x Optical Zoom (Black)
0012	1	Canon PowerShot SD1300IS 12.1 MP Digital Camera with 4x Wide Angle Optical Image Stabilized Zoom and 2.7-Inch LCD (Green)
0013	1	Nikon Coolpix L22 12 MP Digital Camera with 3.6x Optical Zoom and 3.0-Inch LCD (Blue)
0014	1	Canon PowerShot SD1300IS 12 MP Digital Camera with 4x Wide Angle Optical Image Stabilized Zoom and 2.7-Inch LCD (Brown)
0015	1	Kodak EasyShare Z981 14MP Digital Camera with Schneider-Kreuznach Variogon 26x Wide Angle Optical Image Stabilized Zoom Lens and 3.0 Inch LCD
0016	1	Panasonic Lumix DMC-LX5 10.1 MP Digital Camera with 3.8x Optical Image Stabilized Zoom and 3.0-Inch LCD (Black)
0017	1	Sony Cyber-shot DSC-H55 14.1MP Digital Camera with 10x Wide Angle Optical Zoom with SteadyShot Image Stabilization and 3.0 inch LCD (Black)
0018	1	Canon PowerShot SX210IS 14.1 MP Digital Camera with 14x Wide Angle Optical Image Stabilized Zoom and 3.0-Inch LCD (Black)
0019	1	Panasonic Lumix DMC-FZ40 14.1 MP Digital Camera with 24x Optical Image Stabilized Zoom and 3.0-Inch LCD (Black)
0020	1	Sony DSC-W350 14.1MP Digital Camera with 4x Wide Angle Zoom with Optical Steady Shot Image Stabilization and 2.7 inch LCD (Black)
0021	1	Canon PowerShot A3100IS 12.1 MP Digital Camera with 4x Optical Image Stabilized Zoom and 2.7-Inch LCD (Blue)
0022	1	Canon PowerShot D10 12.1 MP Waterproof Digital Camera with 3x Optical Image Stabilized Zoom and 2.5-inch LCD
0023	1	Canon G12 10MP Digital Camera with 5x Optical Image Stabilized Zoom and 2.8 inch Vari-Angle LCD
