camera	amazon	price
1767	1767	1767	723
0000	1	$129.00
0001	1	$369.00
0002	1	$151.95
0003	1	$129.00
0004	1	$179.00
0005	1	$149.00
0006	1	$369.00
0007	1	$129.00
0008	1	$139.99
0009	1	$149.00
0010	1	$149.00
0011	1	$79.97
0012	1	$129.00
0013	1	$96.95
0014	1	$129.00
0015	1	$197.88
0016	1	$418.13
0017	1	$199.00
0018	1	$249.00
0019	1	$299.99
0020	1	$137.99
0021	1	$99.00
0022	1	$249.00
0023	1	$481.24
0024	1	$99.00
0025	1	$129.00
0026	1	$126.95
0027	1	$49.00
0028	1	$249.00
0029	1	$168.41
0030	1	$99.99
0031	1	$139.01
0032	1	$69.00
0033	1	$82.29
0034	1	$79.00
0035	1	$114.00
0036	1	$69.99
0037	1	$254.99
0038	1	$47.73
0039	1	$76.95
0040	1	$99.95
0041	1	$89.00
0042	1	$148.13
0043	1	$414.95
0044	1	$99.00
0045	1	$169.99
0046	1	$159.00
0047	1	$98.05
0048	1	$169.95
0049	1	$183.38
0050	1	$209.95
0051	1	$79.29
0052	1	$139.45
0053	1	$79.95
0054	1	$134.85
0055	1	$239.99
0056	1	$154.95
0057	1	$79.29
0058	1	$599.00
0059	1	$499.95
0060	1	$149.95
0061	1	$149.20
0062	1	$512.94
0063	1	$102.97
0064	1	$269.95
0065	1	$224.95
0066	1	$219.95
0067	1	$161.69
0068	1	$319.90
0069	1	$699.95
0070	1	$129.99
0071	1	$999.22
0072	1	$194.95
0073	1	$94.95
0074	1	$249.00
0075	1	$204.95
0076	1	$89.99
0077	1	$147.54
0078	1	$284.69
0079	1	$53.39
0080	1	$279.00
0081	1	$194.95
0082	1	$84.95
0083	1	$341.19
0084	1	$109.95
0085	1	$79.99
0086	1	$119.95
0087	1	$499.95
0088	1	$119.95
0089	1	$699.00
0090	1	$499.95
0091	1	$119.00
0092	1	$59.99
0093	1	$199.99
0094	1	$169.95
0095	1	$122.76
0096	1	$399.00
0097	1	$699.99
0098	1	$298.00
0099	1	$339.96
0100	1	$346.95
0101	1	$85.95
0102	1	$199.95
0103	1	$222.99
0104	1	$79.29
0105	1	$398.00
0106	1	$264.95
0107	1	$219.95
