camera	beachaudio	model
247	247	494	250
0000	2	Canon 3506b001 12.1 Megapixel Waterproof Powershot D10 (3508b001)	PowerShot D10 Point & Shoot Digital Camera
0001	2	Canon 3509b001 Camera, Powershot Sx200, Black, 12mp	PowerShot SX200 IS Point & Shoot Digital Camera
0002	2	Canon Powershot A3000 Is Point & Shoot Digital Camera - 10 Megapixel -...	PowerShot A3000 IS Point & Shoot Digital Camera
0003	2	Canon Powershot A3100 Is Point & Shoot Digital Camera - 12.1 Megapixel -...	PowerShot A3100 IS Point & Shoot Digital Camera
0004	2	Canon Powershot A3100 Is Point & Shoot Digital Camera - 12.1 Megapixel -...	PowerShot A3100 IS Point & Shoot Digital Camera
0005	2	Canon Powershot A3100 Is Point & Shoot Digital Camera - 12.1 Megapixel -...	PowerShot A3100 IS Point & Shoot Digital Camera
0006	2	Canon Powershot A470 Digital Camera With Selphy Cp760 Compact Photo Printer -...	PowerShot A470 Point & Shoot Digital Camera
0007	2	Canon Powershot A495 Point & Shoot Digital Camera - 10 Megapixel - 2.50&quot;...	PowerShot A495 Point & Shoot Digital Camera
0008	2	Canon Powershot A495 Point & Shoot Digital Camera - 10 Megapixel - 2.50&quot;...	PowerShot A495 Point & Shoot Digital Camera
0009	2	Canon Powershot A495 Point & Shoot Digital Camera - 10 Megapixel - 2.50&quot;...	PowerShot A495 Point & Shoot Digital Camera
0010	2	Canon Powershot S90 Point & Shoot Digital Camera - 10 Megapixel - 16:9 - 3.8x...	PowerShot S90 Point & Shoot Digital Camera
0011	2	Canon Powershot Sd1300 Is Point & Shoot Digital Camera - 12.1 Megapixel -...	PowerShot SD1300 IS Point & Shoot Digital Camera
0012	2	Canon Powershot Sd1300 Is Point & Shoot Digital Camera - 12.1 Megapixel -...	PowerShot SD1300 IS Point & Shoot Digital Camera
0013	2	Canon Powershot Sd1300 Is Point & Shoot Digital Camera - 12.1 Megapixel -...	PowerShot SD1300 IS Point & Shoot Digital Camera
0014	2	Canon Powershot Sd1300 Is Point & Shoot Digital Camera - 12.1 Megapixel -...	PowerShot SD1300 IS Point & Shoot Digital Camera
0015	2	Canon Powershot Sd1300 Is Point & Shoot Digital Camera - 12.1 Megapixel -...	PowerShot SD1300 IS Point & Shoot Digital Camera
0016	2	Canon Powershot Sd1400 Is Point & Shoot Digital Camera - 14.1 Megapixel -...	PowerShot SD1400 IS Point & Shoot Digital Camera
0017	2	Canon Powershot Sd1400 Is Point & Shoot Digital Camera - 14.1 Megapixel -...	PowerShot SD1400 IS Point & Shoot Digital Camera
0018	2	Canon Powershot Sd1400 Is Point & Shoot Digital Camera - 14.1 Megapixel -...	PowerShot SD1400 IS Point & Shoot Digital Camera
0019	2	Canon Powershot Sd1400 Is Point & Shoot Digital Camera - 14.1 Megapixel -...	PowerShot SD1400 IS Point & Shoot Digital Camera
0020	2	Canon Powershot Sd3500 Is Point & Shoot Digital Camera - 14.1 Megapixel -...	PowerShot SD3500 IS Point & Shoot Digital Camera
0021	2	Canon Powershot Sd3500 Is Point & Shoot Digital Camera - 14.1 Megapixel -...	PowerShot SD3500 IS Point & Shoot Digital Camera
0022	2	Canon Powershot Sd3500 Is Point & Shoot Digital Camera - 14.1 Megapixel -...	PowerShot SD3500 IS Point & Shoot Digital Camera
0023	2	Canon Powershot Sd940 Is Point & Shoot Digital Camera - Blue - 12.1 Megapixel -...	PowerShot SD940 IS Point & Shoot Digital Camera
0024	2	Canon Powershot Sd980 Is Point & Shoot Digital Camera - Blue - 12.1 Megapixel -...	PowerShot SD980 IS Point & Shoot Digital Camera
0025	2	Canon Powershot Sd980 Is Point & Shoot Digital Camera - Gold - 12.1 Megapixel -...	PowerShot SD980 IS Point & Shoot Digital Camera
0026	2	Canon Powershot Sd980 Is Point & Shoot Digital Camera - Silver - 12.1 Megapixel...	PowerShot SD980 IS Point & Shoot Digital Camera
0027	2	Canon Powershot Sx210 Is Point & Shoot Digital Camera - 14.1 Megapixel - 3&quot;...	PowerShot SX210 IS Point & Shoot Digital Camera
0028	2	Canon Powershot Sx210 Is Point & Shoot Digital Camera - 14.1 Megapixel - 3&quot;...	PowerShot SX210 IS Point & Shoot Digital Camera
0029	2	Canon Powershot Sx210 Is Point & Shoot Digital Camera - 14.1 Megapixel - 3&quot;...	PowerShot SX210 IS Point & Shoot Digital Camera
0030	2	Canon Sd960ispk 12mp Compact Digital Camera With 28mm Wide-angle 4x Optical Zoom...	PowerShot SD960 IS Digital Camera
0031	2	Casio Ex-h10bkebb 12 Mp Digital Camera - Black (exh10bkebb)	Exilim Zoom EX-H10 Point & Shoot Digital Camera
0032	2	Casio Exilim Ex-fc150 Point & Shoot Digital Camera - 10.1 Megapixel - 2.70&quot;...	Exilim EX-FC150 Point & Shoot Digital Camera
0033	2	Casio Exilim Ex-fc150 Point & Shoot Digital Camera - 10.1 Megapixel - 2.70&quot;...	Exilim EX-FC150 Point & Shoot Digital Camera
0034	2	Casio Exilim Ex-fh100 Point & Shoot Digital Camera - 10.1 Megapixel - 3&quot;...	Exilim EX-FH100 Point & Shoot Digital Camera
0035	2	Casio Exilim Ex-s12 Point & Shoot Digital Camera - Pink - 12.1 Megapixel - 16:9...	Exilim EX-S12 Point & Shoot Digital Camera
0036	2	Casio Exilim Ex-s8 Point & Shoot Digital Camera - 12.1 Megapixel - 2.70&quot;...	Exilim EX-S8 Point & Shoot Digital Camera
0037	2	Casio Exilim Ex-s8 Point & Shoot Digital Camera - 12.1 Megapixel - 2.70&quot;...	Exilim EX-S8 Point & Shoot Digital Camera
0038	2	Casio Exilim Ex-s8 Point & Shoot Digital Camera - 12.1 Megapixel - 2.70&quot;...	Exilim EX-S8 Point & Shoot Digital Camera
0039	2	Casio Exilim Ex-s8 Point & Shoot Digital Camera - 12.1 Megapixel - 2.70&quot;...	Exilim EX-S8 Point & Shoot Digital Camera
0040	2	Panasonic Lumix Dmc-fp1 Point & Shoot Digital Camera - 12.1 Megapixel -...	Lumix DMC-FP1 Point & Shoot Digital Camera
0041	2	Panasonic Lumix Dmc-fp1 Point & Shoot Digital Camera - 12.1 Megapixel -...	Lumix DMC-FP1 Point & Shoot Digital Camera
0042	2	Panasonic Lumix Dmc-fp1 Point & Shoot Digital Camera - 12.1 Megapixel -...	Lumix DMC-FP1 Point & Shoot Digital Camera
0043	2	Panasonic Lumix Dmc-fp1 Point & Shoot Digital Camera - 12.1 Megapixel -...	Lumix DMC-FP1 Point & Shoot Digital Camera
0044	2	Panasonic Lumix Dmc-fp1 Point & Shoot Digital Camera - 12.1 Megapixel -...	Lumix DMC-FP1 Point & Shoot Digital Camera
0045	2	Panasonic Lumix Dmc-fp1 Point & Shoot Digital Camera - 12.1 Megapixel -...	Lumix DMC-FP1 Point & Shoot Digital Camera
0046	2	Panasonic Lumix Dmc-fp1 Point & Shoot Digital Camera - 12.1 Megapixel -...	Lumix DMC-FP1 Point & Shoot Digital Camera
0047	2	Panasonic Lumix Dmc-fp3 Point & Shoot Digital Camera - 14.1 Megapixel - 3&quot;...	Lumix DMC-FP3 Point & Shoot Digital Camera
0048	2	Panasonic Lumix Dmc-fp3 Point & Shoot Digital Camera - 14.1 Megapixel - 3&quot;...	Lumix DMC-FP3 Point & Shoot Digital Camera
0049	2	Panasonic Lumix Dmc-fp3 Point & Shoot Digital Camera - 14.1 Megapixel - 3&quot;...	Lumix DMC-FP3 Point & Shoot Digital Camera
0050	2	Panasonic Lumix Dmc-fx48 Point & Shoot Digital Camera - Silver - 5x Optical Zoom...	Lumix DMC-FX48 Point & Shoot Digital Camera
0051	2	Panasonic Lumix Dmc-fx580 Point & Shoot Digital Camera - Black - 16:9 - 5x...	Lumix DMC-FX580 Point & Shoot Digital Camera
0052	2	Panasonic Lumix Dmc-fx580 Point & Shoot Digital Camera - Silver - 16:9 - 5x...	Lumix DMC-FX580 Point & Shoot Digital Camera
0053	2	Panasonic Lumix Dmc-ts2 Point & Shoot Digital Camera - 14.1 Megapixel -...	Lumix DMC-TS2 Point & Shoot Digital Camera
0054	2	Panasonic Lumix Dmc-zr3 Point & Shoot Digital Camera - 14.1 Megapixel -...	Lumix DMC-ZR3 Point & Shoot Digital Camera
0055	2	Panasonic Lumix Dmc-zr3 Point & Shoot Digital Camera - 14.1 Megapixel -...	Lumix DMC-ZR3 Point & Shoot Digital Camera
0056	2	Panasonic Lumix Dmc-zr3 Point & Shoot Digital Camera - 14.1 Megapixel -...	Lumix DMC-ZR3 Point & Shoot Digital Camera
0057	2	Panasonic Lumix Dmc-zr3 Point & Shoot Digital Camera - 14.1 Megapixel -...	Lumix DMC-ZR3 Point & Shoot Digital Camera
0058	2	Panasonic Lumix Dmc-zs7 Point & Shoot Digital Camera - 12.1 Megapixel - 3&quot;...	Lumix DMC-ZS7 Point & Shoot Digital Camera
0059	2	Panasonic Lumix Dmc-zs7 Point & Shoot Digital Camera - 12.1 Megapixel - 3&quot;...	Lumix DMC-ZS7 Point & Shoot Digital Camera
0060	2	Pentax 17621 12mp Optio P70 Camera White (pentax Optiop70wht)	Optio P70 Point & Shoot Digital Camera
0061	2	Pentax Optio H90 Point & Shoot Digital Camera - 12.1 Megapixel - 2.70&quot;...	Optio H90 Point & Shoot Digital Camera
0062	2	Pentax Optio H90 Point & Shoot Digital Camera - 12.1 Megapixel - 2.70&quot;...	Optio H90 Point & Shoot Digital Camera
0063	2	Polaroid I1237 Point & Shoot Digital Camera - 12 Megapixel - 2.7&quot; Active...	i1237 Point & Shoot Digital Camera
0064	2	Polaroid I1237 Point & Shoot Digital Camera - 12 Megapixel - 2.70&quot; Active...	i1237 Point & Shoot Digital Camera
0065	2	Polaroid T1232 Point & Shoot Digital Camera - 12 Megapixel - 3&quot; Color Lcd -...	t1232 Point & Shoot Digital Camera
0066	2	T1235 Point & Shoot Digital Camera - Blue - 12 Megapixel - 16:9 - 3x - 4x...	t1235 Point & Shoot Digital Camera
0067	2	Vivitar Vivicam 5022 Point & Shoot Digital Camera - 5.1 Megapixel - 1.80&quot;...	ViviCam 5022 Point & Shoot Digital Camera
0068	2	Vivitar Vivicam V7024 Point & Shoot Digital Camera - 7.1 Megapixel - 2.4&quot;...	ViviCam V7024 Point & Shoot Digital Camera
0069	2	Vivitar Vivicam Vx018 Point & Shoot Digital Camera - 10.1 Megapixel - 1.80&quot;...	ViviCam VX018 Point & Shoot Digital Camera
0070	2	Vivitar Vivicam Vx029 Point & Shoot Digital Camera - 10.1 Megapixel - 2.70&quot;...	ViviCam VX029 Point & Shoot Digital Camera
0071	2	Vivitar Vivicam Vx029 Point & Shoot Digital Camera - 10.1 Megapixel - 2.70&quot;...	ViviCam VX029 Point & Shoot Digital Camera
