camera	beachaudio	price
247	247	247	157
0000	1	$308.81
0001	1	$322.48
0002	1	$159.82
0003	1	$170.12
0004	1	$170.12
0005	1	$170.12
0006	1	$203.44
0007	1	$120.93
0008	1	$120.93
0009	1	$120.93
0010	1	$385.16
0011	1	$185.80
0012	1	$136.52
0013	1	$136.52
0014	1	$190.07
0015	1	$136.52
0016	1	$155.56
0017	1	$226.84
0018	1	$155.56
0019	1	$155.56
0020	1	$260.29
0021	1	$275.89
0022	1	$270.44
0023	1	$303.41
0024	1	$254.46
0025	1	$254.46
0026	1	$254.36
0027	1	$245.37
0028	1	$303.14
0029	1	$303.14
0030	1	$284.45
0031	1	$202.22
0032	1	$299.99
0033	1	$299.99
0034	1	$349.99
0035	1	$126.35
0036	1	$149.99
0037	1	$149.99
0038	1	$149.99
0039	1	$149.99
0040	1	$139.60
0041	1	$147.63
0042	1	$147.35
0043	1	$147.63
0044	1	$147.35
0045	1	$142.93
0046	1	$147.35
0047	1	$192.27
0048	1	$188.04
0049	1	$188.04
0050	1	$266.76
0051	1	$307.66
0052	1	$307.84
0053	1	$305.04
0054	1	$253.21
0055	1	$253.25
0056	1	$253.21
0057	1	$253.25
0058	1	$281.06
0059	1	$281.06
0060	1	$199.95
0061	1	$179.95
0062	1	$149.95
0063	1	$72.94
0064	1	$72.95
0065	1	$129.81
0066	1	$139.90
0067	1	$36.72
0068	1	$46.51
0069	1	$58.03
0070	1	$63.48
0071	1	$58.84
0072	1	$308.46
0073	1	$134.00
0074	1	$366.08
0075	1	$319.88
0076	1	$141.58
0077	1	$299.65
0078	1	$111.62
0079	1	$48.43
0080	1	$51.33
0081	1	$48.54
0082	1	$52.05
0083	1	$63.23
0084	1	$36.27
0085	1	$49.71
0086	1	$59.53
0087	1	$149.99
0088	1	$199.99
0089	1	$199.99
0090	1	$199.99
0091	1	$199.99
0092	1	$199.99
0093	1	$119.99
0094	1	$119.99
0095	1	$119.99
0096	1	$119.99
0097	1	$119.99
0098	1	$169.99
0099	1	$169.99
0100	1	$169.99
0101	1	$169.99
0102	1	$20.74
0103	1	$26.72
0104	1	$81.44
0105	1	$29.16
0106	1	$32.89
0107	1	$112.96
0108	1	$120.77
0109	1	$140.38
0110	1	$140.39
0111	1	$92.59
0112	1	$188.09
0113	1	$79.69
0114	1	$85.19
0115	1	$85.19
0116	1	$227.34
0117	1	$253.77
0118	1	$91.57
0119	1	$91.57
0120	1	$170.33
0121	1	$170.33
0122	1	$215.51
0123	1	$170.47
0124	1	$170.47
0125	1	$170.47
0126	1	$121.41
0127	1	$121.41
0128	1	$118.08
0129	1	$121.41
0130	1	$227.49
0131	1	$227.49
0132	1	$227.49
0133	1	$89.66
0134	1	$89.66
0135	1	$89.66
0136	1	$99.54
0137	1	$99.54
0138	1	$99.54
0139	1	$80.48
0140	1	$61.46
0141	1	$61.46
0142	1	$144.87
0143	1	$144.87
0144	1	$144.87
0145	1	$98.17
0146	1	$98.17
0147	1	$98.17
0148	1	$134.22
0149	1	$134.22
0150	1	$134.22
0151	1	$95.52
0152	1	$62.28
0153	1	$120.93
0154	1	$95.47
0155	1	$84.62
0156	1	$95.47
0157	1	$120.25
0158	1	$120.92
0159	1	$120.25
0160	1	$120.25
0161	1	$147.64
0162	1	$146.40
0163	1	$146.40
0164	1	$148.25
0165	1	$164.83
0166	1	$192.47
0167	1	$166.96
0168	1	$275.87
0169	1	$259.42
0170	1	$259.42
0171	1	$257.76
0172	1	$114.15
0173	1	$119.80
0174	1	$123.75
0175	1	$382.75
0176	1	$157.21
0177	1	$152.57
0178	1	$155.52
0179	1	$152.57
0180	1	$122.80
0181	1	$152.57
0182	1	$184.92
0183	1	$154.16
0184	1	$181.39
0185	1	$154.16
0186	1	$204.52
0187	1	$337.25
0188	1	$134.84
0189	1	$134.84
0190	1	$134.84
0191	1	$114.85
0192	1	$113.87
0193	1	$113.87
0194	1	$113.87
0195	1	$170.40
0196	1	$324.63
0197	1	$178.52
0198	1	$198.68
0199	1	$123.85
0200	1	$178.52
0201	1	$178.52
0202	1	$179.67
0203	1	$237.18
0204	1	$237.18
0205	1	$198.68
0206	1	$198.68
0207	1	$198.68
0208	1	$198.68
0209	1	$267.24
0210	1	$267.24
0211	1	$280.78
0212	1	$280.78
0213	1	$359.36
0214	1	$359.36
0215	1	$87.76
0216	1	$87.76
0217	1	$91.18
0218	1	$259.44
0219	1	$299.96
0220	1	$281.33
0221	1	$218.84
0222	1	$299.51
0223	1	$420.86
0224	1	$281.06
0225	1	$281.06
0226	1	$390.34
0227	1	$247.55
0228	1	$281.06
0229	1	$281.06
0230	1	$304.83
0231	1	$117.38
0232	1	$128.81
0233	1	$143.09
0234	1	$143.09
0235	1	$143.09
0236	1	$143.09
0237	1	$153.54
0238	1	$153.54
0239	1	$153.54
0240	1	$153.27
0241	1	$153.27
0242	1	$152.10
0243	1	$152.10
0244	1	$152.12
0245	1	$152.10
0246	1	$152.10
