camera	buy	price
500	500	500	293
0000	1	$179.00
0001	1	$149.00
0002	1	$149.99
0003	1	$198.89
0004	1	$139.99
0005	1	$249.00
0006	1	$177.88
0007	1	$164.99
0008	1	$369.00
0009	1	$166.95
0010	1	$69.00
0011	1	$147.00
0012	1	$144.88
0013	1	$139.99
0014	1	$219.00
0015	1	$129.00
0016	1	$279.00
0017	1	$79.00
0018	1	$99.00
0019	1	$44.99
0020	1	$128.79
0021	1	$139.99
0022	1	$89.00
0023	1	$369.00
0024	1	$48.99
0025	1	$199.00
0026	1	$139.99
0027	1	$149.00
0028	1	$99.00
0029	1	$144.95
0030	1	$79.00
0031	1	$249.95
0032	1	$99.95
0033	1	$89.00
0034	1	$139.99
0035	1	$158.99
0036	1	$89.00
0037	1	$249.00
0038	1	$69.95
0039	1	$276.95
0040	1	$149.00
0041	1	$699.00
0042	1	$89.00
0043	1	$89.00
0044	1	$83.10
0045	1	$146.95
0046	1	$399.95
0047	1	$148.49
0048	1	$40.43
0049	1	$179.95
0050	1	$184.33
0051	1	$93.97
0052	1	$232.65
0053	1	$99.00
0054	1	$385.00
0055	1	$599.00
0056	1	$219.00
0057	1	$649.00
0058	1	$109.00
0059	1	$199.99
0060	1	$199.00
0061	1	$69.99
0062	1	$139.00
0063	1	$131.99
0064	1	$499.00
0065	1	$799.00
0066	1	$181.95
0067	1	$47.99
0068	1	$136.94
0069	1	$357.09
0070	1	$629.00
0071	1	$149.00
0072	1	$118.99
0073	1	$199.00
0074	1	$107.00
0075	1	$79.56
0076	1	$233.99
0077	1	$240.30
0078	1	$149.99
0079	1	$309.88
0080	1	$298.00
0081	1	$898.00
0082	1	$429.45
0083	1	$249.00
0084	1	$89.00
0085	1	$599.00
0086	1	$349.00
0087	1	$1,163.04
0088	1	$104.95
0089	1	$39.95
0090	1	$84.27
0091	1	$549.00
0092	1	$233.99
0093	1	$95.00
0094	1	$155.00
0095	1	$119.00
0096	1	$369.95
0097	1	$199.00
0098	1	$599.00
0099	1	$113.99
0100	1	$172.06
0101	1	$169.99
0102	1	$16.59
0103	1	$95.99
0104	1	$79.95
0105	1	$89.00
0106	1	$69.00
0107	1	$279.00
0108	1	$45.99
