camera	compsource	model
430	430	860	613
0000	2	Panasonic Lumix DMC-LX3 Point & Shoot Digital Camera - Silver - 16:9 - 2.5x Optical Zoom - 4x Digital Zoom - 3" Active Matrix TFT Color LCD	Lumix DMC-LX3 Compact Camera
0001	2	Cobra Digital Dc150 Blue 1.3 Megapixel Dc150 1-In-3 Squeezable Digital Transparent Cameras (Blue)	DC150 Compact Camera
0002	2	Cobra Digital Dc1130gr 1.3 Megapixel Dc1130 Carabiner Digital Camera With Led Search Light (Green)	DC1130 Carabiner Compact Camera
0003	2	VistaQuest VQ-2014 Point & Shoot Digital Camera - 2 Megapixel - 1.4" LCD	VQ-2014 Compact Camera
0004	2	Vivitar ViviCam 7022 7.1 Megapixel Compact Camera-7.45 mm - Black 1.8" LCD - Electronic (IS) Included - 3648 x 2048 Image - 640 x 480 Video - AVI - PictBridge	ViviCam 7022 Compact Camera
0005	2	Vivitar ViviCam 7022 7.1 Megapixel Compact Camera-7.45 mm - Strawberry 1.8" LCD - Electronic (IS) Included - 3648 x 2048 Image - 640 x 480 Video - AVI - PictBridge	ViviCam 7022 Compact Camera
0006	2	Vivitar ViviCam 7022 7.1 Megapixel Compact Camera-7.45 mm - Graphite 1.8" LCD - Electronic (IS) Included - 3648 x 2048 Image - 640 x 480 Video - AVI - PictBridge	ViviCam 7022 Compact Camera
0007	2	Vivitar ViviCam 5024 5.1 Megapixel Compact Camera-7.23 mm 2.4" LCD - 2592 x 1944 Image - 640 x 480 Video	ViviCam 5024 Compact Camera
0008	2	VistaQuest VQ5218 5 Megapixel Compact Camera - Blue 1.8" LCD - 720 x 480 Video	VQ5218 Compact Camera
0009	2	VistaQuest VQ5218 5 Megapixel Compact Camera - Red 1.8" LCD - 720 x 480 Video	VQ5218 Compact Camera
0010	2	VistaQuest VQ5218 5 Megapixel Compact Camera - Silver 1.8" LCD - 720 x 480 Video	VQ5218 Compact Camera
0011	2	Vivitar ViviCam V7024 7.1 Megapixel Compact Camera - Strawberry 2.4" LCD	ViviCam V7024 Compact Camera
0012	2	Vivitar ViviCam 7024 7.1 Megapixel Compact Camera-7.45 mm - Blue 2.4" LCD - Electronic (IS) Included - 3648 x 2048 Image - 640 x 480 Video - AVI - PictBridge	ViviCam 7024 Compact Camera
0013	2	Vivitar ViviCam 7024 7.1 Megapixel Compact Camera-7.45 mm - Black 2.4" LCD - Electronic (IS) Included - 3648 x 2048 Image - 640 x 480 Video - AVI - PictBridge	ViviCam 7024 Compact Camera
0014	2	Vivitar ViviCam 7024 7.1 Megapixel Compact Camera-7.45 mm 2.4" LCD - Electronic (IS) Included - 3648 x 2048 Image - 640 x 480 Video - AVI - PictBridge	ViviCam 7024 Compact Camera
0015	2	Vivitar ViviCam 7028 7 Megapixel Compact Camera-7.45 mm - Silver 1.8" LCD - Electronic (IS) Included - 3648 x 2048 Image - 640 x 480 Video - AVI - PictBridge	ViviCam 7028 Compact Camera
0016	2	Vivitar ViviCam 7028 7 Megapixel Compact Camera-7.45 mm 1.8" LCD - Electronic (IS) Included - 3648 x 2048 Image - 640 x 480 Video - AVI - PictBridge	ViviCam 7028 Compact Camera
0017	2	Argus beam A5650 Point & Shoot Digital Camera - Red - 5 Megapixel - 4x Digital Zoom - 1.5" Active Matrix TFT Color LCD	beam A5650 Compact Camera
0018	2	Vivitar ViviCam VX018 10.1 Megapixel Compact Camera - Black 1.8" LCD	ViviCam VX018 Compact Camera
0019	2	Argus bean Carabiner Point & Shoot Digital Camera - Green - 1.5" Color LCD	bean Carabiner Compact Camera
0020	2	VistaQuest VQ-7220 Point & Shoot Digital Camera - Blue - 7 Megapixel - 2" Active Matrix TFT Color LCD	VQ-7220 Compact Camera
0021	2	Vivitar ViviCam X327 10 Megapixel Compact Camera - Silver 2.7" LCD - 3x Optical Zoom - 3648 x 2736 Image - 640 x 480 Video - AVI - PictBridge	ViviCam X327 Compact Camera
0022	2	Vivitar ViviCam X327 10.1 Megapixel Compact Camera - Black 2.7" LCD - 3x Optical Zoom - Electronic (IS) Included - 3648 x 2736 Image - 640 x 480 Video - AVI - PictBridge	ViviCam X327 Compact Camera
0023	2	Vivitar ViviCam X327 10.1 Megapixel Compact Camera - Blue 2.7" LCD - 3x Optical Zoom - Electronic (IS) Included - 3648 x 2736 Image - 640 x 480 Video - AVI - PictBridge	ViviCam X327 Compact Camera
0024	2	Vivitar ViviCam X327 10 Megapixel Compact Camera - Pink 2.7" LCD - 3x Optical Zoom - 3648 x 2736 Image - 640 x 480 Video - AVI - PictBridge	ViviCam X327 Compact Camera
0025	2	Vivitar ViviCam 8025 Digital Camera - 8.1 Megapixel - 3x Optical Zoom - 8x Digital Zoom - 2.4" Active Matrix TFT Color LCD	ViviCam 8025 Compact Camera
0026	2	Vivitar ViviCam X018 10.1 Megapixel Compact Camera-7.23 mm - Graphite 1.8" LCD - Electronic (IS) Included - 3648 x 2736 Image - 640 x 480 Video - AVI - PictBridge	ViviCam X018 Compact Camera
0027	2	Vivitar ViviCam X014 10.1 Megapixel Compact Camera-7.23 mm - Strawberry 1.8" LCD - Electronic (IS) Included - 3648 x 2736 Image - 640 x 480 Video - PictBridge	ViviCam X014 Compact Camera
0028	2	Vivitar ViviCam X024 10.1 Megapixel Compact Camera - Turquoise 2.4" LCD - 3x Optical Zoom - Electronic (IS) Included - 3648 x 2736 Image - 640 x 480 Video - AVI - PictBridge	ViviCam X024 Compact Camera
0029	2	Vivitar ViviCam X014 10.1 Megapixel Compact Camera-7.23 mm - Black 1.8" LCD - Electronic (IS) Included - 3648 x 2736 Image - 640 x 480 Video - PictBridge	ViviCam X014 Compact Camera
0030	2	Vivitar ViviCam X024 10.1 Megapixel Compact Camera - Burgundy 2.4" LCD - 3x Optical Zoom - Electronic (IS) Included - 3648 x 2736 Image - 640 x 480 Video - AVI - PictBridge	ViviCam X024 Compact Camera
0031	2	VistaQuest VQ-1024 Point & Shoot Digital Camera - Silver - 10 Megapixel - 2.4" Active Matrix TFT Color LCD	VQ-1024 Compact Camera
0032	2	VistaQuest VQ8900 8 Megapixel Compact Camera-8.50 mm - Purple 2.4" LCD - 3264 x 2448 Image - 640 x 480 Video	VQ8900 Compact Camera
0033	2	VistaQuest VQ8900 8 Megapixel Compact Camera-8.50 mm - Blue 2.4" LCD - 3264 x 2448 Image - 640 x 480 Video	VQ8900 Compact Camera
0034	2	Kodak EasyShare C142 10 Megapixel Compact Camera - Green 2.5" LCD - 3x Optical Zoom - 3667 x 2442 Image - 640 x 480 Video	EasyShare C142 Compact Camera
0035	2	Vivitar ViviCam VX029 10.1 Megapixel Compact Camera - Graphite 2.7" Touchscreen LCD	ViviCam VX029 Compact Camera
0036	2	Vivitar ViviCam VX029 10.1 Megapixel Compact Camera - Grape 2.7" Touchscreen LCD	ViviCam VX029 Compact Camera
0037	2	Vivitar ViviCam X029 10.1 Megapixel Compact Camera-7 mm - Graphite 2.7" LCD - Electronic (IS) Included - 3648 x 2736 Image - 640 x 480 Video - AVI - PictBridge	ViviCam X029 Compact Camera
0038	2	Vivitar ViviCam VX029 10.1 Megapixel Compact Camera - Strawberry 2.7" Touchscreen LCD	ViviCam VX029 Compact Camera
0039	2	Vivitar ViviCam X029 10.1 Megapixel Compact Camera-7.45 mm - Black 2.7" LCD	ViviCam X029 Compact Camera
0040	2	Nikon Coolpix S4000 12 Megapixel Compact Camera - 4.90 mm-19.60 mm - Plum 3" Touchscreen LCD - 4x Optical Zoom - 4000 x 3000 Image	Coolpix S4000 Compact Camera
0041	2	Nikon Coolpix S4000 12 Megapixel Compact Camera - 4.90 mm-19.60 mm - Silver 3" Touchscreen LCD - 4x Optical Zoom - 4000 x 3000 Image	Coolpix S4000 Compact Camera
0042	2	Nikon Coolpix S4000 12 Megapixel Compact Camera - 4.90 mm-19.60 mm - Pink 3" Touchscreen LCD - 4x Optical Zoom - 4000 x 3000 Image	Coolpix S4000 Compact Camera
0043	2	Canon PowerShot SD1300 IS 12.1 Megapixel Compact Camera - 5 mm-20 mm - Silver 2.7" LCD - 4x Optical Zoom - 4000 x 3000 Image - 640 x 480 Video	PowerShot SD1300 IS Compact Camera
0044	2	Panasonic Lumix DMC-FP3 14.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Blue 3" Touchscreen LCD - 4x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video	Lumix DMC-FP3 Compact Camera
0045	2	Kodak EasyShare M580 14 Megapixel Compact Camera - Purple 3" LCD - 8x Optical Zoom - 1280 x 720 Video - HDMI	EasyShare M580 Compact Camera
0046	2	Kodak EasyShare M590 14 Megapixel Compact Camera - Red 2.7" LCD - 5x Optical Zoom - Optical (IS) Included - 4288 x 3216 Image - 1280 x 720 Video - MP4 - PictBridge	EasyShare M590 Compact Camera
0047	2	Kodak EasyShare M590 14 Megapixel Compact Camera - Purple 2.7" LCD - 5x Optical Zoom - Optical (IS) Included - 4288 x 3216 Image - 1280 x 720 Video - MP4 - PictBridge	EasyShare M590 Compact Camera
0048	2	Kodak EasyShare M590 14 Megapixel Compact Camera - Silver 2.7" LCD - 5x Optical Zoom - Optical (IS) Included - 4288 x 3216 Image - 1280 x 720 Video - MP4 - PictBridge	EasyShare M590 Compact Camera
0049	2	Kodak EasyShare M590 14 Megapixel Compact Camera - Blue 2.7" LCD - 5x Optical Zoom - Optical (IS) Included - 4288 x 3216 Image - 1280 x 720 Video - MP4 - PictBridge	EasyShare M590 Compact Camera
0050	2	Panasonic Lumix DMC-FP3 14.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Black 3" Touchscreen LCD - 4x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video	Lumix DMC-FP3 Compact Camera
0051	2	Panasonic Lumix DMC-FP3 14.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Red 3" Touchscreen LCD - 4x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video	Lumix DMC-FP3 Compact Camera
0052	2	Panasonic Lumix DMC-FP3 14.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Silver 3" Touchscreen LCD - 4x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video	Lumix DMC-FP3 Compact Camera
0053	2	Canon PowerShot SD1300 IS 12.1 Megapixel Compact Camera - 5 mm-20 mm - Green 2.7" LCD - 4x Optical Zoom - 4000 x 3000 Image - 640 x 480 Video	PowerShot SD1300 IS Compact Camera
0054	2	Canon PowerShot SD1300 IS 12.1 Megapixel Compact Camera - 5 mm-20 mm - Blue 2.7" LCD - 4x Optical Zoom - 4000 x 3000 Image - 640 x 480 Video	PowerShot SD1300 IS Compact Camera
0055	2	Canon PowerShot SD1300 IS 12.1 Megapixel Compact Camera - 5 mm-20 mm - Brown 2.7" LCD - 4x Optical Zoom - 4000 x 3000 Image - 640 x 480 Video	PowerShot SD1300 IS Compact Camera
0056	2	Canon PowerShot SD1300 IS 12.1 Megapixel Compact Camera - 5 mm-20 mm - Pink 2.7" LCD - 4x Optical Zoom - 4000 x 3000 Image - 640 x 480 Video	PowerShot SD1300 IS Compact Camera
0057	2	Nikon Coolpix S6000 14.2 Megapixel Compact Camera - 5 mm-35 mm - Red 2.7" LCD - 7x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	Coolpix S6000 Compact Camera
0058	2	Casio Exilim EX-G1 Point & Shoot Digital Camera - Red - 12.1 Megapixel - 16:9 - 3x - 4x Digital Zoom - 2.5" Active Matrix TFT Color LCD - Built-in Microphone, Speaker	Exilim EX-G1 Compact Camera
