camera	compsource	price
430	430	430	141
0000	1	$415.00
0001	1	$22.00
0002	1	$28.00
0003	1	$42.00
0004	1	$50.00
0005	1	$50.00
0006	1	$50.00
0007	1	$51.00
0008	1	$51.00
0009	1	$51.00
0010	1	$51.00
0011	1	$53.00
0012	1	$53.00
0013	1	$53.00
0014	1	$53.00
0015	1	$53.00
0016	1	$53.00
0017	1	$54.00
0018	1	$56.00
0019	1	$56.00
0020	1	$56.00
0021	1	$57.00
0022	1	$57.00
0023	1	$57.00
0024	1	$57.00
0025	1	$58.00
0026	1	$60.00
0027	1	$60.00
0028	1	$60.00
0029	1	$60.00
0030	1	$60.00
0031	1	$60.00
0032	1	$60.00
0033	1	$60.00
0034	1	$63.00
0035	1	$66.00
0036	1	$66.00
0037	1	$67.00
0038	1	$67.00
0039	1	$67.00
0040	1	$174.00
0041	1	$174.00
0042	1	$174.00
0043	1	$175.00
0044	1	$176.00
0045	1	$176.00
0046	1	$177.00
0047	1	$177.00
0048	1	$177.00
0049	1	$177.00
0050	1	$181.00
0051	1	$181.00
0052	1	$181.00
0053	1	$182.00
0054	1	$182.00
0055	1	$182.00
0056	1	$182.00
0057	1	$189.00
0058	1	$191.00
0059	1	$193.00
0060	1	$193.00
0061	1	$193.00
0062	1	$193.00
0063	1	$193.00
0064	1	$194.00
0065	1	$194.00
0066	1	$194.00
0067	1	$194.00
0068	1	$198.00
0069	1	$206.00
0070	1	$223.00
0071	1	$223.00
0072	1	$226.00
0073	1	$226.00
0074	1	$227.00
0075	1	$230.00
0076	1	$230.00
0077	1	$235.00
0078	1	$236.00
0079	1	$236.00
0080	1	$236.00
0081	1	$236.00
0082	1	$246.00
0083	1	$246.00
0084	1	$246.00
0085	1	$246.00
0086	1	$249.00
0087	1	$252.00
0088	1	$253.00
0089	1	$261.00
0090	1	$263.00
0091	1	$263.00
0092	1	$265.00
0093	1	$265.00
0094	1	$265.00
0095	1	$265.00
0096	1	$266.00
0097	1	$278.00
0098	1	$278.00
0099	1	$278.00
0100	1	$278.00
0101	1	$284.00
0102	1	$284.00
0103	1	$284.00
0104	1	$284.00
0105	1	$285.00
0106	1	$291.00
0107	1	$292.00
0108	1	$293.00
0109	1	$293.00
0110	1	$293.00
0111	1	$293.00
0112	1	$297.00
0113	1	$298.00
0114	1	$298.00
0115	1	$298.00
0116	1	$298.00
0117	1	$298.00
0118	1	$298.00
0119	1	$298.00
0120	1	$300.00
0121	1	$301.00
0122	1	$301.00
0123	1	$311.00
0124	1	$311.00
0125	1	$311.00
0126	1	$311.00
0127	1	$312.00
0128	1	$312.00
0129	1	$330.00
0130	1	$330.00
0131	1	$330.00
0132	1	$332.00
0133	1	$332.00
0134	1	$334.00
0135	1	$334.00
0136	1	$346.00
0137	1	$376.00
0138	1	$395.00
0139	1	$452.00
0140	1	$468.00
0141	1	$495.00
