camera	ecost	manufacturer
923	917	917	69
0000	1	Samsung
0001	1	Sony
0002	1	Nikon
0003	1	Samsung
0004	1	Nikon
0005	1	Olympus
0006	1	Kodak
0007	1	Olympus
0008	1	Kodak
0009	1	Samsung
0010	1	Polaroid
0011	1	Kodak
0012	1	Olympus
0013	1	Polaroid
0014	1	Nikon
0015	1	Kodak
0016	1	Kodak
0017	1	Kodak
0018	1	Polaroid
0019	1	Kodak
0020	1	Samsung
0021	1	Olympus
0022	1	Kodak
0023	1	Kodak
0024	1	Nikon
0025	1	Nikon
0026	1	Canon
0027	1	Creative Labs
0028	1	Kodak
0029	1	Kodak
0030	1	Kodak
0031	1	Kodak
0032	0	<NULL>
0033	1	Kodak
0034	1	Kodak
0035	1	Nikon
0036	1	Canon
0037	1	Samsung
0038	1	Panasonic
0039	1	GE
0040	1	Nikon
0041	1	Sony
0042	1	Nikon
0043	1	Sony
0044	1	Canon
0045	1	Nikon
0046	0	<NULL>
0047	1	Nikon
0048	1	Polaroid
0049	1	Pentax
0050	1	Kodak
0051	1	Panasonic
0052	1	Fujifilm
0053	1	Canon
0054	1	Olympus
0055	1	Canon
0056	1	Fujifilm
0057	1	Fujifilm
0058	1	Panasonic
0059	1	Fujifilm
0060	1	Polaroid
0061	1	Samsung
0062	1	GE
0063	1	Canon
0064	1	Canon
0065	1	Olympus
0066	1	Nikon
0067	1	Kodak
0068	1	GE
0069	1	Canon
0070	1	Pure
0071	1	HP
0072	1	Kodak
0073	1	Canon
0074	1	Olympus
0075	1	RJ Tech
0076	1	Canon
0077	1	Panasonic
0078	1	Polaroid
0079	1	Fujifilm
0080	1	GE
0081	1	PANORAMIC
0082	1	Olympus
0083	1	GE
0084	1	Fujifilm
0085	1	Panasonic
0086	1	Canon
0087	1	Pentax
0088	1	JAY-TECH
0089	1	Canon
0090	1	Casio
0091	1	Panasonic
0092	1	Panasonic
0093	1	Sakar
0094	1	Panasonic
0095	1	Panasonic
0096	1	Kodak
0097	1	Casio
0098	1	Panasonic
0099	1	Kodak
0100	1	Casio
0101	1	Canon
0102	1	Panasonic
0103	1	Olympus
0104	1	Panasonic
0105	1	Panasonic
0106	1	Nikon
0107	1	VistaQuest
0108	1	Canon
0109	1	Pentax
0110	1	Pentax
0111	1	Sakar
0112	1	Nikon
0113	1	Panasonic
0114	1	Canon
0115	1	General Imaging Company
0116	1	Panasonic
0117	1	Casio
0118	1	Pentax
0119	1	Kodak
0120	1	Fujifilm
0121	1	Fujifilm
0122	1	Nikon
0123	1	Canon
0124	1	Panasonic
0125	1	VuPoint
0126	1	Nikon
0127	1	Olympus
0128	1	Kodak
0129	1	GIRL GEAR
0130	1	GE
0131	1	GE
0132	1	Olympus
0133	1	RELAUNCH AGGREGATOR
0134	1	Kodak
0135	1	Sanyo
0136	1	Coby
0137	1	Canon
0138	1	Kodak
0139	1	Polaroid
0140	1	Sanyo
0141	1	VuPoint
0142	1	HP
0143	1	Sakar
0144	1	Olympus
0145	1	WILDGAME INNOVATIONS
0146	1	Kodak
0147	1	Olympus
0148	1	Casio
0149	1	Polaroid
0150	1	Olympus
0151	1	Panasonic
0152	1	Olympus
0153	1	Canon
0154	1	GE
0155	1	Sakar
0156	1	SEALIFE
0157	1	HP
0158	1	Kodak
0159	1	Canon
0160	1	Casio
0161	1	VuPoint
0162	1	Olympus
0163	1	Nikon
0164	1	Sakar
0165	1	Olympus
0166	1	Canon
0167	1	Kodak
0168	1	Olympus
0169	1	Kodak
0170	1	VistaQuest
0171	1	Pentax
0172	1	Sakar
0173	1	Panasonic
0174	1	WILDGAME INNOVATIONS
0175	1	Canon
0176	1	Kodak
0177	1	Sakar
0178	1	HP
0179	1	Sakar
0180	1	GE
0181	1	QUANTARAY
0182	1	GE
0183	1	HP
0184	1	Sakar
0185	1	PRESTIGE
0186	1	Olympus
0187	1	Polaroid
0188	1	Kodak
0189	1	Kodak
0190	1	QUANTARAY
0191	1	Pentax
0192	1	Olympus
0193	1	Canon
0194	1	Nikon
0195	1	Olympus
0196	1	Nikon
0197	1	Pentax
0198	1	General Imaging Company
0199	1	Sakar
0200	1	VistaQuest
0201	1	Sakar
0202	1	Kodak
0203	1	Casio
0204	1	Polaroid
0205	1	Panasonic
0206	1	Canon
0207	1	Panasonic
0208	1	Canon
0209	1	VistaQuest
0210	1	Olympus
