camera	ecost	price
923	911	911	278
0000	1	$89.99
0001	1	$55.99
0002	1	$74.99
0003	1	$94.99
0004	1	$99.99
0005	1	$78.99
0006	1	$41.99
0007	1	$47.99
0008	1	$48.99
0009	1	$59.99
0010	1	$26.99
0011	1	$79.99
0012	1	$151.99
0013	1	$19.99
0014	1	$112.99
0015	1	$47.99
0016	1	$59.99
0017	1	$60.99
0018	0	<NULL>
0019	1	$139.99
0020	1	$62.99
0021	1	$61.99
0022	1	$51.99
0023	1	$114.99
0024	1	$97.99
0025	1	$82.99
0026	1	$73.99
0027	1	$49.99
0028	1	$49.99
0029	1	$60.99
0030	1	$45.99
0031	1	$44.99
0032	0	<NULL>
0033	1	$81.99
0034	1	$44.99
0035	1	$115.99
0036	1	$174.94
0037	1	$69.99
0038	1	$124.99
0039	1	$78.99
0040	1	$169.99
0041	1	$102.99
0042	1	$129.99
0043	1	$106.99
0044	1	$293.99
0045	1	$96.99
0046	0	<NULL>
0047	1	$93.99
0048	1	$79.99
0049	1	$584.99
0050	1	$138.99
0051	1	$146.99
0052	1	$79.99
0053	1	$244.99
0054	1	$182.99
0055	1	$175.99
0056	1	$219.99
0057	1	$224.99
0058	1	$148.99
0059	1	$438.99
0060	1	$31.99
0061	1	$185.99
0062	1	$42.99
0063	1	$273.99
0064	1	$245.99
0065	1	$105.99
0066	1	$231.99
0067	1	$92.99
0068	1	$42.99
0069	1	$293.99
0070	1	$32.99
0071	1	$118.99
0072	1	$79.99
0073	1	$244.99
0074	1	$128.99
0075	1	$44.99
0076	1	$1,974.99
0077	1	$254.99
0078	1	$86.99
0079	1	$245.99
0080	1	$57.99
0081	1	$28.99
0082	1	$162.99
0083	1	$57.99
0084	1	$88.99
0085	1	$148.99
0086	1	$223.99
0087	1	$249.99
0088	1	$61.99
0089	1	$252.99
0090	1	$290.99
0091	1	$254.99
0092	1	$283.99
0093	1	$76.99
0094	1	$181.99
0095	1	$122.99
0096	1	$187.99
0097	1	$177.99
0098	1	$183.99
0099	1	$109.99
0100	1	$177.99
0101	1	$157.99
0102	1	$106.99
0103	1	$182.99
0104	1	$137.99
0105	1	$254.99
0106	1	$144.99
0107	1	$29.99
0108	1	$299.99
0109	1	$769.99
0110	1	$123.99
0111	1	$49.99
0112	1	$324.99
0113	1	$109.99
0114	1	$175.99
0115	1	$86.99
0116	1	$137.99
0117	1	$63.99
0118	1	$173.99
0119	1	$262.99
0120	1	$88.99
0121	1	$108.99
0122	1	$167.99
0123	1	$190.99
0124	1	$283.99
0125	1	$19.99
0126	1	$285.99
0127	1	$227.99
0128	0	<NULL>
0129	1	$16.99
0130	1	$49.99
0131	1	$85.99
0132	1	$67.99
0133	1	$24.99
0134	1	$8.99
0135	1	$159.99
0136	1	$26.99
0137	1	$294.99
0138	1	$180.99
0139	1	$79.99
0140	1	$261.99
0141	1	$14.99
0142	1	$108.99
0143	1	$42.99
0144	1	$72.99
0145	1	$68.99
0146	1	$78.99
0147	1	$81.99
0148	1	$131.99
0149	1	$31.99
0150	1	$184.99
0151	1	$181.99
0152	1	$162.99
0153	1	$282.99
0154	1	$51.99
0155	1	$21.99
0156	1	$23.99
0157	1	$104.99
0158	1	$156.99
0159	1	$219.99
0160	1	$97.99
0161	1	$67.99
0162	1	$67.99
0163	1	$205.95
0164	1	$12.99
0165	1	$132.99
0166	1	$293.99
0167	1	$180.99
0168	1	$229.99
0169	1	$180.99
0170	1	$58.99
0171	1	$584.99
0172	1	$27.99
0173	1	$229.99
0174	1	$65.99
0175	1	$304.99
0176	1	$262.99
0177	1	$45.99
0178	1	$118.99
0179	1	$47.99
0180	1	$57.99
0181	1	$53.99
0182	1	$51.99
0183	1	$153.99
0184	1	$18.99
0185	1	$197.99
0186	1	$159.99
0187	1	$70.99
0188	1	$11.99
0189	1	$19.99
0190	1	$14.99
0191	1	$289.99
0192	1	$118.99
0193	1	$201.99
0194	1	$312.99
0195	1	$118.99
0196	1	$305.99
0197	1	$23.99
0198	1	$86.99
0199	1	$60.99
0200	1	$49.99
0201	1	$70.99
0202	1	$180.99
0203	1	$177.99
0204	1	$86.99
0205	1	$146.99
0206	1	$290.99
0207	1	$137.99
0208	1	$147.99
0209	1	$142.99
0210	1	$132.99
0211	1	$99.99
0212	1	$86.99
0213	1	$86.99
0214	1	$169.99
0215	1	$28.99
0216	1	$53.99
0217	1	$49.99
0218	1	$182.99
0219	1	$125.99
0220	1	$165.99
0221	1	$104.99
0222	1	$44.99
0223	1	$140.99
0224	1	$67.99
0225	1	$45.99
0226	1	$7.99
0227	1	$115.99
0228	1	$53.99
0229	1	$53.99
0230	1	$15.99
0231	1	$99.99
0232	1	$118.99
