camera	jr	manufacturer
367	367	367	19
0000	1	Brand = Sony
0001	1	Brand = Samsung
0002	1	Brand = Nikon
0003	1	Brand = Leica
0004	1	Brand = Canon
0005	1	Brand = Nikon
0006	1	Brand = Panasonic
0007	1	Brand = Casio
0008	1	Brand = Nikon
0009	1	Brand = Canon
0010	1	Brand = Leica
0011	1	Brand = Panasonic
0012	1	Brand = Panasonic
0013	1	Brand = Nikon
0014	1	Brand = Nikon
0015	1	Brand = Nikon
0016	1	Brand = Nikon
0017	1	Brand = Nikon
0018	1	Brand = Sony
0019	1	Brand = Casio
0020	1	Brand = Panasonic
0021	1	Brand = Sony
0022	1	Brand = Canon
0023	1	Brand = Fuji Film
0024	1	Brand = Nikon
0025	1	Brand = Panasonic
0026	1	Brand = Canon
0027	1	Brand = Canon
0028	1	Brand = Nikon
0029	1	Brand = Leica
0030	1	Brand = Canon
0031	1	Brand = Nikon
0032	1	Brand = Samsung
0033	1	Brand = Nikon
0034	1	Brand = Canon
0035	1	Brand = Vivitar
0036	1	Brand = Olympus
0037	1	Brand = Vivitar
0038	1	Brand = Olympus
0039	1	Brand = Vivitar
0040	1	Brand = Canon
0041	1	Brand = Olympus
0042	1	Brand = Vivitar
0043	1	Brand = Nikon
0044	1	Brand = Canon
0045	1	Brand = Fuji Film
0046	1	Brand = Kodak
0047	1	Brand = Samsung
0048	1	Brand = Fuji Film
0049	1	Brand = Fuji Film
0050	1	Brand = Vivitar
0051	1	Brand = Casio
0052	1	Brand = Canon
0053	1	Brand = Olympus
0054	1	Brand = Fuji Film
0055	1	Brand = Samsung
0056	1	Brand = Fuji Film
0057	1	Brand = Fuji Film
0058	1	Brand = Nikon
0059	1	Brand = Panasonic
0060	1	Brand = Vivitar
0061	1	Brand = Panasonic
0062	1	Brand = Olympus
0063	1	Brand = Fuji Film
0064	1	Brand = Panasonic
0065	1	Brand = Vivitar
0066	1	Brand = Vivitar
0067	1	Brand = Panasonic
0068	1	Brand = Samsung
0069	1	Brand = Sony
0070	1	Brand = Casio
0071	1	Brand = Fuji Film
0072	1	Brand = Sony
0073	1	Brand = Panasonic
0074	1	Brand = Vivitar
0075	1	Brand = Vivitar
0076	1	Brand = Fuji Film
0077	1	Brand = Sony
0078	1	Brand = Vivitar
0079	1	Brand = Sony
0080	1	Brand = Fuji Film
0081	1	Brand = Vivitar
0082	1	Brand = Fuji Film
0083	1	Brand = Olympus
0084	1	Brand = Fuji Film
0085	1	Brand = Canon
0086	1	Brand = Kodak
0087	1	Brand = Casio
0088	1	Brand = Casio
0089	1	Brand = Vivitar
0090	1	Brand = Panasonic
0091	1	Brand = Vivitar
0092	1	Brand = Samsung
0093	1	Brand = Vivitar
0094	1	Brand = Fuji Film
0095	1	Brand = Nikon
0096	1	Brand = Casio
0097	1	Brand = Casio
0098	1	Brand = Canon
0099	1	Brand = Vivitar
0100	1	Brand = Vivitar
0101	1	Brand = Olympus
0102	1	Brand = Panasonic
0103	1	Brand = Fuji Film
0104	1	Brand = Canon
0105	1	Brand = Canon
0106	1	Brand = Vivitar
0107	1	Brand = Canon
0108	1	Brand = Canon
0109	1	Brand = Kodak
0110	1	Brand = Olympus
0111	1	Brand = Nikon
0112	1	Brand = Samsung
0113	1	Brand = Samsung
0114	1	Brand = Panasonic
0115	1	Brand = Sony
0116	1	Brand = Casio
0117	1	Brand = Sony
0118	1	Brand = Nikon
0119	1	Brand = Panasonic
0120	1	Brand = Samsung
0121	1	Brand = VistaQuest
0122	1	Brand = Panasonic
0123	1	Brand = General Electric
0124	1	Brand = General Electric
0125	1	Brand = General Electric
0126	1	Brand = Panasonic
0127	1	Brand = Casio
0128	1	Brand = General Electric
0129	1	Brand = Samsung
0130	1	Brand = General Electric
0131	1	Brand = General Electric
0132	1	Brand = Vivitar
0133	1	Brand = Samsung
0134	1	Brand = Samsung
0135	1	Brand = General Electric
0136	1	Brand = General Electric
0137	1	Brand = Polaroid
0138	1	Brand = General Electric
0139	1	Brand = Kodak
0140	1	Brand = General Electric
0141	1	Brand = Samsung
0142	1	Brand = General Electric
0143	1	Brand = Kodak
0144	1	Brand = General Electric
0145	1	Brand = General Electric
0146	1	Brand = VistaQuest
0147	1	Brand = General Electric
0148	1	Brand = General Electric
0149	1	Brand = Sigma
0150	1	Brand = VistaQuest
0151	1	Brand = Olympus
0152	1	Brand = General Electric
0153	1	Brand = General Electric
0154	1	Brand = General Electric
0155	1	Brand = Sony
0156	1	Brand = Nikon
0157	1	Brand = Intova
0158	1	Brand = Panasonic
0159	1	Brand = Fuji Film
0160	1	Brand = Polaroid
0161	1	Brand = Panasonic
0162	1	Brand = Samsung
0163	1	Brand = Panasonic
0164	1	Brand = Sony
0165	1	Brand = Panasonic
0166	1	Brand = Casio
0167	1	Brand = VistaQuest
0168	1	Brand = Olympus
0169	1	Brand = Vivitar
0170	1	Brand = Vivitar
0171	1	Brand = Vivitar
0172	1	Brand = Kodak
0173	1	Brand = Sony
0174	1	Brand = Nikon
0175	1	Brand = Olympus
0176	1	Brand = Olympus
0177	1	Brand = Olympus
0178	1	Brand = Sony
0179	1	Brand = Wildgame Innovations
0180	1	Brand = Nikon
0181	1	Brand = Vivitar
0182	1	Brand = Vivitar
0183	1	Brand = Olympus
0184	1	Brand = Vivitar
0185	1	Brand = Kodak
0186	1	Brand = Nikon
0187	1	Brand = General Electric
0188	1	Brand = Wildgame Innovations
0189	1	Brand = Kodak
0190	1	Brand = Kodak
0191	1	Brand = Kodak
0192	1	Brand = General Electric
0193	1	Brand = Kodak
0194	1	Brand = Olympus
0195	1	Brand = Canon
0196	1	Brand = Kodak
0197	1	Brand = VistaQuest
0198	1	Brand = Panasonic
0199	1	Brand = Kodak
0200	1	Brand = Vivitar
0201	1	Brand = Casio
0202	1	Brand = Fuji Film
0203	1	Brand = Fuji Film
0204	1	Brand = Panasonic
0205	1	Brand = Sony
0206	1	Brand = Samsung
0207	1	Brand = Samsung
0208	1	Brand = Nikon
0209	1	Brand = Sony
0210	1	Brand = Nikon
0211	1	Brand = Olympus
0212	1	Brand = Casio
0213	1	Brand = Nikon
0214	1	Brand = Nikon
0215	1	Brand = Sony
0216	1	Brand = Olympus
0217	1	Brand = Sony
0218	1	Brand = Sony
0219	1	Brand = Sigma
0220	1	Brand = Fuji Film
0221	1	Brand = Vivitar
0222	1	Brand = Kodak
0223	1	Brand = Kodak
0224	1	Brand = Kodak
0225	1	Brand = Kodak
0226	1	Brand = Sony
0227	1	Brand = Kodak
0228	1	Brand = Samsung
0229	1	Brand = VistaQuest
0230	1	Brand = VistaQuest
0231	1	Brand = VistaQuest
0232	1	Brand = Kodak
0233	1	Brand = Panasonic
0234	1	Brand = VistaQuest
0235	1	Brand = SAKAR
0236	1	Brand = SAKAR
0237	1	Brand = SAKAR
0238	1	Brand = VistaQuest
0239	1	Brand = SAKAR
0240	1	Brand = SAKAR
0241	1	Brand = General Electric
0242	1	Brand = SAKAR
0243	1	Brand = SAKAR
0244	1	Brand = SAKAR
0245	1	Brand = SAKAR
0246	1	Brand = Panasonic
0247	1	Brand = Sony
0248	1	Brand = Sony
0249	1	Brand = Nikon
0250	1	Brand = Panasonic
0251	1	Brand = Casio
0252	1	Brand = Canon
0253	1	Brand = Sony
0254	1	Brand = Nikon
0255	1	Brand = Panasonic
0256	1	Brand = Canon
0257	1	Brand = Panasonic
0258	1	Brand = Olympus
0259	1	Brand = Nikon
0260	1	Brand = Samsung
0261	1	Brand = Samsung
0262	1	Brand = Leica
0263	1	Brand = Casio
0264	1	Brand = Nikon
0265	1	Brand = Samsung
0266	1	Brand = Olympus
0267	1	Brand = Olympus
0268	1	Brand = Canon
0269	1	Brand = Olympus
0270	1	Brand = Canon
0271	1	Brand = Sony
0272	1	Brand = Samsung
0273	1	Brand = Nikon
0274	1	Brand = Sony
0275	1	Brand = Casio
0276	1	Brand = Nikon
0277	1	Brand = Samsung
0278	1	Brand = Canon
0279	1	Brand = Canon
0280	1	Brand = Sony
0281	1	Brand = Kodak
0282	1	Brand = Fuji Film
0283	1	Brand = Nikon
0284	1	Brand = Olympus
0285	1	Brand = Olympus
0286	1	Brand = Nikon
0287	1	Brand = Canon
0288	1	Brand = Sony
0289	1	Brand = Fuji Film
0290	1	Brand = Samsung
0291	1	Brand = Panasonic
0292	1	Brand = Sony
0293	1	Brand = Samsung
0294	1	Brand = Sony
0295	1	Brand = Panasonic
0296	1	Brand = Sony
0297	1	Brand = Olympus
0298	1	Brand = Casio
0299	1	Brand = Sony
0300	1	Brand = Sony
0301	1	Brand = Nikon
0302	1	Brand = Nikon
0303	1	Brand = Canon
0304	1	Brand = Canon
0305	1	Brand = Intova
0306	1	Brand = Fuji Film
0307	1	Brand = Olympus
0308	1	Brand = Canon
0309	1	Brand = Canon
0310	1	Brand = Fuji Film
0311	1	Brand = Fuji Film
0312	1	Brand = Sony
0313	1	Brand = Fuji Film
0314	1	Brand = Sony
0315	1	Brand = Fuji Film
0316	1	Brand = Nikon
0317	1	Brand = Canon
0318	1	Brand = Olympus
0319	1	Brand = Samsung
0320	1	Brand = Samsung
0321	1	Brand = Olympus
0322	1	Brand = Pentax
0323	1	Brand = Fuji Film
0324	1	Brand = Olympus
0325	1	Brand = Sony
0326	1	Brand = Olympus
0327	1	Brand = Sony
0328	1	Brand = Samsung
0329	1	Brand = Olympus
0330	1	Brand = Olympus
0331	1	Brand = Casio
0332	1	Brand = Nikon
0333	1	Brand = Fuji Film
0334	1	Brand = Sony
0335	1	Brand = Fuji Film
0336	1	Brand = Canon
0337	1	Brand = Casio
0338	1	Brand = Fuji Film
0339	1	Brand = Casio
0340	1	Brand = Panasonic
0341	1	Brand = Nikon
0342	1	Brand = Panasonic
0343	1	Brand = Fuji Film
0344	1	Brand = Panasonic
0345	1	Brand = Olympus
0346	1	Brand = Samsung
0347	1	Brand = Vivitar
0348	1	Brand = Sony
0349	1	Brand = Fuji Film
0350	1	Brand = Casio
0351	1	Brand = Kodak
0352	1	Brand = Panasonic
0353	1	Brand = Canon
0354	1	Brand = Casio
0355	1	Brand = Sony
0356	1	Brand = Olympus
0357	1	Brand = Olympus
0358	1	Brand = Fuji Film
0359	1	Brand = Olympus
0360	1	Brand = Samsung
0361	1	Brand = Casio
0362	1	Brand = Casio
0363	1	Brand = Samsung
0364	1	Brand = Olympus
0365	1	Brand = Sony
0366	1	Brand = Samsung
