camera	jr	model
367	367	367	361
0000	1	Sony DSC-W330 14.1 Megapixel Cyber-shot&reg; Digital Camera W330 - Black
0001	1	Samsung TL225 12.2 Megapixel Dual LCD Digital Camera - Orange
0002	1	Nikon Coolpix P100 - 10 Megapixel Digital Camera - Black
0003	1	Leica D-LUX 5 10 Megapixel Digital Camera - Black
0004	1	Canon PowerShot G12 10 Megapixel Digital Camera
0005	1	Nikon Coolpix L22BLUE 12 Megapixel Digital Camera - Blue
0006	1	Panasonic DMC-FH20 14 Megapixel Lumix Digital Camera - Black
0007	1	Casio Rugged EXILIM G EX-G1 12 Megapixel Digital Camera - Black
0008	1	Nikon Coolpix L22RED 12 Megapixel Digital Camera - Red
0009	1	Canon PowerShot S95 10 Megapixels Digital Camera
0010	1	Leica X1 12 Megapixels Digital Camera - Steel Grey
0011	1	Panasonic DMC-FP1 12-Megapixel Lumix Digital Camera - Black
0012	1	Panasonic Lumix DMC-LX5 10.1 Megapixel Digital Camera - Black
0013	1	Nikon 26214 14 Megapixels Coolpix S6000 Digital Camera - Black
0014	1	Nikon COOLPIX S8100 12.1 Megapixel Digital Camera - Gold
0015	1	Nikon Coolpix S3000 12 Megapixel Digital Camera - Black
0016	1	Nikon 26215 14 Megapixels Coolpix S6000 Digital Camera - Red
0017	1	Nikon COOLPIX P7000 10.1 Megapixel Digital Camera - Black
0018	1	Sony DSC-S2100 12.1 Megapixel Cyber-shot&reg; Digital Camera S2100 - Silver
0019	1	Casio EX-S7 Exilim 12.1 Megapixels Digital Camera - Black
0020	1	Panasonic DMC-FP1 12-Megapixel Lumix Digital Camera - Orange
0021	1	Sony DSCHX5VB Cyber-shot&reg; 10.2 Megapixel Digital Camera - Black
0022	1	Canon 4246B001 PowerShot SX210 IS 14-Megapixel Digital Camera - Black
0023	1	Fuji Film Finepix JV100 12 Megapixel Digital Camera - Black
0024	1	Nikon 26213 14 Megapixels Coolpix S6000 Digital Camera - Silver
