camera	jr	price
367	342	342	113
0000	1	$149.99
0001	1	$249.88
0002	1	$399.95
0003	1	$799.00
0004	1	$499.99
0005	1	$119.95
0006	1	$139.99
0007	1	$149.99
0008	1	$119.95
0009	1	$369.99
0010	1	$1,995.00
0011	1	$124.88
0012	1	$420.88
0013	1	$199.95
0014	1	$299.95
0015	0	<NULL>
0016	1	$199.95
0017	1	$439.88
0018	1	$89.88
0019	1	$79.00
0020	1	$124.88
0021	1	$299.99
0022	1	$249.99
0023	1	$96.91
0024	1	$199.95
0025	1	$259.99
0026	1	$149.99
0027	1	$149.99
0028	1	$179.36
0029	1	$849.00
0030	1	$369.99
0031	1	$179.36
0032	0	<NULL>
0033	1	$149.95
0034	1	$179.99
0035	1	$49.88
0036	1	$166.91
0037	1	$109.99
0038	1	$96.91
0039	1	$109.99
0040	1	$269.99
0041	1	$199.88
0042	1	$49.88
0043	1	$309.88
0044	1	$99.99
0045	1	$192.91
0046	1	$109.99
0047	1	$149.99
0048	1	$124.88
0049	1	$74.88
0050	1	$41.91
0051	1	$149.88
0052	1	$269.99
0053	1	$96.91
0054	1	$188.88
0055	1	$249.99
0056	1	$145.88
0057	1	$189.88
0058	1	$309.88
0059	1	$319.88
0060	1	$24.99
0061	1	$171.91
0062	1	$199.88
0063	1	$188.88
0064	1	$171.91
0065	1	$19.99
0066	1	$49.99
0067	1	$171.91
0068	1	$119.99
0069	1	$339.88
0070	1	$149.88
0071	1	$188.88
0072	1	$249.88
0073	1	$377.91
0074	1	$19.99
0075	1	$59.88
0076	1	$189.88
0077	1	$259.88
0078	1	$79.88
0079	1	$99.99
0080	1	$145.88
0081	1	$79.88
0082	1	$89.99
0083	1	$89.99
0084	1	$145.88
0085	1	$269.99
0086	1	$69.99
0087	1	$149.88
0088	1	$149.88
0089	1	$49.88
0090	1	$199.88
0091	1	$49.88
0092	1	$119.99
0093	1	$41.91
0094	1	$212.88
0095	1	$279.88
0096	1	$349.00
0097	1	$149.88
0098	1	$99.99
0099	1	$59.88
0100	1	$59.88
0101	1	$89.99
0102	1	$139.99
0103	1	$189.88
0104	1	$89.99
0105	1	$257.91
0106	1	$49.88
0107	1	$129.99
0108	1	$99.99
0109	1	$69.99
0110	1	$149.99
0111	1	$279.95
0112	1	$79.99
0113	1	$249.88
0114	1	$124.88
0115	1	$89.88
0116	1	$149.99
0117	1	$199.99
0118	1	$199.95
0119	1	$124.88
0120	1	$599.99
0121	0	<NULL>
0122	1	$199.00
0123	0	<NULL>
0124	0	<NULL>
0125	0	<NULL>
0126	1	$124.88
0127	1	$149.00
0128	0	<NULL>
0129	1	$149.99
0130	0	<NULL>
0131	0	<NULL>
0132	1	$109.99
0133	1	$109.00
0134	1	$109.00
0135	1	$129.99
0136	1	$129.99
0137	0	<NULL>
0138	1	$129.99
0139	1	$109.99
0140	1	$89.99
0141	1	$179.99
0142	1	$89.99
0143	1	$139.99
0144	1	$89.99
0145	1	$89.99
0146	0	<NULL>
0147	1	$99.99
0148	1	$89.99
0149	1	$526.91
0150	0	<NULL>
0151	1	$111.88
0152	1	$79.99
0153	1	$79.99
0154	1	$79.99
0155	1	$199.99
0156	1	$179.95
0157	1	$239.00
0158	1	$143.50
0159	1	$228.88
0160	1	$68.99
0161	1	$124.50
0162	1	$199.00
0163	1	$129.50
0164	1	$149.99
0165	1	$130.50
0166	1	$149.99
0167	0	<NULL>
0168	1	$678.88
0169	1	$49.99
0170	1	$49.99
0171	1	$19.99
0172	1	$69.99
0173	1	$229.88
0174	1	$179.95
0175	1	$678.88
0176	1	$678.88
0177	1	$89.99
0178	1	$339.88
0179	1	$99.99
0180	1	$309.88
0181	1	$19.99
0182	1	$45.91
0183	1	$166.91
0184	1	$49.99
0185	1	$109.99
0186	1	$309.88
0187	1	$89.99
0188	1	$69.00
0189	1	$89.99
0190	1	$139.99
0191	1	$128.91
0192	1	$99.99
0193	1	$86.91
0194	1	$148.91
0195	1	$206.91
0196	1	$69.99
0197	0	<NULL>
0198	1	$319.50
0199	1	$91.91
0200	1	$49.99
0201	1	$307.91
0202	1	$329.95
0203	1	$96.91
0204	1	$139.99
0205	1	$154.88
0206	1	$89.99
0207	1	$89.99
0208	1	$149.95
0209	1	$399.99
0210	1	$149.95
0211	1	$508.91
0212	1	$69.99
0213	1	$119.95
0214	1	$149.95
0215	1	$329.99
0216	1	$508.91
0217	1	$329.99
0218	1	$269.99
0219	1	$574.88
0220	1	$188.88
0221	1	$41.91
0222	1	$128.91
0223	1	$128.91
0224	1	$128.91
0225	1	$89.99
0226	1	$329.50
0227	1	$69.99
0228	1	$179.88
0229	1	$25.91
0230	1	$49.99
0231	1	$49.99
0232	1	$69.99
0233	1	$329.50
0234	0	<NULL>
0235	0	<NULL>
0236	0	<NULL>
0237	0	<NULL>
0238	0	<NULL>
0239	0	<NULL>
0240	0	<NULL>
0241	1	$99.99
0242	0	<NULL>
0243	0	<NULL>
0244	0	<NULL>
0245	0	<NULL>
0246	1	$139.99
0247	1	$149.99
0248	1	$399.00
0249	1	$179.95
0250	1	$325.88
0251	1	$349.00
0252	1	$129.99
0253	1	$154.88
0254	1	$179.95
0255	1	$399.88
0256	1	$329.88
0257	1	$199.88
0258	1	$508.91
0259	1	$199.95
0260	1	$599.99
0261	1	$249.99
0262	1	$699.00
0263	1	$299.00
0264	1	$299.95
0265	1	$149.99
0266	1	$329.99
0267	1	$229.99
0268	1	$149.99
0269	1	$299.99
0270	1	$129.99
0271	1	$198.88
0272	1	$99.99
0273	1	$149.95
0274	1	$169.99
0275	1	$69.99
0276	1	$299.95
0277	1	$149.99
0278	1	$129.99
0279	1	$129.99
0280	1	$154.88
0281	1	$199.99
0282	1	$329.00
0283	1	$119.95
0284	1	$229.99
0285	1	$229.99
0286	1	$199.95
0287	1	$229.99
0288	1	$199.88
0289	1	$249.99
0290	1	$89.99
0291	1	$199.88
0292	1	$99.99
0293	1	$349.99
0294	1	$329.99
0295	1	$139.99
0296	1	$329.99
0297	1	$599.99
0298	1	$69.99
0299	1	$149.99
0300	1	$219.00
0301	1	$299.95
0302	1	$299.95
0303	1	$249.99
0304	1	$229.99
0305	1	$34.00
0306	1	$176.80
0307	1	$329.99
0308	1	$149.99
0309	1	$89.99
0310	1	$149.88
0311	1	$93.91
0312	1	$329.99
0313	1	$89.99
0314	1	$99.99
0315	1	$93.91
0316	1	$179.95
0317	1	$249.99
0318	1	$148.91
0319	1	$99.99
0320	1	$249.99
0321	1	$229.99
0322	1	$319.99
0323	1	$367.88
0324	1	$69.99
0325	1	$219.00
0326	1	$96.91
0327	1	$339.88
0328	1	$249.99
0329	1	$69.99
0330	1	$148.91
0331	1	$149.99
0332	1	$299.95
0333	1	$418.88
0334	1	$199.99
0335	1	$99.99
0336	1	$99.99
0337	1	$69.99
0338	1	$174.88
0339	1	$149.00
0340	1	$199.88
0341	1	$299.95
0342	1	$319.88
0343	1	$99.99
0344	1	$171.91
0345	1	$96.91
0346	1	$99.99
0347	1	$24.99
0348	1	$219.00
0349	1	$159.88
0350	1	$129.99
0351	1	$109.99
0352	1	$420.88
0353	1	$229.99
0354	1	$149.00
0355	1	$89.88
0356	1	$166.91
0357	1	$69.99
0358	1	$99.99
0359	1	$199.88
0360	1	$249.99
0361	1	$149.00
0362	1	$149.00
0363	1	$99.99
0364	1	$89.99
0365	1	$219.00
0366	1	$249.99
