camera	newegg	model
220	220	220	212
0000	1	Canon PowerShot S90 Black 10.0 MP 3.0&#34; 461K LCD 3.8X Optical Zoom 28mm Wide Angle Digital Camera
0001	1	Canon PowerShot D10 Blue 12.1 MP 2.5&#34; 230K LCD 3X Optical Zoom Waterproof Shockproof Freezeproof Digital Camera
0002	1	Canon PowerShot G11 Black 10.0 MP 2.8&#34; 461K Vari-angle LCD 5X Optical Zoom 28mm Wide Angle Digital Camera
0003	1	SONY Cyber-shot DSC-W330 Black 14.1 MP 2.7&#34; 230K LCD 4X Optical Zoom 26mm Wide Angle Digital Camera
0004	1	Canon PowerShot SX210 IS Black 14.1 MP 3.0&#34; 230K LCD 14X Optical Zoom 28mm Wide Angle Digital Camera
0005	1	Canon PowerShot SD940 IS Blue 12.1 MP 2.7&#34; 230K LCD 4X Optical Zoom 28mm Wide Angle Digital Camera
0006	1	FUJIFILM FINEPIX HS10 Black 10.0 MP 3.0&#34; 230K Tilting LCD 30X Optical Zoom 24mm Wide Angle Digital Camera
0007	1	SONY Cyber-shot DSC-TX7 Blue 10.2 MP 3.5&#34; 921K Touch LCD 4X Optical Zoom 25mm Wide Angle Digital Camera
0008	1	FUJIFILM FINEPIX F80EXR Black 12.0 MP 3.0&#34; 230K LCD 10X Optical Zoom 27mm Wide Angle Digital Camera
0009	1	OLYMPUS SP-800UZ 14 MP 3.0&#34; LCD 30X Optical Zoom 28mm Wide Angle Digital Camera
0010	1	Canon PowerShot SD1400 IS Black 14.1 MP 2.7&#34; 230K LCD 4X Optical Zoom 28mm Wide Angle Digital Camera
0011	1	Canon PowerShot SD940 IS Silver 12.1 MP 2.7&#34; 230K LCD 4X Optical Zoom 28mm Wide Angle Digital Camera
0012	1	SONY Cyber-shot DSC-TX7 Silver 10.2 MP 3.5&#34; 921K Touch LCD 4X Optical Zoom 25mm Wide Angle Digital Camera
0013	1	Canon PowerShot SD1300 IS Silver 12.1 MP 2.7&#34; 230K LCD 4X Optical Zoom 28mm Wide Angle Digital Camera
0014	1	Panasonic DMC-TS2D Orange 14.1 MP 2.7&#34; TFT&#40;230K&#41; LCD 4.6X Optical Zoom Waterproof Shockproof 28mm Wide Angle Digital Camera
0015	1	CASIO EXILIM EX-FH25 Black 10 MP 3.0&#34; LCD 20X Optical Zoom 26mm Wide Angle Digital Camera
0016	1	Sony Cyber-shot DSC-TX5 10.2MP CMOS Digital Camera with 4x Wide Angle Zoom&#40;Black&#41;
0017	1	Sony Cyber-shot DSC-TX5 10.2MP CMOS Digital Camera with 4x Wide Angle Zoom&#40;Red&#41;
0018	1	FUJIFILM FINEPIX XP10 Silver 12.0 MP 2.7&#34; 230K LCD 5X Optical Zoom Waterproof Shockproof Digital Camera
0019	1	SONY Cyber-shot DSC-W350 Blue 14.1 MP 2.7&#34; 230K LCD 4X Optical Zoom 26mm Wide Angle Digital Camera
0020	1	SONY Cyber-shot DSC-W330 Red 14.1 MP 2.7&#34; 230K LCD 4X Optical Zoom 26mm Wide Angle Digital Camera
0021	1	SONY Cyber-shot DSC-W330 Silver 14.1 MP 2.7&#34; 230K LCD 4X Optical Zoom 26mm Wide Angle Digital Camera
0022	1	SAMSUNG TL105 Black 3X Optical Zoom 27.5mm Wide Angle Digital Camera
0023	1	Panasonic DMC-TS2S Silver 14.1 MP 2.7&#34; TFT&#40;230K&#41; LCD 4.6X Optical Zoom Waterproof Shockproof 28mm Wide Angle Digital Camera
0024	1	Kodak EasyShare M575 Blue 14 MP 3.0&#34; LCD 5X Optical Zoom 28mm Wide Angle Digital Camera
0025	1	FUJIFILM FINEPIX JZ500 Black 14 MP 2.7&#34; 230K LCD 10X Optical Zoom 28mm Wide Angle Digital Camera
0026	1	Nikon COOLPIX S6000 Black 14.2 MP 2.7&#34; 231K Anti-reflection Coating LCD 7X Optical Zoom 28mm Wide Angle Digital Camera
0027	1	Canon PowerShot A495 Red 10.0 MP 2.5&#34; 115K LCD 3.3X Optical Zoom Digital Camera
0028	1	FUJIFILM FINEPIX Z70 Black 12.0 MP 2.7&#34; 230K LCD 5X Optical Zoom Digital Camera
0029	1	FUJIFILM JZ300 Black 12.1 MP 230 K LCD 10X Optical Zoom 28mm Wide Angle Digital Camera
0030	1	Canon PowerShot SD1300 IS Green 12.1 MP 2.7&#34; 230K LCD 4X Optical Zoom 28mm Wide Angle Digital Camera
0031	1	Canon PowerShot SD1400 IS Pink 14.1 MP 2.7&#34; 230K LCD 4X Optical Zoom 28mm Wide Angle Digital Camera
