camera	newegg	price
220	220	220	92
0000	1	$349.00
0001	1	$268.00
0002	1	$449.00
0003	1	$149.99
0004	1	$329.00
0005	1	$199.00
0006	1	$429.00
0007	1	$399.99
0008	1	$239.00
0009	1	$349.99
0010	1	$229.00
0011	1	$199.00
0012	1	$399.99
0013	1	$179.00
0014	1	$299.99
0015	1	$329.99
0016	1	$349.99
0017	1	$349.99
0018	1	$159.95
0019	1	$179.99
0020	1	$149.99
0021	1	$149.99
0022	1	$149.00
0023	1	$299.99
0024	1	$149.99
0025	1	$199.95
0026	1	$209.99
0027	1	$99.00
0028	1	$115.95
0029	1	$159.95
0030	1	$179.00
0031	1	$229.00
0032	1	$199.99
0033	1	$229.00
0034	1	$199.99
0035	1	$199.00
0036	1	$59.99
0037	1	$189.99
0038	1	$369.00
0039	1	$178.95
0040	1	$299.00
0041	1	$249.00
0042	1	$114.99
0043	1	$299.00
0044	1	$249.00
0045	1	$172.95
0046	1	$149.00
0047	1	$89.95
0048	1	$69.99
0049	1	$99.00
0050	1	$189.99
0051	1	$299.00
0052	1	$299.99
0053	1	$149.00
0054	1	$109.99
0055	1	$199.00
0056	1	$329.99
0057	1	$89.95
0058	1	$229.99
0059	1	$179.99
0060	1	$249.00
0061	1	$329.00
0062	1	$59.99
0063	1	$329.99
0064	1	$219.99
0065	1	$329.00
0066	1	$199.99
0067	1	$129.99
0068	1	$84.95
0069	1	$129.00
0070	1	$119.99
0071	1	$249.00
0072	1	$179.99
0073	1	$179.99
0074	1	$139.99
0075	1	$72.99
0076	1	$84.99
0077	1	$89.90
0078	1	$229.00
0079	1	$127.95
0080	1	$124.99
0081	1	$149.00
0082	1	$149.99
0083	1	$114.99
0084	1	$229.99
0085	1	$139.99
0086	1	$119.99
0087	1	$89.99
0088	1	$179.00
0089	1	$179.00
0090	1	$129.00
0091	1	$229.00
0092	1	$54.99
0093	1	$219.95
0094	1	$178.99
0095	1	$349.99
0096	1	$259.99
0097	1	$299.00
0098	1	$149.99
0099	1	$119.99
0100	1	$299.99
0101	1	$199.00
0102	1	$129.99
0103	1	$149.00
0104	1	$104.95
0105	1	$149.99
0106	1	$199.00
0107	1	$89.99
0108	1	$159.99
0109	1	$199.99
0110	1	$103.95
0111	1	$16.95
0112	1	$179.95
0113	1	$89.99
0114	1	$349.99
0115	1	$209.99
0116	1	$229.00
0117	1	$99.00
0118	1	$199.99
0119	1	$129.00
0120	1	$179.00
0121	1	$178.99
0122	1	$135.99
0123	1	$99.00
0124	1	$89.99
0125	1	$159.99
0126	1	$89.99
0127	1	$349.99
0128	1	$129.99
0129	1	$99.99
0130	1	$64.99
0131	1	$299.00
0132	1	$129.99
0133	1	$159.95
0134	1	$69.99
0135	1	$119.99
0136	1	$68.99
0137	1	$99.00
0138	1	$199.00
0139	1	$59.90
0140	1	$199.99
0141	1	$299.99
0142	1	$149.00
0143	1	$179.99
0144	1	$299.99
0145	1	$149.99
0146	1	$69.99
0147	1	$222.95
0148	1	$179.95
0149	1	$199.99
0150	1	$114.99
0151	1	$149.00
0152	1	$139.99
0153	1	$149.99
0154	1	$399.99
0155	1	$299.00
0156	1	$129.99
0157	1	$299.99
0158	1	$119.99
0159	1	$79.99
0160	1	$68.99
0161	1	$217.95
0162	1	$49.99
0163	1	$99.99
0164	1	$119.99
0165	1	$149.00
0166	1	$139.99
0167	1	$49.99
0168	1	$39.99
0169	1	$79.99
0170	1	$54.99
0171	1	$69.99
0172	1	$84.00
0173	1	$79.99
0174	1	$79.99
0175	1	$124.99
0176	1	$129.00
0177	1	$69.99
0178	1	$62.99
0179	1	$79.99
0180	1	$41.99
0181	1	$149.99
0182	1	$99.99
0183	1	$69.99
0184	1	$64.99
0185	1	$119.00
0186	1	$54.99
0187	1	$129.00
0188	1	$134.99
0189	1	$119.00
0190	1	$69.99
0191	1	$269.99
0192	1	$118.99
0193	1	$217.99
0194	1	$146.99
0195	1	$101.99
0196	1	$103.00
0197	1	$205.00
0198	1	$194.99
0199	1	$190.99
0200	1	$284.99
0201	1	$153.99
0202	1	$138.99
0203	1	$136.00
0204	1	$182.99
0205	1	$269.99
0206	1	$174.99
0207	1	$168.99
0208	1	$126.99
0209	1	$163.99
0210	1	$171.99
0211	1	$190.00
0212	1	$299.99
0213	1	$149.00
0214	1	$199.99
0215	1	$199.00
0216	1	$119.95
0217	1	$14.99
0218	1	$179.99
0219	1	$124.99
