camera	onsale	manufacturer
261	261	261	24
0000	1	Nikon
0001	1	Canon
0002	1	Sony
0003	1	Sony
0004	1	Sony
0005	1	Sony
0006	1	Sony
0007	1	Olympus
0008	1	Fuji
0009	1	Kodak
0010	1	Canon
0011	1	Sony
0012	1	Pentax Imaging
0013	1	Canon
0014	1	Sony
0015	1	Sony
0016	1	Olympus
0017	1	Sony
0018	1	Sony
0019	1	Samsung
0020	1	Fuji
0021	1	Olympus
0022	1	Sony
0023	1	Aluratek
0024	1	Olympus
0025	1	Kodak
0026	1	Cisco
0027	1	Panasonic
0028	1	Sony
0029	1	Sony
0030	1	Sony
0031	1	Polycom
0032	1	Fujifilm
0033	1	Fujifilm
0034	1	Fujifilm
0035	1	Fujifilm
0036	1	Fujifilm
0037	1	Sanyo Electric
0038	1	Sanyo
0039	1	Sanyo
0040	1	Sanyo
0041	1	Sanyo
0042	1	Sanyo
0043	1	Sony
0044	1	Audiovox
0045	1	Sony
0046	1	Sony
0047	1	Sony
0048	1	Sony
0049	1	Sony
0050	1	Sony
0051	1	Sony
0052	1	Kodak
0053	1	Kodak
0054	1	Kodak
0055	1	Kodak
0056	1	Kodak
0057	1	Kodak
0058	1	Sony
0059	1	Sony
0060	1	Sony
0061	1	Sony
0062	1	Sony
0063	1	Sanyo
0064	1	Nikon
0065	1	Nikon
0066	1	Nikon
0067	1	Nikon
0068	1	Nikon
0069	1	Nikon
0070	1	Nikon
0071	1	Fuji
0072	1	Fuji
0073	1	Fuji
0074	1	Fuji
0075	1	Canon
0076	1	Sanyo
0077	1	Sony
0078	1	Sony
0079	1	Casio
0080	1	Casio
0081	1	Casio
0082	1	Casio
0083	1	Casio
0084	1	Casio
0085	1	Sony
0086	1	JVC
0087	1	Pentax Imaging
0088	1	Sony
0089	1	Kodak
0090	1	Fuji
0091	1	Samsung
0092	1	Sony
0093	1	Sanyo
0094	1	Kodak
0095	1	Canon
0096	1	Axiom Memory Solutions
0097	1	Axiom Memory Solutions
0098	1	Axiom Memory Solutions
0099	1	Axiom Memory Solutions
0100	1	Axiom Memory Solutions
0101	1	Casio
0102	1	Casio
0103	1	Casio
0104	1	Casio
0105	1	Casio
0106	1	Casio
0107	1	Casio
0108	1	Trustin Technology
0109	1	Olympus
0110	1	Samsung
0111	1	Panasonic
0112	1	Panasonic
0113	1	Jazz Camera
0114	1	Olympus
0115	1	Sony
0116	1	ToCAD America
0117	1	Olympus
0118	1	Fuji
0119	1	Nikon
0120	1	Pentax Imaging
0121	1	Pentax Imaging
0122	1	Fujifilm
0123	1	Imation
0124	1	Sony
0125	1	Sony
0126	1	Sony
0127	1	Sony
0128	1	Sony
0129	1	Sony
0130	1	Sony
0131	1	Sony
0132	1	Sony
0133	1	Sony
0134	1	Sony
0135	1	Kodak
0136	1	Kodak
0137	1	Kodak
0138	1	Kodak
0139	1	Kodak
0140	1	Kodak
0141	1	Kodak
0142	1	Kodak
0143	1	Kodak
0144	1	Kodak
0145	1	Kodak
0146	1	Kodak
0147	1	Kodak
0148	1	Kodak
0149	1	Olympus
0150	1	Olympus
0151	1	Olympus
0152	1	Olympus
0153	1	Olympus
0154	1	Olympus
0155	1	Olympus
0156	1	Olympus
0157	1	Olympus
0158	1	Olympus
0159	1	Olympus
0160	1	Olympus
0161	1	Olympus
0162	1	Olympus
0163	1	Olympus
0164	1	Olympus
0165	1	Olympus
0166	1	Olympus
0167	1	Olympus
0168	1	Olympus
0169	1	Olympus
0170	1	Olympus
0171	1	Olympus
0172	1	Olympus
0173	1	Olympus
0174	1	Olympus
0175	1	Olympus
0176	1	Olympus
0177	1	Nikon
0178	1	Nikon
0179	1	Nikon
0180	1	Nikon
0181	1	Nikon
0182	1	Nikon
0183	1	Samsung
0184	1	Samsung
0185	1	Samsung
0186	1	Samsung
0187	1	Samsung
0188	1	Samsung
0189	1	Samsung
0190	1	Samsung
0191	1	Samsung
0192	1	Samsung
0193	1	Samsung
0194	1	Samsung
0195	1	Samsung
0196	1	Samsung
0197	1	Samsung
0198	1	Samsung
0199	1	Samsung
0200	1	Samsung
0201	1	Samsung
0202	1	Samsung
0203	1	Panasonic
0204	1	Panasonic
0205	1	Panasonic
0206	1	Panasonic
0207	1	Canon
0208	1	Canon
0209	1	Canon
0210	1	Canon
0211	1	Sony
0212	1	Sony
0213	1	Sony
0214	1	Panasonic
0215	1	Panasonic
0216	1	Panasonic
0217	1	Olympus
0218	1	Casio
0219	1	Casio
0220	1	Casio
0221	1	Casio
0222	1	Casio
0223	1	Casio
0224	1	Casio
0225	1	Casio
0226	1	Casio
0227	1	Casio
0228	1	Casio
0229	1	Casio
0230	1	Casio
0231	1	Casio
0232	1	Casio
0233	1	Casio
0234	1	Casio
0235	1	Casio
0236	1	Casio
0237	1	Casio
0238	1	Casio
0239	1	Olympus
0240	1	Olympus
0241	1	Olympus
0242	1	Fuji
0243	1	Fuji
0244	1	Fuji
0245	1	Fuji
0246	1	Fuji
0247	1	Fuji
0248	1	Fuji
0249	1	Fuji
0250	1	Fuji
0251	1	Fuji
0252	1	Fuji
0253	1	Fuji
0254	1	Fuji
0255	1	Audiovox
0256	1	Audiovox
0257	1	Audiovox
0258	1	JVC
0259	1	Sakar
0260	1	Sanyo
