camera	onsale	price
261	261	261	99
0000	1	$299.99
0001	1	$308.99
0002	1	$141.68
0003	1	$149.99
0004	1	$219.99
0005	1	$219.99
0006	1	$169.99
0007	1	$109.99
0008	1	$116.99
0009	1	$83.99
0010	1	$299.99
0011	1	$169.99
0012	1	$811.99
0013	1	$499.00
0014	1	$149.99
0015	1	$699.99
0016	1	$279.99
0017	1	$399.99
0018	1	$299.99
0019	1	$143.00
0020	1	$179.99
0021	1	$89.99
0022	1	$169.99
0023	1	$124.99
0024	1	$89.99
0025	1	$109.99
0026	1	$167.99
0027	1	$272.99
0028	1	$749.99
0029	1	$749.99
0030	1	$849.99
0031	1	$71.99
0032	1	$186.99
0033	1	$186.99
0034	1	$99.99
0035	1	$99.99
0036	1	$226.99
0037	1	$175.99
0038	1	$189.99
0039	1	$215.99
0040	1	$308.99
0041	1	$379.99
0042	1	$175.99
0043	1	$229.99
0044	1	$85.99
0045	1	$149.99
0046	1	$122.99
0047	1	$219.99
0048	1	$399.99
0049	1	$219.99
0050	1	$269.99
0051	1	$269.99
0052	1	$83.99
0053	1	$218.99
0054	1	$219.99
0055	1	$198.99
0056	1	$83.99
0057	1	$103.99
0058	1	$649.99
0059	1	$299.99
0060	1	$699.99
0061	1	$249.99
0062	1	$649.99
0063	1	$172.99
0064	1	$299.95
0065	1	$349.95
0066	1	$364.99
0067	1	$499.95
0068	1	$364.99
0069	1	$355.99
0070	1	$341.99
0071	1	$209.99
0072	1	$209.99
0073	1	$209.99
0074	1	$209.99
0075	1	$436.99
0076	1	$201.99
0077	1	$649.99
0078	1	$499.99
0079	1	$176.99
0080	1	$176.99
0081	1	$149.99
0082	1	$176.99
0083	1	$149.99
0084	1	$176.99
0085	1	$199.99
0086	1	$1,076.99
0087	1	$244.99
0088	1	$129.99
0089	1	$112.99
0090	1	$268.99
0091	1	$115.00
0092	1	$299.99
0093	1	$189.99
0094	1	$198.99
0095	1	$384.99
0096	1	$183.99
0097	1	$152.99
0098	1	$152.99
0099	1	$152.99
0100	1	$183.99
0101	1	$104.99
0102	1	$166.99
0103	1	$104.99
0104	1	$104.99
0105	1	$178.99
0106	1	$151.99
0107	1	$104.99
0108	1	$501.99
0109	1	$61.99
0110	1	$179.99
0111	1	$315.99
0112	1	$315.99
0113	1	$41.99
0114	1	$299.99
0115	1	$399.99
0116	1	$79.99
0117	1	$199.99
0118	1	$231.99
0119	1	$429.95
0120	1	$136.99
0121	1	$141.99
0122	1	$129.99
0123	1	$92.99
0124	1	$99.99
0125	1	$399.99
0126	1	$99.99
0127	1	$129.99
0128	1	$199.99
0129	1	$399.99
0130	1	$149.99
0131	1	$149.99
0132	1	$169.99
0133	1	$199.99
0134	1	$129.99
0135	1	$298.99
0136	1	$113.99
0137	1	$218.99
0138	1	$171.99
0139	1	$152.99
0140	1	$103.99
0141	1	$132.99
0142	1	$109.99
0143	1	$152.99
0144	1	$171.99
0145	1	$152.99
0146	1	$152.99
0147	1	$122.99
0148	1	$122.99
0149	1	$89.99
0150	1	$89.99
0151	1	$109.99
0152	1	$109.99
0153	1	$129.99
0154	1	$129.99
0155	1	$109.99
0156	1	$129.99
0157	1	$199.99
0158	1	$199.99
0159	1	$199.99
0160	1	$179.99
0161	1	$249.99
0162	1	$179.99
0163	1	$249.99
0164	1	$199.99
0165	1	$249.99
0166	1	$199.99
0167	1	$199.99
0168	1	$199.99
0169	1	$379.99
0170	1	$349.99
0171	1	$279.99
0172	1	$379.99
0173	1	$199.99
0174	1	$199.99
0175	1	$279.99
0176	1	$279.99
0177	1	$158.99
0178	1	$149.95
0179	1	$179.95
0180	1	$179.95
0181	1	$158.99
0182	1	$158.99
0183	1	$279.99
0184	1	$279.99
0185	1	$184.99
0186	1	$184.99
0187	1	$186.99
0188	1	$124.99
0189	1	$115.00
0190	1	$114.99
0191	1	$184.99
0192	1	$231.99
0193	1	$102.99
0194	1	$96.99
0195	1	$186.99
0196	1	$106.99
0197	1	$102.99
0198	1	$96.99
0199	1	$96.99
0200	1	$89.99
0201	1	$186.99
0202	1	$89.99
0203	1	$315.99
0204	1	$406.99
0205	1	$298.99
0206	1	$352.99
0207	1	$249.99
0208	1	$299.99
0209	1	$299.99
0210	1	$329.99
0211	1	$299.99
0212	1	$299.99
0213	1	$299.99
0214	1	$149.99
0215	1	$149.99
0216	1	$159.99
0217	1	$126.32
0218	1	$184.99
0219	1	$184.99
0220	1	$104.99
0221	1	$257.99
0222	1	$152.99
0223	1	$122.99
0224	1	$257.99
0225	1	$152.99
0226	1	$104.99
0227	1	$122.99
0228	1	$123.99
0229	1	$122.99
0230	1	$149.99
0231	1	$104.99
0232	1	$104.99
0233	1	$149.99
0234	1	$122.99
0235	1	$184.99
0236	1	$184.99
0237	1	$104.99
0238	1	$184.99
0239	1	$599.99
0240	1	$599.99
0241	1	$599.99
0242	1	$102.99
0243	1	$83.99
0244	1	$186.99
0245	1	$116.99
0246	1	$186.99
0247	1	$116.99
0248	1	$457.99
0249	1	$186.99
0250	1	$102.99
0251	1	$257.99
0252	1	$257.99
0253	1	$257.99
0254	1	$116.99
0255	1	$79.99
0256	1	$85.99
0257	1	$85.99
0258	1	$203.99
0259	1	$48.99
0260	1	$215.99
