camera	pcnation	model
234	234	468	332
0000	2	Panasonic Lumix DMC-FX37 Point & Shoot Digital Camera - Black	Lumix DMC-FX37 Compact Camera
0001	2	Panasonic Lumix DMC-FX37 Point & Shoot Digital Camera - White	Lumix DMC-FX37 Compact Camera
0002	2	Panasonic Lumix DMC-FH1 12.1 Megapixel Compact Camera - 5 mm-25 mm - Blue	Lumix DMC-FH1 Compact Camera
0003	2	Panasonic Lumix DMC-FH20 14.1 Megapixel Compact Camera - 5 mm-40 mm - Blue	Lumix DMC-FH20 Compact Camera
0004	2	Panasonic Lumix DMC-FH20 14.1 Megapixel Compact Camera - 5 mm-40 mm - Black	Lumix DMC-FH20 Compact Camera
0005	2	Panasonic Lumix DMC-FH20 14.1 Megapixel Compact Camera - 5 mm-40 mm - Red	Lumix DMC-FH20 Compact Camera
0006	2	Panasonic Lumix DMC-FH20 14.1 Megapixel Compact Camera - 5 mm-40 mm - Silver	Lumix DMC-FH20 Compact Camera
0007	2	Panasonic Lumix DMC-FH20 14.1 Megapixel Compact Camera - 5 mm-40 mm - Violet	Lumix DMC-FH20 Compact Camera
0008	2	Panasonic Lumix DMC-FH3 14.1 Megapixel Compact Camera - 5 mm-25 mm - Black	Lumix DMC-FH3 Compact Camera
0009	2	Panasonic Lumix DMC-FH3 14.1 Megapixel Compact Camera - 5 mm-25 mm - Pink	Lumix DMC-FH3 Compact Camera
0010	2	Panasonic Lumix DMC-FH3 14.1 Megapixel Compact Camera - 5 mm-25 mm - Red	Lumix DMC-FH3 Compact Camera
0011	2	Panasonic Lumix DMC-FH3 14.1 Megapixel Compact Camera - 5 mm-25 mm - Silver	Lumix DMC-FH3 Compact Camera
0012	2	Panasonic Lumix DMC-FP1 12.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Blue	Lumix DMC-FP1 Compact Camera
0013	2	Panasonic Lumix DMC-FP1 12.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Orange	Lumix DMC-FP1 Compact Camera
0014	2	Panasonic Lumix DMC-FP1 12.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Green	Lumix DMC-FP1 Compact Camera
0015	2	Panasonic Lumix DMC-FP1 12.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Black	Lumix DMC-FP1 Compact Camera
0016	2	Panasonic Lumix DMC-FP1 12.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Pink	Lumix DMC-FP1 Compact Camera
0017	2	Panasonic Lumix DMC-FP1 12.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Red	Lumix DMC-FP1 Compact Camera
0018	2	Panasonic Lumix DMC-FP1 12.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Silver	Lumix DMC-FP1 Compact Camera
0019	2	Panasonic Lumix DMC-FP3 14.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Red	Lumix DMC-FP3 Compact Camera
0020	2	Panasonic Lumix DMC-FP3 14.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Silver	Lumix DMC-FP3 Compact Camera
0021	2	Panasonic Lumix DMC-TS2 14.1 Megapixel Compact Camera - 4.90 mm-22.80 mm - Blue	Lumix DMC-TS2 Compact Camera
0022	2	Panasonic Lumix DMC-TS2 14.1 Megapixel Compact Camera - 4.90 mm-22.80 mm - Orange	Lumix DMC-TS2 Compact Camera
0023	2	Panasonic Lumix DMC-TS2 14.1 Megapixel Compact Camera - 4.90 mm-22.80 mm - Silver	Lumix DMC-TS2 Compact Camera
