camera	pcnation	price
234	234	234	87
0000	1	$302.03
0001	1	$302.03
0002	1	$143.00
0003	1	$152.81
0004	1	$152.81
0005	1	$152.81
0006	1	$152.81
0007	1	$152.81
0008	1	$151.93
0009	1	$151.93
0010	1	$151.93
0011	1	$151.93
0012	1	$147.24
0013	1	$147.24
0014	1	$147.24
0015	1	$147.24
0016	1	$147.24
0017	1	$147.24
0018	1	$147.24
0019	1	$187.68
0020	1	$187.68
0021	1	$309.80
0022	1	$309.80
0023	1	$309.80
0024	1	$257.14
0025	1	$257.14
0026	1	$257.14
0027	1	$257.14
0028	1	$231.65
0029	1	$284.30
0030	1	$284.30
0031	1	$284.30
0032	1	$284.30
0033	1	$275.01
0034	1	$192.16
0035	1	$169.95
0036	1	$169.95
0037	1	$169.95
0038	1	$129.95
0039	1	$119.95
0040	1	$119.95
0041	1	$119.95
0042	1	$199.95
0043	1	$119.00
0044	1	$349.95
0045	1	$349.95
0046	1	$279.95
0047	1	$129.95
0048	1	$119.95
0049	1	$119.00
0050	1	$119.00
0051	1	$386.32
0052	1	$272.07
0053	1	$254.40
0054	1	$102.40
0055	1	$334.52
0056	1	$230.33
0057	1	$110.38
0058	1	$39.64
0059	1	$43.70
0060	1	$57.52
0061	1	$57.52
0062	1	$150.63
0063	1	$39.17
0064	1	$192.16
0065	1	$192.16
0066	1	$192.16
0067	1	$235.95
0068	1	$235.95
0069	1	$192.16
0070	1	$349.95
0071	1	$109.32
0072	1	$128.27
0073	1	$84.85
0074	1	$96.68
0075	1	$168.74
0076	1	$339.27
0077	1	$339.27
0078	1	$57.52
0079	1	$145.31
0080	1	$255.13
0081	1	$81.89
0082	1	$99.20
0083	1	$111.43
0084	1	$111.43
0085	1	$111.43
0086	1	$179.39
0087	1	$88.33
0088	1	$88.33
0089	1	$88.33
0090	1	$106.48
0091	1	$106.48
0092	1	$106.48
0093	1	$128.27
0094	1	$128.27
0095	1	$128.27
0096	1	$174.06
0097	1	$192.16
0098	1	$192.16
0099	1	$192.16
0100	1	$262.59
0101	1	$262.59
0102	1	$262.59
0103	1	$354.17
0104	1	$354.17
0105	1	$99.00
0106	1	$99.00
0107	1	$99.00
0108	1	$129.00
0109	1	$129.00
0110	1	$139.00
0111	1	$139.00
0112	1	$139.00
0113	1	$169.00
0114	1	$169.00
0115	1	$169.00
0116	1	$199.00
0117	1	$199.00
0118	1	$199.00
0119	1	$329.00
0120	1	$359.00
0121	1	$359.00
0122	1	$359.00
0123	1	$249.00
0124	1	$249.00
0125	1	$249.00
0126	1	$249.00
0127	1	$249.00
0128	1	$399.00
0129	1	$399.00
0130	1	$299.00
0131	1	$299.00
0132	1	$195.36
0133	1	$200.68
0134	1	$200.68
0135	1	$200.68
0136	1	$200.68
0137	1	$201.77
0138	1	$201.77
0139	1	$201.77
0140	1	$201.77
0141	1	$141.05
0142	1	$297.73
0143	1	$212.94
0144	1	$99.86
0145	1	$143.00
0146	1	$143.00
0147	1	$265.00
0148	1	$369.99
0149	1	$179.99
0150	1	$319.00
0151	1	$499.00
0152	1	$299.00
0153	1	$299.00
0154	1	$299.00
0155	1	$299.00
0156	1	$66.60
0157	1	$249.99
0158	1	$249.99
0159	1	$249.99
0160	1	$229.99
0161	1	$229.99
0162	1	$229.99
0163	1	$149.99
0164	1	$149.99
0165	1	$149.99
0166	1	$129.99
0167	1	$129.99
0168	1	$129.99
0169	1	$129.99
0170	1	$99.00
0171	1	$99.00
0172	1	$99.00
0173	1	$88.33
0174	1	$139.00
0175	1	$349.95
0176	1	$169.95
0177	1	$129.95
0178	1	$129.95
0179	1	$129.95
0180	1	$119.95
0181	1	$119.95
0182	1	$199.95
0183	1	$119.00
0184	1	$349.95
0185	1	$499.95
0186	1	$329.00
0187	1	$329.00
0188	1	$329.00
0189	1	$329.00
0190	1	$329.00
0191	1	$329.00
0192	1	$279.95
0193	1	$279.95
0194	1	$302.03
0195	1	$302.03
0196	1	$143.00
0197	1	$151.93
0198	1	$187.68
0199	1	$109.47
0200	1	$309.80
0201	1	$231.65
0202	1	$149.00
0203	1	$299.00
0204	1	$299.00
0205	1	$299.00
0206	1	$299.00
0207	1	$299.00
0208	1	$96.68
0209	1	$145.31
0210	1	$228.51
0211	1	$221.10
0212	1	$255.13
0213	1	$99.20
0214	1	$111.43
0215	1	$240.22
0216	1	$240.22
0217	1	$240.22
0218	1	$179.39
0219	1	$179.39
0220	1	$66.60
0221	1	$50.24
0222	1	$106.48
0223	1	$128.27
0224	1	$174.06
0225	1	$262.59
0226	1	$326.48
0227	1	$129.00
0228	1	$216.66
0229	1	$316.65
0230	1	$207.08
0231	1	$149.99
0232	1	$129.99
0233	1	$99.00
