camera	thenerds	model
309	309	618	452
0000	2	Samsung NV3 Point &amp; Shoot Digital Camera - Black	NV3 Compact Camera
0001	2	Sakar 14097-Heart Point &amp; Shoot Digital Camera	14097-Heart Compact Camera
0002	2	VuPoint Solutions DC-WPC-ST531T-VP Point &amp; Shoot Digital Camera	DC-WPC-ST531T-VP Compact Camera
0003	2	Panasonic Lumix DMC-FX55 Point &amp; Shoot Digital Camera - Silver	Lumix DMC-FX55 Compact Camera
0004	2	Agfa DC-8330i Digital Camera - Black	DC-8330i Compact Camera
0005	2	Fujifilm FinePix J50 Point &amp; Shoot Digital Camera	FinePix J50 Compact Camera
0006	2	Panasonic Lumix DMC-FX500 Point &amp; Shoot Digital Camera - Silver	Lumix DMC-FX500 Compact Camera
0007	2	Argus bean Carabiner Point &amp; Shoot Digital Camera - Green	bean Carabiner Compact Camera
0008	2	Panasonic Lumix DMC-LX3 Point &amp; Shoot Digital Camera - Silver	Lumix DMC-LX3 Compact Camera
0009	2	Panasonic Lumix DMC-FX37 Point &amp; Shoot Digital Camera - White	Lumix DMC-FX37 Compact Camera
0010	2	Panasonic Lumix DMC-FX37 Point &amp; Shoot Digital Camera - Silver	Lumix DMC-FX37 Compact Camera
0011	2	Panasonic Lumix DMC-FX37 Point &amp; Shoot Digital Camera - Black	Lumix DMC-FX37 Compact Camera
0012	2	Cobra DC150 Point &amp; Shoot Digital Camera - Blue	DC150 Compact Camera
0013	2	Vivitar ViviCam 8025 Digital Camera	ViviCam 8025 Compact Camera
0014	2	Casio Exilim EX-FS10 Point &amp; Shoot Digital Camera - Gray	Exilim EX-FS10 Compact Camera
0015	2	Fujifilm FinePix A150 Point &amp; Shoot Digital Camera - Silver	FinePix A150 Compact Camera
0016	2	Canon PowerShot SD960 IS Digital Camera - Pink	PowerShot SD960 IS Compact Camera
0017	2	Canon PowerShot D10 Point &amp; Shoot Digital Camera - Blue	PowerShot D10 Compact Camera
0018	2	Panasonic Lumix DMC-FX580 Point &amp; Shoot Digital Camera - Silver	Lumix DMC-FX580 Compact Camera
0019	2	VuPoint Solutions DC-ST12G-VP 3-in-1 Keychain Point &amp; Shoot Digital Camera - Green	DC-ST12G-VP 3-in-1 Keychain Compact Camera
0020	2	Panasonic Lumix DMC-FX580 Point &amp; Shoot Digital Camera - Black	Lumix DMC-FX580 Compact Camera
0021	2	EasyShare Z915 Point &amp; Shoot Digital Camera - Black	EasyShare Z915 Compact Camera
0022	2	Kodak EasyShare C180 Digital Camera - Teal	EasyShare C180 Compact Camera
0023	2	Polaroid PoGo Instant Digital Camera - Black	PoGo Instant Compact Camera
0024	2	Vivitar ViviCam 5024 Point &amp; Shoot Digital Camera - 5.1 Megapixel - 2.40&quot; Active Matrix TFT Color LCD	ViviCam 5024 Compact Camera
0025	2	Casio Exilim EX-S12 Point &amp; Shoot Digital Camera - Pink	Exilim EX-S12 Compact Camera
0026	2	Refurbished - Cyber-shot DSC-W180 Point &amp; Shoot Digital Camera -	Cyber-shot DSC-W180 Compact Camera
0027	2	Sony Cyber-shot DSC-TX1 Point &amp; Shoot Digital Camera - Silver	Cyber-shot DSC-TX1 Compact Camera
0028	2	EasyShare C190 Point &amp; Shoot Digital Camera - Blue	EasyShare C190 Compact Camera
0029	2	Nikon Coolpix S70 Point &amp; Shoot Digital Camera - Champagne, Brown	Coolpix S70 Compact Camera
0030	2	Nikon Coolpix S1000PJ Point &amp; Shoot Digital Camera - Black	Coolpix S1000PJ Compact Camera
0031	2	Canon PowerShot SD980 IS Point &amp; Shoot Digital Camera - Gold	PowerShot SD980 IS Compact Camera
0032	2	Canon PowerShot SD980 IS Point &amp; Shoot Digital Camera - Silver	PowerShot SD980 IS Compact Camera
0033	2	Sony Cyber-shot DSC-WX1 Point &amp; Shoot Digital Camera - Black	Cyber-shot DSC-WX1 Compact Camera
0034	2	Canon PowerShot SD980 IS Point &amp; Shoot Digital Camera - Blue	PowerShot SD980 IS Compact Camera
0035	2	Canon PowerShot SD980 IS Point &amp; Shoot Digital Camera - Purple	PowerShot SD980 IS Compact Camera
0036	2	Canon PowerShot S90 Point &amp; Shoot Digital Camera	PowerShot S90 Compact Camera
0037	2	VistaQuest VQ-7220 Point &amp; Shoot Digital Camera - Blue	VQ-7220 Compact Camera
0038	2	VQ-1024 Point &amp; Shoot Digital Camera - Silver	VQ-1024 Compact Camera
0039	2	GE A1255 Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Silver	A1255 Compact Camera
0040	2	GE A1255 Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Black	A1255 Compact Camera
0041	2	GE A1255 Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Red	A1255 Compact Camera
0042	2	General Imaging C1233 12.4 Megapixel - Point &amp; Shoot Digital Camera - 15.72 mm - 5.24 mm - 2.4&quot; Active Matrix TFT Color LCD - Silver	C1233 Compact Camera
0043	2	General Imaging G5WP Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.7&quot; Active Matrix TFT Color LCD - Graphite Gray	G5WP Compact Camera
0044	2	General Imaging G5WP Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.7&quot; Active Matrix TFT Color LCD - Ocean Blue	G5WP Compact Camera
0045	2	General Imaging C1233 12.4 Megapixel - Point &amp; Shoot Digital Camera - 15.72 mm - 5.24 mm - 2.4&quot; Active Matrix TFT Color LCD - Red	C1233 Compact Camera
0046	2	Casio Exilim EX-Z35 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.50&quot; Active Matrix TFT Color LCD - Black	Exilim EX-Z35 Compact Camera
0047	2	Casio Exilim EX-Z35 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.50&quot; Active Matrix TFT Color LCD - Blue	Exilim EX-Z35 Compact Camera
0048	2	Casio Exilim EX-Z35 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.50&quot; Active Matrix TFT Color LCD - Purple	Exilim EX-Z35 Compact Camera
0049	2	Casio Exilim EX-Z35 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.50&quot; Active Matrix TFT Color LCD - Pink	Exilim EX-Z35 Compact Camera
0050	2	Casio Exilim EX-Z35 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.50&quot; Active Matrix TFT Color LCD - Silver	Exilim EX-Z35 Compact Camera
0051	2	Casio Exilim EX-Z550 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Blue	Exilim EX-Z550 Compact Camera
0052	2	Casio Exilim EX-Z550 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Red	Exilim EX-Z550 Compact Camera
0053	2	Casio Exilim EX-Z2000 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3&quot; Active Matrix TFT Color LCD - Black	Exilim EX-Z2000 Compact Camera
0054	2	Casio Exilim EX-Z2000 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3&quot; Active Matrix TFT Color LCD - Pink	Exilim EX-Z2000 Compact Camera
0055	2	Casio Exilim EX-Z2000 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3&quot; Active Matrix TFT Color LCD - Red	Exilim EX-Z2000 Compact Camera
