camera	thenerds	price
309	309	309	122
0000	1	$141.99
0001	1	$11.99
0002	1	$66.99
0003	1	$299.99
0004	1	$137.99
0005	1	$124.99
0006	1	$208.99
0007	1	$50.99
0008	1	$499.99
0009	1	$299.99
0010	1	$299.99
0011	1	$263.99
0012	1	$20.99
0013	1	$60.99
0014	1	$141.99
0015	1	$99.99
0016	1	$277.99
0017	1	$311.99
0018	1	$307.99
0019	1	$10.99
0020	1	$307.99
0021	1	$195.99
0022	1	$92.99
0023	1	$216.99
0024	1	$51.99
0025	1	$114.99
0026	1	$90.99
0027	1	$354.99
0028	1	$109.99
0029	1	$230.99
0030	1	$333.99
0031	1	$244.99
0032	1	$227.99
0033	1	$320.99
0034	1	$244.99
0035	1	$227.99
0036	1	$395.99
0037	1	$50.99
0038	1	$54.99
0039	1	$87.99
0040	1	$87.99
0041	1	$87.99
0042	1	$87.99
0043	1	$160.99
0044	1	$160.99
0045	1	$87.99
0046	1	$94.99
0047	1	$94.99
0048	1	$94.99
0049	1	$94.99
0050	1	$94.99
0051	1	$135.99
0052	1	$135.99
0053	1	$170.99
0054	1	$170.99
0055	1	$170.99
0056	1	$170.99
0057	1	$170.99
0058	1	$109.99
0059	1	$109.99
0060	1	$109.99
0061	1	$109.99
0062	1	$54.99
0063	1	$59.99
0064	1	$59.99
0065	1	$13.99
0066	1	$293.99
0067	1	$293.99
0068	1	$293.99
0069	1	$39.99
0070	1	$39.99
0071	1	$39.99
0072	1	$24.99
0073	1	$87.99
0074	1	$136.99
0075	1	$97.99
0076	1	$148.99
0077	1	$148.99
0078	1	$54.99
0079	1	$160.99
0080	1	$160.99
0081	1	$57.99
0082	1	$87.99
0083	1	$181.99
0084	1	$187.99
0085	1	$187.99
0086	1	$181.99
0087	1	$197.99
0088	1	$197.99
0089	1	$197.99
0090	1	$197.99
0091	1	$285.99
0092	1	$130.99
0093	1	$75.99
0094	1	$75.99
0095	1	$318.99
0096	1	$92.99
0097	1	$92.99
0098	1	$162.99
0099	1	$162.99
0100	1	$162.99
0101	1	$162.99
0102	1	$431.99
0103	1	$390.99
0104	1	$244.99
0105	1	$342.99
0106	1	$318.99
0107	1	$265.99
0108	1	$265.99
0109	1	$265.99
0110	1	$135.99
0111	1	$135.99
0112	1	$135.99
0113	1	$135.99
0114	1	$324.99
0115	1	$324.99
0116	1	$324.99
0117	1	$324.99
0118	1	$265.99
0119	1	$60.99
0120	1	$60.99
0121	1	$51.99
0122	1	$51.99
0123	1	$51.99
0124	1	$51.99
0125	1	$44.99
0126	1	$44.99
0127	1	$44.99
0128	1	$46.99
0129	1	$46.99
0130	1	$46.99
0131	1	$46.99
0132	1	$46.99
0133	1	$71.99
0134	1	$71.99
0135	1	$54.99
0136	1	$54.99
0137	1	$54.99
0138	1	$54.99
0139	1	$54.99
0140	1	$57.99
0141	1	$93.99
0142	1	$124.99
0143	1	$199.99
0144	1	$271.99
0145	1	$357.99
0146	1	$434.99
0147	1	$288.99
0148	1	$316.99
0149	1	$316.99
0150	1	$316.99
0151	1	$316.99
0152	1	$316.99
0153	1	$305.99
0154	1	$61.99
0155	1	$30.99
0156	1	$60.99
0157	1	$57.99
0158	1	$65.99
0159	1	$65.99
0160	1	$46.99
0161	1	$19.99
0162	1	$132.99
0163	1	$128.99
0164	1	$71.99
0165	1	$117.99
0166	1	$190.99
0167	1	$148.99
0168	1	$148.99
0169	1	$157.99
0170	1	$157.99
0171	1	$157.99
0172	1	$108.99
0173	1	$108.99
0174	1	$108.99
0175	1	$185.99
0176	1	$100.99
0177	1	$126.99
0178	1	$213.99
0179	1	$154.99
0180	1	$142.99
0181	1	$269.99
0182	1	$136.99
0183	1	$113.99
0184	1	$92.99
0185	1	$182.99
0186	1	$154.99
0187	1	$92.99
0188	1	$109.99
0189	1	$136.99
0190	1	$70.99
0191	1	$113.99
0192	1	$88.99
0193	1	$109.99
0194	1	$188.99
0195	1	$188.99
0196	1	$187.99
0197	1	$123.99
0198	1	$122.99
0199	1	$141.99
0200	1	$122.99
0201	1	$123.99
0202	1	$122.99
0203	1	$88.99
0204	1	$137.99
0205	1	$137.99
0206	1	$137.99
0207	1	$137.99
0208	1	$176.99
0209	1	$176.99
0210	1	$176.99
0211	1	$176.99
0212	1	$176.99
0213	1	$146.99
0214	1	$146.99
0215	1	$141.99
0216	1	$141.99
0217	1	$141.99
0218	1	$141.99
0219	1	$141.99
0220	1	$141.99
0221	1	$214.99
0222	1	$182.99
0223	1	$182.99
0224	1	$182.99
0225	1	$360.99
0226	1	$360.99
0227	1	$360.99
0228	1	$360.99
0229	1	$297.99
0230	1	$297.99
0231	1	$297.99
0232	1	$297.99
0233	1	$273.99
0234	1	$273.99
0235	1	$335.99
0236	1	$335.99
0237	1	$335.99
0238	1	$107.99
0239	1	$143.99
0240	1	$252.99
0241	1	$252.99
0242	1	$241.99
0243	1	$216.99
0244	1	$216.99
0245	1	$200.99
0246	1	$156.99
0247	1	$90.99
0248	1	$82.99
0249	1	$83.99
0250	1	$109.99
0251	1	$109.99
