job	careerbuilder	company
2000	2000	2000	455
0000	1	COmputing TechnologieS, Inc.
0001	1	Legal Placements
0002	1	CareerPlanners, Inc
0003	1	Analysts International Corporation
0004	1	System Staffing Group
0005	1	Mice Groups
0006	1	Surrex Solutions Corporation
0007	1	Infinity Consulting Solutions
0008	1	Infinity Consulting Solutions
0009	1	Infinity Consulting Solutions
0010	1	Infinity Consulting Solutions
0011	1	Total Wine & More
0012	1	Infinity Consulting Solutions
0013	1	Infinity Consulting Solutions
0014	1	Infinity Consulting Solutions
0015	1	AVID Technical Resources, Inc.
0016	1	Advantage xPO
0017	1	Bayside Solutions -Technology
0018	1	AVID Technical Resources, Inc.
0019	1	AVID Technical Resources, Inc.
0020	1	e-Staff Consulting Group, Inc.
0021	1	e-Staff Consulting Group, Inc.
0022	1	BalancePoint
0023	1	TECHSTAFF Inc.
0024	1	AVID Technical Resources, Inc.
0025	1	Mice Groups
0026	1	Not Available
0027	1	HireStrategy
0028	1	HireStrategy
0029	1	Bond Street Group
0030	1	Conexess
0031	1	Not Available
0032	1	Macomb Community College
0033	1	Cambridge Professional Group
0034	1	HireStrategy
0035	1	Professional Recruiting Consultants
0036	1	Defense Intelligence Agency
0037	1	The Specialists Group
0038	1	Analysts International Corporation
0039	1	HireStrategy
0040	1	SaleStart
0041	1	Vology Data Systems
0042	1	Icon Information Consultants
0043	1	HireStrategy
0044	1	Professional Recruiting Consultants
0045	1	Open Systems Technologies
0046	1	Open Systems Technologies
0047	1	Infinity Consulting Solutions
0048	1	Not Available
0049	1	Open Systems Technologies
0050	1	Open Systems Technologies
0051	1	Accero Inc.
0052	1	Indecon Solutions
0053	1	AVID Technical Resources, Inc.
0054	1	1105 Media, Inc
0055	1	Infinity Consulting Solutions
0056	1	Direct Hire Associates, LLC
0057	1	Omni One
0058	1	Corporate & Technical Recruiters, Inc
0059	1	AVID Technical Resources, Inc.
0060	1	HireStrategy
0061	1	Brooksource
0062	1	HireStrategy
0063	1	HireStrategy
0064	1	HireStrategy
0065	1	HireStrategy
0066	1	HireStrategy
0067	1	HireStrategy
0068	1	HireStrategy
0069	1	HireStrategy
0070	1	HireStrategy
0071	1	The Select Group
0072	1	GHA Technologies
0073	1	Acushnet Company
0074	1	L-3 Communications Display Systems
0075	1	BalancePoint
0076	1	Agra Placements
0077	1	Surrex Solutions Corporation
0078	1	s·com
0079	1	Goodman & Company
0080	1	Pinstripe, Inc
0081	1	Thompson Technologies
0082	1	Mice Groups
0083	1	Mice Groups
0084	1	AVID Technical Resources, Inc.
0085	1	Brooksource
0086	1	Mice Groups
0087	1	Mice Groups
0088	1	Goodman & Company
0089	1	AllStates Technical Services
0090	1	Not Available
0091	1	GHA Technologies
0092	1	GHA Technologies
0093	1	GHA Technologies
0094	1	GHA Technologies
0095	1	GHA Technologies
0096	1	GHA Technologies
0097	1	GHA Technologies
0098	1	GHA Technologies
0099	1	GHA Technologies
0100	1	Direct Hire Associates, LLC
0101	1	Direct Hire Associates, LLC
0102	1	Bayside Solutions -Technology
0103	1	Bond Street Group
0104	1	Software Specialists, Inc
0105	1	WilsonHCG
0106	1	StratStaff
0107	1	Conexis
0108	1	Lubrizol
0109	1	IT Associates
0110	1	HireStrategy
0111	1	HireStrategy
0112	1	GHA Technologies
0113	1	GHA Technologies
0114	1	GHA Technologies
0115	1	GHA Technologies
0116	1	GHA Technologies
0117	1	GHA Technologies
0118	1	Richard Fleischman & Associates
0119	1	Brooksource
0120	1	Cayuse Technologies
0121	1	Staffing Now
0122	1	Rotator Staffing Services, Inc.
0123	1	Talagy
0124	1	Teleperformance Advanced Services Division
0125	1	HCA Shared Services
0126	1	Not Available
0127	1	Federal Reserve Bank of Kansas City
0128	1	Veredus
0129	1	Collabera Inc.
0130	1	Pro Resources, Inc.
0131	1	CSI Companies
0132	1	Independent Producers of America, LLC
0133	1	ICED - Computer Explorers
0134	1	ICED - Computer Explorers
0135	1	ICED - Computer Explorers
0136	1	ICED - Computer Explorers
0137	1	ICED - Computer Explorers
0138	1	ICED - Computer Explorers
0139	1	ICED - Computer Explorers
0140	1	ICED - Computer Explorers
0141	1	ICED - Computer Explorers
0142	1	ICED - Computer Explorers
0143	1	ICED - Computer Explorers
0144	1	ICED - Computer Explorers
0145	1	ICED - Computer Explorers
0146	1	ICED - Computer Explorers
0147	1	ICED - Computer Explorers
0148	1	ICED - Computer Explorers
0149	1	ICED - Computer Explorers
0150	1	ICED - Computer Explorers
0151	1	ICED - Computer Explorers
0152	1	ICED - Computer Explorers
0153	1	ICED - Computer Explorers
0154	1	ICED - Computer Explorers
0155	1	ICED - Computer Explorers
0156	1	ICED - Computer Explorers
0157	1	ICED - Computer Explorers
0158	1	ICED - Computer Explorers
0159	1	ICED - Computer Explorers
0160	1	ICED - Computer Explorers
0161	1	ICED - Computer Explorers
0162	1	ICED - Computer Explorers
0163	1	ICED - Computer Explorers
0164	1	ICED - Computer Explorers
0165	1	ICED - Computer Explorers
0166	1	ICED - Computer Explorers
0167	1	ICED - Computer Explorers
0168	1	ICED - Computer Explorers
0169	1	ICED - Computer Explorers
0170	1	ICED - Computer Explorers
0171	1	ICED - Computer Explorers
0172	1	ICED - Computer Explorers
0173	1	ICED - Computer Explorers
0174	1	ICED - Computer Explorers
0175	1	ICED - Computer Explorers
0176	1	ICED - Computer Explorers
0177	1	ICED - Computer Explorers
0178	1	ICED - Computer Explorers
0179	1	ICED - Computer Explorers
0180	1	ICED - Computer Explorers
0181	1	ICED - Computer Explorers
0182	1	ICED - Computer Explorers
0183	1	ICED - Computer Explorers
0184	1	ICED - Computer Explorers
0185	1	ICED - Computer Explorers
0186	1	ICED - Computer Explorers
0187	1	ICED - Computer Explorers
0188	1	ICED - Computer Explorers
0189	1	ICED - Computer Explorers
0190	1	ICED - Computer Explorers
0191	1	ICED - Computer Explorers
0192	1	ICED - Computer Explorers
0193	1	ICED - Computer Explorers
0194	1	ICED - Computer Explorers
0195	1	ICED - Computer Explorers
0196	1	ICED - Computer Explorers
0197	1	ICED - Computer Explorers
0198	1	ICED - Computer Explorers
0199	1	ICED - Computer Explorers
0200	1	ICED - Computer Explorers
0201	1	ICED - Computer Explorers
0202	1	ICED - Computer Explorers
0203	1	ICED - Computer Explorers
0204	1	ICED - Computer Explorers
0205	1	ICED - Computer Explorers
0206	1	ICED - Computer Explorers
0207	1	Tata Consultancy Services
0208	1	Tata Consultancy Services
0209	1	Tata Consultancy Services
0210	1	Tata Consultancy Services
0211	1	Tata Consultancy Services
0212	1	ICED - Computer Explorers
0213	1	ICED - Computer Explorers
0214	1	ICED - Computer Explorers
0215	1	ICED - Computer Explorers
