job	dice	company
2000	2000	2000	623
0000	1	Confidential Company
0001	1	Livescribe Inc.
0002	1	Ingenuity Corporation
0003	1	Cypress Group
0004	1	Nexon America
0005	1	Concept Solutions
0006	1	Damcosoft Inc
0007	1	Blue Line Talent LLC
0008	1	SavvyConsulting LLC
0009	1	Systems Personnel, Inc.
0010	1	ActiveVideo Networks
0011	1	Adaptive Computing
0012	1	Strategic IT Staffing
0013	1	Narus
0014	1	jobTopia LLC
0015	1	Buccaneer, A Vangent Company
0016	1	Citadel Information Services Inc
0017	1	Wipro Technologies
0018	1	HigherOut
0019	1	Maantic
0020	1	Exemplar Partners, LLC
0021	1	Adaptive Computing
0022	1	Dave Partners LLC
0023	1	PT Systems
0024	1	Palnar
0025	1	MicroEdge LLC
0026	1	StrongMail Systems, Inc.
0027	1	McKinley Group Inc
0028	1	Strategic IT Staffing
0029	1	Mitchell Martin, Inc.
0030	1	Euclid Innovations
0031	1	Winston Harbor Group
0032	1	AbleForce
0033	1	ConsultUSA
0034	1	Alaris Technology
0035	1	Advance Consulting &amp; Staffing
0036	1	Advance Consulting &amp; Staffing
0037	1	XPAND Corporation
0038	1	TekPundits
0039	1	IND-US TARGET LLC
0040	1	Isilon Systems Inc
0041	1	RealSoft Technologies LLC
0042	1	A* Strategies
0043	1	OCHIN
0044	1	Mitchell Martin, Inc.
0045	1	Commonwealth Financial Network
0046	1	NPD Global
0047	1	Technical and Management Resource, Inc.
0048	1	Creative Circle, LLC
0049	1	EOK Technologies Inc
0050	1	Morgan Stanley
0051	1	Documentation Strategies
0052	1	Alaris Technology
0053	1	Skoruz Technologies Inc.
0054	1	Clarity Imaging Technologies Inc
0055	1	Bailey Computing Technologies
0056	1	Talent Recruiters, Inc
0057	1	HigherOut
0058	1	Wipro Technologies
0059	1	Agilex Technologies, Inc.
0060	1	Tandem Recruiting Group
0061	1	Arc-Intel
0062	1	Staffback
0063	1	MyWorld
0064	1	SUPERMICRO COMPUTER INC
0065	1	The Planet
0066	1	ennVee TechnoGroup, Inc
0067	1	ADP
0068	1	HNI Corp.
0069	1	GLOBAL Strategies Group (NA) Inc
0070	1	ABeam Consulting
0071	1	Smart Staffing Service
0072	1	Synergy America, Inc.
0073	1	Cypress Group
0074	1	Pegasystems
0075	1	Corporate Information Technologies, Inc.
0076	1	Columbia Sportswear Company
0077	1	Xpeerant Inc.
0078	1	IND-US TARGET LLC
0079	1	Cypress Group
0080	1	Ports America
0081	1	Davooco IT
0082	1	Datrose
0083	1	ATSC
0084	1	EZ2 Technologies, Inc.
0085	1	Align Technology
0086	1	OPTiMO Information Technology LLC
0087	1	Talent Recruiters, Inc
0088	1	Advanced MarketPlace
0089	1	Cyquent, Inc.
0090	1	Cloudmark, Inc.
0091	1	Staffback
0092	1	Creative Circle, LLC
0093	1	PROLIFICS - a Jyacc company
0094	1	Intouch Staffing Professionals, Inc.
0095	1	Tantus Technologies, Inc
0096	1	Creative Circle, LLC
0097	1	Schweitzer Engineering Laboratories, Inc.
0098	1	Visionet Systems
0099	1	Adaptive Computing
0100	1	MicroEdge LLC
0101	1	Trace3
0102	1	Beacon Hill Staffing Group
0103	1	Magee Resource Group (MRI)
0104	1	ATSC
0105	1	ATSC
0106	1	Network Solutions
0107	1	Momentum Consulting Corp
0108	1	University of Chicago Hospitals
0109	1	Field Solutions
0110	1	US East
0111	1	Associated Press
0112	1	Mitchell Martin, Inc.
0113	1	Talentporte, Inc.
0114	1	Professional Business Services Intl.
0115	1	The Harry Fox Agency, Inc.
0116	1	Wipro Technologies
0117	1	Intouch Staffing Professionals, Inc.
0118	1	PT Systems
0119	1	SigmaTek Consulting, LLC
0120	1	Barracuda Networks
0121	1	Optivus Proton Therapy Inc.
0122	1	Wipro Technologies
0123	1	ArchSmart LLC
0124	1	DST Inc.
0125	1	Mitchell Martin, Inc.
0126	1	Thales Avionics In Flight Systems
0127	1	Catalina Marketing
0128	1	Thales Avionics In Flight Systems
0129	1	OCHIN
0130	1	ia2 inc
0131	1	Valdez International Corp.
0132	1	Acesoft Labs Inc
0133	1	SI-Tec Consulting LLC
0134	1	ExecuHR
0135	1	Paciolan
0136	1	Avani Technology Solutions Inc
0137	1	Cardiocom
0138	1	Abisco Solutions
0139	1	Systems Personnel, Inc.
0140	1	ConsultUSA
0141	1	Intouch Staffing Professionals, Inc.
0142	1	OpenSymmetry
0143	1	Hexacorp
0144	1	Kelley Blue Book
0145	1	Schweitzer Engineering Laboratories, Inc.
0146	1	Gemini Systems, LLC.
0147	1	IT Solutions, Inc.
0148	1	Scigon Solutions
0149	1	Search Technology
0150	1	Wipro Technologies
0151	1	SEAKR Engineering
0152	1	Dovel Technologies
0153	1	Path Network Solutions
0154	1	Mocana Corporation
0155	1	Fusion Solutions, Inc.
0156	1	ULINE
0157	1	INTELECOX INC.
0158	1	TechHive
0159	1	Support Systems Associates Inc.
0160	1	Barracuda Networks
0161	1	Promotum Group, LLC
0162	1	Architech Solutions
0163	1	NU Technology Inc
0164	1	Infinite Solutions Inc.
0165	1	Cyquent, Inc.
0166	1	Creative Circle, LLC
0167	1	Tandem Recruiting Group
0168	1	Henry Elliott &amp; Company Inc.
0169	1	Intouch Staffing Professionals, Inc.
0170	1	Tekniforce
0171	1	Fruit of the Loom
0172	1	ProSource IT
0173	1	Prodigy Resources
0174	1	Technical and Management Resource, Inc.
0175	1	The Recruiting Group
0176	1	Systems Personnel, Inc.
0177	1	Field Solutions
0178	1	M Corp
0179	1	Keynetx, Inc
0180	1	Dave Partners LLC
0181	1	Clutch Inc.
0182	1	EOK Technologies Inc
0183	1	ATSC
0184	1	Creative Circle, LLC
0185	1	Kayak Global Solutions (MRI)
0186	1	Anu Resources Unlimited, Inc.
0187	1	Alaris Technology
0188	1	Creative Circle, LLC
0189	1	CONNECTWISE
0190	1	Systems Personnel, Inc.
0191	1	ATSC
0192	1	Virtual Capacity LLC
0193	1	ADP
0194	1	Wipro Technologies
0195	1	SIA (System Integration Architects LLC)
0196	1	Gemini Systems, LLC.
0197	1	Emory University
0198	1	Wipro Technologies
0199	1	MEDecision
0200	1	Keynetx, Inc
0201	1	MF Global
0202	1	Galaxy Systems, Inc.
0203	1	Columbia Sportswear Company
0204	1	Commonwealth Financial Network
0205	1	Career Direction
0206	1	Columbia Sportswear Company
0207	1	Tranzxn Inc
0208	1	Tranzxn Inc
0209	1	Meggitt Defense Systems
0210	1	Beacon Hill Staffing Group
0211	1	Cardiocom
0212	1	Confidential Company
0213	1	Deltek Systems Inc
0214	1	IND-US TARGET LLC
0215	1	People Vendor
0216	1	Wipro Technologies
0217	1	Prodigy Resources
0218	1	SigmaTek Consulting, LLC
0219	1	Confidential Company
0220	1	ATSC
0221	1	Concurrent
0222	1	Enterprise Integration
0223	1	ArchSmart LLC
0224	1	Adconion Media Group
0225	1	New York Stock Exchange
0226	1	Tandem Recruiting Group
0227	1	IFLOWSOFT Solutions Inc.
0228	1	SEAKR Engineering
0229	1	STAFFMATIX
0230	1	SriSys Inc
0231	1	Terra Verde LLC
0232	1	Morgan Stanley
0233	1	Network Objects Inc.
0234	1	Highview Partners
0235	1	Resolution Technologies
0236	1	Synerzy Software Solutions Inc
0237	1	Ikanos Communications Inc
0238	1	Scigon Solutions
0239	1	OCHIN
0240	1	Fusion Solutions, Inc.
0241	1	Tranzxn Inc
0242	1	Terra Verde LLC
0243	1	TwoFour
0244	1	Sahasra Technologies
0245	1	Magee Resource Group (MRI)
0246	1	International Programming &amp; Systems, Inc.
0247	1	Amazech Solutions
0248	1	Haemonetics
0249	1	Eaton &amp; Associates
0250	1	Wipro Technologies
0251	1	Mitchell Martin, Inc.
0252	1	Corporate Information Technologies, Inc.
0253	1	EDMC-Education Management Corporation
0254	1	Mitchell Martin, Inc.
0255	1	Kinetix Technology
0256	1	Mfoundry
0257	1	Swan HR Consulting
0258	1	Alpha Recruitment
0259	1	Kinetix Technology
0260	1	Wipro Technologies
0261	1	ATSC
0262	1	Echelon IT
0263	1	LBi US LLC
0264	1	SaiTech, Inc
0265	1	C3 Staffing &amp; Investigations
0266	1	Mitchell Martin, Inc.
0267	1	Technical and Management Resource, Inc.
0268	1	Sahasra Technologies
0269	1	Skolix Llc
0270	1	LANtek
0271	1	Creative Circle, LLC
0272	1	The Astor Group
0273	1	Ubergig
0274	1	ia2 inc
0275	1	Centare Group, Ltd.
0276	1	Talentporte, Inc.
0277	1	Telerik, Inc.
0278	1	GLOBAL Strategies Group (NA) Inc
0279	1	Staffback
0280	1	Creative Circle, LLC
0281	1	SpiderCloud Wireless
0282	1	Livescribe Inc.
0283	1	Align Technology
0284	1	Samiksha Soft Inc.
0285	1	Prodigy Resources
0286	1	ABeam Consulting
0287	1	Catalyst RX
0288	1	Resolution Technologies
0289	1	SGS Technologies
0290	1	Integrated Staffing Solutions
0291	1	Samiksha Soft Inc.
0292	1	ADP
0293	1	Beacon Hill Staffing Group
0294	1	Intouch Staffing Professionals, Inc.
0295	1	Atayo Group
0296	1	ASK Group Inc
0297	1	Fusion Solutions, Inc.
0298	1	Arc-Intel
0299	1	ATSC
0300	1	Intouch Staffing Professionals, Inc.
0301	1	A* Strategies
0302	1	Logic Technology, LLC
0303	1	Novus Global Solutions LLC.
0304	1	Strategic IT Staffing
0305	1	Atheros Communications
0306	1	Galaxy Systems, Inc.
0307	1	Ikanos Communications Inc
0308	1	ASK Group Inc
0309	1	Magee Resource Group (MRI)
0310	1	Mitchell Martin, Inc.
0311	1	Horizon Soft Solutions
0312	1	Athens Group
0313	1	Technovision, Inc.
0314	1	Sound Business Solutions
0315	1	Ratchet
0316	1	Alpha Recruitment
0317	1	Enphase Energy
0318	1	BE Aerospace Inc
0319	1	Datrose
0320	1	Cognilytics
0321	1	Deltek Systems Inc
0322	1	Staffback
0323	1	Ferguson Enterprises
0324	1	Autonomy, Inc.
0325	1	WellSpan Health
0326	1	CMI Management
0327	1	Ascent Technologies, Inc
0328	1	Chegg
0329	1	Circular Edge
0330	1	SSCI Inc (System Sciences Corporation Internationa
0331	1	BCM Resource
0332	1	Black Box Resale Service
0333	1	Knowledge Universe Technologies
0334	1	Professional Support, Inc.
0335	1	Concurrent
0336	1	EmployVision
0337	1	Livescribe Inc.
0338	1	Holiday Retirement
0339	1	PROS
0340	1	Eaton &amp; Associates
0341	1	Intouch Staffing Professionals, Inc.
0342	1	SEAKR Engineering
0343	1	Data Resource Group
0344	1	Creative Circle, LLC
0345	1	Stele Infotech
0346	1	Momentum Consulting Corp
0347	1	HigherOut
0348	1	ATSC
0349	1	Dinan and Associates
0350	1	ASK Group Inc
0351	1	SPARC, LLC
0352	1	Morgan Stanley
0353	1	OnX Enterprise Solutions
0354	1	Aspire Business Consulting
0355	1	Aclara Software
0356	1	Beryl Companies
0357	1	Streamline Global Staffing
0358	1	CTI InfoTech
0359	1	Beacon Hill Staffing Group
0360	1	ATSC
0361	1	Benchmark IT LLC
0362	1	Aspire Business Consulting
0363	1	Barracuda Networks
0364	1	Align Technology
0365	1	Talogix, Inc
0366	1	Calpion Inc.
0367	1	West Virginia University Research
0368	1	Wipro Technologies
0369	1	CarMax
0370	1	RussellPhillips
0371	1	Dave Partners LLC
0372	1	Telerik, Inc.
0373	1	The Harry Fox Agency, Inc.
0374	1	Pyxis Mobile
0375	1	MVS Inc.
0376	1	Orlando Sentinel
0377	1	Avani Technology Solutions Inc
0378	1	Stellent Solutions Inc
0379	1	CTI TEKSOURCE LLC
0380	1	Mitchell Martin, Inc.
0381	1	ConsultUSA
0382	1	Prime Team Partners
0383	1	Beacon Hill Staffing Group
0384	1	New Way Recruiting
0385	1	TRUMARK Executive Search
0386	1	IND-US TARGET LLC
0387	1	aquesst
0388	1	Morgan Stanley
0389	1	Strategic IT Staffing
0390	1	UxStation
0391	1	ULINE
0392	1	Barracuda Networks
0393	1	Aclara Software
0394	1	Millennium Consultants
0395	1	ING Talent Acquisition
0396	1	Creative Circle, LLC
0397	1	Zinc.tv
0398	1	Smart Synergies
0399	1	Horizon Soft Solutions
0400	1	Autonomy, Inc.
0401	1	EPIC Management, LP
0402	1	Volm Consulting
0403	1	C3 Staffing &amp; Investigations
0404	1	PEER 1 Hosting
0405	1	Five 9 Group, Inc.
0406	1	PROLIFICS - a Jyacc company
0407	1	ConsultUSA
0408	1	Staffback
0409	1	Micro Tech Staffing
0410	1	Aviana Global Technologies
0411	1	Trustaff
0412	1	SFJ Solutions
0413	1	24x7 ESI Inc.
0414	1	Innovair Consulting
0415	1	Architech Solutions
0416	1	Systems In Motion - HQ
0417	1	TRUMARK Executive Search
0418	1	Qualifacts Systems Inc
0419	1	Wipro Technologies
0420	1	Levanture
0421	1	Five 9 Group, Inc.
0422	1	Fabergent
0423	1	Fusion Solutions, Inc.
0424	1	Green Tree Credit Solutions
0425	1	Wipro Technologies
0426	1	Confidential Company
0427	1	INTELECOX INC.
0428	1	Reach Local
0429	1	Confidential Search
0430	1	Xpeerant Inc.
0431	1	Staffback
0432	1	CarMax
0433	1	Benchmark IT LLC
0434	1	Fusion Solutions, Inc.
0435	1	Navigator Management Partners
0436	1	Net Fusion Corporation
0437	1	Synegen
0438	1	Confidential Company
0439	1	Career Direction
0440	1	Major League Baseball Advanced Media
0441	1	ADP
0442	1	Horizon Soft Solutions
0443	1	Cypress Group
0444	1	eHire
0445	1	Roundarch
0446	1	CMI Management
0447	1	Hexaware Technologies, Inc
0448	1	Dinan and Associates
0449	1	Conexis
0450	1	Logic Technology, LLC
0451	1	ATSC
0452	1	Florida Virtual School
0453	1	BE Aerospace Inc
0454	1	Jonathan Roberts Associates, Inc.
0455	1	SigmaTek Consulting, LLC
0456	1	Morgan Stanley
0457	1	Telerik, Inc.
0458	1	Datatel, Inc.
0459	1	Segue Search
0460	1	Professional Support, Inc.
0461	1	Cyquent, Inc.
0462	1	Field Solutions
0463	1	Career Direction
0464	1	Quantum Infotech Inc.
0465	1	Pegasystems
0466	1	Fiber-Span
0467	1	Five 9 Group, Inc.
0468	1	Nascent Systems
0469	1	Symbolic Systems, Inc
0470	1	Creative Network Systems
0471	1	Adaptive Solutions Group
0472	1	Glocap Search
