job	dice	location
2000	2000	2000	460
0000	1	San Francisco, CA
0001	1	Oakland, CA
0002	1	Boston, MA
0003	1	Reading, MA
0004	1	El Segundo, CA
0005	1	Washington, DC
0006	1	New York, NY
0007	1	georgetown, CT
0008	1	Mclean, VA
0009	1	Jersey City, NJ
0010	1	San Jose, CA
0011	1	Provo, UT
0012	1	Charlotte, NC
0013	1	Sunnyvale, CA
0014	1	Atlanta, GA
0015	1	Warrenton, VA
0016	1	New York City, NY
0017	1	Stamford, CT
0018	1	Lake Forest, CA
0019	1	LA, CA
0020	1	princeton, NJ
0021	1	Provo, UT
0022	1	New York, NY
0023	1	San Francisco, CA
0024	1	RARITAN, NJ
0025	1	Minneapolis, MN
0026	1	Redwood City, CA
0027	1	Minneapolis, MN
0028	1	Jacksonville, FL
0029	1	New york, NY
0030	1	Charlotte, NC
0031	1	Hanover, MD
0032	1	Carlsbad, CA
0033	1	King of Prussia, PA
0034	1	Chelmsford, MA
0035	1	New York, NY
0036	1	Charlotte, NC
0037	1	Reston, VA
0038	1	Phoenix, AZ
0039	1	Warren, NJ
0040	1	San Jose, CA
0041	1	Herndon, VA
0042	1	New York, NY
0043	1	Portland, OR
0044	1	New York, NY
0045	1	Waltham, MA
0046	1	New York, NY
0047	1	Washington, DC
0048	1	Chicago, IL
0049	1	Fremont, CA
0050	1	New York, NY
0051	1	Albany, NY
0052	1	Attleboro, MA
0053	1	San Jose, CA
0054	1	Springfield, MA
0055	1	Gray, TN
0056	1	Denver, CO
0057	1	Boston, MA
0058	1	portland, OR
0059	1	Chantilly, VA
0060	1	San Jose, CA
0061	1	San Antonio, TX
0062	1	San Jose, CA
0063	1	San Francisco, CA
0064	1	San Jose, CA
0065	1	Dallas, TX
0066	1	Chicago, IL
0067	1	Alpharetta, GA
0068	1	Muscatine, IA
0069	1	Fort George G Meade, MD
0070	1	Dallas, TX
0071	1	Cambridge, MA
0072	1	Irving, TX
0073	1	New York, NY
0074	1	San Francisco, CA
0075	1	Middletown, CT
0076	1	Portland, OR
0077	1	Fort Collins, CO
0078	1	Warren, NJ
0079	1	Boston, MA
0080	1	Phoenix, AZ
0081	1	New York City, NY
0082	1	Ann Arbor, MI
0083	1	Washington, DC
0084	1	Buffalo, NY
0085	1	San Jose, CA
0086	1	Wilkes Barre, PA
0087	1	Denver, CO
0088	1	Washington, DC
0089	1	Suitland, MD
0090	1	San Francisco, CA
0091	1	San Jose, CA
0092	1	Manhattan, NY
0093	1	New York, NY
0094	1	San Jose, CA
0095	1	Washington, DC
0096	1	New York, NY
0097	1	Pullman, WA
0098	1	St. Louis, MO
0099	1	Provo, UT
0100	1	New York, NY
0101	1	Las Vegas, NV
0102	1	Cleveland, OH
0103	1	Springfield, IL
0104	1	Herndon, VA
0105	1	Reston, VA
0106	1	Herndon, VA
0107	1	Miami Lakes, FL
0108	1	Chicago, IL
0109	1	Lometa, TX
0110	1	Los Angeles, CA
0111	1	Cranbury, NJ
0112	1	Princeton, NJ
0113	1	St. Louis, MO
0114	1	Collegeville, PA
0115	1	New York, NY
0116	1	Santa Clara, CA
0117	1	San Carlos, CA
0118	1	Ashburn, VA
0119	1	Washington, DC
0120	1	Campbell, CA
0121	1	San Bernardino, CA
0122	1	San diego, CA
0123	1	Arlington, VA
0124	1	Lake Forest, CA
0125	1	Princeton, NJ
0126	1	Irvine, CA
0127	1	Saint Petersburg, FL
0128	1	Irvine, CA
0129	1	Portland, OR
0130	1	Washington, DC
0131	1	Ewing, NJ
0132	1	madison, WI
0133	1	Woodlawn, MD
0134	1	Milpitas, CA
0135	1	Irvine, CA
0136	1	Rochester, NY
0137	1	Chanhassen, MN
0138	1	Milwaukee, WI
0139	1	Jersey City, NJ
0140	1	Pittsburgh, PA
0141	1	Santa Clara, CA
0142	1	Austin, TX
0143	1	cincinnati, OH
0144	1	Irvine, CA
0145	1	Pullman, WA
0146	1	New York, NY
0147	1	Raritan, NJ
0148	1	Chicago, IL
0149	1	Houston, TX
0150	1	Jersey City, NJ
0151	1	Centennial, CO
0152	1	McLean, VA
0153	1	Columbia, MD
0154	1	San Francisco, CA
0155	1	Dallas, TX
0156	1	Pleasant Prairie, WI
0157	1	san francisco, CA
0158	1	San Diego, CA
0159	1	Warner Robins, GA
0160	1	Campbell, CA
0161	1	Boston, MA
0162	1	New York, NY
0163	1	Hingham, MA
0164	1	Oklahoma City, OK
0165	1	Suitland, MD
0166	1	Fullerton, CA
0167	1	Sunnyvale, CA
0168	1	Unspecified, MA
0169	1	Austin, TX
0170	1	Cary, NC
0171	1	Bowling Green, KY
0172	1	Miami, FL
0173	1	Denver, CO
0174	1	Rosslyn, VA
0175	1	Atlanta, GA
0176	1	Buffalo, NY
