job	hotjobs	location
2000	2000	2000	924
0000	1	Blairsville, PA
0001	1	Jacksonville, FL
0002	1	Augusta, GA
0003	1	Winona, MN
0004	1	North Canton, OH
0005	1	Normal, IL
0006	1	Tonawanda, NY
0007	1	New York, NY
0008	1	Kent, WA
0009	1	San Antonio, TX
0010	1	Dallas, TX
0011	1	Atlanta, GA
0012	1	Wilmington, DE &#8226; Philadelphia, PA
0013	1	Atlanta, GA
0014	1	Atlanta, GA
0015	1	Irvine, CA
0016	1	New York, NY
0017	1	Chico, CA
0018	1	Atlanta, GA
0019	1	Boulder, CO
0020	1	Midland, TX
0021	1	Westwood, MA
0022	1	San Jose, CA
0023	1	Stuart, FL
0024	1	La Crosse, WI
0025	1	Pittsfield, MA
0026	1	San Angelo, TX
0027	1	Fenton, MO
0028	1	Richardson, TX
0029	1	Burlington, NJ
0030	1	Philadelphia, PA
0031	1	San Diego, CA &#8226; Seattle, WA
0032	1	Atlanta, GA
0033	1	Norfolk, VA
0034	1	San Bruno, CA
0035	1	Sunnyvale, CA
0036	1	Erie, PA
0037	1	New York, NY
0038	1	Austin, TX
0039	1	Sunnyvale, CA
0040	1	Santa Clara, CA
0041	1	Louisville, KY
0042	1	Los Angeles, CA
0043	1	Warren, NJ
0044	1	Santa Clara, CA
0045	1	Washington, DC
0046	1	Pleasanton, CA &#8226; Sunnyvale, CA
0047	1	Indianapolis, IN
0048	1	San Jose, CA
0049	1	Tewksbury, MA
0050	1	Jamestown, NY
0051	1	San Antonio, TX
0052	1	San Antonio, TX
0053	1	Erie, PA
0054	1	White Plains, NY &#8226; New Rochelle, NY
0055	1	Racine, WI
0056	1	Redwood City, CA
0057	1	Norcross, GA
0058	1	San Antonio, TX
0059	1	Madison, WI
0060	1	Bismarck, ND
0061	1	Austin, TX &#8226; Dallas, TX
0062	1	San Antonio, TX
0063	1	Tarrytown, NY &#8226; White Plains, NY
0064	1	Austin, TX &#8226; Dallas, TX
0065	1	Portland, TN
0066	1	Spokane, WA
0067	1	Dallas, TX
0068	1	San Jose, CA &#8226; San Francisco, CA
0069	1	Atlanta, GA &#8226; Augusta, GA
0070	1	Folsom, CA
0071	1	Seattle, WA
0072	1	Portland, OR
0073	1	Chicago, IL
0074	1	Norcross, GA
0075	1	San Jose, CA
0076	1	King of Prussia, PA
0077	1	Calabasas, CA
0078	1	Brisbane, CA
0079	1	Evansville, IN
0080	1	Jersey City, NJ
0081	1	Sunnyvale, CA
0082	1	Santa Clara, CA
0083	1	Santa Clara, CA
0084	1	Reston, VA
0085	1	Richland, WA
0086	1	Seattle, WA
0087	1	Reston, VA
0088	1	Raleigh, NC
0089	1	Baton Rouge, LA
0090	1	Woodland Hills, CA
0091	1	Tallahassee, FL
0092	1	Austin, TX
0093	1	Austin, TX
0094	1	Yukon, OK
0095	1	Chicago, IL
0096	1	Chicago, IL
0097	1	Chicago, IL
0098	1	Van Nuys, CA
0099	1	Houston, TX
0100	1	Culver City, CA
0101	1	Mt Pleasant, PA
0102	1	Chapel Hill, NC &#8226; Raleigh, NC
0103	1	Chicago, IL &#8226; Detroit, MI
0104	1	Brooklyn, NY &#8226; Flushing, NY
0105	1	Hauppauge, NY &#8226; New York, NY
0106	1	Bismarck, ND
0107	1	Bloomington, IL
0108	1	Hampton, VA
0109	1	Houston, TX
0110	1	Ina, IL
0111	1	Memphis, TN
0112	1	Beverly Hills, CA
0113	1	Lawton, OK
0114	1	Chicago, IL
0115	1	Moraga, CA
0116	1	Chicago, IL
0117	1	Southfield, MI
0118	1	Chicago, IL
0119	1	Houston, TX
0120	1	Chicago, IL
0121	1	Houston, TX
0122	1	San Francisco, CA &#8226; San Jose, CA
0123	1	Chicago, IL
0124	1	Columbia, MD
0125	1	Redmond, WA
0126	1	Lawrence, KS
0127	1	Santa Clara, CA
0128	1	Austin, TX
0129	1	Irvine, CA
0130	1	Seattle, WA
0131	1	Norcross, GA
0132	1	DELRAY BEACH, FL
0133	1	Albuquerque, NM
0134	1	New York, NY
0135	1	New York, NY
0136	1	Cupertino, CA
0137	1	New York, NY
