job	job	location
2000	2000	2000	482
0000	1	New York, New York
0001	1	New York, New York
0002	1	New York, New York
0003	1	New York, New York
0004	1	Sunnyvale, California
0005	1	SAN FRANCISCO, California
0006	1	Lexington, Massachusetts
0007	1	El Segundo, California
0008	1	Lakewood, Colorado
0009	1	Atlanta, Georgia
0010	1	Santa Clara, California
0011	1	New York, New York
0012	1	San Diego, California
0013	1	Fort Lauderdale, Florida
0014	1	Durham, North Carolina
0015	1	Washington, District Of Columbia
0016	1	San Bruno, California
0017	1	Phoenix, Arizona
0018	1	Durham, North Carolina
0019	1	Washington, District Of Columbia
0020	1	Washington, District Of Columbia
0021	1	New York, New York
0022	1	Palo Alto, California
0023	1	Atlanta, Georgia
0024	1	San Diego, California
0025	1	Sunnyvale, California
0026	1	Franklin Lakes, New Jersey
0027	1	Jersey City, New Jersey
0028	1	Indianapolis, Indiana
0029	1	New York, New York
0030	1	New York, New York
0031	1	New York, New York
0032	1	New York, New York
0033	1	New York, New York
0034	1	New York, New York
0035	1	New York, New York
0036	1	New York, New York
0037	1	New York, New York
0038	1	New York, New York
0039	1	New York, New York
0040	1	New York, New York
0041	1	New York, New York
0042	1	New York, New York
0043	1	New York, New York
0044	1	New York, New York
0045	1	New York, New York
0046	1	New York, New York
0047	1	New York, New York
0048	1	New York, New York
0049	1	New York, New York
0050	1	New York, New York
0051	1	New York, New York
0052	1	Indianapolis, Indiana
0053	1	Chicago, Illinois
0054	1	King of Prussia, Pennsylvania
0055	1	Saint Louis, Missouri
0056	1	New York, New York
0057	1	Indianapolis, Indiana
0058	1	Evansville, Indiana
0059	1	New York, New York
0060	1	Happy Valley, Oregon
0061	1	Annapolis Junction, Maryland
0062	1	Minneapolis, Minnesota
0063	1	Phoenix, Arizona
0064	1	PHILADELPHIA, Pennsylvania
0065	1	Atlanta, Georgia
0066	1	Raritan, New Jersey
0067	1	Gardena, California
0068	1	Cambridge, Massachusetts
0069	1	San Francisco, California
0070	1	New York, New York
0071	1	Miami, Florida
0072	1	Bethesda, Maryland
0073	1	Chicago, Illinois
0074	1	El Dorado Hills, California
0075	1	Emeryville, California
0076	1	Costa Mesa, California
0077	1	New York, New York
0078	1	Atlanta, Georgia
0079	1	Exton, Pennsylvania
0080	1	Mountain View, California
0081	1	Chicago, Illinois
0082	1	Berea, Ohio
0083	1	ENGLEWOOD, Colorado
0084	1	Minneapolis, Minnesota
0085	1	Vicksburg, Mississippi
0086	1	Burbank, California
0087	1	Wilsonville, Oregon
0088	1	Newark, New Jersey
0089	1	Iselin, New Jersey
0090	1	Philadelphia, Pennsylvania
0091	1	Greenwich, Connecticut
0092	1	Atlanta, Georgia
0093	1	Framingham, Massachusetts
0094	1	Edison, New Jersey
0095	1	Edison, New Jersey
0096	1	Boulder, Colorado
0097	1	San Francisco, California
0098	1	Cincinnati, Ohio
0099	1	Indianapolis, Indiana
0100	1	Chicago, Illinois
0101	1	Boston, Massachusetts
0102	1	Gainesville, Georgia
0103	1	San Francisco, California
0104	1	Piscataway, New Jersey
0105	1	Washington, District Of Columbia
0106	1	Redwood Shores, California
0107	1	Danbury, Connecticut
0108	1	Annapolis Junction, Maryland
0109	1	Annapolis Junction, Maryland
0110	1	West Chester, Ohio
0111	1	Lake Zurich, Illinois
0112	1	Atlanta, Georgia
0113	1	New York, New York
0114	1	Atlanta, Georgia
0115	1	Atlanta, Georgia
0116	1	Emeryville, California
0117	1	San Diego, California
0118	1	Jersey City, New Jersey
0119	1	Harrisburg, Pennsylvania
0120	1	Redwood City, California
0121	1	Saint Paul, Minnesota
0122	1	New York, New York
0123	1	Scottsdale, Arizona
0124	1	Chicago, Illinois
0125	1	COLUMBIA, Maryland
0126	1	Norwalk, Connecticut
0127	1	Carlsbad, California
0128	1	Broomfield, Colorado
0129	1	Ontario, California
0130	1	Burlington, Massachusetts
0131	1	Bridgewater, New Jersey
0132	1	Springfield, Illinois
0133	1	Long Island, New York
0134	1	Denver, Colorado
0135	1	Raleigh/Durham - RTP, North Carolina
0136	1	San Francisco, California
0137	1	San Francisco, California
0138	1	Indianapolis, Indiana
0139	1	Indianapolis, Indiana
0140	1	St Paul, Minnesota
0141	1	Denver, Colorado
0142	1	Berkeley, California
0143	1	Washington, District Of Columbia
0144	1	Burlington, Massachusetts
0145	1	Beavercreek, Ohio
0146	1	Boston, Massachusetts
0147	1	Tampa, Florida
0148	1	Bala Cynwyd, Pennsylvania
0149	1	New York, New York
0150	1	Lowell, Massachusetts
0151	1	Happy Valley, Oregon
0152	1	Boston, Massachusetts
0153	1	Redwood City, California
0154	1	Saint Paul, Minnesota
0155	1	Fort Meade, Maryland
0156	1	Atlanta, Georgia
0157	1	Santa Clara, California
0158	1	Mason, Ohio
0159	1	Washington, District Of Columbia
0160	1	New York, New York
0161	1	Berkeley, California
0162	1	CLEARWATER, Florida
0163	1	San Diego, California
0164	1	San Diego, California
0165	1	New York, New York
0166	1	Souderton, Pennsylvania
0167	1	El Segundo, California
