job	jobtarget	title
2000	2000	2000	1649
0000	1	Sr SW Engineer (Sr Embedded SW/Test Engineer)
0001	1	Software Engineer (Embedded Controls Software Engineer)
0002	1	Sr. Systems/Software design/development Engineer
0003	1	Intermediate Developer - Mobile Clients
0004	1	Software Engineer (Embedded Controls Software Engineer)
0005	1	Systems/Software Engr VI
0006	1	Systems/Software Engr VI
0007	1	Systems/Software Engr VI
0008	1	Systems Engineer (Embedded Control Systems Engineer)
0009	1	Staff Systems Engineer (Staff Embedded Control Systems Engineer)
0010	1	Program Manager
0011	1	Trial Consultant
0012	1	CIO Advisory P&SI - Networking,Unified Comm,Disaster Recovery Director
0013	1	Global Product Manager
0014	1	Actuary
0015	1	Technical Solutions Engineer
0016	1	Sales Consultant V, DoD
0017	1	Senior Developer/Lead (RI)
0018	1	Quality Management Assistant
0019	1	Clinical Trial Protocol Documentation Systems Engineer
0020	1	External Affairs Officer
0021	1	Clinical Systems Analyst
0022	1	Manufacturing IT Project Manager
0023	1	Svc Info Developer III
0024	1	Food Court Interior Designer
0025	1	SSRS Report Developer
0026	1	Accounting Clerk
0027	1	Back End Java Engineer
0028	1	Product Support Analyst
0029	1	Meter Specialist Journey Level
0030	1	SALES DIRECTOR
0031	1	Windows Server Presales Solution Architect (Iowa)
0032	1	Svc Info Developer II
0033	1	Back End Java Engineer
0034	1	IT Specialist
0035	1	Network Engineer II
0036	1	Technical Support Engineer
0037	1	System Administrator
0038	1	Svc Info Developer II
0039	1	Svc Info Developer III
0040	1	Svc Info Developer III
0041	1	Sales Specialist Networking, (TippingPoint Houston)
0042	1	Security Sales Specialist, Networking (TippingPoint)
0043	1	Fleet Management Segment Manger
0044	1	Back End Java Engineer
0045	1	Software Developer
0046	1	Associate/Full Professor
0047	1	Director of Treasury Services
0048	1	Product Marketing Leader
0049	1	Meetings Intern
0050	1	Web Producer - Public Insight Network
0051	1	Public Health Tech III
0052	1	Public Health Tech III
0053	1	Sr. Data Analyst
0054	1	Mgr ITO Svc Delivery I
0055	1	Finance IT Architecture Manager
0056	1	Technical Architect / Solution Architect
0057	1	Network Solution Designer (Pre-Sales Consultant V)
0058	1	Senior Tax Manager
0059	1	Health Care Services (HCS) Configuration & Systems Curriculum Developer
0060	1	Health Care Services (HCS) Configuration & Systems Curriculum Developer
0061	1	Health Care Services (HCS) Configuration & Systems Curriculum Developer
0062	1	Health Care Services (HCS) Configuration & Systems Curriculum Developer
0063	1	Health Care Services (HCS) Configuration & Systems Curriculum Developer
0064	1	Health Care Services (HCS) Configuration & Systems Curriculum Developer
0065	1	Foundry Casting Engineer
0066	1	Senior Developer - Team Lead
0067	1	VICE CHANCELLOR OF BUSINESS SERVICES
0068	1	Svc Info Developer III
0069	1	Tech Support Rep 2
0070	1	External Affairs Officer
0071	1	Clinical Auditor & Coding Compliance Specialist
0072	1	Information Technology Specialist 3 Application Developer/Analyst
0073	1	Pharmacy - Clinical Resources Specialist
0074	1	Storage Solutions Technical Delivery Consultant (PL-09)
0075	1	CSE Technical Lead Sales Support and Implementation
0076	1	Associate Actuary
0077	1	Technology Support Specialist #8976
0078	1	Marketing Operations Specialist
0079	1	Marketing Traffic Coordinator
0080	1	Manager, PAC Online Fundraising
0081	1	LEED Certification Associate
0082	1	Geospatial IT Scientist
0083	1	* Application Architect - Web/Java
0084	1	Systems Architect - CE5-1452
0085	1	SW Development Test Automation Manager
0086	1	Payment Cards Center Industry Specialist
0087	1	Data Management Specialist
0088	1	Litigation Support Analyst
0089	1	SENIOR SYSTEMS ADMINISTRATOR, LMS - University Information Technology
0090	1	PRINCIPAL LAB MECHANICIAN
0091	1	FPGA Development Manager
0092	1	Agile Project Program Manager VI
0093	1	Trial Technician/Videographer
0094	1	Obstetrician/Gynecologist
0095	1	.NET Developer
0096	1	Systems/Software Engr V
0097	1	Software Developer - Metering & Billing
0098	1	Product Management - Business System Analyst
0099	1	Project Manager
0100	1	WEB APPLICATIONS DEVELOPER- The Office of Information Technology (OIT)
0101	1	Developmental Engineer
0102	1	Sr. SAP BI Business Systems Specialist- LR15586
0103	1	SAP SCM - Senior Configurator/Analyst (CC15773)
0104	1	Director of Public Affairs (10-2010)
0105	1	SVP/Chief Risk Management Officer
0106	1	Clinical Data Abstractors - Core Measures
0107	1	Coding Reviewers/Auditors
0108	1	Americas Revenue and Compliance Manager
0109	1	Technology Services - Storage Sales Consulting Specialist (Southeast USA)
0110	1	Technology Services - Storage Sales Consulting Specialist (Dallas, TX)
0111	1	Coding Manager
0112	1	Senior iMIS Consultant
0113	1	iMIS Consultant
0114	1	Senior Research Analyst
0115	1	Manager of Training, UDAR ITS (#20091736)
0116	1	Coding Compliance Analyst/Auditor
0117	1	Project Naval Architect-Arrangements
0118	1	Pipeline
0119	1	Project Manager / Senior Technical Consultant
0120	1	Business Systems Analyst 2
0121	1	Finance Manager
0122	1	Documentation Analyst
0123	1	Manager, Electronic Clinical Applications
0124	1	Sr. Engineering Manager, OMS
0125	1	Video Conferencing Automation and Systems Engeneer
0126	1	SAP Functional Team Member - Plant Maintenance
0127	1	Legal Secretary
0128	1	Senior Software Developer
0129	1	Sr. Software Engineer
0130	1	Software Engineer - CE4-1422
0131	1	Senior Software Engineer - User Interface Development
0132	1	Software Build Engineer / Configuration Management
0133	1	Software Build Engineer / Configuration Management
0134	1	Software Build Engineer / Configuration Management
0135	1	Software Build Engineer / Configuration Management
0136	1	Software Build Engineer / Configuration Management
0137	1	Software Build Engineer / Configuration Management
0138	1	Software Build Engineer / Configuration Management
0139	1	Software Build Engineer / Configuration Management
0140	1	Software Build Engineer / Configuration Management
0141	1	Engr Program Mgr II
0142	1	CAD Draftsperson
0143	1	IT USER SUPPORT SPECIALIST - University Information Technology
0144	1	HIM Consultant
0145	1	Business and Quality Assurance Analyst
0146	1	Actuarial Assistant
0147	1	Research Assistant-Institutional Effectiveness
0148	1	Major Accounts Executive
0149	1	Full Time | Sr. BI/BW Consultant Focus on SAP/BW | Raleigh, NC
0150	1	Full Time | Sr. BI/BW Consultant Focus on SAP/BW | Greater Chicago
0151	1	Systems Manager
0152	1	Sr. Business Intelligence Project Lead/Manager (Focus on ETL)
0153	1	Executive Director of Student Financial Assistance
0154	1	Systems Engineer
0155	1	Experienced Java Developer
0156	1	Senior Tivoli Storage Manager (TSM) ? Technical Operations Lead
0157	1	IT/Telecommunications Consulting Engineer--CCIE preferred
0158	1	Water Production Maint. Supervisor
0159	1	SAP BASIS Production Architect
0160	1	Technical Support Engineer
0161	1	GIS Programmer
0162	1	GIS Solutions Architect
0163	1	Application Support Analyst
0164	1	Financial Aid Officer
0165	1	Credit Analyst/Collector
0166	1	RF Designer Cherry Hill NJ
0167	1	Fiber Designer
0168	1	Applications Scientist
0169	1	Senior Auditor (Information Technology)
0170	1	Account Director (Event & Meeting Planning)
0171	1	Meeting and Events Sr. Specialist
0172	1	Pricing and Hedging Analyst, Secondary Marketing/Trasury
