job	nettemps	date_posted
2000	2000	2000	33
0000	1	Date Posted: 05/20/2011
0001	1	Date Posted: 05/18/2011
0002	1	Date Posted: 05/18/2011
0003	1	Date Posted: 05/18/2011
0004	1	Date Posted: 05/18/2011
0005	1	Date Posted: 05/18/2011
0006	1	Date Posted: 05/18/2011
0007	1	Date Posted: 05/12/2011
0008	1	Date Posted: 05/12/2011
0009	1	Date Posted: 05/11/2011
0010	1	Date Posted: 05/11/2011
0011	1	Date Posted: 05/11/2011
0012	1	Date Posted: 05/10/2011
0013	1	Date Posted: 05/10/2011
0014	1	Date Posted: 05/10/2011
0015	1	Date Posted: 05/10/2011
0016	1	Date Posted: 05/10/2011
0017	1	Date Posted: 05/10/2011
0018	1	Date Posted: 05/10/2011
0019	1	Date Posted: 05/10/2011
0020	1	Date Posted: 05/10/2011
0021	1	Date Posted: 05/10/2011
0022	1	Date Posted: 05/06/2011
0023	1	Date Posted: 05/06/2011
0024	1	Date Posted: 05/06/2011
0025	1	Date Posted: 05/06/2011
0026	1	Date Posted: 05/06/2011
0027	1	Date Posted: 05/06/2011
0028	1	Date Posted: 05/06/2011
0029	1	Date Posted: 05/10/2011
0030	1	Date Posted: 05/09/2011
0031	1	Date Posted: 05/03/2011
0032	1	Date Posted: 04/29/2011
0033	1	Date Posted: 05/20/2011
0034	1	Date Posted: 05/20/2011
0035	1	Date Posted: 05/20/2011
0036	1	Date Posted: 05/20/2011
0037	1	Date Posted: 05/20/2011
0038	1	Date Posted: 05/20/2011
0039	1	Date Posted: 05/20/2011
0040	1	Date Posted: 05/20/2011
0041	1	Date Posted: 05/20/2011
0042	1	Date Posted: 05/20/2011
0043	1	Date Posted: 05/20/2011
0044	1	Date Posted: 05/20/2011
0045	1	Date Posted: 05/20/2011
0046	1	Date Posted: 05/20/2011
0047	1	Date Posted: 05/20/2011
0048	1	Date Posted: 05/20/2011
0049	1	Date Posted: 05/20/2011
0050	1	Date Posted: 05/20/2011
0051	1	Date Posted: 05/20/2011
0052	1	Date Posted: 05/19/2011
0053	1	Date Posted: 05/19/2011
0054	1	Date Posted: 05/19/2011
0055	1	Date Posted: 04/27/2011
0056	1	Date Posted: 05/15/2011
0057	1	Date Posted: 05/13/2011
0058	1	Date Posted: 03/30/2011
0059	1	Date Posted: 05/18/2011
0060	1	Date Posted: 05/19/2011
0061	1	Date Posted: 05/18/2011
0062	1	Date Posted: 05/18/2011
0063	1	Date Posted: 05/18/2011
0064	1	Date Posted: 05/18/2011
0065	1	Date Posted: 05/18/2011
0066	1	Date Posted: 05/18/2011
0067	1	Date Posted: 05/18/2011
0068	1	Date Posted: 05/18/2011
0069	1	Date Posted: 05/18/2011
0070	1	Date Posted: 05/16/2011
0071	1	Date Posted: 05/16/2011
0072	1	Date Posted: 05/10/2011
0073	1	Date Posted: 05/16/2011
0074	1	Date Posted: 05/16/2011
0075	1	Date Posted: 05/16/2011
0076	1	Date Posted: 05/16/2011
0077	1	Date Posted: 05/16/2011
0078	1	Date Posted: 05/16/2011
0079	1	Date Posted: 05/16/2011
0080	1	Date Posted: 05/16/2011
0081	1	Date Posted: 05/16/2011
0082	1	Date Posted: 05/16/2011
0083	1	Date Posted: 05/16/2011
0084	1	Date Posted: 04/24/2011
0085	1	Date Posted: 04/22/2011
0086	1	Date Posted: 04/23/2011
0087	1	Date Posted: 04/23/2011
0088	1	Date Posted: 04/21/2011
0089	1	Date Posted: 05/18/2011
0090	1	Date Posted: 05/06/2011
0091	1	Date Posted: 05/07/2011
0092	1	Date Posted: 05/13/2011
0093	1	Date Posted: 05/19/2011
0094	1	Date Posted: 05/19/2011
0095	1	Date Posted: 05/19/2011
0096	1	Date Posted: 05/19/2011
0097	1	Date Posted: 05/19/2011
0098	1	Date Posted: 05/19/2011
0099	1	Date Posted: 05/19/2011
0100	1	Date Posted: 05/19/2011
0101	1	Date Posted: 05/19/2011
0102	1	Date Posted: 05/19/2011
0103	1	Date Posted: 05/19/2011
0104	1	Date Posted: 05/19/2011
0105	1	Date Posted: 05/19/2011
0106	1	Date Posted: 05/19/2011
0107	1	Date Posted: 05/19/2011
0108	1	Date Posted: 05/19/2011
0109	1	Date Posted: 05/19/2011
0110	1	Date Posted: 05/19/2011
0111	1	Date Posted: 05/19/2011
0112	1	Date Posted: 05/19/2011
0113	1	Date Posted: 05/19/2011
0114	1	Date Posted: 05/19/2011
0115	1	Date Posted: 05/19/2011
0116	1	Date Posted: 05/19/2011
0117	1	Date Posted: 05/19/2011
0118	1	Date Posted: 05/21/2011
0119	1	Date Posted: 05/21/2011
0120	1	Date Posted: 05/21/2011
0121	1	Date Posted: 05/21/2011
0122	1	Date Posted: 05/21/2011
0123	1	Date Posted: 05/21/2011
0124	1	Date Posted: 05/21/2011
0125	1	Date Posted: 05/21/2011
0126	1	Date Posted: 05/21/2011
0127	1	Date Posted: 05/21/2011
0128	1	Date Posted: 05/21/2011
0129	1	Date Posted: 05/15/2011
0130	1	Date Posted: 05/06/2011
0131	1	Date Posted: 05/20/2011
0132	1	Date Posted: 05/11/2011
0133	1	Date Posted: 05/11/2011
0134	1	Date Posted: 05/01/2011
0135	1	Date Posted: 04/23/2011
0136	1	Date Posted: 05/20/2011
0137	1	Date Posted: 05/16/2011
0138	1	Date Posted: 05/16/2011
0139	1	Date Posted: 05/16/2011
0140	1	Date Posted: 05/18/2011
0141	1	Date Posted: 05/15/2011
0142	1	Date Posted: 05/08/2011
0143	1	Date Posted: 05/08/2011
0144	1	Date Posted: 05/06/2011
0145	1	Date Posted: 04/25/2011
0146	1	Date Posted: 04/25/2011
0147	1	Date Posted: 05/18/2011
0148	1	Date Posted: 05/01/2011
0149	1	Date Posted: 05/20/2011
0150	1	Date Posted: 05/16/2011
0151	1	Date Posted: 05/10/2011
0152	1	Date Posted: 05/10/2011
0153	1	Date Posted: 05/03/2011
0154	1	Date Posted: 05/03/2011
0155	1	Date Posted: 05/17/2011
0156	1	Date Posted: 05/17/2011
0157	1	Date Posted: 05/07/2011
0158	1	Date Posted: 05/03/2011
0159	1	Date Posted: 04/23/2011
0160	1	Date Posted: 04/27/2011
0161	1	Date Posted: 05/08/2011
0162	1	Date Posted: 05/03/2011
0163	1	Date Posted: 04/28/2011
0164	1	Date Posted: 04/28/2011
0165	1	Date Posted: 04/25/2011
0166	1	Date Posted: 04/25/2011
0167	1	Date Posted: 04/25/2011
0168	1	Date Posted: 04/22/2011
0169	1	Date Posted: 05/13/2011
0170	1	Date Posted: 05/12/2011
0171	1	Date Posted: 05/10/2011
0172	1	Date Posted: 05/10/2011
0173	1	Date Posted: 05/05/2011
0174	1	Date Posted: 05/05/2011
0175	1	Date Posted: 05/06/2011
0176	1	Date Posted: 05/06/2011
0177	1	Date Posted: 05/06/2011
0178	1	Date Posted: 05/06/2011
0179	1	Date Posted: 05/06/2011
0180	1	Date Posted: 05/06/2011
0181	1	Date Posted: 05/06/2011
0182	1	Date Posted: 05/06/2011
0183	1	Date Posted: 05/06/2011
0184	1	Date Posted: 05/06/2011
0185	1	Date Posted: 05/06/2011
0186	1	Date Posted: 05/06/2011
0187	1	Date Posted: 05/06/2011
0188	1	Date Posted: 05/06/2011
0189	1	Date Posted: 05/06/2011
0190	1	Date Posted: 05/06/2011
0191	1	Date Posted: 05/06/2011
0192	1	Date Posted: 05/06/2011
0193	1	Date Posted: 05/05/2011
0194	1	Date Posted: 05/05/2011
0195	1	Date Posted: 05/05/2011
0196	1	Date Posted: 05/19/2011
0197	1	Date Posted: 05/19/2011
0198	1	Date Posted: 05/19/2011
0199	1	Date Posted: 05/19/2011
0200	1	Date Posted: 05/19/2011
0201	1	Date Posted: 05/19/2011
0202	1	Date Posted: 05/19/2011
0203	1	Date Posted: 05/11/2011
0204	1	Date Posted: 05/04/2011
0205	1	Date Posted: 04/30/2011
0206	1	Date Posted: 04/30/2011
0207	1	Date Posted: 05/12/2011
0208	1	Date Posted: 05/09/2011
0209	1	Date Posted: 05/08/2011
0210	1	Date Posted: 05/07/2011
0211	1	Date Posted: 05/19/2011
0212	1	Date Posted: 05/18/2011
0213	1	Date Posted: 05/18/2011
0214	1	Date Posted: 05/18/2011
0215	1	Date Posted: 05/18/2011
0216	1	Date Posted: 05/18/2011
0217	1	Date Posted: 05/18/2011
0218	1	Date Posted: 05/18/2011
0219	1	Date Posted: 05/18/2011
0220	1	Date Posted: 05/18/2011
0221	1	Date Posted: 05/18/2011
0222	1	Date Posted: 05/18/2011
0223	1	Date Posted: 05/18/2011
0224	1	Date Posted: 05/18/2011
0225	1	Date Posted: 05/18/2011
0226	1	Date Posted: 05/17/2011
0227	1	Date Posted: 05/18/2011
0228	1	Date Posted: 05/13/2011
0229	1	Date Posted: 05/05/2011
0230	1	Date Posted: 05/01/2011
0231	1	Date Posted: 05/19/2011
0232	1	Date Posted: 05/19/2011
0233	1	Date Posted: 05/18/2011
0234	1	Date Posted: 04/29/2011
0235	1	Date Posted: 05/18/2011
0236	1	Date Posted: 05/13/2011
0237	1	Date Posted: 05/17/2011
0238	1	Date Posted: 05/13/2011
0239	1	Date Posted: 05/09/2011
0240	1	Date Posted: 05/08/2011
0241	1	Date Posted: 05/08/2011
0242	1	Date Posted: 05/08/2011
0243	1	Date Posted: 05/08/2011
0244	1	Date Posted: 05/07/2011
0245	1	Date Posted: 05/02/2011
0246	1	Date Posted: 05/02/2011
0247	1	Date Posted: 05/02/2011
0248	1	Date Posted: 04/30/2011
0249	1	Date Posted: 04/28/2011
0250	1	Date Posted: 04/21/2011
0251	1	Date Posted: 05/19/2011
0252	1	Date Posted: 05/19/2011
0253	1	Date Posted: 05/18/2011
0254	1	Date Posted: 05/20/2011
0255	1	Date Posted: 05/20/2011
0256	1	Date Posted: 05/20/2011
0257	1	Date Posted: 05/20/2011
0258	1	Date Posted: 05/20/2011
0259	1	Date Posted: 05/20/2011
0260	1	Date Posted: 05/20/2011
0261	1	Date Posted: 05/20/2011
