job	nettemps	location
2000	2000	2000	467
0000	1	New York NY
0001	1	San Francisco CA
0002	1	San Francisco CA
0003	1	San Francisco CA
0004	1	San Francisco CA
0005	1	San Francisco CA
0006	1	San Francisco CA
0007	1	Herndon VA
0008	1	Herndon VA
0009	1	New York NY
0010	1	New York NY
0011	1	New York NY
0012	1	New York NY
0013	1	Chicago IL
0014	1	Marlboro MA
0015	1	Stamford CT
0016	1	New York NY
0017	1	Newport Beach CA
0018	1	New York NY
0019	1	New York NY
0020	1	New York NY
0021	1	New York NY
0022	1	New York NY
0023	1	New York NY
0024	1	New York NY
0025	1	New York NY
0026	1	New York NY
0027	1	New York NY
0028	1	New York NY
0029	1	Baltimore MD
0030	1	Honolulu HI
0031	1	Alexandria VA
0032	1	Tallahassee FL
0033	1	Winston Salem NC
0034	1	Winston Salem NC
0035	1	High Point NC
0036	1	Hickory NC
0037	1	Nashville TN
0038	1	Winston Salem NC
0039	1	High Point NC
0040	1	Nashville TN
0041	1	Orlando FL
0042	1	Greenville SC
0043	1	Hackensack NJ
0044	1	Charlotte NC
0045	1	High Point NC
0046	1	Spartanburg SC
0047	1	Greensboro NC
0048	1	Marietta GA
0049	1	Dalton GA
0050	1	Fayetteville NC
0051	1	High Point NC
0052	1	Tampa FL
0053	1	Nashville TN
0054	1	Cambridge MA
0055	1	Hartford CT
0056	1	Dallas TX
0057	1	Houston TX
0058	1	Dallas TX
0059	1	Newark NJ
0060	1	East Brunswick NJ
0061	1	New York NY
0062	1	Newark NJ
0063	1	New York NY
0064	1	Jersey City NJ
0065	1	Jersey City NJ
0066	1	Jersey City NJ
0067	1	Middletown NJ
0068	1	New York NY
0069	1	New York NY
0070	1	New York NY
0071	1	New York NY
0072	1	Raleigh NC
0073	1	New York NY
0074	1	New York NY
0075	1	New York NY
0076	1	Yardley PA
0077	1	New York NY
0078	1	New York NY
0079	1	New York NY
0080	1	Westport CT
0081	1	Yardley PA
0082	1	Wilkes Barre PA
0083	1	New York NY
0084	1	New York NY
0085	1	New York NY
0086	1	Bridgewater NJ
0087	1	Amarillo TX
0088	1	Bloomington IL
