job	rightitjobs	date_posted
2000	2000	2000	2000
0000	1	2010-06-25 00:12:45
0001	1	2010-06-25 00:12:17
0002	1	2010-06-25 00:11:02
0003	1	2010-06-25 00:10:52
0004	1	2010-06-23 00:07:06
0005	1	2010-06-21 00:17:25
0006	1	2010-06-21 00:15:39
0007	1	2010-06-19 00:09:57
0008	1	2010-06-18 00:11:17
0009	1	2010-05-03 00:47:56
0010	1	2010-05-03 00:45:07
0011	1	2010-05-03 00:19:10
0012	1	2010-04-29 07:51:52
0013	1	2010-03-05 06:59:36
0014	1	2010-03-05 06:32:31
0015	1	2010-03-05 06:25:21
0016	1	2010-03-05 05:57:24
0017	1	2010-03-05 05:55:01
0018	1	2010-03-05 05:48:54
0019	1	2010-03-05 05:44:44
0020	1	2010-03-05 05:15:53
0021	1	2010-03-05 04:56:48
0022	1	2010-03-05 04:51:43
0023	1	2010-03-05 04:31:10
0024	1	2010-03-05 04:29:18
0025	1	2010-03-05 04:25:47
0026	1	2010-03-05 04:19:20
0027	1	2010-03-05 03:36:30
0028	1	2010-03-05 03:32:30
0029	1	2010-03-05 03:00:52
0030	1	2010-03-05 02:15:08
0031	1	2010-03-05 01:30:08
0032	1	2010-03-05 01:17:24
0033	1	2010-03-05 00:53:35
0034	1	2010-03-05 00:30:37
0035	1	2010-03-05 00:20:31
0036	1	2010-03-05 00:15:35
0037	1	2010-03-04 05:56:53
0038	1	2010-03-04 05:56:35
0039	1	2010-03-04 05:55:19
0040	1	2010-03-04 05:51:02
0041	1	2010-03-04 05:45:44
0042	1	2010-03-04 05:34:27
0043	1	2010-03-04 05:00:16
0044	1	2010-03-04 04:50:03
0045	1	2010-03-04 04:47:37
0046	1	2010-03-04 04:47:11
0047	1	2010-03-04 04:24:30
0048	1	2010-03-04 04:16:41
0049	1	2010-03-04 04:01:22
0050	1	2010-03-04 03:59:58
0051	1	2010-03-04 03:36:58
0052	1	2010-03-04 03:06:14
0053	1	2010-03-04 02:48:23
0054	1	2010-03-04 02:37:46
0055	1	2010-03-04 02:34:26
0056	1	2010-03-04 02:31:25
0057	1	2010-03-04 02:18:26
0058	1	2010-03-04 02:00:01
0059	1	2010-03-04 01:53:03
0060	1	2010-03-04 01:45:58
0061	1	2010-03-04 01:40:08
0062	1	2010-03-04 01:08:51
0063	1	2010-03-04 00:58:41
0064	1	2010-03-04 00:58:27
0065	1	2010-03-04 00:49:22
0066	1	2010-03-04 00:44:57
0067	1	2010-04-29 07:15:30
0068	1	2010-04-28 03:28:16
0069	1	2010-04-26 04:08:26
0070	1	2010-03-03 05:00:11
0071	1	2010-03-03 04:45:59
0072	1	2010-03-03 04:35:56
0073	1	2010-03-03 04:18:05
0074	1	2010-03-03 04:13:18
0075	1	2010-03-03 03:47:24
0076	1	2010-03-03 03:42:12
0077	1	2010-03-03 03:23:59
0078	1	2010-03-03 03:23:03
0079	1	2010-03-03 03:00:16
0080	1	2010-03-03 03:00:13
0081	1	2010-03-03 02:56:12
0082	1	2010-03-03 02:21:44
0083	1	2010-03-03 02:06:57
0084	1	2010-03-03 02:03:19
0085	1	2010-03-03 01:47:49
0086	1	2010-03-03 01:46:51
0087	1	2010-03-03 01:39:16
0088	1	2010-03-03 01:38:16
0089	1	2010-03-03 01:34:44
0090	1	2010-03-03 01:20:38
0091	1	2010-03-03 01:18:44
0092	1	2010-03-03 01:16:24
0093	1	2010-03-03 01:01:24
0094	1	2010-03-03 00:44:23
0095	1	2010-03-03 00:41:35
0096	1	2010-03-03 00:37:54
0097	1	2010-03-03 00:33:59
0098	1	2010-03-03 00:15:25
0099	1	2010-03-03 00:07:33
0100	1	2010-03-02 03:56:53
0101	1	2010-03-02 03:53:26
0102	1	2010-03-02 03:48:19
0103	1	2010-03-02 03:28:31
0104	1	2010-03-02 03:08:41
0105	1	2010-03-02 03:02:40
0106	1	2010-03-02 02:57:11
0107	1	2010-03-02 02:56:55
0108	1	2010-03-02 02:56:39
0109	1	2010-03-02 02:55:48
0110	1	2010-03-02 02:52:48
0111	1	2010-03-02 02:25:53
0112	1	2010-03-02 02:06:49
0113	1	2010-03-02 01:59:53
0114	1	2010-03-02 01:59:24
0115	1	2010-03-02 01:59:04
0116	1	2010-03-02 01:45:46
0117	1	2010-03-02 01:41:15
0118	1	2010-03-02 01:32:53
0119	1	2010-03-02 01:27:00
0120	1	2010-03-02 01:11:32
0121	1	2010-03-02 01:09:48
0122	1	2010-03-02 00:49:41
0123	1	2010-03-02 00:49:20
0124	1	2010-03-02 00:40:16
0125	1	2010-03-02 00:35:45
0126	1	2010-03-02 00:33:54
0127	1	2010-03-02 00:28:52
0128	1	2010-03-02 00:27:52
0129	1	2010-04-26 03:45:51
0130	1	2010-04-26 03:26:13
0131	1	2010-04-26 02:54:49
0132	1	2010-04-26 02:02:29
0133	1	2010-03-02 00:18:44
0134	1	2010-02-26 11:27:16
0135	1	2010-02-26 11:02:24
0136	1	2010-02-26 11:01:15
0137	1	2010-02-26 10:54:51
0138	1	2010-02-26 10:51:16
0139	1	2010-02-26 10:47:55
0140	1	2010-02-26 10:47:52
0141	1	2010-02-26 10:46:57
0142	1	2010-02-26 10:33:53
0143	1	2010-02-26 10:23:47
0144	1	2010-02-26 09:50:25
0145	1	2010-02-26 09:45:55
0146	1	2010-02-26 09:44:05
0147	1	2010-02-26 09:41:20
0148	1	2010-02-26 09:36:35
0149	1	2010-02-26 09:34:45
0150	1	2010-02-26 09:08:06
0151	1	2010-02-26 09:05:38
0152	1	2010-02-26 08:53:44
0153	1	2010-02-26 08:48:05
0154	1	2010-02-26 08:44:58
0155	1	2010-02-26 08:42:28
0156	1	2010-02-26 08:42:25
0157	1	2010-02-23 13:21:28
0158	1	2010-02-23 13:19:35
0159	1	2010-02-23 13:11:59
0160	1	2010-02-23 12:46:43
0161	1	2010-02-23 12:41:43
0162	1	2010-02-23 12:38:38
0163	1	2010-02-23 12:36:59
0164	1	2010-02-23 12:27:57
0165	1	2010-02-23 12:27:28
0166	1	2010-02-23 12:18:55
0167	1	2010-02-23 12:14:26
