job	techcentric	company
2000	2000	2000	226
0000	1	Visionaire Partners
0001	1	Visionaire Partners
0002	1	Visionaire Partners
0003	1	Visionaire Partners
0004	1	Comsys - New York
0005	1	Professional Technical Resources
0006	1	Unison Systems Inc.
0007	1	Ajilon
0008	1	Adecco
0009	1	PLANIT Technology Group
0010	1	Mitchell Martin
0011	1	Genesis10
0012	1	Genesis10
0013	1	Ajilon
0014	1	Mitchell Martin
0015	1	Mitchell Martin
0016	1	Mitchell Martin
0017	1	Mitchell Martin
0018	1	Mitchell Martin
0019	1	CDI
0020	1	ASP-Web Solutions
0021	1	Ajilon
0022	1	CDI
0023	1	Mitchell Martin
0024	1	Mitchell Martin
0025	1	Mitchell Martin
0026	1	Mitchell Martin
0027	1	Ajilon
0028	1	Mitchell Martin
0029	1	Mitchell Martin
0030	1	Trilogy Technical Services LLC
0031	1	PLANIT Technology Group
0032	1	Precision System Design, Inc.
0033	1	Mitchell Martin
0034	1	Mitchell Martin
0035	1	Mitchell Martin
0036	1	Mitchell Martin
0037	1	Mitchell Martin
0038	1	Mitchell Martin
0039	1	Mitchell Martin
0040	1	Mitchell Martin
0041	1	Mitchell Martin
0042	1	Mitchell Martin
0043	1	Mitchell Martin
0044	1	Excell Data
0045	1	IT Solutions and Services, Inc. (Agency Services G
0046	1	KimberlyClark
0047	1	Comsys - New York
0048	1	Comsys - New York
0049	1	Mitchell Martin
0050	1	Mitchell Martin
0051	1	Mitchell Martin
0052	1	Mitchell Martin
0053	1	Mitchell Martin
0054	1	Request Technology, LLC
0055	1	Beacon Hill Staffing Group
0056	1	Ajilon
0057	1	CDI
0058	1	Open Systems, Inc.
0059	1	Capital One
0060	1	Professional Technical Resources
0061	1	Hamilton Grey Technology Search, Inc.
0062	1	IT Solutions and Services, Inc. (Agency Services G
0063	1	Hunter Technical Resources
0064	1	Ajilon
0065	1	Intelliverse
0066	1	Verity Professionals
0067	1	CDI
0068	1	The Centrics Group
0069	1	CDI
0070	1	At-Tech
0071	1	KPIT Infosystems Limited
0072	1	Professional Technical Resources
0073	1	G&K Services
0074	1	Manpower
0075	1	At-Tech
0076	1	Business Development Services Group
0077	1	Professional Technical Resources
0078	1	Ajilon
0079	1	mastech
0080	1	CDI
0081	1	TMG and EQQUS
0082	1	Regions Financial
0083	1	Irvine Technology Corp
0084	1	CDI
0085	1	AppleOne
0086	1	CDI
0087	1	Thompson Technologies
0088	1	Excell Data
0089	1	Technology Service Partners, Inc.
0090	1	National Interstate Insurance Company
0091	1	AppleOne
0092	1	CDI
0093	1	Professional Technical Resources
0094	1	E-Business Staffing
0095	1	ASP-Web Solutions
0096	1	Modis, Inc. - Chicago
0097	1	ACS Inc
0098	1	Global Commerce & Information, Inc.
0099	1	Ajilon
0100	1	CDI
0101	1	Ajilon
0102	1	Ajilon
0103	1	Ajilon
0104	1	Excell Data
0105	1	Excell Data
0106	1	Technology Service Partners, Inc.
0107	1	Enclipse Corp.
0108	1	AppleOne
0109	1	Excell Data
0110	1	ACS Inc
0111	1	Tekmark Global Solutions, LLC
0112	1	Resultz Staffing
0113	1	CCCi - Dallas
0114	1	Technology Recruiting Solutions,Inc.
0115	1	CCCi - Dallas
0116	1	Technology Recruiting Solutions,Inc.
0117	1	At-Tech
0118	1	At-Tech
0119	1	Boston Scientific
0120	1	Precision System Design, Inc.
0121	1	Career Brokers
0122	1	Shoes and Clothes for Kids
0123	1	Request Technology, LLC
0124	1	AppleOne
0125	1	At-Tech
0126	1	Ajilon
0127	1	At-Tech
0128	1	Enclipse Corp.
0129	1	GoTechNow
0130	1	Ajilon
0131	1	Innotrac Corporation
0132	1	AppleOne
0133	1	Synectics
0134	1	firstPRO
0135	1	PLANIT Technology Group
0136	1	Capital One
0137	1	Trilogy Technical Services LLC
0138	1	Tekmark Global Solutions, LLC
0139	1	Synectics
0140	1	Genesis10
0141	1	Ajilon
0142	1	Precision System Design, Inc.
0143	1	Precision System Design, Inc.
0144	1	CDI
0145	1	Synectics
0146	1	Request Technology, LLC
0147	1	Request Technology, LLC
0148	1	Request Technology, LLC
0149	1	Synectics
0150	1	Genesis10
0151	1	Humana
0152	1	Precision System Design, Inc.
0153	1	AppleOne
0154	1	AppleOne
0155	1	Technical Staffing Specialists, Inc.
0156	1	AppleOne
0157	1	Excell Data
0158	1	Ajilon
0159	1	Excell Data
0160	1	mastech
0161	1	Capital One
0162	1	Visionaire Partners
0163	1	Ajilon
0164	1	JSL Computer Services
0165	1	Synergy America, Inc.
0166	1	Ajilon
0167	1	Infinite Resources, Inc.
0168	1	Synectics
0169	1	Responsive Search, Inc.
0170	1	CCCi - Dallas
0171	1	Responsive Search, Inc.
0172	1	Responsive Search, Inc.
0173	1	Synectics
0174	1	Ajilon ICT - Chicago Loop
0175	1	ASP-Web Solutions
0176	1	Ajilon
0177	1	AppleOne
0178	1	Manpower
0179	1	ACT-1
0180	1	AppleOne
0181	1	ACT-1
0182	1	Catch Resource Management Ltd
0183	1	Ajilon
0184	1	CDI
0185	1	CDI
0186	1	Enclipse Corp.
0187	1	CDI
0188	1	Synergis
0189	1	Perot Systems
0190	1	AppleOne
0191	1	WSI Nationwide
0192	1	mastech
0193	1	Perot Systems
0194	1	AppleOne
0195	1	Thompson Technologies
0196	1	Extrinsic
0197	1	Perot Systems
0198	1	Commercial Programming Systems, Inc.
0199	1	At-Tech
0200	1	At-Tech
0201	1	CDI
0202	1	Infinite Resources, Inc.
0203	1	Flex Associates Limited
0204	1	Excell Data
0205	1	Professional Technical Resources
0206	1	IT Solutions and Services, Inc. (Agency Services G
0207	1	Professional Technical Resources
0208	1	Excell Data
0209	1	Professional Technical Resources
0210	1	Professional Technical Resources
0211	1	CDI
0212	1	The Walt Disney Company - Walt Disney Parks & Reso
0213	1	PF1Professional Services, Inc.
0214	1	Ajilon
0215	1	Ajilon
