job	techcentric	title
2000	2000	2000	1496
0000	1	Java J2EE Struts - Developer
0001	1	Senior Java Architect/Developer
0002	1	Systems Engineer (VMware)
0003	1	Flex 3/4 ActionScript - Developer
0004	1	Sr. Business Analyst
0005	1	Senior.Net Developer
0006	1	Visual Basic/Access Developer - Visual Basic Developer - SQL VBA in Denver CO
0007	1	*** .NET Developer with Data Warehouse AJAX MD US ***
0008	1	Systems Integration Analyst
0009	1	Manager, Web Dissemination (Job #2252)
0010	1	Java Front-End Developer
0011	1	C++ Software Engineer Opportunities!
0012	1	C++ Software Engineer Opportunities!
0013	1	Java Developer
0014	1	RiskMetrics, .Net Architect
0015	1	Java/Spring/Hibernate
0016	1	Lead Java/J2EE Server-side Developer
0017	1	C++, Linux, Credit Risk or CVA Developer
0018	1	Business Analyst
0019	1	WEBLOGIC Engineer - NEEDED NOW!!
0020	1	Computer Applications Analyst Associate
0021	1	Java Developer
0022	1	Application Systems Engineer
0023	1	Core Java Developer
0024	1	Java Technical Lead
0025	1	Senior JDE Business Analyst
0026	1	Java, J2EE, JMS Developer
0027	1	Post Trade Analyst
0028	1	Quant Developer
0029	1	Ab Initio Developer
0030	1	Java Web Services Systems Engineer
0031	1	ETL/SSIS Developer (Job #1973)
0032	1	Business Intelligence Developer
0033	1	IT Data Analyst
0034	1	Support Analyst
0035	1	Developer - SAS, SQL
0036	1	iPEP Support Analyst
0037	1	KDB/Q Java Developer with FX Trading
0038	1	.NET Developer
0039	1	Senior Credit Derivative Developers
0040	1	Client Connectivity Developer
0041	1	Mid-level Market Data Services Business Analyst
0042	1	Identity Management Group - Developer
0043	1	C++ CVA Trader Infrastructure developer
0044	1	Support Analyst, SQL, IIS, ASP.NET
0045	1	Software Design Engineer in Test - C#, ASP.NET, SQL
0046	1	Sr Client Server Desktop Application Expert
0047	1	Sr. WebSphere Administrator
0048	1	Business Analyst
0049	1	C# Developer for IRD Trading Platform
0050	1	C#/.NET UI Developer
0051	1	Senior.NET developer Merchant Banking Impact team
0052	1	C# FX Cash Developer
0053	1	Derivatives Developer
0054	1	Cognos 8 BI Analyst
0055	1	.Net/Web Developer
0056	1	Sr. Business Process Analyst
0057	1	Business Systems Consultant
0058	1	Software Engineer
0059	1	Business Systems Analyst, Sr
0060	1	Sr Web Designer/Developer
0061	1	RPG Programmer Analyst
0062	1	Software Design Engineer in Test - Level 2
0063	1	Quality Analyst (Quality center 9.2)
0064	1	Quality Analyst
0065	1	Senior Java Developer
