movie	allmovie	mpaa_rating
2000	2000	2000	4
0000	1	R
0001	1	R
0002	1	R
0003	1	R
0004	1	P
0005	1	R
0006	1	P
0007	1	R
0008	1	R
0009	1	R
0010	1	N
0011	1	R
0012	1	R
0013	1	P
0014	1	R
0015	1	P
0016	1	P
0017	1	N
0018	1	P
0019	1	R
0020	1	N
0021	1	N
0022	1	N
0023	1	R
0024	1	R
0025	1	R
0026	1	R
0027	1	P
0028	1	P
0029	1	N
0030	1	R
0031	1	R
0032	1	R
0033	1	P
0034	1	R
0035	1	R
0036	1	R
0037	1	R
0038	1	P
0039	1	P
0040	1	N
0041	1	R
0042	1	P
0043	1	R
0044	1	R
0045	1	P
0046	1	R
0047	1	N
0048	1	R
0049	1	G
0050	1	P
0051	1	P
0052	1	P
0053	1	P
0054	1	G
0055	1	P
0056	1	N
0057	1	R
0058	1	R
0059	1	P
0060	1	P
0061	1	P
0062	1	R
0063	1	R
0064	1	R
0065	1	P
0066	1	P
0067	1	N
0068	1	R
0069	1	P
0070	1	P
0071	1	P
0072	1	R
0073	1	R
0074	1	P
0075	1	P
0076	1	R
0077	1	P
0078	1	R
0079	1	P
0080	1	P
0081	1	P
0082	1	N
0083	1	P
0084	1	P
0085	1	R
0086	1	G
0087	1	G
0088	1	G
0089	1	G
0090	1	P
0091	1	G
0092	1	G
0093	1	G
0094	1	G
0095	1	G
0096	1	P
0097	1	G
0098	1	P
0099	1	P
0100	1	P
0101	1	G
0102	1	P
0103	1	N
0104	1	G
0105	1	G
0106	1	P
0107	1	G
0108	1	G
0109	1	G
0110	1	G
0111	1	G
0112	1	P
0113	1	P
0114	1	G
0115	1	G
0116	1	P
0117	1	P
0118	1	P
0119	1	P
0120	1	G
0121	1	G
0122	1	G
0123	1	G
0124	1	P
0125	1	G
0126	1	G
0127	1	P
0128	1	P
0129	1	P
0130	1	G
0131	1	P
0132	1	P
0133	1	G
0134	1	P
0135	1	P
0136	1	P
0137	1	P
0138	1	P
0139	1	G
0140	1	R
0141	1	R
0142	1	P
0143	1	R
0144	1	R
0145	1	P
0146	1	P
0147	1	N
0148	1	P
0149	1	R
0150	1	P
0151	1	R
0152	1	P
0153	1	P
0154	1	G
0155	1	R
0156	1	P
0157	1	P
0158	1	R
0159	1	P
0160	1	P
0161	1	P
0162	1	N
0163	1	P
0164	1	R
0165	1	P
0166	1	P
0167	1	R
0168	1	P
0169	1	P
0170	1	G
0171	1	N
0172	1	P
0173	1	P
0174	1	P
0175	1	R
0176	1	P
0177	1	G
0178	1	R
0179	1	P
0180	1	G
0181	1	P
0182	1	P
0183	1	G
0184	1	G
0185	1	G
0186	1	P
0187	1	P
0188	1	P
0189	1	P
0190	1	P
0191	1	R
0192	1	G
0193	1	P
0194	1	P
0195	1	R
0196	1	R
0197	1	P
0198	1	P
0199	1	P
0200	1	P
0201	1	G
0202	1	P
0203	1	P
0204	1	G
0205	1	P
0206	1	R
0207	1	R
0208	1	P
0209	1	P
0210	1	P
0211	1	P
0212	1	P
0213	1	P
0214	1	G
0215	1	P
0216	1	P
0217	1	P
0218	1	P
0219	1	P
0220	1	P
0221	1	P
0222	1	P
0223	1	R
0224	1	N
0225	1	N
0226	1	R
0227	1	R
0228	1	R
0229	1	R
0230	1	R
0231	1	R
0232	1	R
0233	1	R
0234	1	N
0235	1	N
0236	1	R
0237	1	R
0238	1	R
0239	1	R
0240	1	R
0241	1	R
0242	1	R
0243	1	R
0244	1	R
0245	1	R
0246	1	R
0247	1	R
0248	1	R
0249	1	R
0250	1	R
0251	1	P
0252	1	R
0253	1	R
0254	1	N
0255	1	R
0256	1	R
0257	1	P
0258	1	R
0259	1	R
0260	1	R
0261	1	R
0262	1	R
0263	1	R
0264	1	R
0265	1	N
0266	1	R
0267	1	R
0268	1	R
0269	1	R
0270	1	R
0271	1	R
0272	1	R
0273	1	R
0274	1	R
0275	1	R
0276	1	R
0277	1	P
0278	1	R
0279	1	P
0280	1	R
0281	1	R
0282	1	R
0283	1	R
0284	1	R
0285	1	R
0286	1	R
0287	1	R
0288	1	R
0289	1	R
0290	1	R
0291	1	R
0292	1	N
0293	1	R
0294	1	R
0295	1	P
0296	1	R
0297	1	R
0298	1	N
0299	1	P
0300	1	R
0301	1	R
0302	1	R
0303	1	R
0304	1	P
0305	1	G
0306	1	R
0307	1	P
0308	1	P
0309	1	G
0310	1	P
0311	1	P
0312	1	P
0313	1	P
0314	1	G
0315	1	R
0316	1	P
0317	1	P
0318	1	P
0319	1	N
0320	1	R
0321	1	P
0322	1	G
0323	1	P
0324	1	P
0325	1	P
0326	1	G
0327	1	P
0328	1	P
0329	1	P
0330	1	N
0331	1	P
0332	1	G
0333	1	G
0334	1	R
0335	1	P
0336	1	G
0337	1	P
0338	1	P
0339	1	P
0340	1	P
0341	1	R
0342	1	P
0343	1	P
0344	1	R
0345	1	P
0346	1	R
0347	1	R
0348	1	P
0349	1	R
0350	1	P
0351	1	P
0352	1	P
0353	1	P
0354	1	G
0355	1	R
0356	1	P
0357	1	R
0358	1	P
0359	1	R
0360	1	P
0361	1	P
0362	1	P
0363	1	P
0364	1	P
0365	1	R
0366	1	G
0367	1	P
0368	1	P
0369	1	R
0370	1	P
0371	1	P
0372	1	R
0373	1	P
0374	1	R
0375	1	R
0376	1	P
0377	1	R
0378	1	P
0379	1	R
0380	1	P
0381	1	P
0382	1	P
0383	1	P
0384	1	P
0385	1	P
0386	1	P
0387	1	P
0388	1	P
0389	1	R
