movie	allmovie	title
2000	2000	2000	1991
0000	1	The Sweet Hereafter
0001	1	Breaking the Waves
0002	1	Dead Man Walking
0003	1	Red
0004	1	Chungking Express
0005	1	Short Cuts
0006	1	The Remains of the Day
0007	1	The Piano
0008	1	Belle de Jour
0009	1	sex, lies, and videotape
0010	1	The World of Apu
0011	1	A Woman Under the Influence
0012	1	Taxi Driver
0013	1	A Streetcar Named Desire
0014	1	Saturday Night Fever
0015	1	Romeo and Juliet
0016	1	Rocky
0017	1	A Raisin in the Sun
0018	1	Raise the Red Lantern
0019	1	Raging Bull
0020	1	Picnic at Hanging Rock
0021	1	Pather Panchali
0022	1	On the Waterfront
0023	1	Nashville
0024	1	Midnight Cowboy
0025	1	Medium Cool
0026	1	The Marriage of Maria Braun
0027	1	Malcolm X
0028	1	The Last Wave
0029	1	Last Tango in Paris
0030	1	The Last Picture Show
0031	1	Five Easy Pieces
0032	1	Fanny &amp; Alexander
0033	1	East of Eden
0034	1	Drugstore Cowboy
0035	1	Deliverance
0036	1	The Crying Game
0037	1	The Conformist
0038	1	Cinema Paradiso
0039	1	Barry Lyndon
0040	1	Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb
0041	1	National Lampoon's Animal House
0042	1	Young Frankenstein
0043	1	Withnail &amp; I
0044	1	When Harry Met Sally
0045	1	Tootsie
0046	1	This Is Spinal Tap
0047	1	Some Like It Hot
0048	1	Slacker
0049	1	Singin' in the Rain
0050	1	Raising Arizona
0051	1	Moonstruck
0052	1	Monty Python and the Holy Grail
0053	1	Local Hero
0054	1	A Hard Day's Night
0055	1	The Graduate
0056	1	Father of the Bride
0057	1	Fast Times at Ridgemont High
0058	1	Blazing Saddles
0059	1	Annie Hall
0060	1	Airplane!
0061	1	Shrek
0062	1	Election
0063	1	Four Weddings and a Funeral
0064	1	Women on the Verge of a Nervous Breakdown
0065	1	Who Framed Roger Rabbit
0066	1	Victor/Victoria
0067	1	Tampopo
0068	1	Stranger Than Paradise
0069	1	Smile
0070	1	Sleeper
0071	1	A Shot in the Dark
0072	1	She's Gotta Have It
0073	1	Shampoo
0074	1	Roxanne
0075	1	The Purple Rose of Cairo
0076	1	The Player
0077	1	Love and Death
0078	1	Lost in America
0079	1	Harold and Maude
0080	1	Groundhog Day
0081	1	Ghostbusters
0082	1	Born Yesterday
0083	1	Big
0084	1	All of Me
0085	1	Bridget Jones's Diary
0086	1	Babe
0087	1	The Sound of Music
0088	1	Old Yeller
0089	1	My Neighbor Totoro
0090	1	The Nightmare Before Christmas
0091	1	101 Dalmatians
0092	1	The Muppet Movie
0093	1	Mary Poppins
0094	1	The Black Stallion
0095	1	Beauty and the Beast
0096	1	The Bear
0097	1	Monsters, Inc.
0098	1	Spy Kids
0099	1	Stuart Little
0100	1	The Iron Giant
0101	1	A Bug's Life
0102	1	Fly Away Home
0103	1	The White Balloon
0104	1	A Little Princess
0105	1	The Swan Princess
0106	1	The Secret of Roan Inish
0107	1	The Many Adventures of Winnie the Pooh
0108	1	Peter Pan
0109	1	Tom Thumb
0110	1	Sleeping Beauty
0111	1	The Secret of NIMH
0112	1	Pee-Wee's Big Adventure
0113	1	The Neverending Story
0114	1	The Muppets Take Manhattan
0115	1	The Land Before Time
0116	1	The Karate Kid
0117	1	The Journey of Natty Gann
0118	1	A Christmas Carol
0119	1	Born Free
0120	1	An American Tail
0121	1	Alice in Wonderland
0122	1	Aladdin
0123	1	The Absent-Minded Professor
0124	1	My Dog Skip
0125	1	The Rugrats Movie
0126	1	Mulan
0127	1	Fairy Tale: A True Story
0128	1	Matilda
0129	1	The Indian in the Cupboard
0130	1	Black Beauty
0131	1	The Witches
0132	1	The Three Lives of Thomasina
0133	1	The Secret Garden
0134	1	The Leopard
0135	1	The Last Emperor
0136	1	Gandhi
0137	1	Henry V
0138	1	Reds
0139	1	A Man for All Seasons
0140	1	The Emperor and the Assassin
0141	1	Elizabeth
0142	1	Miss Evers' Boys
0143	1	Braveheart
0144	1	Queen Margot
0145	1	The Madness of King George
0146	1	Zulu
0147	1	Ofelas
0148	1	The Lion in Winter
0149	1	Glory
0150	1	The Diary of Anne Frank
0151	1	Black Robe
0152	1	Becket
0153	1	Gettysburg
0154	1	Cleopatra
0155	1	Rasputin
0156	1	Mary, Queen of Scots
0157	1	Ludwig
0158	1	Edward II
0159	1	The Wind and the Lion
0160	1	The Mission
0161	1	Lady Jane
0162	1	The Blue and the Gray
0163	1	Anne of the Thousand Days
0164	1	Amistad
0165	1	Tora! Tora! Tora!
0166	1	Nicholas and Alexandra
0167	1	Steal This Movie
0168	1	Ghosts of Mississippi
0169	1	Jefferson in Paris
0170	1	Julius Caesar
0171	1	Caligula
0172	1	Raiders of the Lost Ark
0173	1	The Princess Bride
0174	1	Iron Monkey
0175	1	Once Upon a Time in China
0176	1	Fitzcarraldo
0177	1	Around the World in 80 Days
0178	1	Rob Roy
0179	1	Into the West
0180	1	Treasure Island
0181	1	Time Bandits
0182	1	The Three Musketeers
0183	1	Those Magnificent Men in Their Flying Machines
0184	1	The Swiss Family Robinson
0185	1	The 7th Voyage of Sinbad
0186	1	The Sand Pebbles
0187	1	Romancing the Stone
0188	1	The Professionals
0189	1	Never Cry Wolf
0190	1	The Man Who Would Be King
0191	1	The Last of the Mohicans
0192	1	The Jungle Book
0193	1	The Four Musketeers
0194	1	Robin and Marian
0195	1	Quest for Fire
0196	1	Mountains of the Moon
0197	1	The Mosquito Coast
0198	1	Ladyhawke
0199	1	Indiana Jones and the Temple of Doom
0200	1	Indiana Jones and the Last Crusade
0201	1	The Incredible Journey
0202	1	Greystoke: The Legend of Tarzan, Lord of the Apes
0203	1	The Great Waldo Pepper
0204	1	20,000 Leagues Under the Sea
0205	1	The Mummy
0206	1	The Heroic Trio
0207	1	The Edge
0208	1	Dante's Peak
0209	1	Operation Condor
0210	1	Dragonheart
0211	1	Far from Home: The Adventures of Yellow Dog
0212	1	Lionheart
0213	1	Lassie
0214	1	The Pirates of Penzance
0215	1	Wind
0216	1	White Fang
0217	1	Return to Snowy River
0218	1	A Far Off Place
0219	1	Dragonslayer
0220	1	Crusoe
0221	1	White Squall
0222	1	The Discreet Charm of the Bourgeoisie
0223	1	Celine and Julie Go Boating
0224	1	Renaissance
0225	1	Conspirators of Pleasure
0226	1	Ceddo
0227	1	A Zed &amp; Two Noughts
0228	1	Prospero's Books
0229	1	Possession
0230	1	The Phantom of Liberty
0231	1	Naked Lunch
0232	1	Santa Sangre
0233	1	The Belly of an Architect
0234	1	Goto, L'ile d'amour
0235	1	Lumière and Company
0236	1	Fargo
0237	1	The Usual Suspects
0238	1	Pulp Fiction
0239	1	The Untouchables
0240	1	Reservoir Dogs
0241	1	Once Upon a Time in America
0242	1	The Killer
0243	1	In Cold Blood
0244	1	GoodFellas
0245	1	The Godfather Part II
0246	1	The Godfather
0247	1	The French Connection
0248	1	Dirty Harry
0249	1	Bonnie and Clyde
0250	1	Blood Simple
0251	1	Badlands
0252	1	Out of Sight
0253	1	L.A. Confidential
0254	1	Vengeance Is Mine
0255	1	Prizzi's Honor
0256	1	The Grifters
0257	1	Le Samouraï
0258	1	Dog Day Afternoon
0259	1	Full Contact
0260	1	The Limey
0261	1	Ghost Dog: The Way of the Samurai
0262	1	The General
0263	1	Jackie Brown
0264	1	Donnie Brasco
0265	1	Deep Crimson
0266	1	Heat
0267	1	Shallow Grave
0268	1	The Last Seduction
0269	1	Get Carter
0270	1	The Friends of Eddie Coyle
0271	1	Who'll Stop the Rain?
0272	1	Thief
0273	1	Scarface
0274	1	Miller's Crossing
0275	1	Let Him Have It
0276	1	The Killing of a Chinese Bookie
0277	1	Going in Style
0278	1	The Godfather Part III
0279	1	The Getaway
0280	1	After Dark, My Sweet
0281	1	Training Day
0282	1	The Score
0283	1	Bobby G. Can't Swim
0284	1	Lock, Stock and Two Smoking Barrels
0285	1	Kiss or Kill
0286	1	Citizen X
0287	1	Little Odessa
0288	1	Natural Born Killers
0289	1	Tequila Sunrise
0290	1	State of Grace
0291	1	A Rage in Harlem
0292	1	No Way to Treat a Lady
0293	1	Laws of Gravity
0294	1	Internal Affairs
0295	1	Ocean's Eleven
0296	1	Truth or Consequences, N.M.
0297	1	Set It Off
0298	1	Until They Sail
0299	1	Sneakers
0300	1	Kalifornia
0301	1	Ordinary Decent Criminal
0302	1	Trick Baby
0303	1	52 Pick-Up
0304	1	Titanic
0305	1	The Ten Commandments
0306	1	Ran
0307	1	Lawrence of Arabia
0308	1	Doctor Zhivago
0309	1	Ben-Hur
0310	1	Patton
0311	1	Kagemusha
0312	1	Kundun
0313	1	The Emigrants
0314	1	The Longest Day
0315	1	Sunshine
0316	1	Indochine
0317	1	War and Peace
0318	1	The Story of David
0319	1	Noah's Ark
0320	1	Les Misérables
0321	1	Far and Away
0322	1	Cromwell
0323	1	Anna and the King
0324	1	The Message
0325	1	Lion of the Desert
0326	1	The Greatest Story Ever Told
0327	1	The Charge of the Light Brigade
0328	1	Princess Mononoke
0329	1	Wings of Desire
0330	1	A Christmas Carol
0331	1	Harry Potter and the Sorcerer's Stone
0332	1	Yellow Submarine
0333	1	Babe: Pig in the City
0334	1	Wings of Fame
0335	1	Orlando
0336	1	Willy Wonka and the Chocolate Factory
0337	1	Truly, Madly, Deeply
0338	1	Peggy Sue Got Married
0339	1	Heaven Can Wait
0340	1	Ghost
0341	1	Excalibur
0342	1	Edward Scissorhands
0343	1	Defending Your Life
0344	1	The Company of Wolves
0345	1	Batman
0346	1	Witch Hunt
0347	1	The City of Lost Children
0348	1	The Mask
0349	1	The Crow
0350	1	The Navigator: A Medieval Odyssey
0351	1	Goldfinger
0352	1	From Russia With Love
0353	1	You Only Live Twice
0354	1	Ice Station Zebra
0355	1	The Falcon and the Snowman
0356	1	Dr. No
0357	1	The Tailor of Panama
0358	1	The Spy Who Loved Me
0359	1	The Russia House
0360	1	Pascali's Island
0361	1	On Her Majesty's Secret Service
0362	1	For Your Eyes Only
0363	1	Diamonds Are Forever
