movie	amctv	director
2000	1980	2199	1280
0000	1	Roy Hill
0001	1	Leone
0002	1	Lean
0003	1	Wise
0004	1	Nichols
0005	1	Kubrick
0006	1	Young
0007	1	Lean
0008	1	Kubrick
0009	1	Polanski
0010	1	Peckinpah
0011	1	Spielberg
0012	1	Lucas
0013	1	Ford Coppola
0014	1	G. Avildsen
0015	1	Landis
0016	1	Brooks
0017	1	J. Schaffner
0018	1	Roy Hill
0019	1	Polanski
0020	1	Friedkin
0021	1	Altman
0022	1	Lumet
0023	1	Badham
0024	2	Allen	Guillermin
0025	1	Benton
0026	1	Spielberg
0027	1	Scott
0028	1	Scott
0029	1	Hackford
0030	1	Lyne
0031	1	Kasdan
0032	1	Gordon
0033	1	Tarantino
0034	1	Scorsese
0035	1	Spielberg
0036	1	Lasseter
0037	1	Eastwood
0038	1	. Night Shyamalan
0039	1	Wachowski
0040	1	Mendes
0041	1	Hanson
0042	1	Demme
0043	1	Underwood
0044	1	Nolan
0045	1	Coen
0046	2	Jenson	Adamson
0047	1	Docter
0048	1	Stanton
0049	1	Cameron
0050	1	Columbus
0051	1	Boyle
0052	1	Polanski
0053	1	Crowe
0054	1	Aronofsky
0055	1	Jacquet
0056	1	Coppola
0057	1	Lee
0058	1	Fleming
0059	1	Hughes
0060	1	Wilder
0061	1	Chaplin
0062	1	Spielberg
0063	1	Forman
0064	1	Lean
0065	1	Hitchcock
0066	1	Kazan
0067	1	Kubrick
0068	12	Disney	Sharpsteen	Jackson	Pearce	Hand	de Maris	Richard	Creedon	Ann Blank	Smith	Morey	Cottrell
0069	1	Huston
0070	1	Capra
0071	16	Disney	. Hee	Wright	Sharpsteen	Roberts	Jackson	Armstrong	Satterfield	Luske	Heid	I. Beebe	Algar	Handley	Majolie	Heath	Moberly-Holland
0072	1	Hawks
0073	1	Chaplin
0074	2	Curtiz	MacMullan
0075	1	Hawks
0076	2	Wellman	Conway
0077	1	Bacon
0078	1	Lubitsch
0079	1	Altman
0080	1	Brooks
0081	1	Woo
0082	1	Leone
0083	1	Huston
0084	1	. Lee Thompson
0085	1	Sturges
0086	1	Brooks
0087	1	Boorman
0088	1	Coen
