movie	amctv	genre
2000	1995	1995	185
0000	1	Western
0001	1	Western
0002	1	Epic
0003	1	Children's/Family, Musical
0004	1	Comedy Drama
0005	1	Historical Film, Epic
0006	1	Action, Spy Film
0007	1	Romance, Epic
0008	1	Science Fiction
0009	1	Horror
0010	1	Western
0011	1	Adventure, Thriller
0012	1	Science Fiction
0013	1	Crime
0014	1	Drama
0015	1	Comedy
0016	1	Western, Comedy
0017	1	Epic, War
0018	1	Crime
0019	1	Mystery
0020	1	Action, Crime
0021	1	Comedy Drama, War
0022	1	Crime
0023	1	Drama
0024	1	Action
0025	1	Drama
0026	1	Action, Adventure
0027	1	Science Fiction
0028	1	Drama
0029	1	Drama, Romance
0030	1	Thriller
0031	1	Comedy Drama
0032	1	Comedy Drama, Romance
0033	1	Crime
0034	1	Crime
0035	1	War
0036	1	Children's/Family, Fantasy
0037	1	Western
0038	1	Thriller
0039	1	Science Fiction
0040	1	Comedy Drama
0041	1	Mystery, Crime
0042	1	Drama
0043	1	Comedy Drama
0044	1	Fantasy, Action, Crime
0045	1	Thriller
0046	1	Children's/Family
0047	1	Children's/Family
0048	1	Science Fiction
0049	1	Science Fiction
0050	1	Children's/Family, Fantasy
0051	1	Drama
0052	1	Drama
0053	1	Comedy Drama
0054	1	Drama
0055	1	Nature
0056	1	Comedy Drama
0057	1	Drama
0058	1	Romance, Epic
0059	1	Comedy
0060	1	Comedy
0061	1	Romance, Comedy Drama
0062	1	War, Drama
0063	1	Comedy Drama
0064	1	Drama, War
0065	1	Mystery
0066	1	Drama
0067	1	Comedy
0068	1	Fantasy, Children's/Family
0069	1	Adventure, Drama
0070	1	Comedy
0071	1	Children's/Family, Fantasy, Musical
0072	1	Western
0073	1	Comedy
0074	1	Musical
0075	1	Comedy
0076	1	Drama
0077	1	Musical
0078	1	Comedy
0079	1	Drama
0080	1	Comedy
0081	1	Action, Crime
0082	1	Western
0083	1	Historical Film
0084	1	War
0085	1	Spy Film, Action
0086	1	Western, Adventure
0087	1	Drama
0088	1	Comedy
0089	1	Musical
0090	1	Drama
0091	1	Comedy Drama
0092	1	Comedy
0093	1	Drama
0094	1	Science Fiction
0095	1	Spy Film, Action
0096	1	Thriller
0097	1	Spy Film, Action
0098	1	Spy Film, Adventure
0099	1	Spy Film, Action
0100	1	Comedy
0101	1	Drama
0102	1	Drama
0103	1	Drama
0104	1	Drama
0105	1	Mystery, Science Fiction
0106	1	Science Fiction
0107	1	Drama
0108	1	Crime
0109	1	Romance, Musical
0110	1	Drama
0111	1	Drama
0112	1	Drama
0113	1	Comedy
0114	1	Drama
0115	1	Comedy
0116	1	Comedy Drama
0117	1	Romance, Drama
0118	1	Comedy
0119	1	Thriller
0120	1	Romance, Crime
0121	1	Adventure, Historical Film
0122	1	Comedy Drama
0123	1	Comedy Drama
0124	1	Drama
0125	1	Drama
0126	1	Action, Adventure, Horror
0127	1	Drama, Crime
0128	1	Action, Science Fiction
0129	1	Action
0130	1	Science Fiction
0131	1	Horror
0132	1	Horror
0133	1	Mystery, Thriller
0134	1	Horror
0135	1	Crime
0136	1	Drama
0137	1	Adventure, Children's/Family
0138	1	Crime
0139	1	Crime
0140	1	Crime
0141	1	Crime
0142	1	Crime
0143	1	Drama
0144	1	Thriller
0145	1	Drama
0146	1	Thriller
0147	1	Thriller
0148	1	Crime
0149	1	Musical
0150	1	Drama
0151	1	Drama
0152	1	Drama
0153	1	Drama
0154	1	Drama
0155	1	Thriller
0156	1	Mystery, Comedy
0157	1	Mystery
0158	1	Romance
0159	1	Adventure
0160	1	Drama
0161	1	Comedy
0162	1	Comedy Drama
0163	1	Comedy, Romance
0164	1	Comedy
0165	1	Comedy
0166	1	Comedy
0167	1	Comedy
0168	1	Comedy
0169	1	Comedy
0170	1	Drama
0171	1	Comedy
0172	1	Thriller
0173	1	Science Fiction
0174	1	History
0175	1	Comedy Drama
0176	1	Comedy
0177	1	Romance, Comedy, Fantasy
0178	1	Thriller, Romance
0179	1	War, Drama
0180	1	Crime
0181	1	Action, Science Fiction
0182	1	Action
0183	1	Drama
0184	1	Music
0185	1	Drama
0186	1	Drama
0187	1	Drama
0188	1	Comedy Drama
0189	1	Comedy Drama
0190	1	Comedy
0191	1	Comedy
0192	1	Drama
0193	1	Comedy Drama
0194	1	Comedy
0195	1	Thriller
0196	1	Drama
0197	1	Drama
0198	1	Comedy Drama
0199	1	Crime
0200	1	Action
0201	1	Historical Film
0202	1	War
0203	1	Mystery
0204	1	Comedy, Fantasy
0205	1	Comedy
0206	1	Comedy, Romance
0207	1	Drama, War
0208	1	History, Film, TV &amp; Radio
0209	1	Fantasy, Children's/Family
0210	1	Fantasy, Children's/Family
0211	1	Children's/Family
0212	1	Adventure, Children's/Family
0213	1	Science Fiction
0214	1	Adventure
0215	1	Action
0216	1	Mystery
0217	1	Fantasy, Romance
0218	1	Thriller
0219	1	Mystery
0220	1	Action
0221	1	Crime, Thriller
0222	1	Science Fiction
0223	1	Science Fiction
0224	1	Science Fiction
0225	1	Science Fiction
0226	1	Science Fiction
0227	1	Thriller
0228	1	Drama
0229	1	Drama
0230	1	Comedy Drama, Fantasy
0231	1	Drama
0232	1	Action, Adventure
0233	1	Spy Film, Action
0234	1	Adventure
0235	1	Mystery
0236	1	Comedy Drama
