movie	amctv	mpaa_rating
2000	2000	2000	679
0000	1	PG
0001	1	R
0002	1	PG
0003	1	G
0004	1	PG
0005	1	PG13
0006	1	PG
0007	1	PG13
0008	1	G
0009	1	R
0010	1	R
0011	1	PG
0012	1	PG
0013	1	R
0014	1	PG
0015	1	R
0016	1	R
0017	1	PG
0018	1	PG
0019	1	R
0020	1	R
0021	1	R (for sexual content, For sexual content)
0022	1	R
0023	1	R
0024	1	PG
0025	1	PG
0026	1	PG
0027	1	R
0028	1	PG
0029	1	R
0030	1	R
0031	1	R
0032	1	PG
0033	1	R (for strong graphic violence and drug use, pervasive strong language and some sexuality)
0034	1	R
0035	1	R (for intense prolonged realistically graphic sequences of war violence, and for language)
0036	1	G
0037	1	R (for language, and violence, and for a scene of sexuality)
0038	1	PG13 (for intense thematic material and violent images)
0039	1	R (for sci-fi violence and brief language)
0040	1	R (for strong sexuality, language, violence and drug content)
0041	1	R (for violence and language)
0042	1	PG13 (for some graphic language and thematic material)
0043	1	PG13
0044	1	PG13 (for intense sequences of violence and some menace)
0045	1	R (for strong graphic violence and some language)
0046	1	PG (for mild language and some crude humor)
0047	1	PG (for some peril and action)
0048	1	G
0049	1	PG13 (for intense epic battle sequences and warfare, sensuality, language and some smoking)
0050	1	PG (for some scary moments and mild language)
0051	1	R (for some violence, disturbing images and language)
0052	1	R (for violence and brief strong language)
0053	1	R (for language, drug content and brief nudity)
0054	1	NR
0055	1	G
0056	1	R (for some sexual content)
0057	1	R (for strong language and some violence)
0058	1	G
0059	1	PG13
0060	1	NR
0061	1	G
0062	1	R (for language, some sexuality and actuality violence)
0063	1	R
0064	1	PG
0065	1	PG
0066	1	NR
0067	1	NR
0068	1	G
0069	1	NR
0070	1	NR
0071	1	G
0072	1	NR
0073	1	G
0074	1	NR
0075	1	NR
0076	1	PG
0077	1	NR
0078	1	NR
0079	1	R
0080	1	PG
0081	1	R
0082	1	PG
0083	1	NR
0084	1	NR
0085	1	G
0086	1	PG13
0087	1	R
0088	1	PG13
0089	1	G
0090	1	G
0091	1	R (for language and brief nudity)
0092	1	R
0093	1	R (for moments of extremely graphic sexuality)
0094	1	G
0095	1	PG
0096	1	R
0097	1	PG
0098	1	PG
0099	1	PG
