movie	amctv	title
2000	2000	2000	1980
0000	1	Butch Cassidy and the Sundance Kid
0001	1	The Good, the Bad and the Ugly
0002	1	Lawrence of Arabia
0003	1	The Sound of Music
0004	1	The Graduate
0005	1	Spartacus
0006	1	Dr. No
0007	1	Doctor Zhivago
0008	1	2001: A Space Odyssey
0009	1	Rosemary's Baby
0010	1	The Wild Bunch
0011	1	Jaws
0012	1	Star Wars
0013	1	The Godfather Part II
0014	1	Rocky
0015	1	National Lampoon's Animal House
0016	1	Blazing Saddles
0017	1	Patton
0018	1	The Sting
0019	1	Chinatown
0020	1	The French Connection
0021	1	M*A*S*H
0022	1	Dog Day Afternoon
0023	1	Saturday Night Fever
0024	1	The Towering Inferno
0025	1	Kramer vs. Kramer
0026	1	Raiders of the Lost Ark
0027	1	Blade Runner
0028	1	Top Gun
0029	1	An Officer and a Gentleman
0030	1	Fatal Attraction
0031	1	The Big Chill
0032	1	Arthur
0033	1	Pulp Fiction
0034	1	GoodFellas
0035	1	Saving Private Ryan
0036	1	Toy Story
0037	1	Unforgiven
0038	1	The Sixth Sense
0039	1	The Matrix
0040	1	American Beauty
0041	1	L.A. Confidential
0042	1	Philadelphia
0043	1	City Slickers
0044	1	The Dark Knight
0045	1	No Country for Old Men
0046	1	Shrek
0047	1	Up
0048	1	WALL-E
0049	1	Avatar
0050	1	Harry Potter and the Sorcerer's Stone
0051	1	Slumdog Millionaire
0052	1	The Pianist
0053	1	Almost Famous
0054	1	Requiem for a Dream
0055	1	March of the Penguins
0056	1	Lost in Translation
0057	1	25th Hour
0058	1	Gone With the Wind
0059	1	Ferris Bueller's Day Off
0060	1	Some Like It Hot
0061	1	City Lights
0062	1	Schindler's List
0063	1	One Flew Over the Cuckoo's Nest
0064	1	The Bridge on the River Kwai
0065	1	Vertigo
0066	1	On the Waterfront
0067	1	Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb
0068	1	Snow White and the Seven Dwarfs
0069	1	The Treasure of the Sierra Madre
0070	1	It Happened One Night
0071	1	Fantasia
0072	1	Red River
0073	1	Modern Times
0074	1	Yankee Doodle Dandy
0075	1	His Girl Friday
0076	1	A Star Is Born
0077	1	42nd Street
0078	1	Ninotchka
0079	1	Nashville
0080	1	Young Frankenstein
0081	1	The Killer
0082	1	Once Upon a Time in the West
0083	1	The Red Badge of Courage
0084	1	The Guns of Navarone
0085	1	Ice Station Zebra
0086	1	The Professionals
0087	1	Deliverance
0088	1	Raising Arizona
0089	1	Oliver!
0090	1	Elvis
0091	1	Rushmore
0092	1	Fast Times at Ridgemont High
0093	1	The Piano
0094	1	Planet of the Apes
0095	1	Goldfinger
0096	1	No Way Out
0097	1	You Only Live Twice
0098	1	For Your Eyes Only
0099	1	Diamonds Are Forever
0100	1	The Odd Couple II
0101	1	A Woman Under the Influence
0102	1	A Passage to India
0103	1	Anatomy of a Murder
0104	1	East of Eden
0105	1	2010
0106	1	Solaris
0107	1	The Deer Hunter
0108	1	Badlands
0109	1	The King and I
0110	1	Belle de Jour
0111	1	Macbeth
0112	1	Cries and Whispers
0113	1	Adam's Rib
0114	1	Do the Right Thing
0115	1	Woman of the Year
0116	1	Husbands and Wives
0117	1	Coming Home
0118	1	Murmur of the Heart
0119	1	The Conversation
0120	1	Atlantic City
0121	1	Ofelas
0122	1	Terms of Endearment
0123	1	Amadeus
0124	1	The Set-Up
0125	1	Annapolis
0126	1	Ghost Warrior
0127	1	Carnival of Blood
0128	1	The Terminator
0129	1	Speed
0130	1	Aliens
0131	1	Abby
0132	1	Carrie
0133	1	The Order
0134	1	An American Werewolf in London
0135	1	Mean Streets
0136	1	Alice Doesn't Live Here Anymore
0137	1	The Bear
0138	1	The Grifters
0139	1	The Untouchables
0140	1	Key Largo
0141	1	The Roaring Twenties
0142	1	The Asphalt Jungle
0143	1	Serpico
0144	1	Bullitt
0145	1	Traffic
0146	1	Marathon Man
0147	1	The Big Easy
0148	1	White Heat
0149	1	Grease
0150	1	Somebody Up There Likes Me
0151	1	All the President's Men
0152	1	I Never Sang for My Father
0153	1	Places in the Heart
0154	1	A Soldier's Story
0155	1	The Day of the Jackal
0156	1	Manhattan Murder Mystery
0157	1	The Late Show
0158	1	The Way We Were
0159	1	Romancing the Stone
0160	1	Stand by Me
0161	1	Dave
0162	1	Metropolitan
0163	1	Valley Girl
0164	1	Caddyshack II
0165	1	National Lampoon's Animal House
0166	1	Tampopo
0167	1	Under the Rainbow
0168	1	The Whoopee Boys
0169	1	Who's Your Caddy?
0170	1	If...
0171	1	Planes, Trains and Automobiles
0172	1	Duel
0173	1	Earth vs. the Flying Saucers
0174	1	Dear America: Letters Home from Vietnam
0175	1	Breaking Away
0176	1	Radio Days
0177	1	The Purple Rose of Cairo
0178	1	Witness
0179	1	Born on the Fourth of July
0180	1	Things Change
0181	1	Robocop
0182	1	Die Hard
0183	1	The Accused
0184	1	The Last Waltz
0185	1	sex, lies, and videotape
0186	1	Dangerous Liaisons
0187	1	The Unbearable Lightness of Being
0188	1	Enemies: A Love Story
0189	1	The Cook, the Thief, His Wife and Her Lover
0190	1	The War of the Roses
0191	1	The Player
0192	1	Wall Street 2
0193	1	Diner
0194	1	Slacker
0195	1	Body Heat
0196	1	To Sleep with Anger
0197	1	Under the Volcano
0198	1	Hannah and Her Sisters
