movie	boxofficemojo	director
2000	2000	2049	686
0000	1	James Cameron
0001	1	Lee Unkrich
0002	1	Tim Burton
0003	2	Pete Docter	Bob Peterson
0004	1	Robert Zemeckis
0005	1	Robert Zemeckis
0006	1	Tom McGrath
0007	1	M. Night Shyamalan
0008	1	Jeff Tremaine
0009	1	Robert Rodriguez
0010	2	Nathan Greno	Byron Howard
0011	1	Robert Zemeckis
0012	1	Henry Selick
0013	1	Paul W.S. Anderson
0014	1	Zack Snyder
0015	1	Patrick Lussier
0016	1	Brad Peyton
0017	1	Robert Rodriguez
0018	1	Alexandre Aja
0019	1	James Cameron
0020	1	Wes Craven
0021	1	James Cameron
0022	1	Brad Peyton
0023	1	Michel Gondry
0024	1	Kelly Asbury
0025	1	Rob Marshall
0026	1	Martin Campbell
0027	2	John Lasseter	Brad Lewis
0028	1	David Yates
0029	1	Chris Gorak
0030	1	Robert Rodriguez
0031	1	Craig Gillespie
0032	1	Eric Heisserer
0033	1	David R. Ellis
0034	1	Charles Martin Smith
0035	1	Paul W.S. Anderson
0036	1	George Miller
0037	1	Martin Scorsese
0038	1	Steven Spielberg
0039	1	Tim Burton
0040	1	Andrew Stanton
0041	1	Brenda Chapman
0042	1	Marc Webb
0043	1	Ang Lee
0044	1	Barry Sonnenfeld
0045	1	Brett Ratner
0046	1	Barry Sonnenfeld
0047	1	Richard Donner
0048	1	Richard Donner
0049	1	Brett Ratner
0050	1	Michael Bay
0051	1	Richard Donner
0052	1	Adam McKay
0053	1	Todd Phillips
0054	1	David Gordon Green
0055	1	Walter Hill
0056	1	Walter Hill
0057	1	Michael Bay
0058	1	Richard Donner
0059	1	David Dobkin
0060	1	Tony Scott
0061	1	Tom Dey
0062	1	Peter Berg
0063	1	Steve Oedekerk
0064	1	Brett Ratner
0065	1	Peter Hyams
0066	1	Martin Brest
0067	1	Tom Dey
0068	1	Tim Story
0069	1	Dennis Dugan
0070	1	Joseph Ruben
0071	1	Walter Hill
0072	1	Betty Thomas
0073	1	Joel Schumacher
0074	1	John Badham
0075	1	Edgar Wright
0076	1	Clint Eastwood
0077	1	Ernest R. Dickerson
0078	1	John Gray
0079	1	Gregg Champion
0080	1	John Badham
0081	1	Kevin Hooks
0082	1	Erik Canuel
0083	1	Hark Tsui
0084	1	Les Mayfield
0085	1	Barry Sonnenfeld
0086	1	Hayao Miyazaki
0087	1	Hayao Miyazaki
0088	1	Hayao Miyazaki
0089	1	Hayao Miyazaki
0090	1	Goro Miyazaki
0091	1	Rob Marshall
0092	1	Adam Shankman
0093	1	Bill Condon
0094	1	Baz Luhrmann
0095	1	Tim Burton
0096	1	Joel Schumacher
0097	1	Alan Parker
0098	1	Robert Altman
0099	1	Chris Columbus
0100	1	Julie Taymor
0101	1	Robert Greenwald
0102	1	Rob Marshall
0103	1	Martin Scorsese
0104	1	Spike Lee
0105	1	Woody Allen
0106	1	Lars Von Trier
0107	1	John Cameron Mitchell
0108	1	Kenneth Branagh
0109	2	Frank Miller	Robert Rodriguez
0110	1	Curtis Hanson
0111	1	Ridley Scott
0112	1	Christopher Nolan
0113	1	Joel Coen
0114	1	Lawrence Kasdan
0115	1	Brian De Palma
0116	1	Taylor Hackford
0117	1	Robert Benton
0118	1	Barbet Schroeder
0119	1	Allen Coulter
0120	1	Stephen Frears
0121	1	Lee Tamahori
0122	1	Michael Mann
0123	1	Ridley Scott
0124	1	Joel Coen
0125	1	David Lynch
0126	1	Oliver Stone
0127	1	Irwin Winkler
0128	1	John Dahl
0129	1	Joel Coen
0130	1	Andy & Larry Wachowski
0131	1	David Lynch
0132	1	Peter Medak
0133	1	James Foley
0134	1	John Dahl
0135	1	Robert Altman
0136	1	D.J. Caruso
0137	1	Steven Soderbergh
0138	1	John Dahl
0139	1	Christopher Nolan
0140	1	Nora Ephron
0141	1	Rob Reiner
0142	1	Jon Turteltaub
0143	1	Peter Hyams
0144	1	Kathryn Bigelow
0145	2	Robert Rodriguez*	Quentin Tarantino*
0146	1	Justin Lin
0147	1	Garry Marshall
0148	1	Tom Shadyac
0149	1	Adam McKay
0150	1	Alan J. Pakula
0151	1	James L. Brooks
0152	1	Betty Thomas
0153	1	Sydney Pollack
0154	1	Ron Howard
0155	1	Kevin Macdonald
0156	1	George Clooney
0157	1	Charles Shyer
0158	1	Roger Michell
0159	1	Michael Mann
0160	1	Nick Hurran
0161	1	Stephen Frears
0162	1	Ron Howard
0163	1	Nora Ephron
0164	1	Rod Lurie
0165	1	Billy Ray
0166	1	Joel Schumacher
0167	1	Michael Winterbottom
0168	1	Doug Liman
0169	1	The Farrelly Bros.
0170	1	Raja Gosnell
0171	1	Steven Soderbergh
0172	1	Cameron Crowe
0173	1	The Farrelly Bros.
0174	1	Ron Howard
0175	1	Tim Burton
0176	1	Shawn Levy
0177	1	Barry Levinson
0178	1	Roger Kumble
0179	1	Taylor Hackford
0180	1	Garry Marshall
0181	1	Joe Dante
0182	1	Nicholas Meyer
0183	1	Alan Rudolph
0184	1	Glenn Gordon Caron
0185	1	Nanette Burstein
0186	1	Martin Scorsese
0187	1	Andrew Niccol
0188	1	Nick Cassavetes
0189	1	Jonathan Demme
0190	1	Martin Brest
0191	1	Michael Bay
0192	1	Tony Scott
0193	1	Wolfgang Petersen
0194	1	Ridley Scott
0195	1	Martin Scorsese
0196	1	Robert Schwentke
0197	3	Jim Abrahams	David Zucker	Jerry Zucker
0198	1	Ivan Reitman
0199	1	Jim Abrahams
0200	1	John Moore
0201	1	Wes Craven
0202	1	Clint Eastwood
0203	1	Steven Spielberg
0204	1	David R. Ellis
0205	1	Rob Cohen
0206	1	Paul Greengrass
0207	1	Roger Spottiswoode
0208	1	Michael Caton-Jones
0209	1	Sidney J. Furie
0210	1	Philip Kaufman
0211	1	John Moore
0212	1	Tony Bill
0213	1	Robert Butler
0214	1	Mike Newell
0215	1	Gore Verbinski
0216	1	Gore Verbinski
0217	1	Gore Verbinski
0218	1	Steven Spielberg
0219	1	Richard Donner
0220	1	Brian Henson
0221	1	Rob Reiner
0222	1	Renny Harlin
0223	1	Roman Polanski
0224	1	Jonathan Demme
0225	1	Ivan Reitman
0226	1	Rob Reiner
0227	1	Barry Levinson
0228	1	Mike Nichols
0229	1	Chris Rock
0230	1	Barry Levinson
0231	1	Penelope Spheeris
0232	1	Ron Underwood
0233	1	Rod Lurie
0234	1	Alexander Payne
0235	1	Oliver Stone
0236	1	Steven Zaillian
0237	1	Tim Robbins
0238	1	Michael Moore
0239	1	David O. Russell
0240	1	Trey Parker
0241	1	Trey Parker
0242	1	Jason Reitman
0243	1	Michael Moore
0244	1	John Carpenter
0245	1	Terry Gilliam
0246	1	Michael Radford
0247	1	Paul Weitz
0248	1	Andrew Fleming
0249	1	Alexander Payne
0250	1	George Hickenlooper
0251	1	Jay Roach
0252	1	Curtis Hanson
0253	1	Jay Chandrasekhar
0254	1	John Singleton
0255	1	Andrzej Bartkowiak
0256	1	Paul Haggis
0257	1	Adam Shankman
0258	1	F. Gary Gray
0259	1	George Miller
0260	1	Jim Sheridan
0261	1	Steven Antin
0262	1	John Singleton
0263	1	James Foley
0264	1	Paul Schrader
0265	1	Ken Kwapis
0266	1	Wong Kar Wai
0267	1	Ang Lee
0268	2	Andrew Adamson	Kelly Asbury
0269	2	Andrew Stanton	Lee Unkrich
0270	1	Andrew Adamson
0271	1	Brad Bird
0272	3	Pete Docter	David Silverman	Lee Unkrich
0273	2	John Lasseter	Lee Unkrich
0274	1	John Lasseter
0275	1	Andrew Stanton
0276	1	Brad Bird
0277	1	George Miller
0278	1	John Lasseter
0279	1	Tom McGrath
0280	1	John Lasseter
0281	1	Jimmy Hayward
0282	1	Steve Oedekerk
0283	1	Luc Besson
0284	1	Larry Kasanoff
0285	1	Francis Lawrence
0286	1	McG
0287	1	Allen & Albert Hughes
0288	1	Ruben Fleisher
0289	1	Zack Snyder
0290	1	Danny Boyle
0291	1	Rob Bowman
0292	1	John Carpenter
0293	1	John Carpenter
0294	1	George Miller
0295	1	Kevin Costner
0296	1	Neil Marshall
