movie	boxofficemojo	genre
2000	2000	2000	64
0000	1	Sci-Fi Adventure
0001	1	Animation
0002	1	Family Adventure
0003	1	Animation
0004	1	Animation
0005	1	Animation
0006	1	Animation
0007	1	Fantasy
0008	1	Comedy
0009	1	Family Adventure
0010	1	Animation
0011	1	Animation
0012	1	Animation
0013	1	Action Horror
0014	1	Animation
0015	1	Horror
0016	1	Family Comedy
0017	1	Family Adventure
0018	1	Horror
0019	1	IMAX
0020	1	Horror
0021	1	IMAX
0022	1	Adventure
0023	1	Action / Adventure
0024	1	Animation
0025	1	Period Adventure
0026	1	Action / Adventure
0027	1	Animation
0028	1	Fantasy
0029	1	Sci-Fi Thriller
0030	1	Family Adventure
0031	1	Horror Comedy
0032	1	Horror
0033	1	Horror
0034	1	Family
0035	1	Period Action
0036	1	Animation
0037	1	Family Adventure
0038	1	Animation
0039	1	Animation
0040	1	Sci-Fi Adventure
0041	1	Animation
0042	1	Action / Adventure
0043	1	Adventure
0044	1	Sci-Fi Comedy
0045	1	Action Comedy
0046	1	Sci-Fi Comedy
0047	1	Action Comedy
0048	1	Action Comedy
0049	1	Action Comedy
0050	1	Action Comedy
0051	1	Action Comedy
0052	1	Action Comedy
0053	1	Action Comedy
0054	1	Action Comedy
0055	1	Action Comedy
0056	1	Action Comedy
0057	1	Action Comedy
0058	1	Action Comedy
0059	1	Western Comedy
0060	1	Action Comedy
0061	1	Western Comedy
0062	1	Action Comedy
0063	1	Action Comedy
0064	1	Action Comedy
0065	1	Action Comedy
0066	1	Action Comedy
0067	1	Action Comedy
0068	1	Action Comedy
0069	1	Action Comedy
0070	1	Action Comedy
0071	1	Action Comedy
0072	1	Action Comedy
0073	1	Action Comedy
0074	1	Action Comedy
0075	1	Comedy
0076	1	Action Comedy
0077	1	Action Comedy
0078	1	Action Comedy
0079	1	Action Comedy
0080	1	Action Comedy
0081	1	Action Comedy
0082	1	Action Comedy
0083	1	Action Comedy
0084	1	Action Comedy
0085	1	Sci-Fi Comedy
0086	1	Animation
0087	1	Animation
0088	1	Animation
0089	1	Animation
0090	1	Animation
0091	1	Musical
0092	1	Musical
0093	1	Musical
0094	1	Musical
0095	1	Musical
0096	1	Musical
0097	1	Musical
0098	1	Musical
0099	1	Musical
0100	1	Musical
0101	1	Musical
0102	1	Drama
0103	1	Musical
0104	1	Musical
0105	1	Romantic Comedy
0106	1	Musical
0107	1	Musical
0108	1	Musical
0109	1	Crime
0110	1	Crime Drama
0111	1	Sci-Fi Thriller
0112	1	Thriller
0113	1	Crime Comedy
0114	1	Crime Thriller
0115	1	Crime Drama
0116	1	Romance
0117	1	Crime Thriller
0118	1	Crime Thriller
0119	1	Drama
0120	1	Crime Drama
0121	1	Crime Thriller
0122	1	Crime Thriller
0123	1	Unknown
0124	1	Crime
0125	1	Drama / Thriller
0126	1	Crime Thriller
0127	1	Crime Drama
0128	1	Crime Thriller
0129	1	Crime Thriller
0130	1	Crime Thriller
0131	1	Crime Thriller
0132	1	Crime Thriller
0133	1	Romantic Thriller
0134	1	Crime Thriller
0135	1	Thriller
