movie	boxofficemojo	mpaa_rating
2000	2000	2000	8
0000	1	PG-13
0001	1	G
0002	1	PG
0003	1	PG
0004	1	G
0005	1	PG
0006	1	PG
0007	1	PG
0008	1	R
0009	1	PG
0010	1	PG
0011	1	PG-13
0012	1	PG
0013	1	R
0014	1	PG
0015	1	R
0016	1	PG
0017	1	PG
0018	1	R
0019	1	G
0020	1	R
0021	1	G
0022	1	Not Yet Rated
0023	1	Not Yet Rated
0024	1	G
0025	1	Not Yet Rated
0026	1	Not Yet Rated
0027	1	Not Yet Rated
0028	1	Not Yet Rated
0029	1	Not Yet Rated
0030	1	Not Yet Rated
0031	1	Not Yet Rated
0032	1	Not Yet Rated
0033	1	Not Yet Rated
0034	1	Not Yet Rated
0035	1	Not Yet Rated
0036	1	Not Yet Rated
0037	1	Not Yet Rated
0038	1	Not Yet Rated
0039	1	Not Yet Rated
0040	1	Not Yet Rated
0041	1	Not Yet Rated
0042	1	Not Yet Rated
0043	1	Not Yet Rated
0044	1	PG-13
0045	1	PG-13
0046	1	PG-13
0047	1	R
0048	1	R
0049	1	PG-13
0050	1	R
0051	1	R
0052	1	PG-13
0053	1	PG-13
0054	1	R
0055	1	R
0056	1	R
0057	1	R
0058	1	R
0059	1	PG-13
0060	1	R
0061	1	PG-13
0062	1	PG-13
0063	1	R
0064	1	R
0065	1	R
0066	1	R
0067	1	PG-13
0068	1	PG-13
0069	1	PG-13
0070	1	R
0071	1	R
0072	1	PG-13
0073	1	PG-13
0074	1	R
0075	1	R
0076	1	R
0077	1	R
0078	1	R
0079	1	PG-13
0080	1	PG-13
0081	1	R
0082	1	Unrated
0083	1	R
0084	1	PG-13
0085	1	Not Yet Rated
0086	1	G
0087	1	PG
0088	1	PG
0089	1	PG-13
0090	1	PG-13
0091	1	PG-13
0092	1	PG
0093	1	PG-13
0094	1	PG-13
0095	1	R
0096	1	PG-13
0097	1	PG
0098	1	PG
0099	1	PG-13
0100	1	PG-13
0101	1	PG
0102	1	PG-13
0103	1	PG
0104	1	R
0105	1	R
0106	1	R
0107	1	R
0108	1	PG
0109	1	R
0110	1	R
0111	1	R
0112	1	R
0113	1	R
0114	1	R
0115	1	R
0116	1	R
0117	1	R
0118	1	R
0119	1	R
0120	1	R
0121	1	R
0122	1	R
0123	1	R
0124	1	R
0125	1	R
0126	1	R
0127	1	R
0128	1	R
0129	1	R
0130	1	R
0131	1	R
0132	1	R
0133	1	R
0134	1	R
0135	1	R
0136	1	R
0137	1	R
0138	1	R
0139	1	R
0140	1	PG
0141	1	R
0142	1	PG
0143	1	R
0144	1	R
0145	1	R
0146	1	R
0147	1	Not Yet Rated
0148	1	PG-13
0149	1	PG-13
0150	1	R
0151	1	R
0152	1	R
0153	1	PG
0154	1	R
0155	1	PG-13
0156	1	PG
0157	1	PG
0158	1	PG-13
0159	1	R
0160	1	PG-13
0161	1	PG-13
0162	1	R
0163	1	R
0164	1	PG-13
0165	1	PG-13
0166	1	R
0167	1	R
0168	1	PG-13
0169	1	R
0170	1	PG
0171	1	R
0172	1	R
0173	1	R
0174	1	PG-13
0175	1	PG-13
0176	1	PG-13
0177	1	R
0178	1	R
0179	1	R
0180	1	PG
0181	1	PG
0182	1	R
0183	1	R
0184	1	PG-13
0185	1	R
0186	1	R
0187	1	PG-13
0188	1	R
0189	1	PG
0190	1	R
0191	1	PG-13
0192	1	PG
0193	1	R
0194	1	R
0195	1	PG-13
0196	1	PG-13
0197	1	PG
0198	1	PG-13
0199	1	PG-13
0200	1	PG-13
0201	1	PG-13
0202	1	PG
0203	1	PG
0204	1	R
0205	1	PG-13
0206	1	R
0207	1	R
0208	1	PG-13
0209	1	PG-13
0210	1	PG
0211	1	PG-13
0212	1	PG-13
0213	1	R
0214	1	R
0215	1	PG-13
0216	1	PG-13
0217	1	PG-13
0218	1	PG
0219	1	PG
0220	1	G
0221	1	PG
0222	1	PG-13
0223	1	PG-13
0224	1	R
0225	1	PG-13
0226	1	PG-13
0227	1	R
0228	1	R
0229	1	PG-13
0230	1	PG-13
0231	1	PG-13
0232	1	PG-13
0233	1	R
0234	1	R
0235	1	R
0236	1	PG-13
0237	1	R
0238	1	R
0239	1	R
0240	1	R
0241	1	R
0242	1	R
0243	1	R
0244	1	R
0245	1	R
0246	1	R
0247	1	PG-13
0248	1	PG-13
0249	1	R
0250	1	R
0251	1	PG-13
0252	1	R
0253	1	PG-13
0254	1	R
0255	1	R
0256	1	R
0257	1	PG
0258	1	R
0259	1	PG-13
0260	1	R
0261	1	PG-13
0262	1	R
0263	1	R
0264	1	PG-13
0265	1	PG
0266	1	PG-13
0267	1	R
0268	1	PG
0269	1	G
0270	1	PG
0271	1	PG
0272	1	G
0273	1	G
0274	1	G
0275	1	G
0276	1	G
0277	1	PG
0278	1	G
0279	1	PG
0280	1	G
0281	1	G
0282	1	PG
0283	1	PG
0284	1	PG
0285	1	PG-13
0286	1	PG-13
0287	1	R
0288	1	R
0289	1	R
0290	1	R
0291	1	PG-13
0292	1	R
0293	1	R
0294	1	R
0295	1	R
0296	1	R
0297	1	R
0298	1	R
0299	1	PG-13
0300	1	PG
0301	1	PG-13
0302	1	PG-13
0303	1	PG-13
0304	1	PG
0305	1	PG-13
0306	1	R
0307	1	PG-13
0308	1	R
0309	1	R
0310	1	Not Yet Rated
0311	1	Not Yet Rated
0312	1	PG-13
0313	1	R
0314	1	R
0315	1	PG-13
0316	1	PG-13
0317	1	PG
0318	1	R
0319	1	PG
0320	1	G
0321	1	R
0322	1	G
0323	1	R
0324	1	PG-13
0325	1	PG-13
0326	1	R
0327	1	R
0328	1	R
0329	1	R
0330	1	PG
0331	1	R
0332	1	R
0333	1	PG-13
0334	1	PG-13
0335	1	PG
0336	1	PG-13
0337	1	R
0338	1	PG-13
0339	1	PG
0340	1	PG-13
0341	1	PG-13
0342	1	R
0343	1	PG-13
0344	1	R
0345	1	PG-13
0346	1	R
0347	1	G
0348	1	PG
0349	1	G
0350	1	G
0351	1	R
0352	1	R
0353	1	R
0354	1	R
0355	1	R
0356	1	PG-13
0357	1	R
0358	1	PG-13
0359	1	Not Yet Rated
0360	1	R
0361	1	PG-13
0362	1	PG-13
0363	1	PG
0364	1	PG-13
0365	1	PG
0366	1	PG-13
0367	1	PG-13
0368	1	R
0369	1	R
0370	1	PG-13
0371	1	PG-13
0372	1	PG-13
0373	1	PG-13
0374	1	PG-13
0375	1	PG
0376	1	PG-13
0377	1	PG
0378	1	PG
0379	1	PG
0380	1	R
0381	1	G
0382	1	Not Yet Rated
0383	1	R
0384	1	R
0385	1	R
0386	1	R
0387	1	R
0388	1	R
0389	1	R
0390	1	R
0391	1	PG-13
0392	1	R
0393	1	R
0394	1	R
0395	1	R
0396	1	R
0397	1	R
0398	1	R
0399	1	R
0400	1	R
0401	1	R
0402	1	R
0403	1	R
0404	1	R
0405	1	R
0406	1	R
0407	1	Not Yet Rated
0408	1	PG-13
0409	1	PG-13
0410	1	PG-13
0411	1	R
0412	1	PG-13
0413	1	PG-13
0414	1	PG-13
0415	1	PG-13
0416	1	PG-13
0417	1	PG-13
0418	1	PG-13
0419	1	PG
0420	1	R
0421	1	PG-13
0422	1	R
0423	1	PG-13
0424	1	R
0425	1	PG-13
0426	1	PG-13
0427	1	PG-13
0428	1	R
0429	1	PG-13
0430	1	PG-13
0431	1	PG-13
0432	1	PG-13
0433	1	PG
0434	1	PG-13
0435	1	R
0436	1	PG-13
0437	1	PG-13
0438	1	R
0439	1	PG-13
0440	1	PG
0441	1	PG-13
0442	1	PG-13
0443	1	PG-13
0444	1	PG-13
0445	1	PG
0446	1	R
0447	1	PG-13
0448	1	PG-13
0449	1	PG-13
0450	1	PG
0451	1	PG-13
0452	1	PG-13
0453	1	PG
0454	1	PG-13
0455	1	PG
0456	1	PG
0457	1	PG-13
0458	1	PG-13
0459	1	PG-13
0460	1	PG-13
0461	1	R
0462	1	PG-13
0463	1	R
0464	1	PG-13
0465	1	R
0466	1	PG-13
0467	1	Not Yet Rated
0468	1	Not Yet Rated
0469	1	PG
0470	1	Not Yet Rated
0471	1	PG-13
0472	1	PG
0473	1	PG
0474	1	PG
0475	1	PG-13
