movie	boxofficemojo	title
2000	2000	2000	1983
0000	1	Avatar
0001	1	Toy Story 3
0002	1	Alice in Wonderland (2010)
0003	1	Up
0004	1	The Polar Express
0005	1	A Christmas Carol (2009)
0006	1	Megamind
0007	1	The Last Airbender
0008	1	Jackass 3-D
0009	1	Spy Kids 3D:
0010	1	Tangled
0011	1	Beowulf
0012	1	Coraline
0013	1	Resident Evil:
0014	1	Legend of the Guardians:
0015	1	My Bloody Valentine 3-D
0016	1	Cats &amp; Dogs:
0017	1	The Adventures of Sharkboy and Lavagirl in 3D
0018	1	Piranha 3D
0019	1	Ghosts of the Abyss (IMAX &amp; 35mm)
0020	1	My Soul to Take
0021	1	Aliens of the Deep (IMAX)
0022	1	Journey 2:
0023	1	The Green Hornet (in 3-D)
0024	1	Gnomeo and Juliet (in 3-D)
0025	1	Pirates of the Caribbean:
0026	1	Green Lantern (in 3D)
0027	1	Cars 2
0028	1	Harry Potter and the Deathly Hallows (Part Two in 3D)
0029	1	The Darkest Hour
0030	1	Spy Kids 4:
0031	1	Fright Night (in 3-D)
0032	1	Final Destination 5
0033	1	Untitled 3D Shark Thriller
0034	1	Dolphin Tale 3D
0035	1	The Three Musketeers (2011)
0036	1	Happy Feet 2 in 3D
0037	1	Hugo Cabret (in 3D)
0038	1	The Adventures of Tintin:
0039	1	Frankenweenie
0040	1	John Carter of Mars
0041	1	Brave
0042	1	Spider-Man (in 3D)
0043	1	Life of Pi
0044	1	Men in Black
0045	1	Rush Hour 2
0046	1	Men in Black II
0047	1	Lethal Weapon 2
0048	1	Lethal Weapon 3
0049	1	Rush Hour
0050	1	Bad Boys II
0051	1	Lethal Weapon 4
0052	1	The Other Guys
0053	1	Starsky and Hutch
0054	1	Pineapple Express
0055	1	Another 48 HRS.
0056	1	48 HRS.
0057	1	Bad Boys
0058	1	Lethal Weapon
0059	1	Shanghai Knights
0060	1	The Last Boy Scout
0061	1	Shanghai Noon
0062	1	The Rundown
0063	1	Nothing to Lose
0064	1	Money Talks
0065	1	Running Scared
0066	1	Midnight Run
0067	1	Showtime
0068	1	Taxi
0069	1	National Security
0070	1	Money Train
0071	1	Red Heat
0072	1	I Spy
0073	1	Bad Company
0074	1	The Hard Way
0075	1	Hot Fuzz
0076	1	The Rookie (1990)
0077	1	Bulletproof
0078	1	The Glimmer Man
0079	1	The Cowboy Way
0080	1	Another Stakeout
0081	1	Fled
0082	1	Bon Cop, Bad Cop
0083	1	Double Team
0084	1	The Man
0085	1	MIB 3 (in 3-D)
0086	1	Ponyo
0087	1	Spirited Away
0088	1	Howl's Moving Castle
0089	1	Princess Mononoke
0090	1	Tales from Earthsea
0091	1	Chicago
0092	1	Hairspray (2007)
0093	1	Dreamgirls
0094	1	Moulin Rouge!
0095	1	Sweeney Todd:
0096	1	The Phantom of the Opera
0097	1	Evita
0098	1	Popeye
0099	1	Rent
0100	1	Across the Universe
0101	1	Xanadu
0102	1	Nine
0103	1	New York, New York
0104	1	School Daze
0105	1	Everyone Says I Love You
0106	1	Dancer in the Dark
0107	1	Hedwig and the Angry Inch
0108	1	Love's Labour's Lost
0109	1	Sin City
0110	1	L.A. Confidential
0111	1	Blade Runner
0112	1	Memento
0113	1	Fargo
0114	1	Body Heat
0115	1	The Black Dahlia
0116	1	Against All Odds
0117	1	Twilight (1998)
0118	1	Kiss of Death
0119	1	Hollywoodland
0120	1	The Grifters
0121	1	Mulholland Falls
0122	1	Thief
0123	1	Someone to Watch Over Me
0124	1	The Man Who Wasn't There
0125	1	Mulholland Drive
0126	1	U-Turn
0127	1	Night and the City
0128	1	The Last Seduction
0129	1	Blood Simple
0130	1	Bound
0131	1	Lost Highway
0132	1	Romeo Is Bleeding
0133	1	After Dark, My Sweet
