movie	hollywood	director
2000	1977	2147	1813
0000	1	Stanley Kramer
0001	1	Jacques Becker
0002	1	Sergei Gerasimov
0003	1	Delbert Mann
0004	1	Andrzej Wajda
0005	1	Norman Taurog
0006	1	Ingmar Bergman
0007	1	Alexandre Astruc
0008	1	J. Lee Thompson
0009	1	Georges Franju
0010	1	Robert Bresson
0011	1	Michael Miller
0012	2	Tay Garnett	Ford I. Beebe
0013	2	Terry Gilliam	Terry Jones
0014	1	Otto Preminger
0015	1	Jørgen Leth
0016	1	John Schlesinger
0017	1	Cornel Wilde
0018	1	Nicholas Sgarro
0019	1	Blake Edwards
0020	1	Ken Hannam
0021	1	Roy Ward Baker
0022	1	John Trent
0023	1	Clint Eastwood
0024	1	Guy Green
0025	1	Robert Stevenson
0026	1	Stuart Rosenberg
0027	1	Anthony M. Dawson
0028	1	Arthur Marks
0029	1	Michael Anderson
0030	1	Herk Harvey
0031	1	Nicolas Gessner
0032	2	Laura Mulvey	Peter Wollen
0033	1	Paul Kyriazi
0034	1	Rainer Werner Fassbinder
0035	1	Tobe Hooper
0036	1	Brian De Palma
0037	1	Sidney Lumet
0038	1	Norman J. Warren
0039	1	John Guillermin
0040	1	Blake Edwards
0041	1	John Sturges
0042	1	Maurizio Lucidi
0043	1	Gerry Poulson
0044	1	Vincent McEveety
0045	1	François Truffaut
0046	1	John Florea
0047	1	Peter Hyams
0048	1	Ken Russell
0049	2	Craig Mitchell	Don Coscarelli
0050	1	Tom Gries
0051	1	Federico G. Aicardi
0052	1	Lewis John Carlino
0053	1	Andre Halimi
0054	2	Joe Dante	Allan Arkush
0055	1	Charles B. Griffith
0056	1	Kevin Connor
0057	1	George Cukor
0058	1	Richard T. Heffron
0059	1	Shyam Benegal
0060	1	Guy Green
0061	1	Jonathan Kaplan
0062	1	David Berlatsky
0063	1	Ken Hannam
0064	1	Charles Jarrott
0065	1	George Gage
0066	1	Peter Collinson
0067	1	Bert I. Gordon
0068	1	Pierre Schoendoerffer
0069	2	John Berry	Albert T. Viola
0070	1	Agnès Varda
0071	1	Linda Yellen
0072	1	Alan Arkin
0073	1	John Landis
0074	1	Paul Verhoeven
0075	1	George A. Romero
0076	1	Rudy Durand
0077	2	Chuck Vincent	Marc Ubell
0078	1	Jeremy Kagan
0079	1	James Fargo
0080	1	John Landis
0081	2	Allan Arkush	Henry Suso
0082	1	Richard Franklin
0083	1	Ted Bafaloukos
0084	1	Michael Schultz
0085	1	Joseph Ruben
0086	1	John Hough
0087	1	Alan J. Pakula
0088	1	Philip Kaufman
0089	1	Frank Pierson
0090	1	Reinhard Hauff
0091	2	Ross Hagen	Julian Roffman
0092	2	Lewis Teague	Corey Allen
0093	1	Nicholas Webster
0094	1	Norman Jewison
0095	1	Noel Nosseck
0096	1	Sean S. Cunningham
0097	1	Robert J. Rosenthal
0098	1	Matthew Robbins
0099	1	Richard Bennett
0100	1	James Polakof
0101	1	Blake Edwards
0102	1	Kevin Connor
0103	1	Steve Previn
0104	1	Patrick Schulmann
0105	2	Stanley Kramer	Frank Kramer
0106	1	Allan Arkush
0107	1	Donald Crombie
0108	1	Timothy Galfas
0109	1	John Frankenheimer
0110	1	Werner Herzog
0111	1	Richard Quine
0112	0	<NULL>
0113	1	Mark Robson
0114	1	Ted Kotcheff
0115	1	Ralph Liddle
0116	1	Ringo Lam
0117	1	Lewis Gilbert
0118	1	Ivan Reitman
0119	1	Andrzej Wajda
0120	1	Jerry Schatzberg
0121	1	Terry Jones
0122	1	Gerald Sindell
0123	1	Roman Polanski
0124	1	Ralph Nelson
0125	1	Don Chaffey
0126	1	Tom Kotani
0127	1	Anna Thomas
0128	1	George Bloomfield
0129	1	Jeff Werner
0130	1	Marshall Brickman
0131	1	Matthew Chapman
0132	1	Paul Verhoeven
0133	1	William Wiard
0134	1	Anne Bancroft
0135	1	Paul Schrader
0136	1	Roger Vadim
0137	1	Martin Davidson
0138	1	Gus Trikonis
0139	1	Federico Fellini
0140	1	Alvin Rakoff
0141	1	Clive Donner
0142	1	Robert Butler
0143	1	Robert Kaylor
0144	1	Maurice Pialat
0145	3	David Zucker	Jerry Zucker	Jim Abrahams
0146	1	Robert Zemeckis
0147	1	Larry Peerce
0148	1	Robert Greenwald
0149	1	Jacques Bral
0150	1	William Sachs
0151	1	Paul Lynch
0152	1	Ronald Neame
0153	1	Vittorio De Sica
0154	1	Joseph Losey
0155	2	Alexander Kozyr	Mikhail Karyukov
0156	1	Buzz Kulik
0157	1	Umberto Lenzi
0158	1	Nanni Loy
0159	1	Jack Smight
0160	1	Michael Ritchie
0161	1	Robert Redford
0162	1	James Glickenhaus
0163	1	George Bowers
0164	1	Brian G. Hutton
0165	1	Claudia Weill
0166	1	Joel Schumacher
0167	1	Steven Hilliard Stern
0168	1	Claude Pinoteau
0169	1	Frank Perry
0170	1	Karel Reisz
0171	1	George Kaczender
0172	1	J. Lee Thompson
0173	1	Burt Reynolds
0174	1	Ken Wiederhorn
0175	1	Christopher Miles
0176	1	Ron Mann
0177	1	Richard Pearce
0178	1	Walter Hill
0179	1	Andrew Bergman
0180	1	Jenny Bowen
0181	1	Roger Corman
0182	1	Claude Jutra
0183	1	Terry Gilliam
0184	1	Michi Gleason
0185	1	Steve Gordon
0186	1	Roger Spottiswoode
0187	1	Bob Clark
0188	1	Ernest Day
0189	1	John D. Lamond
0190	1	Bernie Rollins
0191	1	Bruce Beresford
0192	1	Tim Burstall
0193	1	Jim Sharman
0194	1	Herbert Ross
0195	1	Jeremy Joe Kronsberg
0196	1	John Irvin
0197	1	Marcello Andréi
0198	1	Luis Valdez
0199	1	Desmond Davis
0200	1	Allan King
0201	1	Stewart Raffill
0202	1	Joseph Van Winkle
0203	1	Donald Shebib
0204	1	Edward Bianchi
0205	1	Howard H. Avedis
0206	1	Howard R. Cohen
0207	1	Arthur Hiller
0208	1	Sidney J. Furie
0209	1	Ryszard Bugajski
0210	1	Gary Sherman
0211	1	Kinji Fukasaku
0212	1	Jerry Belson
0213	1	Sean S. Cunningham
0214	1	David Schmoeller
0215	1	Jack Hofsiss
0216	1	John Milius
0217	1	Randal Kleiser
0218	1	Robert Dornhelm
0219	1	Richard Loncraine
0220	1	Harley Cokliss
0221	1	David Leivick
0222	1	Stuart Gillard
0223	1	Pierre de Moro
0224	1	Phillip Noyce
0225	1	Tom McLoughlin
0226	1	George Nierenberg
0227	1	Mai Zetterling
0228	1	Michael L. Miller
0229	1	Tim Hunter
0230	1	Don Coscarelli
0231	1	Wolf Gremm
0232	1	Don Chaffey
0233	1	Fletcher Markle
0234	1	James L. Conway
0235	1	Michael Blakemore
0236	1	Peter Duffell
0237	1	Richard Donner
0238	1	Tony Bill
0239	1	Norman Jewison
0240	1	Jerzy Skolimowski
0241	1	Dickie Jobson
0242	1	Damiano Damiani
0243	1	Joseph Losey
0244	1	Boaz Davidson
0245	1	Alan Bridges
0246	1	Lewis Teague
0247	1	Martha Coolidge
0248	2	Charles Band	James Amante
0249	2	Richard Ciupka	Jonathan Stryker
0250	1	Robert Duvall
0251	1	Carroll Ballard
0252	1	Jean-Luc Godard
0253	1	Michael Laughlin
0254	1	Michael Pressman
0255	1	Jack Clayton
0256	1	Michael Curtiz
0257	1	George Englund
0258	1	John Huston
0259	1	Cy Raker Endfield
0260	1	James Neilson
0261	1	Stanley Jaffe
0262	1	Jim McBride
0263	1	George Pan Cosmatos
0264	4	Steven Spielberg	Joe Dante	John Landis	George Miller
0265	1	Hal Needham
0266	1	Joe Alves
0267	1	Noel Black
0268	1	Andrzej Zulawski
0269	2	Wanda Dell	Eric Weston
0270	1	James Toback
0271	1	J. Lee Thompson
0272	1	Eric Rohmer
0273	2	Terry Gilliam	Terry Jones
0274	2	Donald Shebib	D.S. Everett
0275	1	John G. Thomas
0276	2	Sandi Sissel	Nick Broomfield
0277	1	Robert Stevenson
0278	1	Ishiro Honda
0279	1	Andy Warhol
0280	1	Graham Baker
0281	1	Roland Joffé
0282	1	Lino Brocka
0283	1	Hou Hsiao-Hsien
0284	1	Robert Bresson
0285	1	Shohei Imamura
0286	1	Wes Craven
0287	1	Herbert Ross
0288	1	John Sayles
0289	1	Michael Firth
0290	1	Eagle Pennell
0291	1	Bob Clark
0292	2	Lloyd Kaufman	Michael Herz
0293	1	Carlos Saura
0294	1	Hrafn Gunnlaugsson
0295	1	Robert O'Neil
0296	1	James Foley
0297	2	Terry Bedford	Dennis Bosher
0298	1	Frank Harris
0299	1	Francesco Rosi
0300	1	Stewart Raffill
0301	1	Christopher Cain
0302	3	Eduardo Palmos	Al Valletta	Victor Ordoñez
