movie	hollywood	mpaa_rating
2000	2000	2000	4
0000	1	PG
0001	1	NR
0002	1	NR
0003	1	NR
0004	1	NR
0005	1	PG
0006	1	NR
0007	1	NR
0008	1	NR
0009	1	NR
0010	1	NR
0011	1	R
0012	1	R
0013	1	PG
0014	1	NR
0015	1	NR
0016	1	R
0017	1	PG
0018	1	R
0019	1	G
0020	1	NR
0021	1	NR
0022	1	PG
0023	1	R
0024	1	NR
0025	1	G
0026	1	PG
0027	1	PG
0028	1	NR
0029	1	PG
0030	1	NR
0031	1	PG
0032	1	NR
0033	1	R
0034	1	NR
0035	1	NR
0036	1	R
0037	1	R
0038	1	R
0039	1	PG
0040	1	NR
0041	1	PG
0042	1	NR
0043	1	R
0044	1	G
0045	1	NR
0046	1	PG
0047	1	NR
0048	1	NR
0049	1	PG
0050	1	R
0051	1	PG
0052	1	R
0053	1	NR
0054	1	R
0055	1	PG
0056	1	PG
0057	1	G
0058	1	NR
0059	1	NR
0060	1	NR
0061	1	PG
0062	1	R
0063	1	R
0064	1	R
0065	1	PG
0066	1	PG
0067	1	PG
0068	1	NR
0069	1	PG
0070	1	NR
0071	1	PG
0072	1	PG
0073	1	R
0074	1	R
0075	1	R
0076	1	PG
0077	1	NR
0078	1	PG
0079	1	PG
0080	1	R
0081	1	NR
0082	1	NR
0083	1	NR
0084	1	PG
0085	1	PG
0086	1	R
0087	1	PG
0088	1	NR
0089	1	R
0090	1	NR
0091	1	R
0092	1	PG
0093	1	PG
0094	1	PG
0095	1	R
0096	1	PG
0097	1	R
0098	1	PG
0099	1	PG
0100	1	PG
0101	1	PG
0102	1	NR
0103	1	NR
0104	1	NR
0105	1	PG
0106	1	PG
0107	1	R
0108	1	R
0109	1	PG
0110	1	NR
0111	1	PG
0112	1	PG
0113	1	PG
0114	1	R
0115	1	PG
0116	1	R
0117	1	PG
0118	1	PG
0119	1	NR
0120	1	R
0121	1	R
0122	1	R
0123	1	NR
0124	1	NR
0125	1	G
0126	1	R
0127	1	R
0128	1	PG
0129	1	PG
0130	1	PG
0131	1	R
0132	1	NR
0133	1	R
0134	1	PG
0135	1	NR
0136	1	R
0137	1	PG
0138	1	PG
0139	1	NR
0140	1	R
0141	1	PG
0142	1	R
0143	1	NR
0144	1	NR
0145	1	PG
0146	1	NR
0147	1	PG
0148	1	PG
0149	1	NR
0150	1	R
0151	1	R
0152	1	R
0153	1	NR
0154	1	PG
0155	1	NR
0156	1	PG
0157	1	R
0158	1	R
0159	1	PG
0160	1	R
0161	1	R
0162	1	NR
0163	1	PG
0164	1	R
0165	1	R
0166	1	PG
0167	1	PG
0168	1	R
0169	1	PG
0170	1	NR
0171	1	R
0172	1	R
0173	1	R
0174	1	R
0175	1	R
0176	1	NR
0177	1	PG
0178	1	R
0179	1	R
0180	1	R
0181	1	NR
0182	1	R
0183	1	NR
0184	1	R
0185	1	PG
0186	1	PG
0187	1	R
0188	1	PG
0189	1	R
0190	1	PG
0191	1	R
0192	1	NR
0193	1	PG
0194	1	NR
0195	1	PG
0196	1	R
0197	1	R
0198	1	NR
0199	1	PG
0200	1	PG
0201	1	R
0202	1	R
0203	1	R
0204	1	R
0205	1	R
0206	1	PG
0207	1	NR
0208	1	NR
0209	1	NR
0210	1	NR
0211	1	PG
0212	1	R
0213	1	R
0214	1	R
0215	1	R
0216	1	R
0217	1	R
0218	1	NR
0219	1	R
0220	1	NR
0221	1	G
0222	1	R
0223	1	PG
0224	1	R
0225	1	PG
0226	1	NR
0227	1	R
0228	1	R
0229	1	PG
0230	1	PG
0231	1	NR
0232	1	PG
0233	1	G
0234	1	R
0235	1	R
0236	1	PG
0237	1	PG
0238	1	PG
0239	1	PG
0240	1	NR
0241	1	NR
0242	1	R
0243	1	R
0244	1	NR
0245	1	NR
0246	1	R
0247	1	R
0248	1	PG
0249	1	NR
0250	1	R
0251	1	PG
0252	1	NR
0253	1	PG
0254	1	R
0255	1	NR
0256	1	G
0257	1	NR
0258	1	NR
0259	1	NR
0260	1	PG
0261	1	PG
0262	1	R
0263	1	R
0264	1	NR
0265	1	PG
0266	1	PG
0267	1	R
0268	1	R
0269	1	PG
0270	1	R
0271	1	R
0272	1	R
0273	1	NR
0274	1	PG
0275	1	NR
0276	1	R
0277	1	G
0278	1	NR
0279	1	NR
0280	1	R
0281	1	NR
0282	1	NR
0283	1	NR
0284	1	NR
0285	1	NR
0286	1	R
0287	1	PG
0288	1	R
0289	1	R
0290	1	NR
0291	1	PG
0292	1	NR
0293	1	NR
0294	1	NR
0295	1	R
0296	1	R
0297	1	R
0298	1	R
0299	1	PG
0300	1	PG
0301	1	PG
0302	1	NR
0303	1	NR
0304	1	NR
0305	1	G
0306	1	R
0307	1	NR
0308	1	NR
0309	1	PG
0310	1	R
0311	1	PG
0312	1	R
0313	1	R
0314	1	R
0315	1	NR
0316	1	PG
0317	1	R
0318	1	NR
0319	1	R
0320	1	R
0321	1	R
0322	1	R
0323	1	R
0324	1	NR
0325	1	PG
0326	1	NR
0327	1	NR
0328	1	R
0329	1	NR
0330	1	NR
0331	1	NR
0332	1	R
0333	1	NR
0334	1	NR
0335	1	R
0336	1	NR
0337	1	R
0338	1	R
0339	1	PG
0340	1	R
0341	1	G
0342	1	R
0343	1	R
0344	1	G
0345	1	G
0346	1	R
0347	1	R
0348	1	R
0349	1	PG
0350	1	NR
0351	1	R
0352	1	R
0353	1	R
0354	1	R
0355	1	NR
0356	1	NR
0357	1	G
0358	1	R
0359	1	R
0360	1	PG
0361	1	R
0362	1	R
0363	1	R
0364	1	NR
0365	1	R
0366	1	R
0367	1	PG
0368	1	R
0369	1	PG
0370	1	PG
0371	1	PG
0372	1	R
0373	1	R
0374	1	NR
0375	1	R
0376	1	R
0377	1	PG
0378	1	R
0379	1	G
0380	1	NR
0381	1	R
0382	1	R
0383	1	R
0384	1	NR
0385	1	R
0386	1	R
0387	1	NR
0388	1	NR
0389	1	R
0390	1	PG
0391	1	R
0392	1	NR
0393	1	NR
0394	1	R
0395	1	R
0396	1	R
0397	1	NR
0398	1	R
0399	1	R
0400	1	NR
0401	1	NR
0402	1	R
0403	1	R
0404	1	PG
0405	1	PG
0406	1	NR
0407	1	NR
0408	1	NR
0409	1	PG
0410	1	NR
0411	1	NR
0412	1	R
0413	1	NR
0414	1	R
0415	1	R
0416	1	NR
0417	1	R
0418	1	R
0419	1	PG
0420	1	NR
0421	1	R
0422	1	NR
0423	1	NR
0424	1	NR
0425	1	R
0426	1	NR
0427	1	PG
0428	1	R
0429	1	PG
0430	1	R
0431	1	PG
0432	1	NR
0433	1	R
0434	1	NR
0435	1	R
0436	1	NR
0437	1	NR
0438	1	NR
0439	1	NR
0440	1	NR
0441	1	R
0442	1	R
0443	1	NR
0444	1	R
0445	1	R
0446	1	R
0447	1	R
0448	1	NR
0449	1	R
0450	1	NR
0451	1	R
0452	1	R
0453	1	R
0454	1	R
0455	1	NR
0456	1	R
0457	1	R
0458	1	NR
0459	1	PG
0460	1	NR
0461	1	R
0462	1	PG
0463	1	R
0464	1	NR
0465	1	R
0466	1	R
0467	1	R
0468	1	R
0469	1	NR
0470	1	PG
0471	1	NR
0472	1	NR
0473	1	R
0474	1	R
0475	1	R
0476	1	R
0477	1	R
0478	1	R
0479	1	NR
0480	1	R
0481	1	R
0482	1	R
0483	1	NR
0484	1	NR
0485	1	NR
0486	1	R
0487	1	R
0488	1	R
0489	1	R
0490	1	PG
0491	1	NR
0492	1	R
0493	1	PG
0494	1	NR
0495	1	R
0496	1	R
0497	1	R
0498	1	PG
0499	1	NR
0500	1	R
0501	1	R
0502	1	R
0503	1	PG
0504	1	R
0505	1	R
0506	1	R
0507	1	R
0508	1	PG
0509	1	PG
0510	1	NR
0511	1	NR
0512	1	NR
0513	1	R
0514	1	NR
0515	1	R
0516	1	R
0517	1	R
0518	1	R
0519	1	R
0520	1	NR
0521	1	R
0522	1	R
0523	1	R
0524	1	R
0525	1	PG
0526	1	R
0527	1	R
0528	1	R
0529	1	R
0530	1	R
0531	1	R
0532	1	R
0533	1	NR
0534	1	G
0535	1	NR
0536	1	R
0537	1	R
0538	1	R
0539	1	G
0540	1	R
0541	1	R
0542	1	R
0543	1	R
0544	1	R
0545	1	R
0546	1	R
0547	1	R
0548	1	NR
0549	1	R
0550	1	NR
0551	1	R
0552	1	R
0553	1	R
0554	1	R
0555	1	NR
0556	1	NR
0557	1	R
0558	1	NR
0559	1	R
0560	1	R
0561	1	PG
0562	1	PG
0563	1	R
0564	1	NR
0565	1	R
0566	1	R
0567	1	R
0568	1	R
0569	1	R
0570	1	NR
0571	1	PG
0572	1	NR
0573	1	NR
0574	1	R
0575	1	R
0576	1	PG
0577	1	NR
0578	1	R
0579	1	R
0580	1	PG
0581	1	R
0582	1	R
0583	1	R
0584	1	R
0585	1	R
0586	1	R
0587	1	R
0588	1	R
0589	1	R
0590	1	R
0591	1	NR
0592	1	R
0593	1	NR
0594	1	R
0595	1	R
0596	1	NR
0597	1	R
0598	1	NR
0599	1	R
0600	1	R
0601	1	R
0602	1	R
0603	1	R
0604	1	NR
0605	1	NR
0606	1	R
0607	1	PG
0608	1	PG
0609	1	NR
0610	1	R
0611	1	NR
0612	1	R
0613	1	NR
0614	1	NR
0615	1	NR
0616	1	R
0617	1	NR
0618	1	PG
0619	1	R
0620	1	R
0621	1	R
0622	1	PG
0623	1	R
0624	1	R
0625	1	R
0626	1	R
0627	1	R
0628	1	R
0629	1	R
0630	1	R
0631	1	R
0632	1	R
0633	1	R
0634	1	NR
0635	1	NR
0636	1	NR
0637	1	R
0638	1	NR
0639	1	G
0640	1	R
0641	1	PG
0642	1	NR
0643	1	NR
0644	1	R
0645	1	NR
0646	1	R
0647	1	R
0648	1	R
0649	1	R
0650	1	R
0651	1	R
0652	1	PG
0653	1	R
0654	1	PG
0655	1	NR
0656	1	NR
0657	1	R
0658	1	NR
0659	1	NR
0660	1	PG
0661	1	PG
0662	1	PG
0663	1	NR
0664	1	NR
0665	1	R
0666	1	PG
0667	1	NR
0668	1	NR
0669	1	NR
0670	1	NR
0671	1	NR
0672	1	PG
0673	1	NR
0674	1	R
0675	1	NR
0676	1	R
0677	1	PG
0678	1	NR
0679	1	NR
0680	1	R
0681	1	R
0682	1	NR
0683	1	NR
0684	1	NR
0685	1	R
0686	1	NR
0687	1	PG
0688	1	NR
0689	1	NR
0690	1	R
0691	1	NR
0692	1	PG
0693	1	NR
0694	1	NR
0695	1	R
0696	1	R
0697	1	PG
0698	1	NR
0699	1	R
0700	1	NR
0701	1	PG
0702	1	NR
0703	1	R
0704	1	NR
0705	1	PG
0706	1	R
0707	1	R
0708	1	NR
0709	1	PG
0710	1	G
0711	1	NR
0712	1	R
0713	1	NR
0714	1	NR
0715	1	R
0716	1	NR
0717	1	R
0718	1	R
0719	1	R
0720	1	R
0721	1	PG
0722	1	NR
0723	1	R
0724	1	R
0725	1	R
0726	1	R
0727	1	R
0728	1	R
0729	1	NR
0730	1	NR
0731	1	NR
0732	1	NR
0733	1	R
0734	1	PG
0735	1	R
0736	1	PG
0737	1	R
0738	1	NR
0739	1	R
0740	1	R
0741	1	NR
0742	1	G
0743	1	R
0744	1	NR
0745	1	R
0746	1	NR
0747	1	R
0748	1	PG
0749	1	R
0750	1	NR
0751	1	R
0752	1	R
0753	1	NR
0754	1	R
0755	1	R
0756	1	R
0757	1	NR
0758	1	NR
0759	1	R
0760	1	NR
0761	1	NR
0762	1	G
0763	1	R
0764	1	NR
0765	1	NR
0766	1	NR
0767	1	R
0768	1	NR
0769	1	NR
0770	1	NR
0771	1	NR
0772	1	NR
0773	1	NR
0774	1	NR
0775	1	R
0776	1	NR
0777	1	R
0778	1	R
0779	1	NR
0780	1	NR
0781	1	R
0782	1	PG
0783	1	NR
0784	1	R
0785	1	NR
0786	1	NR
0787	1	NR
0788	1	R
0789	1	R
0790	1	R
0791	1	R
0792	1	NR
0793	1	NR
0794	1	PG
0795	1	NR
0796	1	NR
0797	1	R
0798	1	NR
0799	1	NR
0800	1	NR
0801	1	R
0802	1	NR
0803	1	NR
0804	1	R
0805	1	R
0806	1	R
0807	1	R
0808	1	NR
0809	1	R
0810	1	R
0811	1	NR
0812	1	NR
0813	1	PG
0814	1	NR
0815	1	R
0816	1	NR
0817	1	NR
0818	1	NR
0819	1	NR
0820	1	PG
0821	1	PG
0822	1	PG
0823	1	NR
0824	1	NR
0825	1	NR
0826	1	R
0827	1	NR
0828	1	R
0829	1	R
0830	1	NR
0831	1	PG
0832	1	NR
0833	1	NR
