movie	iheartmovies	director
2000	2000	2123	1442
0000	2	Michael Powell	Emeric Pressburger
0001	1	Michael O. Gallant
0002	1	Roland Emmerich
0003	1	Michael Davis
0004	1	Sidney Lumet
0005	1	Henry Hathaway
0006	1	Peter H. Hunt
0007	1	Steven Spielberg
0008	1	Peter Hyams
0009	1	Robert Luketic
0010	1	Anne Fletcher
0011	1	Danny Boyle
0012	1	David Slade
0013	1	Zack Snyder
0014	1	Demian Lichtenstein
0015	1	Jean-Jacques Beineix
0016	1	Dario Argento
0017	1	Lloyd Bacon
0018	1	Federico Fellini
0019	1	John G. Avildsen
0020	2	Bill Melendez	Phil Roman
0021	1	Bob Clark
0022	1	John Waters
0023	1	Elia Kazan
0024	1	Mike Barker
0025	1	Kevin Lima
0026	1	Dito Montiel
0027	1	Chris Koch
0028	1	Richard Lester
0029	1	Michael Gottlieb
0030	1	Gerd Oswald
0031	1	Penny Marshall
0032	1	Baltasar Korm�kur
0033	2	Sharon Maymon	Erez Tadmor
0034	1	Michael Winterbottom
0035	1	Christopher Guest
0036	1	John Fortenberry
0037	1	Roy Ward Baker
0038	1	Toni Kalem
0039	1	Peter Hyams
0040	1	Christian Duguay
0041	1	Wolfgang Petersen
0042	1	Larry Charles
0043	1	Zev Berman
0044	1	George Cukor
0045	1	Koldo Serra
0046	1	Don Roos
0047	1	Frank Oz
0048	1	Norman Taurog
0049	1	Douglas Trumbull
0050	1	Mark Herman
0051	1	Terry Gilliam
0052	1	Neil Jordan
0053	1	Laurie Lynd
0054	1	Anthony Minghella
0055	1	Mark Edwin Robinson
0056	1	Jim McBride
0057	1	Buzz Kulik
0058	1	John Gray
0059	1	Rian Johnson
0060	1	Brian Yuzna
0061	1	Gabor Csupo
0062	1	Beeban Kidron
0063	1	John Krasinski
0064	1	Vincente Minnelli
0065	1	Gene Saks
0066	1	Peyton Reed
0067	1	Damon Santostefano
0068	1	Michael Apted
0069	1	Tony Hickman
0070	1	John Sayles
0071	1	Jules Dassin
0072	1	Daniel Haller
0073	1	Robert Altman
0074	1	Gregor Jordan
0075	1	Fran Rubel Kuzui
0076	1	William Friedkin
0077	1	Ron Shelton
0078	1	Paul Hunter
0079	1	William Keighley
0080	1	Rodrigo Cort�s
0081	1	Dan Curtis
0082	1	Joshua Logan
0083	1	Y�ji Yamada
0084	1	David Green
0085	1	Jamie Babbit
0086	1	Walt Becker
0087	1	Tad Stones
0088	1	Sergio Leone
0089	2	R�my Belvaux	Andr� Bonzel
0090	1	Jean-Marc Vall�e
0091	1	Eli Roth
0092	1	Darnell Martin
0093	1	Edward H. Griffith
0094	1	Nigel Cole
0095	1	Herbert Ross
0096	1	Ken Annakin
0097	1	Todd Graff
0098	2	Matt Cooper	Martin Kunert
0099	1	Michael Moore
0100	1	Michael Moore
0101	1	Raoul Walsh
0102	1	Victor Fleming
0103	1	Michael Schultz
0104	1	Michael Bregman
0105	1	Marleen Gorris
0106	2	�lex Pastor	David Pastor
0107	1	Franklin Guerrero Jr.
0108	1	Joseph Pevney
0109	1	Kazuaki Kiriya
0110	1	Mike Nichols
0111	1	Brad Peyton
0112	1	Katsuhito Ishii
0113	1	William A. Graham
0114	1	Clint Eastwood
0115	1	Roger Michell
0116	1	Marcos Siega
0117	1	Winston Hibler
0118	1	Ralph Nelson
0119	1	Luis Bu�uel
0120	1	Dennis Hopper
0121	1	Andy Cadiff
0122	1	Tommy Chong
0123	1	Steve De Jarnatt
0124	1	Stephen Chow
0125	1	Rob Marshall
0126	1	Edward Buzzell
0127	1	David Price
0128	1	Clark Gregg
0129	1	Jim Wynorski
0130	1	Christophe Barratier
0131	1	Lewis Jackson
0132	1	Peter Godfrey
0133	1	Joe Roth
0134	1	Hong-jin Na
0135	2	Wilfred Jackson	Clyde Geronimi
0136	1	John Kafka
0137	2	Jean-Pierre Jeunet	Marc Caro
0138	1	Michael Caton-Jones
0139	1	Harold Becker
0140	1	Gil Kenan
0141	1	Ron Underwood
0142	1	Desmond Davis
0143	1	Lewis John Carlino
0144	1	Mark L. Lester
0145	1	Phillip Noyce
0146	1	Jack Starrett
0147	1	Steven Spielberg
0148	1	Matt Reeves
0149	1	Jonathan Lynn
0150	1	Michael Apted
0151	1	Roger Donaldson
0152	1	Anne Fontaine
0153	1	Daniel Petrie
0154	1	Jim Jarmusch
0155	1	Mike Figgis
0156	1	Anthony Minghella
0157	1	Sophie Barthes
0158	1	Deb Hagan
0159	1	Roger Kumble
0160	1	Herschell Gordon Lewis
0161	1	Richard Rush
0162	1	Joseph Kane
0163	1	Michael Crichton
0164	1	Robert Altman
0165	1	Henry Levin
0166	1	Mark L. Lester
0167	1	Alfonso Arau
0168	2	Douglas McGrath	Peter Askin
0169	1	John Milius
0170	1	Richard Fleischer
0171	1	Frank Marshall
0172	1	Michael Lembeck
0173	1	Paolo Sorrentino
0174	1	Francis Lawrence
0175	1	Anton Corbijn
0176	1	Stephen Deutsch
0177	1	Jon Turteltaub
0178	1	Ralph Bakshi
0179	1	James Mangold
0180	1	Alfred E. Green
0181	1	Jon Amiel
0182	1	Henry Selick
0183	1	Rob Pritts
0184	1	Robert Day
0185	1	Matthew Robbins
0186	1	Vincente Minnelli
0187	1	Des McAnuff
0188	1	David Modigliani
0189	1	James Koya Jones
0190	1	John Stockwell
0191	1	William Malone
0192	2	Jules Bass	Arthur Rankin Jr.
0193	1	Wayne Kramer
0194	1	Roger Kumble
0195	1	Robert Parrish
0196	1	Jeff Wadlow
0197	1	Rafael Mole�n
0198	2	Steve Barron	Julien Temple
0199	1	Ferzan Ozpetek
0200	1	Irving Cummings
0201	1	Albert Pyun
0202	1	Steve Carr
0203	1	David Jacobson
0204	1	Katrina Holden Bronson
0205	1	Louis Malle
0206	2	Ray Enright	Busby Berkeley
0207	1	Peter Hedges
0208	1	Damien Wayans
0209	1	Harry Beaumont
0210	1	Dorothy Arzner
0211	1	Robert Z. Leonard
0212	1	Stephen Frears
0213	1	Jeff Balsmeyer
0214	1	Louis Leterrier
0215	1	Roger Donaldson
0216	1	Alex Proyas
0217	1	Edmund Goulding
0218	1	Walter Salles
0219	1	Shawn Levy
0220	1	Henry King
0221	1	Rob Cohen
0222	1	Blake Edwards
0223	1	Matthew Leutwyler
0224	1	Alex Turner
0225	1	Phillip Noyce
0226	1	Tim Robbins
0227	1	Conor McMahon
0228	1	Peter Mervis
0229	2	Allen Hughes	Albert Hughes
0230	1	Chuck Patton
0231	1	Gil Cates Jr.
0232	2	Bo Buckley	C. Michael Close
0233	1	Roman Polanski
0234	1	Gillian Armstrong
0235	1	Paul W.S. Anderson
0236	1	Jim Clark
0237	1	Marcel Langenegger
0238	1	Justin Theroux
0239	1	Gerard Damiano
0240	1	Peter Stebbings
0241	1	Adam Brooks
0242	1	Amy Berg
0243	1	John Boorman
0244	1	Guy Ferland
0245	1	C.B. Harding
0246	2	Anton Corbijn	D.A. Pennebaker
0247	1	Wim Wenders
0248	1	Mikael H�fstr�m
0249	2	Jeff Gillen	Alan Ormsby
0250	2	Bruce Cam	Robert Krish
0251	1	Susan Seidelman
0252	1	Shusuke Kaneko
0253	1	Shusuke Kaneko
0254	1	Edgar G. Ulmer
0255	1	Mike Bigelow
0256	1	Mike Mitchell
0257	1	David Winkler
0258	1	Walter Salles
0259	1	Darren Grant
0260	1	Thor Freudenthal
0261	1	Andrew Fleming
0262	1	John McTiernan
0263	1	John Milius
0264	1	Norman Jewison
0265	1	John Woo
0266	1	Henry Hathaway
0267	1	Emile Ardolino
0268	1	David Kendall
0269	1	Burt Kennedy
0270	1	David Nutter
0271	1	Jack Conway
0272	1	John Glen
0273	1	Adam Shankman
0274	1	George Cukor
0275	1	Stephen Gaghan
0276	1	Charles Lamont
0277	1	Charles Barton
0278	1	Charles Lamont
0279	1	Charles Lamont
0280	1	Tom Shadyac
0281	1	Steve Oedekerk
0282	1	Julie Taymor
0283	1	Fred Zinnemann
