movie	iheartmovies	mpaa_rating
2000	2000	2000	8
0000	1	Not Rated
0001	1	Not Rated
0002	1	PG-13
0003	1	R
0004	1	Not Rated
0005	1	Not Rated
0006	1	PG
0007	1	PG
0008	1	Not Rated
0009	1	PG-13
0010	1	PG-13
0011	1	R
0012	1	R
0013	1	R
0014	1	R
0015	1	Not Rated
0016	1	PG
0017	1	Not Rated
0018	1	Not Rated
0019	1	PG-13
0020	1	G
0021	1	PG
0022	1	R
0023	1	Not Rated
0024	1	PG
0025	1	G
0026	1	R
0027	1	PG-13
0028	1	G
0029	1	PG
0030	1	Not Rated
0031	1	PG
0032	1	R
0033	1	Not Rated
0034	1	R
0035	1	PG-13
0036	1	PG-13
0037	1	Not Rated
0038	1	R
0039	1	PG-13
0040	1	Not Rated
0041	1	R
0042	1	R
0043	1	R
0044	1	Not Rated
0045	1	R
0046	1	PG-13
0047	1	PG-13
0048	1	Not Rated
0049	1	PG
0050	1	R
0051	1	R
0052	1	R
0053	1	PG-13
0054	1	R
0055	1	R
0056	1	R
0057	1	G
0058	1	Not Rated
0059	1	R
0060	1	R
0061	1	PG
0062	1	R
0063	1	Not Rated
0064	1	Not Rated
0065	1	PG-13
0066	1	PG-13
0067	1	PG-13
0068	1	PG-13
0069	1	Not Rated
0070	1	R
0071	1	Not Rated
0072	1	PG
0073	1	PG
0074	1	R
0075	1	PG-13
0076	1	R
0077	1	R
0078	1	PG-13
0079	1	Not Rated
0080	1	R
0081	1	PG
0082	1	Not Rated
0083	1	PG-13
0084	1	R
0085	1	R
0086	1	R
0087	1	G
0088	1	PG-13
0089	1	Not Rated
0090	1	Not Rated
0091	1	R
0092	1	R
0093	1	Not Rated
0094	1	PG-13
0095	1	PG
0096	1	PG
0097	1	PG-13
0098	1	R
0099	1	PG
0100	1	R
0101	1	Not Rated
0102	1	Not Rated
0103	1	PG
0104	1	R
0105	1	PG-13
0106	1	PG-13
0107	1	R
0108	1	Not Rated
0109	1	Not Rated
0110	1	R
0111	1	PG
0112	1	Not Rated
0113	1	G
0114	1	R
0115	1	R
0116	1	PG-13
0117	1	G
0118	1	PG
0119	1	Not Rated
0120	1	R
0121	1	PG-13
0122	1	R
0123	1	PG-13
0124	1	PG
0125	1	PG-13
0126	1	Not Rated
0127	1	R
0128	1	R
0129	1	R
0130	1	PG-13
0131	1	R
0132	1	Not Rated
0133	1	PG
0134	1	Not Rated
0135	1	G
0136	1	G
0137	1	R
