movie	imdb	director
2000	1998	2114	1445
0000	1	Quentin Tarantino
0001	1	David Fincher
0002	1	Irvin Kershner
0003	1	Steven Spielberg
0004	1	Christopher Nolan
0005	1	Christopher Nolan
0006	3	Frank Miller	Robert Rodriguez	and 1 more credit
0007	1	Mel Gibson
0008	1	James Cameron
0009	1	Christopher Nolan
0010	1	Zack Snyder
0011	1	Michel Gondry
0012	1	Quentin Tarantino
0013	1	Richard Kelly
0014	1	Luc Besson
0015	1	Michael Bay
0016	1	Darren Aronofsky
0017	1	Quentin Tarantino
0018	1	Ridley Scott
0019	2	Danny Boyle	Loveleen Tandan
0020	1	Jon Favreau
0021	1	Martin Campbell
0022	1	Brad Bird
0023	1	Alfonso Cuar&oacute;n
0024	1	Peter Weir
0025	1	Stanley Kubrick
0026	1	Francis Lawrence
0027	1	Steven Spielberg
0028	2	Jonathan Dayton	Valerie Faris
0029	1	Paul Greengrass
0030	1	Trey Parker
0031	1	Clint Eastwood
0032	1	Sylvester Stallone
0033	1	James Mangold
0034	1	Andrew Dominik
0035	1	Dominic Sena
0036	2	Eric Darnell	Tom McGrath
0037	1	Paul Verhoeven
0038	1	Curtis Hanson
0039	1	Luke Greenfield
0040	1	Kevin Smith
0041	1	Lasse Hallstr&ouml;m
0042	1	Danny Leiner
0043	1	Kevin Lima
0044	1	Wolfgang Petersen
0045	1	Simon West
0046	1	Joe Johnston
0047	1	Menno Meyjes
0048	1	Philippe Martinez
0049	1	Francis Ford Coppola
0050	1	William Phillips
0051	1	Henry Winkler
0052	1	Peter H. Hunt
0053	1	Jeremy Haft
0054	1	Ian Iqbal Rashid
0055	1	Hal Hartley
0056	1	Takashi Miike
0057	1	Alan Rudolph
0058	1	Rodrigo Garc&iacute;a
0059	1	Jonathan Demme
0060	1	Pedro Almod&oacute;var
0061	1	John Fortenberry
0062	1	Kari Skogland
0063	1	Pedro Almod&oacute;var
0064	1	Nicole Holofcener
0065	1	John Malkovich
0066	1	David Veloz
0067	1	John Singleton
0068	1	Ulli Lommel
0069	1	Gillian Armstrong
0070	1	George Mihalka
0071	1	Charles Martin Smith
0072	1	Joe Chappelle
0073	1	Nadine Labaki
0074	1	Sean Ellis
0075	1	Lynne Ramsay
0076	1	Kasi Lemmons
0077	1	Lance Mungia
0078	1	Rowdy Herrington
0079	1	John Luessenhop
0080	1	Michael J. Bassett
0081	1	Christoffer Boe
0082	1	Majid Majidi
0083	1	Russell Mulcahy
0084	1	Simon Wincer
0085	1	Bruce McDonald
0086	1	Bill Couturi&eacute;
0087	1	Charles Robert Carner
0088	1	Michael Cristofer
0089	2	Mitchell Altieri	Phil Flores
0090	1	David Mackay
0091	1	Todd Graff
0092	1	Tobe Hooper
0093	1	C&eacute;dric Klapisch
0094	1	Jordan Melamed
0095	2	Jackie Chan	and 1 more credit
0096	1	Vicky Jenson
0097	1	Walt Becker
0098	1	&Aacute;lex de la Iglesia
0099	1	Bille August
0100	2	Shuki Levy	David Winning
0101	1	J Blakeson
0102	1	&Aacute;lex de la Iglesia
0103	1	Peter Horton
0104	1	Michael Winterbottom
0105	1	Tung-Shing Yee
0106	1	Ben Rock
0107	1	Michael Cuesta
0108	1	Sam Garbarski
0109	1	Gary Oldman
0110	1	Robert Altman
0111	1	Mike Figgis
0112	1	Patrice Leconte
0113	1	Tyler Perry
0114	1	Ken Kwapis
0115	1	Sam Taylor-Wood
0116	1	Mark Pavia
0117	1	Guy Jenkin
0118	1	Eric Blakeney
0119	1	Michael Lehmann
0120	1	David Arquette
0121	1	Charles Herman-Wurmfeld
0122	1	Sheldon Lettich
0123	1	Pedro Almod&oacute;var
0124	1	Peter Hewitt
0125	1	Martyn Burke
0126	1	Jeff Abugov
0127	1	Michael Haneke
0128	1	Howard Deutch
0129	1	Andy Fickman
0130	1	Ferzan Ozpetek
0131	2	Brian Koppelman	David Levien
0132	1	Mike White
0133	2	David Nerlich	Andrew Traucki
0134	1	Gillies MacKinnon
0135	1	Radu Mihaileanu
0136	1	Marc Klein
0137	1	Agn&egrave;s Jaoui
0138	1	Malcolm D. Lee
0139	1	Jake Kasdan
0140	1	Stephen Frears
0141	1	Michael McGowan
0142	1	Blake Edwards
0143	1	Lance Mungia
0144	1	Bryan Spicer
0145	1	Martha Fiennes
0146	1	Eric Red
0147	1	Michael Traeger
0148	1	Walter Hill
0149	2	Marcel Sarmiento	Gadi Harel
0150	2	Jay Duplass	Mark Duplass
0151	1	Michael Ritchie
0152	1	Joel Silverman
0153	1	Steven Soderbergh
0154	1	Nancy Meyers
0155	1	Larry Charles
0156	1	Dennis Dugan
0157	1	Mimi Leder
0158	1	David Slade
0159	1	Stephen Gaghan
0160	1	Rob Cohen
0161	1	Woody Allen
0162	1	James Wong
0163	1	Harold Ramis
0164	1	Jesse Dylan
0165	1	Barry Levinson
0166	1	John Pieplow
0167	1	Richard Benjamin
0168	1	Anne Wheeler
0169	1	Mark Rydell
0170	1	Roger Donaldson
0171	1	David Kendall
0172	1	David Steiman
0173	1	Bob Misiorowski
0174	1	Tyler Perry
0175	1	Jos&eacute; Luis Cuerda
0176	1	Matthew Robbins
0177	1	David Lean
0178	1	Christopher Erskin
0179	1	Clint Eastwood
0180	1	Jacques Dorfmann
0181	1	Donald Petrie
0182	1	Karey Kirkpatrick
0183	1	Patrice Leconte
0184	1	Anne Goursaud
0185	1	Matthew Bright
0186	1	Stuart Gordon
0187	1	Alexander Payne
0188	1	Rob Green
0189	1	Cyrus Nowrasteh
0190	1	Ben Sombogaart
0191	1	Scott Hicks
0192	1	Ron Shelton
0193	1	Christian Duguay
0194	1	Peter Greenaway
0195	1	Jason Ensler
0196	1	Agust&iacute;n D&iacute;az Yanes
0197	2	Ben Elton	and 1 more credit
0198	1	Randal Kleiser
0199	1	Dani&egrave;le Thompson
0200	1	Bob Gosse
0201	1	Spike Lee
0202	1	Jaume Balaguer&oacute;
0203	1	Tom Dey
0204	1	Jir&iacute; Menzel
0205	1	Marianna Palka
0206	1	Bo Zenga
0207	1	Marek Kanievska
0208	1	Po-Chih Leong
0209	1	Gerard Damiano
0210	1	Bill Condon
0211	1	Malcolm D. Lee
0212	1	Stephen Sommers
0213	1	Brett Leonard
0214	1	John Warren
0215	1	David Jacobson
0216	1	Jean-Paul Rappeneau
0217	1	Randall Miller
0218	1	Florent Emilio Siri
0219	1	Jesse Vaughan
0220	1	Kevin Rodney Sullivan
0221	1	Vincenzo Natali
0222	1	Wim Wenders
0223	1	Bryan Barber
0224	1	Julien Temple
0225	1	Steven Soderbergh
0226	1	Paul Morrison
0227	1	Joachim Trier
0228	1	Toby Wilkins
0229	1	Steven Sawalich
0230	1	Fumihiko Sori
0231	1	Michael O. Sajbel
0232	1	Chris Terrio
0233	1	Trevor Nunn
0234	1	William Dear
0235	1	Richard Benjamin
0236	1	Sidney Lumet
0237	1	Rowan Woods
0238	1	Isaac Florentine
0239	1	Lisa France
