movie	imdb	mpaa_rating
2000	1986	1986	1595
0000	1	Rated R for strong graphic violence and drug use, pervasive strong language and some sexuality.
0001	1	Rated R for grisly afterviews of horrific and bizarre killings, and for strong language.
0002	1	Rated PG for sci-fi action violence. (special edition, DVD version)
0003	1	Rated R for language, some sexuality and actuality violence.
0004	1	Rated R for violence, language and some drug content.
0005	1	Rated PG-13 for intense action violence, disturbing images and some thematic elements.
0006	1	Rated R for sustained strong stylized violence, nudity and sexual content including dialogue.
0007	1	Rated R for brutal medieval warfare.
0008	1	Rated PG-13 for disaster related peril and violence, nudity, sensuality and brief language.
0009	1	Rated PG-13 for sequences of violence and action throughout.
0010	1	Rated R for graphic battle sequences throughout, some sexuality and nudity.
0011	1	Rated R for language, some drug and sexual content.
0012	1	Rated R for strong violence and language.
0013	1	Rated R for language, some drug use and violence.; Rated R for language, some underage drug and alcohol use, and violence. (director&#x27;s cut)
0014	1	Rated R for scenes of strong graphic violence, and for language.
0015	1	Rated PG-13 for intense sequences of sci-fi action violence, brief sexual humor, and language.
0016	1	Rated R for intense depiction of drug addiction, graphic sexuality, strong language and some violence. (edited version)
0017	1	Rated R for violence, language and brief drug use.
0018	1	Rated R for sci-fi violence/gore and language. (director&#x27;s cut)
0019	1	Rated R for some violence, disturbing images and language.
0020	1	Rated PG-13 for some intense sequences of sci-fi action and violence, and brief suggestive content.
0021	1	Rated PG-13 for intense sequences of violent action, a scene of torture, sexual content and nudity.
0022	1	Rated PG for action violence.
0023	1	Rated R for strong violence, language, some drug use and brief nudity.
0024	1	Rated PG for thematic elements and mild language.
0025	1	Rated PG for thematic elements, some violent content, sexual humor and mild language. (2005 re-rating)
0026	1	Rated PG-13 for intense sequences of sci-fi action and violence.
0027	1	Rated PG-13 for intense science fiction terror.
0028	1	Rated R for language, some sex and drug content.
0029	1	Rated PG-13 for violence and intense sequences of action.
0030	1	Rated R for graphic crude and sexual humor, violent images and strong language - all involving puppets.
0031	1	Rated R for graphic war violence.
0032	1	Rated R for strong action and bloody violence throughout, and for some language.
0033	1	Rated R for strong violence and language.
0034	1	Rated R for some strong violence and brief sexual references.
0035	1	Rated R for violence, language and some sexuality/nudity.
0036	1	Rated PG for mild language, crude humor and some thematic elements.
0037	1	Rated R for strong violence and sensuality, and for drug use and language.
0038	1	Rated R for strong language, sexuality, some violence and drug use.
0039	1	Rated R for strong sexual content, language and some drug/alcohol use.
0040	1	Rated R on appeal for strong crude sexual content including dialogue, graphic nudity and pervasive language.
0041	1	Rated PG-13 for a scene of sensuality and some violence.
0042	1	Rated R for strong language, sexual content, drug use and some crude humor.
0043	1	Rated PG for some scary images and mild innuendo.
0044	1	Rated PG-13 for language and scenes of peril.
0045	1	Rated PG-13 for action violence and some sensuality.
0046	1	Rated PG for menacing fantasy action and some mild language.
0047	1	Rated R for language.
