movie	metacritic	director
2000	1998	1998	1427
0000	1	David Lean
0001	1	Luchino Visconti
0002	1	Bernardo Bertolucci
0003	1	Ingmar Bergman
0004	1	Charles Laughton
0005	1	Stanley Kubrick
0006	1	Brad Bird
0007	1	Terrence Malick
0008	1	John Frankenheimer
0009	1	Gillo Pontecorvo
0010	1	Alexander Payne
0011	1	Peter Jackson
0012	1	Barbet Schroeder
0013	0	<NULL>
0014	1	Steven Spielberg
0015	1	Edward Yang
0016	1	Laurent Cantet
0017	1	John Lasseter
0018	1	Ousmane Sembene
0019	1	George Lucas
0020	1	Jean-Pierre Melville
0021	1	Roman Polanski
0022	1	Elio Petri
0023	1	Franklin J. Schaffner
0024	1	Ethan Coen
0025	1	Martin Scorsese
0026	1	Steven Spielberg
0027	1	Jacques Audiard
0028	1	Debra Granik
0029	1	Paul Greengrass
0030	1	Mike Leigh
0031	1	Spike Jonze
0032	1	Brad Bird
0033	1	Robert Pulcini
0034	1	Robert Altman
0035	1	Peter Weir
0036	1	Sofia Coppola
0037	1	Marco Tullio Giordana
0038	1	William Wyler
0039	1	James Marsh
0040	1	Hirokazu Koreeda
0041	1	Richard Brooks
0042	1	Richard Donner
0043	1	Peter Jackson
0044	1	Georges Franju
0045	1	Ridley Scott
0046	1	Alfonso Cuar�n
0047	1	Jean-Pierre Dardenne
0048	1	Joshua Marston
0049	1	Lajos Koltai
0050	1	Ang Lee
0051	1	Werner Herzog
0052	1	Pedro Almod�var
0053	1	Gus Van Sant
0054	1	Danny Boyle
0055	1	Michael Apted
0056	1	Lisa Cholodenko
0057	1	Dennis Hopper
0058	1	Todd Field
0059	1	Samuel Maoz
0060	1	Babak Payami
0061	1	Michael Winterbottom
0062	1	Robert Stone
0063	1	Kirby Dick
0064	1	Anjelica Huston
0065	1	Woody Allen
0066	1	Lucas Belvaux
0067	1	Rithy Panh
0068	1	Adrienne Shelly
0069	1	Michael Moore
0070	1	Elia Suleiman
0071	1	Terry Gilliam
0072	1	Penny Marshall
0073	1	David LaChapelle
0074	1	Kevin Macdonald
0075	1	Juan Antonio Bayona
0076	1	Stanley Tucci
0077	1	Jacob Aaron Estes
0078	1	Ic�ar Bolla�n
