movie	metacritic	genre
2000	1998	1998	477
0000	1	Adventure, Biography, Drama, War
0001	1	Drama, History, Romance, War
0002	1	Drama
0003	1	Drama, Mystery, Fantasy
0004	1	Drama, Thriller, Film-Noir
0005	1	Drama, Thriller
0006	1	Fantasy, Comedy, Animation, Family
0007	1	Drama, Romance
0008	1	Drama, Mystery, Thriller
0009	1	Drama, History, War
0010	1	Drama, Comedy, Romance
0011	1	Action, Adventure, Fantasy
0012	1	Drama, Mystery
0013	1	Biography, Drama, History, Thriller, Crime
0014	1	Biography, Drama, History, War
0015	1	Drama, Romance, Music
0016	1	Drama
0017	1	Adventure, Fantasy, Comedy, Animation, Family
0018	1	Drama
0019	1	Action, Adventure, Sci-Fi, Fantasy
0020	1	Drama, Thriller, Crime
0021	1	Drama, Thriller, Horror
0022	1	Drama, Crime
0023	1	Biography, Drama, War
0024	1	Drama, Thriller, Crime, Western
0025	1	Thriller, Comedy
0026	1	Action, Drama, War
0027	1	Drama, Crime
0028	1	Drama, Thriller
0029	1	Drama, History, War
0030	1	Biography, Drama, Comedy, Music
0031	1	Drama, Fantasy, Comedy, Romance
0032	1	Action, Adventure, Animation, Family
0033	1	Biography, Drama, Comedy
0034	1	Drama, Mystery, Comedy
0035	1	Drama
0036	1	Drama, Romance
0037	1	Drama, Romance
0038	1	Biography, Drama, Comedy, Romance, Musical
0039	1	Crime, Documentary
0040	1	Drama
0041	1	Drama, History, Crime
0042	1	Action, Adventure, Sci-Fi, Thriller
0043	1	Action, Adventure, Fantasy
0044	1	Drama, Mystery, Thriller, Horror
0045	1	Drama, Thriller, Crime
0046	1	Drama, Comedy
0047	1	Drama, Romance, Crime
0048	1	Drama, Thriller, Crime
0049	1	Drama
0050	1	Drama, Romance, Western
0051	1	Biography, Documentary
0052	1	Drama
0053	1	Thriller, Comedy, Crime
0054	1	Drama, Romance
0055	1	Biography, Documentary
0056	1	Drama, Comedy
0057	1	Drama, Crime
0058	1	Drama, Crime
0059	1	Drama, War
0060	1	Comedy
0061	1	Drama
0062	1	Biography, History, Crime, War, Documentary
0063	1	Documentary
0064	1	Drama
0065	1	Drama, Fantasy, Comedy, Romance
0066	1	Drama, Thriller, Crime
0067	1	History, War, Documentary
0068	1	Drama, Comedy, Romance
0069	1	Drama, History, Documentary
0070	1	Drama, Comedy, Romance, War
0071	1	Sci-Fi, Mystery, Thriller
0072	1	Drama
0073	1	Music, Documentary
0074	1	Biography, Drama, History, Thriller
0075	1	Drama, Mystery, Thriller, Horror
0076	1	Drama
0077	1	Drama, Crime
0078	1	Drama, Romance
0079	1	Drama, Comedy, Crime, Family
0080	1	Drama, Fantasy, Romance
0081	1	Action, Comedy
0082	1	Drama, Romance
0083	1	Adventure, Drama, Fantasy, Romance
0084	1	Documentary
0085	1	Drama, History, Thriller, Crime, War
0086	1	Biography, Drama, History, Thriller, War
0087	1	Action, Thriller, Crime
0088	1	Music, Documentary
0089	1	Drama
0090	1	Drama, Mystery
0091	1	Drama, Romance, Musical
0092	1	Drama, Mystery, Thriller, Crime
0093	1	Drama, Romance
0094	1	Drama, Comedy
0095	1	Thriller, Horror, Crime
0096	1	Comedy, Animation, Musical
0097	1	Documentary
0098	1	Drama, Mystery, Thriller
0099	1	Action, Adventure, Drama, History, War
0100	1	Drama, Mystery, Thriller, Crime
0101	1	Drama
0102	1	Adventure, Drama, Comedy, Animation
0103	1	Drama, Thriller, Crime, Music
0104	1	Fantasy, Comedy, Animation, Family, Musical
0105	1	Action, Adventure, Mystery, Thriller
0106	1	Drama, War
0107	1	Drama, Comedy, Crime
0108	1	Drama
0109	1	Drama, Comedy
0110	1	Drama, Comedy, Documentary
0111	1	Action, Thriller, Crime
0112	1	Action, Comedy, Animation, Family
0113	1	Drama
0114	1	Drama
0115	1	History, Documentary
0116	1	Action, Adventure, Horror, Comedy
0117	1	Comedy, Crime
0118	1	Drama, Thriller, Crime
0119	1	Biography, Drama, Music
0120	1	Drama
0121	1	Comedy, Romance
0122	1	Drama, Comedy, Romance
0123	1	Music, Documentary
0124	1	Action, Adventure, Sci-Fi, Thriller
0125	1	Drama
0126	1	Action, Adventure, Sci-Fi, Drama, Thriller
0127	1	Documentary
0128	1	Drama
0129	1	Drama, Mystery, Thriller, Crime
0130	1	Adventure, Fantasy, Comedy, Family
0131	1	Drama
0132	1	Drama, Documentary
0133	1	Fantasy, Comedy, Romance
0134	1	Drama, Comedy, Romance
0135	1	Action, Biography, Drama, Thriller, Crime
0136	1	Drama, War
0137	1	Documentary
0138	1	Action, Adventure, Sci-Fi
0139	1	Adventure, Documentary
0140	1	Documentary
0141	1	Drama, Crime
0142	1	Mystery, Thriller, Comedy, Crime
0143	1	Drama, Romance
0144	1	Biography, Drama
0145	1	Drama
0146	1	Biography, Drama
0147	1	Drama, Thriller, Crime
0148	1	Drama, Mystery, Thriller
0149	1	Drama, Family
0150	1	Documentary
0151	1	Documentary
0152	1	Comedy
0153	1	Drama, Comedy, Romance
0154	1	Biography, Drama, Romance, Music
0155	1	Drama, Comedy, Romance
0156	1	Drama, Romance
0157	1	Comedy, Animation, Family
0158	1	Drama, Thriller, Crime, War
0159	1	Action, Drama, Thriller, Comedy, Crime
0160	1	Drama, Thriller
0161	1	Drama, Romance
0162	1	Drama, Crime
0163	1	Drama
0164	1	Drama, Family
0165	1	Drama
0166	1	Sci-Fi, Thriller, Horror
0167	1	Drama, Thriller, Crime
0168	1	Documentary
0169	1	Drama
0170	1	Action, Adventure, Sci-Fi, Comedy, Family
0171	1	Drama
0172	1	Drama
0173	1	Drama, Romance
0174	1	Documentary
0175	1	Drama, Comedy, Romance
0176	1	Drama, Romance
0177	1	Action, Adventure, Comedy, War
0178	1	Thriller
0179	1	Adventure, Drama
0180	1	Action, Drama, History
0181	1	Drama, Comedy
0182	1	Drama, Mystery, Thriller, Crime
0183	1	Drama, Comedy
0184	1	Drama, Romance
0185	1	Action, Biography, Drama, Thriller, Crime
0186	1	Adventure, Comedy, Animation, Family
0187	1	Documentary
0188	1	Drama, Comedy, Romance
0189	1	Drama, Mystery, Comedy, Romance, Crime
0190	1	Drama, Thriller, Romance
0191	1	Adventure, Drama, Fantasy, Family
0192	1	Drama
0193	1	Drama, Crime
0194	1	Comedy
0195	1	Drama, Thriller, Crime
0196	1	Drama
0197	1	Documentary
0198	1	Biography, Music, Documentary
0199	1	History, Mystery, War, Documentary, News
0200	1	Biography, Drama, History, Romance
0201	1	Drama, Comedy, Documentary
0202	1	Documentary
0203	1	Drama, History, Romance, War
0204	1	Documentary
0205	1	Action, Drama, Thriller, Crime
0206	1	Drama, Comedy, Romance
0207	1	Drama, Comedy
0208	1	Drama, Romance
0209	1	Drama
0210	1	Mystery, Thriller, Horror, Crime
0211	1	Sport, Comedy
0212	1	Drama, Mystery, Thriller, Crime
0213	1	Drama, Thriller
0214	1	Drama
0215	1	Biography, Drama, History, Thriller, Romance, Crime
0216	1	Comedy
0217	1	Drama, Thriller, Crime
0218	1	Drama, Sport, Romance
0219	1	Drama, Crime
