movie	metacritic	mpaa_rating
2000	1900	1900	17
0000	1	Approved
0001	1	PG
0002	1	R
0003	1	R
0004	1	Approved
0005	1	GP
0006	1	G
0007	1	PG
0008	1	Approved
0009	1	Not Rated
0010	1	R
0011	1	PG-13
0012	1	R
0013	0	<NULL>
0014	1	R
0015	1	Not Rated
0016	1	PG-13
0017	1	G
0018	1	Unrated
0019	1	PG
0020	1	Not Rated
0021	1	Unrated
0022	1	R
0023	1	M
0024	1	R
0025	1	R
0026	1	TV-MA
0027	1	R
0028	1	R
0029	1	R
0030	1	R
0031	1	R
0032	1	PG
0033	1	TV-MA
0034	1	TV-MA
0035	1	PG
0036	1	R
0037	1	R
0038	1	G
0039	1	PG-13
0040	0	<NULL>
0041	1	Approved
0042	1	PG
0043	1	PG-13
0044	1	Unrated
0045	1	R
0046	1	NC-17
0047	1	R
0048	1	R
0049	1	R
0050	1	R
0051	1	R
0052	1	R
0053	1	R
0054	1	R
0055	0	<NULL>
0056	1	R
0057	1	R
0058	1	TV-MA
0059	1	R
0060	1	G
0061	1	R
0062	1	Unrated
0063	1	TV-MA
0064	1	R
0065	1	PG
0066	1	Unrated
0067	1	Unrated
0068	1	PG-13
0069	1	PG-13
0070	0	<NULL>
0071	1	R
0072	1	PG-13
0073	1	PG-13
0074	1	R
0075	1	R
0076	1	R
0077	1	R
0078	0	<NULL>
0079	1	TV-14
0080	1	PG-13
0081	1	R
0082	1	R
0083	1	PG-13
0084	1	R
0085	1	Unrated
0086	1	R
0087	1	Unrated
0088	1	R
0089	1	PG
0090	1	NC-17
0091	0	<NULL>
0092	1	PG-13
0093	1	R
0094	1	R
0095	1	R
0096	1	TV-MA
0097	0	<NULL>
0098	1	Unrated
0099	1	R
0100	1	R
0101	1	PG-13
0102	1	PG-13
0103	0	<NULL>
0104	1	PG
0105	1	PG-13
0106	1	R
0107	1	R
0108	1	G
0109	1	Unrated
0110	1	PG
0111	1	R
0112	1	PG
0113	1	PG-13
0114	1	Open
0115	1	Unrated
0116	1	R
0117	1	Unrated
0118	1	TV-MA
0119	1	PG-13
0120	1	Unrated
0121	1	Unrated
0122	1	R
0123	1	R
0124	1	R
0125	1	PG
0126	1	PG-13
0127	1	PG
0128	1	Unrated
0129	1	R
0130	1	PG
0131	1	R
0132	1	PG-13
0133	1	PG
0134	1	Approved
0135	1	R
0136	1	R
0137	1	G
0138	1	PG-13
0139	1	PG
0140	1	Not Rated
0141	1	TV-MA
0142	1	R
0143	1	R
0144	1	R
0145	1	PG-13
0146	1	PG-13
0147	1	PG-13
0148	1	R
0149	1	PG
0150	0	<NULL>
0151	1	Unrated
0152	1	R
0153	1	PG
0154	1	PG-13
0155	1	TV-PG
0156	1	R
0157	1	PG
0158	1	PG-13
0159	1	R
0160	1	PG-13
0161	0	<NULL>
0162	1	R
0163	1	R
0164	0	<NULL>
0165	1	PG
0166	1	Unrated
0167	1	R
0168	1	TV-PG
