movie	metacritic	title
2000	2000	2000	1997
0000	1	Lawrence of Arabia (re-release)
0001	1	The Leopard (re-release)
0002	1	The Conformist (re-release)
0003	1	Fanny and Alexander (re-release)
0004	1	The Night of the Hunter (re-release)
0005	1	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
0006	1	Ratatouille
0007	1	Days of Heaven (re-release)
0008	1	The Manchurian Candidate
0009	1	The Battle of Algiers (re-release)
0010	1	Sideways
0011	1	The Lord of the Rings: The Return of the King
0012	1	Reversal of Fortune
0013	1	Carlos
0014	1	Schindler's List
0015	1	Yi yi: A One and a Two...
0016	1	The Class
0017	1	Toy Story
0018	1	Moolaad�
0019	1	Star Wars: Episode IV - A New Hope
0020	1	Le cercle rouge (re-release)
0021	1	Repulsion (re-release)
0022	1	Investigation of a Citizen Above Suspicion
0023	1	Patton
0024	1	No Country for Old Men
0025	1	After Hours
0026	1	Saving Private Ryan
0027	1	A Prophet
0028	1	Winter's Bone
0029	1	Bloody Sunday
0030	1	Topsy-Turvy
0031	1	Being John Malkovich
0032	1	The Incredibles
0033	1	American Splendor
0034	1	Gosford Park
0035	1	The Truman Show
0036	1	Lost in Translation
0037	1	The Best of Youth
0038	1	Funny Girl (re-release)
0039	1	Man on Wire
0040	1	Still Walking
0041	1	In Cold Blood (re-release)
0042	1	Superman
0043	1	The Lord of the Rings: The Two Towers
0044	1	Eyes Without a Face (re-release)
0045	1	Thelma & Louise
0046	1	Y tu mam� tambi�n
0047	1	L'Enfant
0048	1	Maria Full of Grace
0049	1	Fateless
0050	1	Brokeback Mountain
0051	1	Grizzly Man
0052	1	All About My Mother
0053	1	To Die For
0054	1	Slumdog Millionaire
0055	1	42: Forty Two Up
0056	1	The Kids Are All Right
0057	1	Easy Rider
0058	1	In the Bedroom
0059	1	Lebanon
0060	1	Secret Ballot
0061	1	In This World
0062	1	Guerrilla: The Taking of Patty Hearst
0063	1	This Film Is Not Yet Rated
0064	1	Bastard Out of Carolina
0065	1	The Purple Rose of Cairo
0066	1	On the Run
0067	1	S21: The Khmer Rouge Death Machine
0068	1	Waitress
0069	1	Sicko
0070	1	Yadon ilaheyya
0071	1	Twelve Monkeys
0072	1	Awakenings
0073	1	Rize
0074	1	The Last King of Scotland
0075	1	The Orphanage
0076	1	Joe Gould's Secret
0077	1	Mean Creek
0078	1	Take My Eyes
0079	1	Millions
0080	1	Edward Scissorhands
0081	1	The Legend of Drunken Master
0082	1	Dangerous Liaisons
0083	1	Golden Door
0084	1	Lost in La Mancha
0085	1	Flame and Citron
0086	1	A Mighty Heart
0087	1	Sin City
0088	1	Metallica: Some Kind of Monster
0089	1	The Song of Sparrows
0090	1	Mysterious Skin
0091	1	U-Carmen e-Khayelitsha
0092	1	Breach
0093	1	High Art
0094	1	Wag the Dog
0095	1	Cape Fear
0096	1	South Park: Bigger Longer & Uncut
0097	1	Arna's Children
0098	1	Red Road
0099	1	Red Cliff
0100	1	The Limey
0101	1	Behind the Sun
0102	1	Tokyo Godfathers
0103	1	All About Lily Chou-Chou
0104	1	Teacher's Pet
0105	1	The Bourne Supremacy
0106	1	The Deer Hunter
0107	1	Something Wild
0108	1	The Cave of the Yellow Dog
0109	1	Big Animal
0110	1	Super Size Me
0111	1	Exiled
0112	1	Kung Fu Panda
0113	1	Me and Orson Welles
0114	1	L.I.E.
0115	1	The Corporation
0116	1	Zombieland
0117	1	The Hangover
0118	1	Layer Cake
0119	1	Ray
0120	1	Three Monkeys
0121	1	The 40 Year Old Virgin
0122	1	The Puffy Chair
0123	1	Metal: A Headbanger's Journey
0124	1	The Matrix
0125	1	Riding Alone for Thousands of Miles
0126	1	War of the Worlds
0127	1	ShowBusiness: The Road to Broadway
0128	1	Climates
0129	1	Gone Baby Gone
0130	1	Charlie and the Chocolate Factory
0131	1	Quincea�era
0132	1	Stone Reader
0133	1	Groundhog Day
0134	1	Sabrina
0135	1	Mesrine: Public Enemy No. 1
0136	1	Welcome to Sarajevo
0137	1	Earth
0138	1	Superman Returns
0139	1	Blindsight
0140	1	Tibet: A Buddhist Trilogy
0141	1	Tony Manero
0142	1	Kiss Kiss Bang Bang
0143	1	The Mother
0144	1	Nowhere in Africa
0145	1	At the Height of Summer
0146	1	A Beautiful Mind
0147	1	The Rainmaker
0148	1	Inland Empire
0149	1	Akeelah and the Bee
0150	1	Plagues and Pleasures on the Salton Sea
0151	1	Pressure Cooker
0152	1	The Closet
0153	1	Mostly Martha
0154	1	Walk the Line
0155	1	Strictly Ballroom
0156	1	The Widow of Saint-Pierre
0157	1	Despicable Me
0158	1	12
0159	1	48 Hrs.
0160	1	Cry, the Beloved Country
0161	1	Samson and Delilah
0162	1	What Doesn't Kill You
0163	1	Swimming
0164	1	Manito
0165	1	3 Women
0166	1	Land of the Dead
0167	1	Monument Ave.
0168	1	Wal-Mart: The High Cost of Low Price
0169	1	Man Push Cart
0170	1	Spy Kids
0171	1	Wonderland
0172	1	House of Sand and Fog
0173	1	All the Real Girls
0174	1	King Leopold's Ghost
0175	1	The Good Girl
0176	1	Intimate Strangers
0177	1	Tropic Thunder
0178	1	Red Eye
0179	1	Travelers and Magicians
0180	1	Rosewood
0181	1	Postcards from the Edge
0182	1	The Pledge
0183	1	Real Women Have Curves
0184	1	The Road Home
0185	1	Bronson
0186	1	Horton Hears a Who!
0187	1	Collapse
0188	1	Mansfield Park
0189	1	The Barbarian Invasions
0190	1	Separate Lies
0191	1	Where the Wild Things Are
0192	1	Roman de gare
0193	1	Carandiru
0194	1	Waiting for Guffman
0195	1	Collateral
0196	1	Grbavica: The Land of My Dreams
0197	1	Aliens of the Deep
0198	1	Mayor of the Sunset Strip
0199	1	American Radical: The Trials of Norman Finkelstein
0200	1	Her Majesty, Mrs. Brown
0201	1	Jails, Hospitals & Hip-Hop
0202	1	The Yes Men Fix the World
0203	1	Sunshine
0204	1	Countdown to Zero
0205	1	Batman Begins
0206	1	The Tao of Steve
0207	1	Smoke
0208	1	A Walk on the Moon
0209	1	Good Will Hunting
0210	1	Cure
0211	1	The Cup
0212	1	Swimming Pool
0213	1	Bringing Out the Dead
0214	1	Dogtooth
0215	1	Public Enemies
0216	1	Lost Embrace
0217	1	Owning Mahowny
0218	1	Love & Basketball
0219	1	Out of the Blue
0220	1	Star Trek: First Contact
0221	1	Big
0222	1	Millennium Actress
0223	1	10 Things I Hate About You
0224	1	Waging a Living
0225	1	Shall We Kiss?
0226	1	The Science of Sleep
0227	1	Outsourced
0228	1	Pauline and Paulette
0229	1	The Opposite of Sex
0230	1	21 Grams
0231	1	Die Hard
0232	1	Nora
0233	1	Adanggaman
0234	1	Training Day
0235	1	Pieces of April
0236	1	Waking Sleeping Beauty
0237	1	Mesrine: Killer Instinct
0238	1	District B13
0239	1	Cronos
0240	1	At the Edge of the World
0241	1	Chalk
0242	1	Clerks.
0243	1	Tears of the Black Tiger
0244	1	Inglourious Basterds
0245	1	Babel
0246	1	The Bad Lieutenant: Port of Call - New Orleans
0247	1	Undercover Brother
0248	1	Dung che sai duk
0249	1	Revolutionary Road
0250	1	Live Free or Die Hard
0251	1	The September Issue
0252	1	Be Here to Love Me: A Film About Townes Van Zandt
0253	1	Giorni e nuvole
0254	1	The Painted Veil
0255	1	Clueless
0256	1	The Ignorant Fairies
0257	1	Monster's Ball
0258	1	Nurse Betty
0259	1	Slums of Beverly Hills
0260	1	Charlie Wilson's War
0261	1	Fair Game
0262	1	Go Tigers!
0263	1	Talk to Me
0264	1	Zero Day
0265	1	The Wild Thornberrys Movie
0266	1	Divided We Fall
0267	1	The Good, the Bad, the Weird
0268	1	The Cuckoo
0269	1	We Live in Public
0270	1	The Business of Being Born
0271	1	eXistenZ
0272	1	Jump Tomorrow
0273	1	Liar Liar
0274	1	Smash His Camera
0275	1	Pierrepoint
0276	1	Alice et Martin
0277	1	Twister
0278	1	Burnt Money
0279	1	Monster House
0280	1	There's No One Like You
0281	1	The Taking of Pelham One Two Three (re-release)
0282	1	Hearts and Minds (re-release)
0283	1	Goodbye Lenin!
0284	1	Requiem for a Dream
0285	1	The End of the Line
0286	1	For Your Consideration
0287	1	Bon voyage
0288	1	The Bourne Identity
0289	1	Soul Food
0290	1	Why We Fight
0291	1	Son of the Bride
0292	1	Friends with Money
0293	1	Casting About
0294	1	Swimming to Cambodia
0295	1	Honeydripper
0296	1	Purple Butterfly
0297	1	Star Wars: Episode III - Revenge of the Sith
0298	1	Fracture
0299	1	El Crimen Perfecto (The Perfect Crime)
0300	1	The Valet
0301	1	Reykjav�k
0302	1	The Italian Job
0303	1	A Civil Action
0304	1	Arven
0305	1	Come Undone
0306	1	Protagonist
0307	1	Whip It
0308	1	Marvin's Room
0309	1	Guinevere
0310	1	Moon
0311	1	Forgetting Sarah Marshall
0312	1	Naked Lunch
0313	1	Thirteen Days
0314	1	In Bruges
0315	1	Les poup�es russes
0316	1	Steel City
0317	1	Summer of Sam
0318	1	Fahrenheit 9/11
0319	1	RoboCop
0320	1	Cremaster 3
0321	1	Young Adam
0322	1	Tales of the Rat Fink
0323	1	XXY
0324	1	Unstoppable
0325	1	Mrs Palfrey at The Claremont
0326	1	An Affair of Love
0327	1	Private Parts
0328	1	Deliver Us from Evil
0329	1	Inside Job
0330	1	Under the Sand
0331	1	2001: A Space Odyssey
0332	1	The Departed
0333	1	Flight of the Red Balloon
0334	1	Before Night Falls
0335	1	Boogie Nights
0336	1	The Endurance
0337	1	Turtles Can Fly
0338	1	Festival Express
0339	1	This Is Spinal Tap (re-release)
0340	1	Street Fight
0341	1	Hedwig and the Angry Inch
0342	1	Alexandra
0343	1	Women on the Verge of a Nervous Breakdown
0344	1	Restrepo
0345	1	Black Rain
0346	1	The Circle
0347	1	24 Hour Party People
0348	1	In the Shadow of the Moon
0349	1	Children of Men
0350	1	Revanche
0351	1	Lantana
0352	1	S�raphine
0353	1	49 Up
0354	1	Broadcast News
0355	1	Milk
0356	1	That Obscure Object of Desire
0357	1	Far from Heaven
0358	1	Darwin's Nightmare
0359	1	The Death of Mr. Lazarescu
0360	1	Kings & Queen
0361	1	Visual Acoustics
0362	1	Alice's House
0363	1	Death at a Funeral
0364	1	Fast Times at Ridgemont High
0365	1	El Norte
0366	1	Nowhere Boy
0367	1	Zathura: A Space Adventure
0368	1	Over the Hedge
0369	1	Cinemania
0370	1	Rudo y Cursi
0371	1	Trust
0372	1	Be with Me
0373	1	Flanders
0374	1	The Unbelievable Truth
0375	1	Once in a Lifetime: The Extraordinary Story of the New York Cosmos
0376	1	Rock School
0377	1	The Eclipse
0378	1	Looking for Eric
0379	1	Strange Powers: Stephin Merritt and the Magnetic Fields
0380	1	Son of Rambow
0381	1	Seaside
0382	1	Braveheart
0383	1	City Island
0384	1	Patti Smith: Dream of Life
0385	1	Innocent Voices
0386	1	Miller's Crossing
0387	1	Spanking the Monkey
0388	1	Dog Days
0389	1	Diggers
0390	1	So Close
0391	1	Fight Club
0392	1	The Prestige
0393	1	Family Law
0394	1	Elegy
0395	1	SherryBaby
0396	1	Dark City
0397	1	American Teen
0398	1	Trading Places
0399	1	La vie en rose
0400	1	Nixon
0401	1	Barbershop
0402	1	The SpongeBob SquarePants Movie
0403	1	Mission: Impossible III
0404	1	Bandslam
0405	1	Buzz
0406	1	Delicatessen
0407	1	Tying the Knot
0408	1	Jimmy Neutron: Boy Genius
0409	1	Coffee and Cigarettes
0410	1	Buried
0411	1	Grace Is Gone
0412	1	I Love You Phillip Morris
0413	1	Balzac and the Little Chinese Seamstress
0414	1	11:14
0415	1	Chopper
0416	1	Closer
0417	1	The Providence Effect
0418	1	My Best Friend
0419	1	Scarface
0420	1	Maelstrom
0421	1	The Horse Whisperer
0422	1	Animal Factory
0423	1	Being Julia
0424	1	Jindabyne
0425	1	Mr. Untouchable
0426	1	Miami Vice
0427	1	The TV Set
0428	1	The Runaways
0429	1	Marie Antoinette
0430	1	Scott Walker: 30 Century Man
0431	1	Battle for Haditha
0432	1	Salt
0433	1	Amazing Grace
0434	1	Made in Dagenham
0435	1	A Room for Romeo Brass
0436	1	The End of the Affair
0437	1	Tekkon kinkur�to
0438	1	The Story of an African Farm
0439	1	The Matador
0440	1	The Town Is Quiet
0441	1	L.A. Story
0442	1	Panic Room
0443	1	The Powerpuff Girls
0444	1	Ae Fond Kiss...
0445	1	Dan in Real Life
0446	1	Saving Face
0447	1	Se7en
0448	1	Crooklyn
0449	1	Unknown White Male
0450	1	Find Me Guilty
0451	1	Grazia's Island
0452	1	Sex and Lucia
0453	1	Oliver Twist
0454	1	Ondine
0455	1	Down in the Valley
0456	1	Monsieur N.
0457	1	The Year of Living Dangerously
0458	1	Close to Home
0459	1	The Pillow Book
0460	1	About Adam
0461	1	Elf
0462	1	Napoleon Dynamite
0463	1	Ever Since the World Ended
0464	1	Sunshine
0465	1	The Tic Code
0466	1	8 Women
0467	1	Joe the King
0468	1	Wanted
0469	1	JCVD
0470	1	A Thousand Years of Good Prayers
0471	1	Pooh's Heffalump Movie
0472	1	That Man: Peter Berlin
0473	1	Idiocracy
0474	1	One Hour Photo
0475	1	Beavis and Butt-Head Do America
0476	1	Doing Time, Doing Vipassana
0477	1	Grateful Dawg
0478	1	The Pursuit of Happyness
0479	1	Mondays in the Sun
0480	1	Enigma
0481	1	The Sixth Sense
0482	1	Che: Part Two
0483	1	Come Early Morning
0484	1	Gladiator
0485	1	Identity
0486	1	Team America: World Police
0487	1	Grand Canyon
0488	1	Brideshead Revisited
0489	1	Surf's Up
0490	1	The Princess and the Warrior
0491	1	The Parent Trap
0492	1	The Dancer Upstairs
0493	1	Room
0494	1	The U.S. vs. John Lennon
0495	1	Megamind
0496	1	Citizen Ruth
0497	1	One Bright Shining Moment
0498	1	Tamara Drewe
0499	1	Pineapple Express
0500	1	Freedom Writers
0501	1	Star Trek: Insurrection
0502	1	Monsters
0503	1	Bright Future
0504	1	Robots
0505	1	Fire
0506	1	Enter the Void
0507	1	Howl
0508	1	The Mystic Masseur
0509	1	The Professional
0510	1	Trekkies
0511	1	Shortbus
0512	1	Fast Food Nation
