movie	msn	mpaa_rating
2000	1818	1818	6
0000	1	PG
0001	1	PG13
0002	1	PG13
0003	1	R
0004	1	PG13
0005	1	R
0006	1	R
0007	1	R
0008	1	NR
0009	1	R
0010	1	PG13
0011	1	NR
0012	1	PG13
0013	1	R
0014	1	PG13
0015	1	PG13
0016	1	R
0017	1	R
0018	1	R
0019	1	PG
0020	1	R
0021	1	R
0022	1	NR
0023	1	PG
0024	1	R
0025	1	R
0026	1	R
0027	1	PG13
0028	1	PG13
0029	1	R
0030	1	R
0031	1	R
0032	1	PG13
0033	1	R
0034	1	R
0035	1	PG
0036	1	PG13
0037	1	NR
0038	1	NR
0039	1	PG13
0040	1	PG13
0041	1	R
0042	1	NR
0043	1	PG13
0044	1	R
0045	1	NC17
0046	1	PG
0047	1	R
0048	1	R
0049	1	NR
0050	1	PG
0051	1	R
0052	1	R
0053	1	R
0054	1	R
0055	1	R
0056	1	R
0057	1	R
0058	1	R
0059	1	R
0060	1	R
0061	1	PG
0062	1	NR
0063	1	PG13
0064	1	R
0065	1	G
0066	1	PG13
0067	1	PG13
0068	1	NR
0069	1	NR
0070	1	PG13
0071	1	PG
0072	1	R
0073	1	R
0074	1	NR
0075	1	R
0076	1	NR
0077	1	NR
0078	1	R
0079	1	PG
0080	1	PG13
0081	1	R
0082	1	R
0083	1	NR
0084	1	R
0085	1	R
0086	1	R
0087	1	PG13
0088	1	NR
0089	1	PG
0090	1	NR
0091	1	R
0092	1	NR
0093	1	PG13
0094	1	PG
0095	1	NR
0096	1	PG13
0097	1	PG
0098	1	R
0099	1	R
0100	1	R
0101	1	PG
0102	1	PG13
0103	1	PG13
0104	1	R
0105	1	PG13
0106	1	R
0107	1	R
0108	1	NR
0109	1	NR
0110	1	R
0111	1	PG
0112	1	R
0113	1	R
0114	1	PG13
0115	1	PG13
0116	1	NR
0117	1	NR
0118	1	NR
0119	1	NR
0120	1	PG13
0121	1	R
0122	1	R
0123	1	R
0124	1	R
0125	1	R
0126	1	R
0127	1	R
0128	1	NR
0129	1	R
0130	1	PG
0131	1	R
0132	1	R
0133	1	R
0134	1	NR
0135	1	R
0136	1	NR
0137	1	R
0138	1	PG13
0139	1	R
0140	1	PG13
0141	1	PG
0142	1	R
0143	1	NR
0144	1	R
0145	1	R
0146	1	R
0147	1	PG13
0148	1	NR
0149	1	PG
0150	1	R
0151	1	NR
0152	1	R
0153	1	R
0154	1	PG13
0155	1	R
0156	1	PG13
0157	1	NR
0158	1	PG13
0159	1	PG13
0160	1	PG
0161	1	PG
0162	0	<NULL>
0163	0	<NULL>
0164	0	<NULL>
0165	0	<NULL>
0166	1	R
0167	0	<NULL>
0168	0	<NULL>
0169	0	<NULL>
0170	0	<NULL>
0171	0	<NULL>
0172	0	<NULL>
0173	0	<NULL>
0174	1	NR
0175	0	<NULL>
0176	0	<NULL>
0177	1	NR
0178	1	R
0179	1	R
0180	0	<NULL>
0181	0	<NULL>
0182	0	<NULL>
0183	0	<NULL>
0184	1	NR
0185	0	<NULL>
0186	0	<NULL>
0187	0	<NULL>
0188	0	<NULL>
0189	1	NR
0190	0	<NULL>
0191	1	NR
0192	0	<NULL>
0193	1	NR
0194	1	R
0195	1	R
0196	1	R
0197	1	R
0198	1	PG
0199	1	PG
0200	1	R
0201	1	R
0202	1	NR
0203	1	PG13
0204	1	PG
0205	1	R
0206	1	NR
0207	1	NR
0208	1	R
0209	1	R
0210	1	PG
0211	1	NR
0212	1	PG
0213	1	PG13
0214	1	PG13
0215	1	R
0216	1	NR
0217	1	R
0218	1	NR
0219	1	R
0220	1	NR
0221	1	PG
0222	1	R
0223	1	R
0224	1	NR
0225	1	R
0226	1	PG
0227	1	NR
0228	1	PG
0229	1	NR
0230	1	PG13
0231	1	PG13
0232	1	NR
0233	1	NR
0234	1	PG13
0235	1	PG
0236	1	R
0237	1	R
0238	1	R
0239	1	R
0240	1	NR
0241	1	NR
0242	1	NR
0243	1	R
0244	1	NR
0245	1	R
0246	1	PG13
0247	1	G
0248	1	R
0249	1	PG13
0250	1	R
0251	1	R
0252	1	R
0253	1	R
0254	1	NR
0255	1	R
0256	1	PG
0257	1	PG13
0258	1	R
0259	1	PG
0260	1	R
0261	1	R
0262	1	PG
0263	1	PG13
0264	1	R
0265	1	NR
0266	1	PG13
0267	1	R
0268	1	NR
0269	1	R
0270	1	R
0271	1	PG
0272	1	PG13
0273	1	NR
0274	1	NR
0275	1	R
0276	1	PG
0277	1	PG13
0278	1	PG13
0279	1	PG13
0280	1	R
0281	1	PG13
0282	1	NR
0283	1	NR
0284	1	R
0285	1	R
0286	1	PG13
0287	1	R
0288	1	R
0289	1	PG13
0290	1	R
0291	1	PG
0292	1	R
0293	1	NR
0294	1	PG13
0295	1	R
0296	1	NR
0297	1	PG13
0298	1	NR
0299	1	PG
0300	1	NR
0301	1	R
0302	1	PG
0303	1	PG13
0304	1	PG13
0305	1	PG13
0306	0	<NULL>
0307	1	PG13
0308	1	PG13
0309	1	R
0310	1	PG13
0311	1	PG
0312	1	PG
0313	1	NR
0314	1	R
0315	1	PG13
0316	1	PG
0317	1	R
0318	1	R
0319	1	G
0320	1	PG13
0321	1	R
0322	1	R
0323	1	PG13
0324	1	PG13
0325	1	NR
0326	1	R
0327	1	PG13
0328	1	R
0329	1	NR
0330	1	R
0331	1	R
0332	1	R
0333	1	NR
0334	1	R
0335	1	R
0336	1	R
0337	1	R
0338	1	PG13
0339	1	G
0340	1	PG13
0341	1	PG13
0342	1	R
0343	1	NR
0344	1	PG13
0345	1	R
0346	1	PG13
0347	1	R
0348	1	R
0349	1	G
0350	1	PG13
0351	1	PG
0352	1	R
0353	1	G
0354	1	R
0355	1	PG13
0356	1	PG13
0357	1	R
0358	1	PG
0359	1	NR
0360	1	PG13
0361	1	NR
0362	1	R
0363	1	NR
