movie	rottentomatoes	mpaa_rating
2000	2000	2000	6
0000	1	PG
0001	1	R
0002	1	R
0003	1	G
0004	1	Unrated
0005	1	Unrated
0006	1	Unrated
0007	1	Unrated
0008	1	Unrated
0009	1	Unrated
0010	1	PG
0011	1	R
0012	1	PG
0013	1	PG
0014	1	PG
0015	1	R
0016	1	R
0017	1	PG-13
0018	1	G
0019	1	PG-13
0020	1	PG
0021	1	Unrated
0022	1	G
0023	1	Unrated
0024	1	Unrated
0025	1	Unrated
0026	1	PG
0027	1	PG-13
0028	1	PG-13
0029	1	Unrated
0030	1	Unrated
0031	1	PG
0032	1	R
0033	1	PG
0034	1	PG
0035	1	Unrated
0036	1	R
0037	1	PG-13
0038	1	R
0039	1	PG-13
0040	1	Unrated
0041	1	Unrated
0042	1	Unrated
0043	1	PG-13
0044	1	PG
0045	1	Unrated
0046	1	Unrated
0047	1	Unrated
0048	1	R
0049	1	PG-13
0050	1	PG
0051	1	Unrated
0052	1	Unrated
0053	1	R
0054	1	R
0055	1	R
0056	1	PG-13
0057	1	R
0058	1	PG-13
0059	1	PG
0060	1	Unrated
0061	1	Unrated
0062	1	Unrated
0063	1	R
0064	1	R
0065	1	R
0066	1	Unrated
0067	1	Unrated
0068	1	Unrated
0069	1	Unrated
0070	1	G
0071	1	R
0072	1	PG-13
0073	1	Unrated
0074	1	G
0075	1	G
0076	1	PG-13
0077	1	Unrated
0078	1	Unrated
0079	1	R
0080	1	R
0081	1	Unrated
0082	1	R
0083	1	R
0084	1	R
0085	1	PG-13
0086	1	PG-13
0087	1	PG
0088	1	R
0089	1	R
0090	1	R
0091	1	R
0092	1	R
0093	1	R
0094	1	PG-13
0095	1	R
0096	1	R
0097	1	R
0098	1	R
0099	1	PG
0100	1	PG
0101	1	PG
0102	1	R
0103	1	Unrated
0104	1	PG
0105	1	R
0106	1	Unrated
0107	1	Unrated
0108	1	Unrated
0109	1	Unrated
0110	1	PG
0111	1	Unrated
0112	1	Unrated
0113	1	PG-13
0114	1	PG-13
0115	1	PG
0116	1	R
0117	1	Unrated
0118	1	R
0119	1	R
0120	1	R
0121	1	Unrated
0122	1	R
0123	1	Unrated
0124	1	Unrated
0125	1	R
0126	1	PG
0127	1	Unrated
0128	1	PG-13
0129	1	PG-13
0130	1	PG-13
0131	1	PG-13
0132	1	G
0133	1	R
0134	1	Unrated
0135	1	R
0136	1	PG-13
0137	1	Unrated
0138	1	Unrated
0139	1	Unrated
0140	1	R
0141	1	PG-13
0142	1	PG
0143	1	R
0144	1	PG-13
0145	1	Unrated
0146	1	PG-13
0147	1	R
0148	1	R
0149	1	G
0150	1	G
0151	1	PG-13
0152	1	R
0153	1	R
0154	1	Unrated
0155	1	PG-13
0156	1	R
0157	1	R
0158	1	G
0159	1	R
0160	1	Unrated
0161	1	Unrated
0162	1	Unrated
0163	1	Unrated
0164	1	G
0165	1	PG
0166	1	Unrated
0167	1	G
0168	1	Unrated
0169	1	Unrated
0170	1	Unrated
0171	1	Unrated
0172	1	R
0173	1	R
0174	1	Unrated
0175	1	PG-13
0176	1	R
0177	1	Unrated
0178	1	R
0179	1	Unrated
0180	1	R
0181	1	PG-13
0182	1	PG-13
0183	1	R
0184	1	Unrated
0185	1	R
0186	1	Unrated
0187	1	PG
0188	1	R
0189	1	R
0190	1	PG
0191	1	PG-13
0192	1	PG-13
0193	1	PG-13
0194	1	Unrated
0195	1	Unrated
0196	1	PG
0197	1	Unrated
0198	1	R
0199	1	R
0200	1	R
0201	1	R
0202	1	PG-13
0203	1	R
0204	1	R
0205	1	Unrated
0206	1	PG
0207	1	Unrated
0208	1	R
0209	1	R
0210	1	G
0211	1	Unrated
0212	1	Unrated
0213	1	Unrated
0214	1	R
0215	1	Unrated
0216	1	Unrated
0217	1	R
0218	1	R
0219	1	Unrated
0220	1	R
0221	1	R
0222	1	PG-13
0223	1	R
0224	1	R
0225	1	Unrated
0226	1	R
0227	1	PG
0228	1	PG-13
0229	1	Unrated
0230	1	Unrated
0231	1	Unrated
0232	1	G
0233	1	R
0234	1	R
0235	1	R
0236	1	R
0237	1	Unrated
0238	1	PG
0239	1	R
0240	1	Unrated
0241	1	G
0242	1	Unrated
0243	1	R
0244	1	Unrated
0245	1	PG
0246	1	R
0247	1	PG
0248	1	PG
0249	1	PG-13
0250	1	Unrated
0251	1	Unrated
0252	1	Unrated
0253	1	PG-13
0254	1	PG
0255	1	R
0256	1	Unrated
0257	1	R
0258	1	R
0259	1	R
0260	1	R
0261	1	R
0262	1	R
0263	1	R
0264	1	PG-13
0265	1	PG-13
0266	1	G
0267	1	PG
0268	1	R
0269	1	PG-13
0270	1	R
0271	1	G
0272	1	Unrated
0273	1	R
0274	1	Unrated
0275	1	Unrated
0276	1	R
0277	1	R
0278	1	PG
0279	1	Unrated
0280	1	Unrated
0281	1	Unrated
0282	1	Unrated
0283	1	R
0284	1	Unrated
0285	1	PG-13
0286	1	Unrated
0287	1	Unrated
0288	1	PG-13
0289	1	Unrated
0290	1	R
0291	1	R
0292	1	PG-13
0293	1	R
0294	1	G
0295	1	Unrated
0296	1	R
0297	1	PG-13
0298	1	R
0299	1	PG-13
0300	1	R
0301	1	R
0302	1	Unrated
0303	1	Unrated
0304	1	R
0305	1	Unrated
0306	1	R
0307	1	PG-13
0308	1	R
0309	1	PG
0310	1	Unrated
0311	1	Unrated
0312	1	Unrated
0313	1	R
0314	1	Unrated
0315	1	R
0316	1	PG-13
0317	1	R
0318	1	R
0319	1	PG-13
0320	1	R
0321	1	PG
0322	1	R
0323	1	Unrated
0324	1	R
0325	1	Unrated
0326	1	Unrated
0327	1	Unrated
0328	1	PG
0329	1	Unrated
0330	1	PG-13
0331	1	R
0332	1	Unrated
0333	1	Unrated
0334	1	Unrated
0335	1	PG
0336	1	R
0337	1	Unrated
0338	1	Unrated
0339	1	Unrated
0340	1	R
0341	1	Unrated
0342	1	R
0343	1	Unrated
0344	1	Unrated
0345	1	PG
0346	1	PG-13
0347	1	PG-13
0348	1	R
0349	1	R
0350	1	Unrated
0351	1	Unrated
0352	1	Unrated
0353	1	Unrated
0354	1	G
0355	1	PG
0356	1	Unrated
0357	1	Unrated
0358	1	Unrated
0359	1	R
0360	1	PG-13
0361	1	Unrated
0362	1	Unrated
0363	1	Unrated
0364	1	Unrated
0365	1	Unrated
0366	1	Unrated
0367	1	PG-13
0368	1	Unrated
0369	1	R
0370	1	R
0371	1	PG
0372	1	R
0373	1	PG-13
0374	1	PG-13
0375	1	PG-13
0376	1	PG
0377	1	R
0378	1	R
0379	1	R
0380	1	PG-13
0381	1	R
0382	1	Unrated
0383	1	R
0384	1	R
0385	1	PG-13
0386	1	R
0387	1	R
0388	1	R
0389	1	PG
0390	1	Unrated
0391	1	R
0392	1	PG
0393	1	R
0394	1	Unrated
0395	1	Unrated
