movie	rottentomatoes	title
2000	2000	4000	3990
0000	2	Coal Miner's Daughter	Coal Miner's Daughter (1980)
0001	2	The Unbelievable Truth	The Unbelievable Truth (1990)
0002	2	The Navigators	The Navigators (2001)
0003	2	A Christmas Carol	A Christmas Carol (1938)
0004	2	Nightmare Alley	Nightmare Alley (1947)
0005	2	A Letter to Three Wives	A Letter to Three Wives (1949)
0006	2	Of Mice and Men	Of Mice and Men (1939)
0007	2	Smiles Of A Summer Night	Smiles Of A Summer Night (1955)
0008	2	Mclibel	Mclibel (2005)
0009	2	Wild Reeds (Les Roseaux Sauvages)	Wild Reeds (Les Roseaux Sauvages) (1994)
0010	2	Meet the Deedles	Meet the Deedles (1998)
0011	2	Just the Ticket	Just the Ticket (1999)
0012	2	Suburban Commando	Suburban Commando (1991)
0013	2	Beethoven's 2nd	Beethoven's 2nd (1993)
0014	2	The Fiendish Plot of Dr. Fu Manchu	The Fiendish Plot of Dr. Fu Manchu (1980)
0015	2	Knock Off	Knock Off (1998)
0016	2	Turn It Up	Turn It Up (2000)
0017	2	Out Cold	Out Cold (2001)
0018	2	Doogal	Doogal (2004)
0019	2	Man of the House	Man of the House (2005)
0020	2	Furry Vengeance	Furry Vengeance (2010)
0021	2	Mister Roberts	Mister Roberts (1955)
0022	2	Late Spring	Late Spring (1949)
0023	2	Holiday	Holiday (1938)
0024	2	Profils Paysans: la Vie Moderne	Profils Paysans: la Vie Moderne (2008)
0025	2	Boy	Boy (2010)
0026	2	Standing Ovation	Standing Ovation (2010)
0027	2	Daltry Calhoun	Daltry Calhoun (2005)
0028	2	'Til There Was You	'Til There Was You (1997)
0029	2	Verdict on Auschwitz: The Frankfurt Auschwitz Trial 1963-1965	Verdict on Auschwitz: The Frankfurt Auschwitz Trial 1963-1965 (2007)
0030	2	Pickpocket	Pickpocket (1959)
0031	2	Bratz: The Movie	Bratz: The Movie (2007)
0032	2	Captivity	Captivity (2007)
0033	2	Cheaper by the Dozen 2	Cheaper by the Dozen 2 (2005)
0034	2	A Shot in the Dark	A Shot in the Dark (1964)
0035	2	Holiday Inn	Holiday Inn (1942)
0036	2	Chaos	Chaos (2005)
0037	2	The Accidental Husband	The Accidental Husband (2007)
0038	2	Body of Evidence	Body of Evidence (1993)
0039	2	The Adventures of Pluto Nash	The Adventures of Pluto Nash (2002)
0040	2	(12:08 East of Bucharest)	A fost sau n-a fost?, (12:08 East of Bucharest) (2006)
0041	2	Sweetgrass	Sweetgrass (2009)
0042	2	Best Worst Movie	Best Worst Movie (2009)
0043	2	Date Movie	Date Movie (2006)
0044	2	The Last Airbender	The Last Airbender (2010)
0045	2	Vampyr - Der Traum des Allan Grey (Not Against the Flesh) (Adventures of David Gray) (Castle of Doom	Vampyr - Der Traum des Allan Grey (Not Against the Flesh) (Adventures of David Gray) (Castle of Doom (1931)
0046	2	Adam's Rib	Adam's Rib (1949)
0047	2	Touchez Pas au Grisbi (Hands Off the Loot)	Touchez Pas au Grisbi (Hands Off the Loot) (1954)
0048	2	College	College (2008)
0049	2	The Hottie and the Nottie	The Hottie and the Nottie (2008)
0050	2	The Big Heat	The Big Heat (1953)
0051	2	The Thin Man	The Thin Man (1934)
0052	2	Kind Hearts and Coronets	Kind Hearts and Coronets (1949)
0053	2	Drugstore Cowboy	Drugstore Cowboy (1989)
0054	2	No Way Out	No Way Out (1987)
0055	2	Bloodrayne	Bloodrayne (2006)
0056	2	Darkness	Darkness (2004)
0057	2	House of the Dead	House of the Dead (2003)
0058	2	Code Name: The Cleaner	Code Name: The Cleaner (2007)
0059	2	McHale's Navy	McHale's Navy (1997)
0060	2	Hukkle	Hukkle (2002)
0061	2	I Am Cuba (Soy Cuba)	I Am Cuba (Soy Cuba) (1964)
0062	2	The Order of Myths	The Order of Myths (2007)
0063	2	Fanny och Alexander (Fanny and Alexander)	Fanny och Alexander (Fanny and Alexander) (1982)
0064	2	Before Sunrise	Before Sunrise (1995)
0065	2	Bob Roberts	Bob Roberts (1992)
0066	2	Das Cabinet des Dr. Caligari. (The Cabinet of Dr. Caligari)	Das Cabinet des Dr. Caligari. (The Cabinet of Dr. Caligari) (1919)
0067	2	Gentlemen Prefer Blondes	Gentlemen Prefer Blondes (1953)
0068	2	Marwencol	Marwencol (2010)
0069	2	End of the Century - The Story of the Ramones	End of the Century - The Story of the Ramones (2003)
0070	2	The Endurance	The Endurance (2001)
0071	2	Blood Simple	Blood Simple (1984)
0072	2	Echelon Conspiracy	Echelon Conspiracy (2009)
0073	2	Pray the Devil Back to Hell	Pray the Devil Back to Hell (2008)
0074	2	City Lights	City Lights (1931)
0075	2	Mary Poppins	Mary Poppins (1964)
0076	2	Say Anything...	Say Anything... (1989)
0077	2	The Treasure of the Sierra Madre	The Treasure of the Sierra Madre (1948)
0078	2	The Maltese Falcon	The Maltese Falcon (1941)
0079	2	Il conformista (The Conformist)	Il conformista (The Conformist) (1970)
0080	2	The Terminator	The Terminator (1984)
0081	2	Repulsion	Repulsion (1997)
0082	2	Chinatown	Chinatown (1974)
0083	2	Dude	Surfer, Dude (2008)
0084	2	Homecoming	Homecoming (2009)
0085	2	Look Who's Talking Now	Look Who's Talking Now (1993)
0086	2	Redline	Redline (2007)
0087	2	Nutcracker in 3D	Nutcracker in 3D (2010)
0088	2	Strange Wilderness	Strange Wilderness (2008)
0089	2	Ballistic - Ecks vs. Sever	Ballistic - Ecks vs. Sever (2002)
0090	2	V.I. Warshawski	V.I. Warshawski (1991)
0091	2	Circuit	Circuit (2001)
0092	2	Sing Now Or Forever Hold Your Peace	Sing Now Or Forever Hold Your Peace (2006)
0093	2	High Heels and Low Lifes	High Heels and Low Lifes (2001)
0094	2	Spawn	Spawn (1997)
0095	2	Before Sunset	Before Sunset (2004)
0096	2	No Country for Old Men	No Country for Old Men (2007)
0097	2	The Hanging Garden	The Hanging Garden (1997)
0098	2	Light Sleeper	Light Sleeper (1992)
0099	2	Frogs	Frogs (1972)
0100	2	My Girl 2	My Girl 2 (1994)
0101	2	The Stupids	The Stupids (1996)
0102	2	Prince of the City	Prince of the City (1981)
0103	2	It Came from Kuchar	It Came from Kuchar (2008)
0104	2	Victor Victoria	Victor Victoria (1982)
0105	2	Day Zero	Day Zero (2007)
0106	2	20th Century (Zbogum na dvaesetiot vek)	Goodbye, 20th Century (Zbogum na dvaesetiot vek) (1999)
0107	2	Hobson's Choice	Hobson's Choice (1954)
0108	2	El �ngel Exterminador (The Exterminating Angel)	El �ngel Exterminador (The Exterminating Angel) (1962)
