movie	yahoo	genre
2000	1924	1924	691
0000	1	Action/Adventure, Drama and Thriller
0001	1	Comedy, Drama, Romance and Adaptation
0002	1	Action/Adventure and Comedy
0003	1	Comedy, Drama and Teen
0004	1	Action/Adventure, Comedy, Kids/Family, Romance and Animation
0005	1	Drama and Romance
0006	1	Comedy, Drama, Romance and Crime/Gangster
0007	1	Action/Adventure and Comedy
0008	1	Comedy, Drama, Romance and Teen
0009	1	Comedy
0010	1	Comedy, Drama and Adaptation
0011	1	Action/Adventure, Comedy and Thriller
0012	1	Drama and Adaptation
0013	1	Action/Adventure, Science Fiction/Fantasy, Suspense/Horror and Thriller
0014	1	Comedy, Musical/Performing Arts and Teen
0015	1	Comedy and Romance
0016	1	Comedy and Kids/Family
0017	1	Comedy, Adaptation and Teen
0018	1	Action/Adventure, Comedy, Kids/Family and Adaptation
0019	1	Comedy, Romance and Remake
0020	1	Comedy, Adaptation and Politics/Religion
0021	1	Art/Foreign, Comedy, Drama and Adaptation
0022	1	Comedy, Musical/Performing Arts and Science Fiction/Fantasy
0023	1	Comedy and Romance
0024	1	Comedy, Drama and Adaptation
0025	1	Comedy and Drama
0026	1	Suspense/Horror, Thriller, Sequel and Teen
0027	1	Science Fiction/Fantasy, Suspense/Horror, Thriller and Adaptation
0028	1	Action/Adventure, Drama, Thriller and Crime/Gangster
0029	1	Drama, Thriller and Adaptation
0030	0	<NULL>
0031	1	Drama
0032	1	Drama and Thriller
0033	1	Comedy and Romance
0034	1	Comedy and Drama
0035	1	Action/Adventure, Comedy, Science Fiction/Fantasy and Adaptation
0036	1	Comedy and Romance
0037	1	Drama and Adaptation
0038	1	Comedy, Drama and Science Fiction/Fantasy
0039	1	Action/Adventure, Comedy, Drama and Romance
0040	1	Action/Adventure, Comedy, Drama, Romance and Adaptation
0041	1	Action/Adventure, Kids/Family, Romance, Animation and Adaptation
0042	1	Art/Foreign and Drama
0043	1	Action/Adventure, Drama and War
0044	1	Drama and Thriller
0045	1	Comedy and Musical/Performing Arts
0046	1	Drama and Romance
