movie	yahoo	mpaa_rating
2000	1928	1928	972
0000	1	R for strong perverse sexuality and violence, and for strong language.
0001	1	PG 13 for some sexual content.
0002	1	PG-13 for crude humor and nudity.
0003	1	R for strong sexuality, language, violence and drug content.
0004	1	PG for mild language and menacing action.
0005	1	Not Rated
0006	1	R for strong language, drug use and some violence.
0007	1	PG-13 for action violence, continuous language and some crude humor.
0008	1	R for strong sexual content including graphic sex-related dialogue, language, violence.
0009	1	PG-13 for sex-related material and language.
0010	1	R for sexuality and some language.
0011	1	R for violence and language.
0012	1	PG for mild language and thematic elements.
0013	1	R for graphic shark attacks, and for language.
0014	1	R for strong language, drug use and sex-related content.
0015	1	R for sexuality and language.
0016	1	G
0017	1	PG-13 for teen alcohol and drug use, and for language.
0018	1	PG for mild comic action violence, and for brief language and innuendo.
0019	1	PG-13 for sex-related situations, partial nudity and crude language.
0020	1	R
0021	1	R for strong sexuality, nudity and language.
0022	1	Not Rated
0023	1	PG 13 for sensuality, language and a scene of drug use.
0024	1	R for language and sexual content.
0025	1	NC-17
0026	1	R for intense terror violence and gore, strong language and some drug use.
0027	1	R for violence/ terror and language.
0028	1	R for strong sensuality and language, and for some violence.
0029	1	R for some intense violent behavior.
0030	1	R for strong sexual content and language.
0031	1	Not Rated
0032	1	R for language.
0033	1	R for language and sexual content.
0034	1	R for sex-related images, language and drug content.
0035	1	PG-13 for comic action violence and crude humor.
0036	1	PG 13 for sexual content and brief strong language.
0037	1	R for language.
0038	1	PG-13 for some thematic elements emphasizing sexuality, and for language.
0039	1	R for some strong violence, sexuality and language.
0040	1	R for language and a scene of sexuality.
0041	1	G
0042	1	Not Rated
0043	1	R for intense prolonged realistically graphic sequences of war violence, and for language.
0044	1	R for violence, sexuality and brief drug use.
0045	1	PG for some vulgarity, brief nudity and language.
0046	1	Not Rated
0047	1	R for strong graphic violence and sexuality, pervasive strong language and drug use.
0048	1	PG for adventure violence.
0049	1	PG-13 for momentary language and some violence.
0050	1	R for bloody battles and carnage.
0051	1	R for strong language.
0052	1	G
0053	1	PG-13 for language.
0054	1	R for language, and violence.
0055	1	R for violence/gore, strong language, drug use and some nudity.
0056	1	R for some sexuality, a scene of violence, and for brief language.
0057	1	R for some language.
0058	1	G
0059	1	R for strong sexual images, pervasive nudity, violence and language.
0060	1	Not Rated
0061	1	R for some sexuality.
0062	1	R for strong violence, and for language.
0063	1	R for strong language and sexual content.
0064	1	G for language.
0065	1	R for language.
0066	1	PG 13 for some scenes of violence and brief language.
0067	1	R for strong language throughout, sexuality and nudity, and some substance abuse.
0068	1	PG for one scene of mild violence, mild language and thematic elements.
0069	1	PG-13 for sex related humor, language and some drug content.
0070	1	PG 13 for action violence, sex references and innuendo.
0071	1	R for strong sexual content.
0072	1	PG for some language.
0073	1	PG-13
0074	1	R for language and some drug content.
0075	1	G
0076	1	R for sexual content and some language.
0077	1	PG-13
0078	1	G
0079	1	R for pervasive strong sexual content, nudity, and language.
0080	1	R
0081	1	R for violence including an intense brutal rape scene, sexuality, language and drug use.
0082	1	PG
0083	1	R
0084	1	PG
0085	1	PG for for mild language and thematic elements.
0086	1	R for strong violence/gore, teen sexuality, language and some drug content.
0087	1	PG-13 for crude sexual humor and language.
0088	1	R for strong violence, sexuality, language and drug content.
0089	1	PG 13 for crude humor and language.
0090	1	R for intense violence and gore, a strong sex scene and language.
0091	1	R for sexuality and language.
0092	1	PG for an opening accident scene and some mild language.
0093	1	PG
0094	1	PG
0095	1	R for strong violence and language.
0096	1	R for strong language, including some sex-related dialogue.
0097	1	Not Rated
0098	1	R
0099	1	R for strong sexuality, pervasive drug use and language.
0100	1	PG-13 for some violence, sensuality and brief strong language.
0101	1	R for strong horror violence and language.
0102	1	None
0103	1	R for language.
