movie	yahoo	title
2000	2000	2000	1991
0000	1	8mm (1999)
0001	1	A William Shakespeare s A Midsummer Night s Dream (1999)
0002	1	Almost Heroes (1998)
0003	1	American Beauty (1999)
0004	1	Antz (1998)
0005	1	Autumn Sun (1998)
0006	1	Black Cat, White Cat (1999)
0007	1	Blue Streak (1999)
0008	1	Body Shots (1999)
0009	1	Bowfinger (1999)
0010	1	Breakfast of Champions (1999)
0011	1	Chill Factor (1999)
0012	1	Dancing At Lughnasa (1998)
0013	1	Deep Blue Sea (1999)
0014	1	Detroit Rock City (1999)
0015	1	Dog Park (1999)
0016	1	Doug's 1st Movie (1999)
0017	1	Drive Me Crazy (1999)
0018	1	Dudley Do-Right (1999)
0019	1	Edtv (1999)
0020	1	Election (1999)
0021	1	Esmeralda Comes By Night (1998)
0022	1	Existo (1999)
0023	1	Forces of Nature (1999)
0024	1	Get Real (1999)
0025	1	Happiness (1998)
0026	1	I Still Know What You Did Last Summer (1998)
0027	1	In Dreams (1999)
0028	1	In Too Deep (1999)
0029	1	Instinct (1999)
0030	1	Ringmaster (1998)
0031	1	Late August, Early September (1999)
0032	1	Limbo (1999)
0033	1	Love Stinks (1999)
0034	1	Mumford (1999)
0035	1	Mystery Men (1999)
0036	1	Notting Hill (1999)
0037	1	One True Thing (1998)
0038	1	Pleasantville (1998)
0039	1	Plunkett & Macleane (1999)
0040	1	Pushing Tin (1999)
0041	1	Quest for Camelot (1998)
0042	1	Rosie (1999)
0043	1	Saving Private Ryan (1998)
0044	1	Shattered Image (1998)
0045	1	Spice World (1998)
0046	1	Steam (1998)
0047	1	Summer of Sam (1999)
0048	1	Tarzan and the Lost City (1998)
0049	1	That s The Way I Like It (1999)
0050	1	The 13th Warrior (1999)
0051	1	The 24 Hour Woman (1999)
0052	1	The Adventures of Elmo in Grouchland (1999)
0053	1	The Bachelor (1999)
0054	1	The Butcher Boy (1998)
0055	1	The Faculty (1998)
0056	1	The Hi-Lo Country (1998)
0057	1	The Impostors (1998)
0058	1	The King and I (1999)
0059	1	The Loss of Sexual Innocence (1999)
0060	1	The Ogre (1999)
0061	1	The Red Violin (1999)
0062	1	The Replacement Killers (1998)
0063	1	Trick (1999)
0064	1	1776 (1972)
0065	1	Twin Falls, Idaho (1999)
0066	1	U.S. Marshals (1998)
0067	1	Varsity Blues (1999)
0068	1	A Dog of Flanders (1999)
0069	1	A Night At the Roxbury (1998)
0070	1	Wild Wild West (1999)
0071	1	Xiu Xiu: the Sent-Down Girl (1999)
0072	1	You've Got Mail (1998)
0073	1	Airheads (1994)
0074	1	American Movie (1999)
0075	1	Anastasia (1997)
0076	1	Angela s Ashes (1999)
0077	1	Austin Powers: International Man of Mystery (1997)
0078	1	Babe (1995)
0079	1	Better Than Chocolate (1999)
0080	1	Big Night (1996)
0081	1	Boys Don t Cry (1999)
0082	1	Buddy (1997)
0083	1	Buffalo '66 (1998)
0084	1	Casablanca (1942)
0085	1	Casper (1995)
0086	1	Cherry Falls (2000)
0087	1	Dirty Work (1998)
0088	1	Disturbing Behavior (1998)
0089	1	Dr. Dolittle (1998)
0090	1	End of Days (1999)
