nbaplayer	espn	height
434	434	434	20
0000	1	6-5
0001	1	6-2
0002	1	6-6
0003	1	6-9
0004	1	6-11
0005	1	6-11
0006	1	6-7
0007	1	6-11
0008	1	7-1
0009	1	6-10
0010	1	6-7
0011	1	5-9
0012	1	6-1
0013	1	6-5
0014	1	6-3
0015	1	6-2
0016	1	6-10
0017	1	6-6
0018	1	6-3
0019	1	6-9
0020	1	6-7
0021	1	7-0
0022	1	6-5
0023	1	6-11
0024	1	6-9
0025	1	7-0
0026	1	6-6
0027	1	6-10
0028	1	6-3
0029	1	6-6
0030	1	6-5
0031	1	6-8
0032	1	7-0
0033	1	6-2
0034	1	6-1
0035	1	6-7
0036	1	6-10
0037	1	6-5
0038	1	7-1
0039	1	6-11
0040	1	6-4
0041	1	6-10
0042	1	6-10
0043	1	6-6
0044	1	6-9
0045	1	6-11
0046	1	6-10
0047	1	6-9
0048	1	7-1
0049	1	6-4
0050	1	6-6
0051	1	6-8
0052	1	6-4
0053	1	6-7
0054	1	6-9
0055	1	6-10
0056	1	6-7
0057	1	6-1
0058	1	6-8
0059	1	7-1
0060	1	6-3
0061	1	7-0
0062	1	6-3
0063	1	6-3
0064	1	6-10
0065	1	6-7
0066	1	6-8
0067	1	6-8
0068	1	6-9
0069	1	6-8
0070	1	6-10
0071	1	6-6
0072	1	6-8
0073	1	6-7
0074	1	6-9
0075	1	6-3
0076	1	7-0
0077	1	6-7
0078	1	6-3
0079	1	6-3
0080	1	6-11
0081	1	6-9
0082	1	6-3
0083	1	6-10
0084	1	6-10
0085	1	6-6
0086	1	6-10
0087	1	6-9
0088	1	6-9
0089	1	6-1
0090	1	6-7
0091	1	6-11
0092	1	6-9
0093	1	6-3
0094	1	6-4
0095	1	6-7
0096	1	6-3
0097	1	6-10
0098	1	6-11
0099	1	7-0
0100	1	6-7
0101	1	6-4
0102	1	6-7
0103	1	6-7
0104	1	6-3
0105	1	6-4
0106	1	6-6
0107	1	7-0
0108	1	6-9
0109	1	6-9
0110	1	6-1
0111	1	7-0
0112	1	6-10
0113	1	6-10
0114	1	6-7
0115	1	6-8
0116	1	7-0
0117	1	6-8
0118	1	6-10
0119	1	6-3
0120	1	6-7
0121	1	6-11
0122	1	6-8
0123	1	6-9
0124	1	7-0
0125	1	6-3
0126	1	6-6
0127	1	6-11
0128	1	6-10
0129	1	6-9
0130	1	6-9
0131	1	6-11
0132	1	6-11
0133	1	6-6
0134	1	6-7
0135	1	6-11
0136	1	6-3
0137	1	6-9
0138	1	5-11
0139	1	6-9
0140	1	6-11
0141	1	6-3
0142	1	7-0
0143	1	7-0
0144	1	6-5
0145	1	6-9
0146	1	6-7
0147	1	6-9
0148	1	6-9
0149	1	6-9
0150	1	6-7
0151	1	5-11
0152	1	6-11
0153	1	6-3
0154	1	6-9
0155	1	6-9
0156	1	6-2
0157	1	6-5
0158	1	6-2
0159	1	6-7
0160	1	6-5
0161	1	6-9
0162	1	7-0
0163	1	6-9
0164	1	6-8
0165	1	6-6
0166	1	6-8
0167	1	6-9
0168	1	6-3
0169	1	6-11
0170	1	6-9
0171	1	6-1
0172	1	6-0
0173	1	6-11
0174	1	6-3
0175	1	6-7
0176	1	6-10
0177	1	6-7
0178	1	6-8
0179	1	6-11
0180	1	6-9
0181	1	6-5
0182	1	6-8
0183	1	6-11
0184	1	6-9
0185	1	6-5
0186	1	6-10
0187	1	6-0
0188	1	6-9
0189	1	6-0
0190	1	6-11
0191	1	6-8
0192	1	6-8
0193	1	6-9
0194	1	7-2
0195	1	6-6
0196	1	6-10
0197	1	6-10
0198	1	6-8
0199	1	6-2
0200	1	6-6
0201	1	6-5
0202	1	7-0
0203	1	5-5
0204	1	6-7
0205	1	6-6
0206	1	6-3
0207	1	6-7
0208	1	6-10
0209	1	6-10
0210	1	6-1
0211	1	6-6
0212	1	6-8
0213	1	6-6
0214	1	6-6
0215	1	6-11
0216	1	6-9
0217	1	7-0
0218	1	6-0
0219	1	6-0
0220	1	6-7
0221	1	6-8
0222	1	7-1
0223	1	7-0
0224	1	6-5
0225	1	6-4
0226	1	6-11
0227	1	6-7
0228	1	6-10
0229	1	7-0
0230	1	6-5
0231	1	6-2
0232	1	6-8
0233	1	6-0
0234	1	6-7
0235	1	6-6
0236	1	6-10
0237	1	6-11
0238	1	6-5
0239	1	6-0
0240	1	6-7
0241	1	7-0
0242	1	7-6
0243	1	6-9
0244	1	6-9
0245	1	6-0
0246	1	6-4
0247	1	6-4
0248	1	6-9
0249	1	6-8
0250	1	6-1
0251	1	7-1
0252	1	6-8
0253	1	7-2
0254	1	6-6
0255	1	6-4
0256	1	6-9
0257	1	7-3
0258	1	6-6
0259	1	6-6
0260	1	6-11
0261	1	6-8
0262	1	6-2
0263	1	6-5
0264	1	7-0
0265	1	6-3
0266	1	6-3
0267	1	7-0
0268	1	6-9
0269	1	6-10
0270	1	6-0
0271	1	6-6
0272	1	7-0
0273	1	6-4
0274	1	6-9
0275	1	6-6
0276	1	6-7
0277	1	6-10
0278	1	6-11
0279	1	6-6
0280	1	6-2
0281	1	6-7
0282	1	6-9
0283	1	6-4
0284	1	6-2
0285	1	6-2
0286	1	6-11
0287	1	6-5
0288	1	6-2
0289	1	7-0
0290	1	6-5
0291	1	6-4
0292	1	6-5
0293	1	6-10
0294	1	6-7
0295	1	6-11
0296	1	6-9
0297	1	6-9
0298	1	6-7
0299	1	6-2
0300	1	6-10
0301	1	6-6
0302	1	6-9
0303	1	6-0
0304	1	6-8
0305	1	6-11
0306	1	6-6
0307	1	5-11
0308	1	6-8
0309	1	7-0
0310	1	6-4
0311	1	6-8
0312	1	6-7
0313	1	6-9
0314	1	6-10
0315	1	6-8
0316	1	6-10
0317	1	6-7
0318	1	6-9
0319	1	6-2
0320	1	6-11
0321	1	6-2
0322	1	6-11
0323	1	6-8
0324	1	6-1
0325	1	6-9
0326	1	7-3
0327	1	6-8
0328	1	6-8
0329	1	6-11
0330	1	6-8
0331	1	6-11
0332	1	6-4
0333	1	6-10
0334	1	6-10
0335	1	6-8
0336	1	6-6
0337	1	6-1
0338	1	6-11
0339	1	6-11
0340	1	6-10
0341	1	6-0
0342	1	6-10
0343	1	6-6
0344	1	6-4
0345	1	6-6
0346	1	6-1
0347	1	6-4
0348	1	6-11
0349	1	6-11
0350	1	6-8
0351	1	6-6
0352	1	6-4
0353	1	6-7
0354	1	7-0
0355	1	6-7
0356	1	7-0
0357	1	7-0
0358	1	6-9
0359	1	6-8
0360	1	6-4
0361	1	6-7
0362	1	6-5
0363	1	6-10
0364	1	6-8
0365	1	6-8
0366	1	6-3
0367	1	6-2
0368	1	6-10
0369	1	6-7
0370	1	6-9
0371	1	6-11
0372	1	5-11
0373	1	6-9
0374	1	6-6
0375	1	6-9
0376	1	6-10
0377	1	6-9
0378	1	6-4
0379	1	6-0
0380	1	6-1
0381	1	6-6
0382	1	6-7
0383	1	7-0
0384	1	6-10
0385	1	7-0
0386	1	6-11
0387	1	6-2
0388	1	6-0
0389	1	6-9
0390	1	6-7
0391	1	6-11
0392	1	6-10
0393	1	6-5
0394	1	6-9
0395	1	6-9
0396	1	6-5
0397	1	6-10
0398	1	6-4
0399	1	7-0
0400	1	6-3
0401	1	7-0
0402	1	6-7
0403	1	6-7
0404	1	6-3
0405	1	6-9
0406	1	6-11
0407	1	6-9
0408	1	6-8
0409	1	6-11
0410	1	6-8
0411	1	6-6
0412	1	6-3
0413	1	6-10
0414	1	6-5
0415	1	6-2
0416	1	6-0
0417	1	7-0
0418	1	7-1
0419	1	6-6
0420	1	6-5
0421	1	6-5
0422	1	7-0
0423	1	6-9
0424	1	7-1
0425	1	6-8
0426	1	6-10
0427	1	6-9
0428	1	6-6
0429	1	6-8
0430	1	6-11
0431	1	6-2
0432	1	6-1
0433	1	6-3
