nbaplayer	espn	name
434	434	434	434
0000	1	Ray Allen&nbsp;&nbsp;#20&nbsp;&nbsp;SG
0001	1	Avery Bradley&nbsp;&nbsp;#0&nbsp;&nbsp;SG
0002	1	Marquis Daniels&nbsp;&nbsp;#8&nbsp;&nbsp;SG
0003	1	Glen Davis&nbsp;&nbsp;#11&nbsp;&nbsp;PF
0004	1	Semih Erden&nbsp;&nbsp;#86&nbsp;&nbsp;C
0005	1	Kevin Garnett&nbsp;&nbsp;#5&nbsp;&nbsp;PF
0006	1	Luke Harangody&nbsp;&nbsp;#55&nbsp;&nbsp;F
0007	1	Jermaine O'Neal&nbsp;&nbsp;#7&nbsp;&nbsp;C
0008	1	Shaquille O'Neal&nbsp;&nbsp;#36&nbsp;&nbsp;C
0009	1	Kendrick Perkins&nbsp;&nbsp;#43&nbsp;&nbsp;C
0010	1	Paul Pierce&nbsp;&nbsp;#34&nbsp;&nbsp;SF
0011	1	Nate Robinson&nbsp;&nbsp;#4&nbsp;&nbsp;PG
0012	1	Rajon Rondo&nbsp;&nbsp;#9&nbsp;&nbsp;PG
0013	1	Von Wafer&nbsp;&nbsp;#12&nbsp;&nbsp;SG
0014	1	Delonte West&nbsp;&nbsp;#13&nbsp;&nbsp;SG
0015	1	Jordan Farmar&nbsp;&nbsp;#2&nbsp;&nbsp;PG
0016	1	Derrick Favors&nbsp;&nbsp;#14&nbsp;&nbsp;PF
0017	1	Stephen Graham&nbsp;&nbsp;#26&nbsp;&nbsp;SF
0018	1	Devin Harris&nbsp;&nbsp;#34&nbsp;&nbsp;PG
0019	1	Kris Humphries&nbsp;&nbsp;#43&nbsp;&nbsp;PF
0020	1	Damion James&nbsp;&nbsp;#10&nbsp;&nbsp;SF
0021	1	Brook Lopez&nbsp;&nbsp;#11&nbsp;&nbsp;C
0022	1	Anthony Morrow&nbsp;&nbsp;#22&nbsp;&nbsp;SG
0023	1	Troy Murphy&nbsp;&nbsp;#7&nbsp;&nbsp;PF
0024	1	Travis Outlaw&nbsp;&nbsp;#21&nbsp;&nbsp;SF
0025	1	Johan Petro&nbsp;&nbsp;#27&nbsp;&nbsp;C
0026	1	Quinton Ross&nbsp;&nbsp;#13&nbsp;&nbsp;SF
0027	1	Joe Smith&nbsp;&nbsp;#8&nbsp;&nbsp;PF
0028	1	Ben Uzoh&nbsp;&nbsp;#18&nbsp;&nbsp;G
0029	1	Terrence Williams&nbsp;&nbsp;#1&nbsp;&nbsp;SF
0030	1	Kelenna Azubuike&nbsp;&nbsp;#7&nbsp;&nbsp;SF
0031	1	Wilson Chandler&nbsp;&nbsp;#21&nbsp;&nbsp;SF
0032	1	Eddy Curry&nbsp;&nbsp;#34&nbsp;&nbsp;C
0033	1	Toney Douglas&nbsp;&nbsp;#23&nbsp;&nbsp;G
0034	1	Raymond Felton&nbsp;&nbsp;#2&nbsp;&nbsp;PG
0035	1	Landry Fields&nbsp;&nbsp;#6&nbsp;&nbsp;G
0036	1	Danilo Gallinari&nbsp;&nbsp;#8&nbsp;&nbsp;F
0037	1	Roger Mason&nbsp;&nbsp;#18&nbsp;&nbsp;SG
0038	1	Timofey Mozgov&nbsp;&nbsp;#25&nbsp;&nbsp;C
0039	1	Anthony Randolph&nbsp;&nbsp;#4&nbsp;&nbsp;PF
0040	1	Andy Rautins&nbsp;&nbsp;#11&nbsp;&nbsp;G
0041	1	Amare Stoudemire&nbsp;&nbsp;#1&nbsp;&nbsp;PF
0042	1	Ronny Turiaf&nbsp;&nbsp;#14&nbsp;&nbsp;C
0043	1	Bill Walker&nbsp;&nbsp;#5&nbsp;&nbsp;SG
0044	1	Shawne Williams&nbsp;&nbsp;#3&nbsp;&nbsp;SF
0045	1	Tony Battie&nbsp;&nbsp;#4&nbsp;&nbsp;C
0046	1	Craig Brackins&nbsp;&nbsp;#33&nbsp;&nbsp;SF
0047	1	Elton Brand&nbsp;&nbsp;#42&nbsp;&nbsp;PF
0048	1	Spencer Hawes&nbsp;&nbsp;#0&nbsp;&nbsp;C
0049	1	Jrue Holiday&nbsp;&nbsp;#11&nbsp;&nbsp;PG
0050	1	Andre Iguodala&nbsp;&nbsp;#9&nbsp;&nbsp;SG
0051	1	Jason Kapono&nbsp;&nbsp;#72&nbsp;&nbsp;SF
0052	1	Jodie Meeks&nbsp;&nbsp;#20&nbsp;&nbsp;G
0053	1	Andres Nocioni&nbsp;&nbsp;#5&nbsp;&nbsp;F
0054	1	Darius Songaila&nbsp;&nbsp;#25&nbsp;&nbsp;PF
0055	1	Marreese Speights&nbsp;&nbsp;#16&nbsp;&nbsp;C
0056	1	Evan Turner&nbsp;&nbsp;#12&nbsp;&nbsp;SG
0057	1	Lou Williams&nbsp;&nbsp;#23&nbsp;&nbsp;PG
0058	1	Thaddeus Young&nbsp;&nbsp;#21&nbsp;&nbsp;F
0059	1	Solomon Alabi&nbsp;&nbsp;#50&nbsp;&nbsp;C
0060	1	Leandro Barbosa&nbsp;&nbsp;#20&nbsp;&nbsp;SG
0061	1	Andrea Bargnani&nbsp;&nbsp;#7&nbsp;&nbsp;C
0062	1	Jerryd Bayless&nbsp;&nbsp;#5&nbsp;&nbsp;PG
0063	1	Jose Calderon&nbsp;&nbsp;#8&nbsp;&nbsp;PG
0064	1	Ed Davis&nbsp;&nbsp;#32&nbsp;&nbsp;PF
0065	1	DeMar DeRozan&nbsp;&nbsp;#10&nbsp;&nbsp;SG
0066	1	Joey Dorsey&nbsp;&nbsp;#9&nbsp;&nbsp;PF
0067	1	Reggie Evans&nbsp;&nbsp;#30&nbsp;&nbsp;PF
0068	1	Amir Johnson&nbsp;&nbsp;#15&nbsp;&nbsp;PF
0069	1	Linas Kleiza&nbsp;&nbsp;#11&nbsp;&nbsp;SF
0070	1	Peja Stojakovic&nbsp;&nbsp;#16&nbsp;&nbsp;SF
0071	1	Sonny Weems&nbsp;&nbsp;#24&nbsp;&nbsp;SG
0072	1	Julian Wright&nbsp;&nbsp;#14&nbsp;&nbsp;SF
0073	1	Jeff Adrien&nbsp;&nbsp;#4&nbsp;&nbsp;F
0074	1	Louis Amundson&nbsp;&nbsp;#19&nbsp;&nbsp;C
0075	1	Charlie Bell&nbsp;&nbsp;#34&nbsp;&nbsp;SG
0076	1	Andris Biedrins&nbsp;&nbsp;#15&nbsp;&nbsp;C
0077	1	Rodney Carney&nbsp;&nbsp;#25&nbsp;&nbsp;SF
0078	1	Stephen Curry&nbsp;&nbsp;#30&nbsp;&nbsp;PG
0079	1	Monta Ellis&nbsp;&nbsp;#8&nbsp;&nbsp;SG
0080	1	Dan Gadzuric&nbsp;&nbsp;#50&nbsp;&nbsp;C
0081	1	David Lee&nbsp;&nbsp;#10&nbsp;&nbsp;C
0082	1	Jeremy Lin&nbsp;&nbsp;#7&nbsp;&nbsp;PG
0083	1	Vladimir Radmanovic&nbsp;&nbsp;#77&nbsp;&nbsp;SF
0084	1	Ekpe Udoh&nbsp;&nbsp;#20&nbsp;&nbsp;PF
0085	1	Reggie Williams&nbsp;&nbsp;#55&nbsp;&nbsp;SF
0086	1	Brandan Wright&nbsp;&nbsp;#32&nbsp;&nbsp;PF
0087	1	Dorell Wright&nbsp;&nbsp;#1&nbsp;&nbsp;SF
0088	1	Al-Farouq Aminu&nbsp;&nbsp;#3&nbsp;&nbsp;SF
0089	1	Eric Bledsoe&nbsp;&nbsp;#12&nbsp;&nbsp;PG
0090	1	Rasual Butler&nbsp;&nbsp;#45&nbsp;&nbsp;SG
0091	1	Jarron Collins&nbsp;&nbsp;#31&nbsp;&nbsp;C
0092	1	Brian Cook&nbsp;&nbsp;#34&nbsp;&nbsp;PF
0093	1	Baron Davis&nbsp;&nbsp;#5&nbsp;&nbsp;PG
0094	1	Randy Foye&nbsp;&nbsp;#4&nbsp;&nbsp;G
0095	1	Ryan Gomes&nbsp;&nbsp;#15&nbsp;&nbsp;SF
0096	1	Eric Gordon&nbsp;&nbsp;#10&nbsp;&nbsp;SG
0097	1	Blake Griffin&nbsp;&nbsp;#32&nbsp;&nbsp;PF
0098	1	DeAndre Jordan&nbsp;&nbsp;#9&nbsp;&nbsp;C
0099	1	Chris Kaman&nbsp;&nbsp;#35&nbsp;&nbsp;C
0100	1	Craig Smith&nbsp;&nbsp;#1&nbsp;&nbsp;PF
0101	1	Willie Warren&nbsp;&nbsp;#13&nbsp;&nbsp;G
0102	1	Ron Artest&nbsp;&nbsp;#15&nbsp;&nbsp;SF
0103	1	Matt Barnes&nbsp;&nbsp;#9&nbsp;&nbsp;SF
0104	1	Steve Blake&nbsp;&nbsp;#5&nbsp;&nbsp;PG
0105	1	Shannon Brown&nbsp;&nbsp;#12&nbsp;&nbsp;PG
0106	1	Kobe Bryant&nbsp;&nbsp;#24&nbsp;&nbsp;SG
0107	1	Andrew Bynum&nbsp;&nbsp;#17&nbsp;&nbsp;C
0108	1	Derrick Caracter&nbsp;&nbsp;#45&nbsp;&nbsp;F
0109	1	Devin Ebanks&nbsp;&nbsp;#3&nbsp;&nbsp;SF
0110	1	Derek Fisher&nbsp;&nbsp;#2&nbsp;&nbsp;PG
0111	1	Pau Gasol&nbsp;&nbsp;#16&nbsp;&nbsp;PF
0112	1	Lamar Odom&nbsp;&nbsp;#7&nbsp;&nbsp;PF
0113	1	Theo Ratliff&nbsp;&nbsp;#50&nbsp;&nbsp;C
0114	1	Sasha Vujacic&nbsp;&nbsp;#18&nbsp;&nbsp;SG
0115	1	Luke Walton&nbsp;&nbsp;#4&nbsp;&nbsp;SF
0116	1	Earl Barron&nbsp;&nbsp;#30&nbsp;&nbsp;PF
0117	1	Josh Childress&nbsp;&nbsp;#1&nbsp;&nbsp;SG
0118	1	Earl Clark&nbsp;&nbsp;#55&nbsp;&nbsp;F
0119	1	Goran Dragic&nbsp;&nbsp;#2&nbsp;&nbsp;PG
0120	1	Jared Dudley&nbsp;&nbsp;#3&nbsp;&nbsp;SF
0121	1	Channing Frye&nbsp;&nbsp;#8&nbsp;&nbsp;C
0122	1	Grant Hill&nbsp;&nbsp;#33&nbsp;&nbsp;SF
0123	1	Gani Lawal&nbsp;&nbsp;#31&nbsp;&nbsp;F
0124	1	Robin Lopez&nbsp;&nbsp;#15&nbsp;&nbsp;C
0125	1	Steve Nash&nbsp;&nbsp;#13&nbsp;&nbsp;PG
0126	1	Jason Richardson&nbsp;&nbsp;#23&nbsp;&nbsp;SG
0127	1	Garret Siler&nbsp;&nbsp;#20&nbsp;&nbsp;C
0128	1	Hedo Turkoglu&nbsp;&nbsp;#19&nbsp;&nbsp;SF
0129	1	Hakim Warrick&nbsp;&nbsp;#21&nbsp;&nbsp;PF
0130	1	Omri Casspi&nbsp;&nbsp;#18&nbsp;&nbsp;SF
0131	1	DeMarcus Cousins&nbsp;&nbsp;#15&nbsp;&nbsp;PF
0132	1	Samuel Dalembert&nbsp;&nbsp;#10&nbsp;&nbsp;C
0133	1	Tyreke Evans&nbsp;&nbsp;#13&nbsp;&nbsp;PG
0134	1	Francisco Garcia&nbsp;&nbsp;#32&nbsp;&nbsp;SG
0135	1	Donte Greene&nbsp;&nbsp;#20&nbsp;&nbsp;SF
0136	1	Luther Head&nbsp;&nbsp;#9&nbsp;&nbsp;SG
0137	1	Darnell Jackson&nbsp;&nbsp;#41&nbsp;&nbsp;PF
0138	1	Pooh Jeter&nbsp;&nbsp;#5&nbsp;&nbsp;PG
0139	1	Carl Landry&nbsp;&nbsp;#24&nbsp;&nbsp;PF
0140	1	Jason Thompson&nbsp;&nbsp;#34&nbsp;&nbsp;C
0141	1	Beno Udrih&nbsp;&nbsp;#19&nbsp;&nbsp;PG
0142	1	Hassan Whiteside&nbsp;&nbsp;#33&nbsp;&nbsp;PF
0143	1	Omer Asik&nbsp;&nbsp;#3&nbsp;&nbsp;C
0144	1	Keith Bogans&nbsp;&nbsp;#6&nbsp;&nbsp;SG
0145	1	Carlos Boozer&nbsp;&nbsp;#5&nbsp;&nbsp;PF
0146	1	Ronnie Brewer&nbsp;&nbsp;#11&nbsp;&nbsp;SG
0147	1	Luol Deng&nbsp;&nbsp;#9&nbsp;&nbsp;SF
0148	1	Taj Gibson&nbsp;&nbsp;#22&nbsp;&nbsp;F
0149	1	James Johnson&nbsp;&nbsp;#16&nbsp;&nbsp;SF
0150	1	Kyle Korver&nbsp;&nbsp;#26&nbsp;&nbsp;SG
0151	1	John Lucas&nbsp;&nbsp;#15&nbsp;&nbsp;PG
0152	1	Joakim Noah&nbsp;&nbsp;#13&nbsp;&nbsp;C
0153	1	Derrick Rose&nbsp;&nbsp;#1&nbsp;&nbsp;PG
0154	1	Brian Scalabrine&nbsp;&nbsp;#24&nbsp;&nbsp;PF
0155	1	Kurt Thomas&nbsp;&nbsp;#40&nbsp;&nbsp;C
0156	1	C.J. Watson&nbsp;&nbsp;#32&nbsp;&nbsp;PG
0157	1	Christian Eyenga&nbsp;&nbsp;#8&nbsp;&nbsp;G
0158	1	Daniel Gibson&nbsp;&nbsp;#1&nbsp;&nbsp;PG
0159	1	Joey Graham&nbsp;&nbsp;#12&nbsp;&nbsp;SG
0160	1	Manny Harris&nbsp;&nbsp;#6&nbsp;&nbsp;G
0161	1	J.J. Hickson&nbsp;&nbsp;#21&nbsp;&nbsp;PF
0162	1	Ryan Hollins&nbsp;&nbsp;#5&nbsp;&nbsp;C
