nbaplayer	espn	weight
434	434	434	82
0000	1	205 lbs.
0001	1	180 lbs.
0002	1	200 lbs.
0003	1	289 lbs.
0004	1	240 lbs.
0005	1	253 lbs.
0006	1	251 lbs.
0007	1	255 lbs.
0008	1	325 lbs.
0009	1	280 lbs.
0010	1	235 lbs.
0011	1	180 lbs.
0012	1	171 lbs.
0013	1	209 lbs.
0014	1	180 lbs.
0015	1	180 lbs.
0016	1	246 lbs.
0017	1	215 lbs.
0018	1	190 lbs.
0019	1	235 lbs.
0020	1	220 lbs.
0021	1	265 lbs.
0022	1	210 lbs.
0023	1	245 lbs.
0024	1	207 lbs.
0025	1	247 lbs.
0026	1	193 lbs.
0027	1	225 lbs.
0028	1	205 lbs.
0029	1	220 lbs.
0030	1	215 lbs.
0031	1	225 lbs.
0032	1	295 lbs.
0033	1	185 lbs.
0034	1	205 lbs.
0035	1	210 lbs.
0036	1	225 lbs.
0037	1	205 lbs.
0038	1	250 lbs.
0039	1	225 lbs.
0040	1	190 lbs.
0041	1	240 lbs.
0042	1	245 lbs.
0043	1	220 lbs.
0044	1	225 lbs.
0045	1	240 lbs.
0046	1	230 lbs.
0047	1	254 lbs.
0048	1	245 lbs.
0049	1	180 lbs.
0050	1	207 lbs.
0051	1	215 lbs.
0052	1	208 lbs.
0053	1	225 lbs.
0054	1	248 lbs.
0055	1	255 lbs.
0056	1	205 lbs.
0057	1	175 lbs.
0058	1	220 lbs.
0059	1	251 lbs.
0060	1	202 lbs.
0061	1	250 lbs.
0062	1	200 lbs.
0063	1	210 lbs.
0064	1	215 lbs.
0065	1	220 lbs.
0066	1	268 lbs.
0067	1	245 lbs.
0068	1	210 lbs.
0069	1	245 lbs.
0070	1	229 lbs.
0071	1	203 lbs.
0072	1	225 lbs.
0073	1	243 lbs.
0074	1	225 lbs.
0075	1	200 lbs.
0076	1	240 lbs.
0077	1	205 lbs.
0078	1	185 lbs.
0079	1	185 lbs.
0080	1	240 lbs.
0081	1	240 lbs.
0082	1	200 lbs.
0083	1	235 lbs.
0084	1	245 lbs.
0085	1	205 lbs.
0086	1	210 lbs.
0087	1	205 lbs.
0088	1	215 lbs.
0089	1	195 lbs.
0090	1	215 lbs.
0091	1	249 lbs.
0092	1	250 lbs.
0093	1	215 lbs.
0094	1	213 lbs.
0095	1	245 lbs.
0096	1	215 lbs.
0097	1	251 lbs.
0098	1	265 lbs.
0099	1	265 lbs.
0100	1	265 lbs.
0101	1	203 lbs.
0102	1	260 lbs.
0103	1	226 lbs.
0104	1	172 lbs.
0105	1	210 lbs.
0106	1	205 lbs.
0107	1	285 lbs.
0108	1	275 lbs.
0109	1	215 lbs.
0110	1	210 lbs.
0111	1	250 lbs.
0112	1	230 lbs.
0113	1	235 lbs.
0114	1	205 lbs.
