nbaplayer	fanhouse	height
446	446	446	20
0000	1	6' 2"
0001	1	7' 0"
0002	1	6' 5"
0003	1	6' 4"
0004	1	6' 5"
0005	1	6' 10"
0006	1	6' 7"
0007	1	6' 11"
0008	1	6' 9"
0009	1	6' 9"
0010	1	6' 7"
0011	1	6' 2"
0012	1	6' 10"
0013	1	6' 6"
0014	1	6' 9"
0015	1	6' 5"
0016	1	6' 2"
0017	1	6' 6"
0018	1	6' 9"
0019	1	7' 0"
0020	1	6' 11"
0021	1	6' 8"
0022	1	6' 11"
0023	1	7' 1"
0024	1	6' 10"
0025	1	6' 7"
0026	1	5' 9"
0027	1	6' 1"
0028	1	6' 5"
0029	1	6' 3"
0030	1	6' 5"
0031	1	6' 8"
0032	1	7' 0"
0033	1	6' 2"
0034	1	6' 1"
0035	1	6' 7"
0036	1	6' 10"
0037	1	6' 5"
0038	1	7' 1"
0039	1	6' 11"
0040	1	6' 4"
0041	1	6' 10"
0042	1	6' 10"
0043	1	6' 6"
0044	1	6' 9"
0045	1	6' 10"
0046	1	6' 10"
0047	1	6' 8"
0048	1	6' 6"
0049	1	6' 1"
0050	1	6' 11"
0051	1	6' 11"
0052	1	6' 10"
0053	1	6' 0"
0054	1	6' 10"
0055	1	6' 6"
0056	1	6' 4"
0057	1	6' 6"
0058	1	6' 1"
0059	1	6' 11"
0060	1	6' 10"
0061	1	6' 9"
0062	1	7' 1"
0063	1	6' 4"
0064	1	6' 6"
0065	1	6' 8"
0066	1	6' 4"
0067	1	6' 7"
0068	1	6' 9"
0069	1	6' 10"
0070	1	6' 7"
0071	1	6' 1"
0072	1	6' 8"
0073	1	7' 1"
0074	1	6' 3"
0075	1	7' 0"
0076	1	6' 3"
0077	1	6' 3"
0078	1	6' 10"
0079	1	6' 7"
0080	1	6' 8"
0081	1	6' 8"
0082	1	6' 9"
0083	1	6' 8"
0084	1	6' 10"
0085	1	6' 6"
0086	1	6' 8"
0087	1	6' 4"
0088	1	6' 11"
0089	1	6' 11"
0090	1	6' 8"
0091	1	6' 6"
0092	1	6' 4"
0093	1	6' 7"
0094	1	6' 3"
0095	1	7' 0"
0096	1	6' 7"
0097	1	7' 0"
0098	1	7' 0"
0099	1	6' 9"
0100	1	6' 8"
0101	1	6' 4"
0102	1	6' 7"
0103	1	7' 0"
0104	1	6' 0"
0105	1	6' 2"
0106	1	6' 7"
0107	1	6' 8"
0108	1	7' 1"
0109	1	7' 0"
0110	1	6' 4"
0111	1	6' 4"
0112	1	6' 11"
0113	1	6' 7"
0114	1	6' 10"
0115	1	7' 0"
0116	1	6' 5"
0117	1	6' 2"
0118	1	6' 5"
0119	1	6' 10"
0120	1	6' 8"
0121	1	6' 8"
0122	1	6' 3"
0123	1	6' 2"
0124	1	6' 10"
0125	1	6' 7"
0126	1	6' 9"
0127	1	6' 11"
0128	1	5' 11"
0129	1	6' 9"
0130	1	6' 6"
0131	1	6' 9"
0132	1	6' 7"
0133	1	6' 9"
0134	1	6' 3"
0135	1	7' 0"
0136	1	6' 7"
0137	1	6' 3"
0138	1	6' 3"
0139	1	6' 11"
0140	1	6' 9"
0141	1	6' 3"
