nbaplayer	fanhouse	weight
446	446	446	87
0000	1	195
0001	1	265
0002	1	200
0003	1	195
0004	1	220
0005	1	245
0006	1	240
0007	1	275
0008	1	240
0009	1	240
0010	1	225
0011	1	180
0012	1	260
0013	1	225
0014	1	240
0015	1	205
0016	1	195
0017	1	200
0018	1	295
0019	1	240
0020	1	253
0021	1	246
0022	1	268
0023	1	325
0024	1	275
0025	1	235
0026	1	180
0027	1	186
0028	1	220
0029	1	195
0030	1	215
0031	1	225
0032	1	295
0033	1	185
0034	1	205
0035	1	210
0036	1	225
0037	1	205
0038	1	250
0039	1	225
0040	1	195
0041	1	240
0042	1	247
0043	1	230
0044	1	225
0045	1	255
0046	1	240
0047	1	250
0048	1	220
0049	1	190
0050	1	240
0051	1	265
0052	1	230
0053	1	190
0054	1	255
0055	1	215
0056	1	190
0057	1	228
0058	1	190
0059	1	240
0060	1	230
0061	1	254
0062	1	245
0063	1	180
0064	1	207
0065	1	215
0066	1	208
0067	1	225
0068	1	248
0069	1	245
0070	1	210
0071	1	175
0072	1	220
0073	1	250
0074	1	202
0075	1	250
0076	1	200
0077	1	210
0078	1	215
0079	1	220
0080	1	268
0081	1	245
0082	1	210
0083	1	245
0084	1	229
0085	1	205
0086	1	235
0087	1	215
0088	1	235
0089	1	260
0090	1	240
0091	1	219
0092	1	190
0093	1	210
0094	1	190
0095	1	250
0096	1	220
0097	1	250
0098	1	235
0099	1	275
0100	1	235
0101	1	195
0102	1	210
0103	1	262
0104	1	175
0105	1	182
0106	1	228
0107	1	241
0108	1	235
0109	1	263
0110	1	215
0111	1	210
0112	1	230
0113	1	228
0114	1	220
0115	1	245
0116	1	218
0117	1	180
0118	1	215
0119	1	230
0120	1	238
0121	1	210
0122	1	202
0123	1	195
0124	1	245
0125	1	220
0126	1	250
0127	1	250
0128	1	195
0129	1	240
0130	1	220
0131	1	250
0132	1	243
0133	1	225
0134	1	200
0135	1	240
0136	1	205
0137	1	185
0138	1	180
0139	1	245
0140	1	250
0141	1	200
0142	1	235
0143	1	240
0144	1	210
0145	1	220
0146	1	210
0147	1	220
0148	1	161
0149	1	218
0150	1	238
0151	1	235
0152	1	240
0153	1	200
0154	1	205
0155	1	185
0156	1	261
0157	1	310
0158	1	235
0159	1	245
0160	1	175
0161	1	210
0162	1	215
0163	1	195
0164	1	215
0165	1	249
0166	1	250
0167	1	215
0168	1	213
0169	1	240
0170	1	220
0171	1	251
0172	1	265
0173	1	256
0174	1	265
0175	1	205
0176	1	180
0177	1	233
0178	1	270
0179	1	212
0180	1	205
0181	1	245
0182	1	280
0183	1	215
0184	1	215
0185	1	190
0186	1	235
0187	1	250
0188	1	235
0189	1	225
0190	1	220
0191	1	260
0192	1	226
0193	1	172
0194	1	210
0195	1	205
0196	1	285
0197	1	275
0198	1	215
0199	1	210
0200	1	250
0201	1	230
0202	1	235
0203	1	205
0204	1	235
0205	1	213
0206	1	235
0207	1	212
0208	1	185
0209	1	265
0210	1	230
0211	1	265
0212	1	220
0213	1	202
0214	1	210
0215	1	260
0216	1	267
0217	1	211
0218	1	220
0219	1	212
0220	1	230
0221	1	188
0222	1	200
0223	1	195
0224	1	195
0225	1	225
0226	1	215
0227	1	275
0228	1	260
0229	1	275
0230	1	290
0231	1	175
0232	1	170
0233	1	240
0234	1	230
0235	1	230
0236	1	245
0237	1	210
0238	1	205
0239	1	200
0240	1	270
0241	1	201
0242	1	200
0243	1	255
0244	1	235
0245	1	255
0246	1	175
0247	1	225
0248	1	240
0249	1	205
0250	1	240
0251	1	245
0252	1	255
0253	1	210
0254	1	230
0255	1	235
0256	1	220
0257	1	240
0258	1	215
0259	1	240
0260	1	170
0261	1	275
0262	1	220
0263	1	215
0264	1	190
0265	1	251
0266	1	245
0267	1	210
0268	1	225
0269	1	190
0270	1	225
0271	1	245
0272	1	225
0273	1	198
0274	1	234
0275	1	255
0276	1	178
0277	1	225
0278	1	304
0279	1	220
0280	1	219
0281	1	246
0282	1	217
0283	1	210
0284	1	235
0285	1	227
0286	1	179
0287	1	195
0288	1	250
0289	1	200
0290	1	200
0291	1	185
0292	1	245
0293	1	285
0294	1	259
0295	1	211
0296	1	183
0297	1	225
0298	1	270
0299	1	250
0300	1	220
0301	1	195
0302	1	226
0303	1	185
0304	1	253
0305	1	175
0306	1	248
0307	1	250
0308	1	205
0309	1	235
0310	1	215
0311	1	215
0312	1	270
0313	1	235
0314	1	255
0315	1	205
0316	1	210
0317	1	180
0318	1	230
0319	1	245
0320	1	210
0321	1	185
0322	1	175
0323	1	235
0324	1	240
