nbaplayer	foxsports	height
425	425	425	20
0000	1	6' 2"&nbsp;&nbsp;
0001	1	7' 0"&nbsp;&nbsp;
0002	1	6' 5"&nbsp;&nbsp;
0003	1	6' 4"&nbsp;&nbsp;
0004	1	6' 5"&nbsp;&nbsp;
0005	1	6' 10"&nbsp;&nbsp;
0006	1	6' 7"&nbsp;&nbsp;
0007	1	6' 11"&nbsp;&nbsp;
0008	1	6' 9"&nbsp;&nbsp;
0009	1	6' 9"&nbsp;&nbsp;
0010	1	6' 7"&nbsp;&nbsp;
0011	1	6' 2"&nbsp;&nbsp;
0012	1	6' 10"&nbsp;&nbsp;
0013	1	6' 6"&nbsp;&nbsp;
0014	1	6' 9"&nbsp;&nbsp;
0015	1	6' 0"&nbsp;&nbsp;
0016	1	6' 8"&nbsp;&nbsp;
0017	1	6' 11"&nbsp;&nbsp;
0018	1	6' 6"&nbsp;&nbsp;
0019	1	5' 11"&nbsp;&nbsp;
0020	1	6' 8"&nbsp;&nbsp;
0021	1	7' 0"&nbsp;&nbsp;
0022	1	6' 5"&nbsp;&nbsp;
0023	1	6' 8"&nbsp;&nbsp;
0024	1	6' 7"&nbsp;&nbsp;
0025	1	6' 9"&nbsp;&nbsp;
0026	1	6' 10"&nbsp;&nbsp;
0027	1	6' 8"&nbsp;&nbsp;
0028	1	6' 10"&nbsp;&nbsp;
0029	1	6' 7"&nbsp;&nbsp;
0030	1	6' 9"&nbsp;&nbsp;
0031	1	6' 2"&nbsp;&nbsp;
0032	1	6' 10"&nbsp;&nbsp;
0033	1	6' 1"&nbsp;&nbsp;
0034	1	6' 11"&nbsp;&nbsp;
0035	1	6' 8"&nbsp;&nbsp;
0036	1	6' 1"&nbsp;&nbsp;
0037	1	6' 9"&nbsp;&nbsp;
0038	1	7' 3"&nbsp;&nbsp;
0039	1	6' 8"&nbsp;&nbsp;
0040	1	6' 8"&nbsp;&nbsp;
0041	1	6' 11"&nbsp;&nbsp;
0042	1	6' 8"&nbsp;&nbsp;
0043	1	6' 11"&nbsp;&nbsp;
0044	1	6' 4"&nbsp;&nbsp;
0045	1	6' 10"&nbsp;&nbsp;
0046	1	6' 10"&nbsp;&nbsp;
0047	1	6' 8"&nbsp;&nbsp;
0048	1	6' 6"&nbsp;&nbsp;
0049	1	6' 1"&nbsp;&nbsp;
0050	1	6' 11"&nbsp;&nbsp;
0051	1	6' 11"&nbsp;&nbsp;
0052	1	6' 10"&nbsp;&nbsp;
0053	1	6' 0"&nbsp;&nbsp;
0054	1	6' 10"&nbsp;&nbsp;
0055	1	6' 6"&nbsp;&nbsp;
0056	1	6' 4"&nbsp;&nbsp;
0057	1	6' 6"&nbsp;&nbsp;
0058	1	6' 1"&nbsp;&nbsp;
0059	1	6' 4"&nbsp;&nbsp;
0060	1	6' 11"&nbsp;&nbsp;
0061	1	6' 11"&nbsp;&nbsp;
0062	1	6' 8"&nbsp;&nbsp;
0063	1	6' 4"&nbsp;&nbsp;
0064	1	6' 7"&nbsp;&nbsp;
0065	1	7' 0"&nbsp;&nbsp;
0066	1	7' 0"&nbsp;&nbsp;
0067	1	7' 0"&nbsp;&nbsp;
0068	1	6' 9"&nbsp;&nbsp;
0069	1	6' 8"&nbsp;&nbsp;
0070	1	6' 4"&nbsp;&nbsp;
0071	1	6' 7"&nbsp;&nbsp;
0072	1	7' 0"&nbsp;&nbsp;
0073	1	6' 5"&nbsp;&nbsp;
0074	1	6' 9"&nbsp;&nbsp;
0075	1	6' 7"&nbsp;&nbsp;
0076	1	6' 9"&nbsp;&nbsp;
0077	1	6' 9"&nbsp;&nbsp;
0078	1	6' 7"&nbsp;&nbsp;
0079	1	5' 11"&nbsp;&nbsp;
0080	1	6' 11"&nbsp;&nbsp;
0081	1	6' 3"&nbsp;&nbsp;
0082	1	6' 9"&nbsp;&nbsp;
0083	1	6' 9"&nbsp;&nbsp;
0084	1	6' 2"&nbsp;&nbsp;
0085	1	6' 5"&nbsp;&nbsp;
0086	1	6' 2"&nbsp;&nbsp;
0087	1	6' 7"&nbsp;&nbsp;
0088	1	6' 5"&nbsp;&nbsp;
0089	1	6' 9"&nbsp;&nbsp;
0090	1	7' 0"&nbsp;&nbsp;
0091	1	6' 9"&nbsp;&nbsp;
0092	1	6' 8"&nbsp;&nbsp;
0093	1	6' 6"&nbsp;&nbsp;
0094	1	6' 8"&nbsp;&nbsp;
0095	1	6' 9"&nbsp;&nbsp;
0096	1	6' 3"&nbsp;&nbsp;
0097	1	6' 11"&nbsp;&nbsp;
0098	1	6' 9"&nbsp;&nbsp;
0099	1	6' 1"&nbsp;&nbsp;
0100	1	6' 0"&nbsp;&nbsp;
0101	1	6' 11"&nbsp;&nbsp;
0102	1	6' 3"&nbsp;&nbsp;
0103	1	6' 7"&nbsp;&nbsp;
0104	1	6' 10"&nbsp;&nbsp;
0105	1	6' 7"&nbsp;&nbsp;
0106	1	6' 8"&nbsp;&nbsp;
0107	1	6' 11"&nbsp;&nbsp;
0108	1	6' 9"&nbsp;&nbsp;
0109	1	6' 5"&nbsp;&nbsp;
0110	1	6' 8"&nbsp;&nbsp;
0111	1	6' 11"&nbsp;&nbsp;
0112	1	6' 9"&nbsp;&nbsp;
0113	1	6' 5"&nbsp;&nbsp;
0114	1	6' 10"&nbsp;&nbsp;
0115	1	6' 0"&nbsp;&nbsp;
0116	1	6' 9"&nbsp;&nbsp;
0117	1	6' 0"&nbsp;&nbsp;
0118	1	6' 11"&nbsp;&nbsp;
0119	1	6' 8"&nbsp;&nbsp;
0120	1	6' 9"&nbsp;&nbsp;
0121	1	6' 9"&nbsp;&nbsp;
0122	1	7' 2"&nbsp;&nbsp;
0123	1	6' 6"&nbsp;&nbsp;
0124	1	6' 10"&nbsp;&nbsp;
0125	1	6' 10"&nbsp;&nbsp;
0126	1	6' 8"&nbsp;&nbsp;
0127	1	6' 2"&nbsp;&nbsp;
0128	1	6' 6"&nbsp;&nbsp;
0129	1	6' 5"&nbsp;&nbsp;
0130	1	7' 0"&nbsp;&nbsp;
0131	1	5' 5"&nbsp;&nbsp;
0132	1	6' 7"&nbsp;&nbsp;
0133	1	6' 6"&nbsp;&nbsp;
0134	1	6' 3"&nbsp;&nbsp;
0135	1	6' 7"&nbsp;&nbsp;
0136	1	6' 10"&nbsp;&nbsp;
0137	1	6' 9"&nbsp;&nbsp;
0138	1	6' 1"&nbsp;&nbsp;
0139	1	6' 6"&nbsp;&nbsp;
0140	1	6' 8"&nbsp;&nbsp;
0141	1	6' 6"&nbsp;&nbsp;
0142	1	6' 6"&nbsp;&nbsp;
