nbaplayer	foxsports	name
425	425	425	425
0000	1	Mike Bibby&nbsp;10 |
0001	1	Jason Collins&nbsp;34 |
0002	1	Jamal Crawford&nbsp;11 |
0003	1	Jordan Crawford&nbsp;55 |
0004	1	Maurice Evans&nbsp;1 |
0005	1	Al Horford&nbsp;15 |
0006	1	Joe Johnson&nbsp;2 |
0007	1	Zaza Pachulia&nbsp;27 |
0008	1	Josh Powell&nbsp;12 |
0009	1	Josh Smith&nbsp;5 |
0010	1	Pape Sy&nbsp;19 |
0011	1	Jeff Teague&nbsp;0 |
0012	1	Etan Thomas&nbsp;36 |
0013	1	Damien Wilkins&nbsp;3 |
0014	1	Marvin Williams&nbsp;24 |
0015	1	D.J. Augustin&nbsp;14 |
0016	1	Derrick Brown&nbsp;4 |
0017	1	Kwame Brown&nbsp;54 |
0018	1	Matt Carroll&nbsp;33 |
0019	1	Sherron Collins&nbsp;11 |
0020	1	Boris Diaw&nbsp;32 |
0021	1	DeSagana Diop&nbsp;7 |
0022	1	Gerald Henderson&nbsp;15 |
0023	1	Stephen Jackson&nbsp;1 |
0024	1	Shaun Livingston&nbsp;2 |
0025	1	Dominic McGuire&nbsp;5 |
0026	1	Nazr Mohammed&nbsp;13 |
0027	1	Eduardo Najera&nbsp;21 |
0028	1	Tyrus Thomas&nbsp;12 |
0029	1	Gerald Wallace&nbsp;3 |
0030	1	Joel Anthony&nbsp;50 |
0031	1	Carlos Arroyo&nbsp;8 |
0032	1	Chris Bosh&nbsp;1 |
0033	1	Mario Chalmers&nbsp;15 |
0034	1	Erick Dampier&nbsp;25 |
0035	1	Udonis Haslem&nbsp;40 |
0036	1	Eddie House&nbsp;55 |
0037	1	Juwan Howard&nbsp;5 |
0038	1	Zydrunas Ilgauskas&nbsp;11 |
0039	1	LeBron James&nbsp;6 |
0040	1	James Jones&nbsp;22 |
0041	1	Jamaal Magloire&nbsp;21 |
0042	1	Mike Miller&nbsp;13 |
0043	1	Dexter Pittman&nbsp;45 |
0044	1	Dwyane Wade&nbsp;3 |
0045	1	Malik Allen&nbsp;35 |
0046	1	Ryan Anderson&nbsp;33 |
0047	1	Brandon Bass&nbsp;30 |
0048	1	Vince Carter&nbsp;15 |
0049	1	Chris Duhon&nbsp;25 |
0050	1	Marcin Gortat&nbsp;13 |
0051	1	Dwight Howard&nbsp;12 |
0052	1	Rashard Lewis&nbsp;9 |
0053	1	Jameer Nelson&nbsp;14 |
0054	1	Daniel Orton&nbsp;21 |
0055	1	Mickael Pietrus&nbsp;20 |
0056	1	J.J. Redick&nbsp;7 |
0057	1	Quentin Richardson&nbsp;5 |
0058	1	Jason Williams&nbsp;44 |
0059	1	Gilbert Arenas&nbsp;9 |
0060	1	Hilton Armstrong&nbsp;24 |
0061	1	Andray Blatche&nbsp;7 |
0062	1	Trevor Booker&nbsp;35 |
0063	1	Kirk Hinrich&nbsp;12 |
0064	1	Josh Howard&nbsp;5 |
0065	1	Yi Jianlian&nbsp;31 |
0066	1	JaVale McGee&nbsp;34 |
0067	1	Hamady N'diaye&nbsp;55 |
0068	1	Kevin Seraphin&nbsp;13 |
0069	1	Al Thornton&nbsp;14 |
0070	1	John Wall&nbsp;2 |
0071	1	Nick Young&nbsp;1 |
0072	1	Omer Asik&nbsp;3 |
0073	1	Keith Bogans&nbsp;6 |
0074	1	Carlos Boozer&nbsp;5 |
0075	1	Ronnie Brewer&nbsp;11 |
0076	1	Luol Deng&nbsp;9 |
0077	1	Taj Gibson&nbsp;22 |
0078	1	Kyle Korver&nbsp;26 |
0079	1	John Lucas&nbsp;15 |
0080	1	Joakim Noah&nbsp;13 |
0081	1	Derrick Rose&nbsp;1 |
0082	1	Brian Scalabrine&nbsp;24 |
0083	1	Kurt Thomas&nbsp;40 |
0084	1	C.J. Watson&nbsp;32 |
0085	1	Christian Eyenga&nbsp;8 |
0086	1	Daniel Gibson&nbsp;1 |
0087	1	Joey Graham&nbsp;12 |
0088	1	Manny Harris&nbsp;6 |
0089	1	J.J. Hickson&nbsp;21 |
0090	1	Ryan Hollins&nbsp;5 |
0091	1	Antawn Jamison&nbsp;4 |
0092	1	Jamario Moon&nbsp;15 |
0093	1	Anthony Parker&nbsp;18 |
0094	1	Leon Powe&nbsp;44 |
0095	1	Samardo Samuels&nbsp;24 |
0096	1	Ramon Sessions&nbsp;3 |
0097	1	Anderson Varejao&nbsp;17 |
0098	1	Jawad Williams&nbsp;31 |
0099	1	Mo Williams&nbsp;2 |
0100	1	Will Bynum&nbsp;12 |
0101	1	Austin Daye&nbsp;5 |
0102	1	Ben Gordon&nbsp;7 |
0103	1	Richard Hamilton&nbsp;32 |
